 Reporting Area,MMWR Year,MMWR Week,"Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Med","Giardiasis, Previous 52 weeks Med, flag","Giardiasis, Previous 52 weeks Max","Giardiasis, Previous 52 weeks Max, flag","Giardiasis, Cum 2014","Giardiasis, Cum 2014, flag","Giardiasis, Cum 2013","Giardiasis, Cum 2013, flag","Gonorrhea,Current week","Gonorrhea,Current week, flag","Gonorrhea,Previous 52 weeks Med","Gonorrhea,Previous 52 weeks Med, flag","Gonorrhea, Previous 52 weeks Max","Gonorrhea, Previous 52 weeks Max, flag","Gonorrhea, Cum 2014","Gonorrhea, Cum 2014, flag","Gonorrhea, Cum 2013","Gonorrhea, Cum 2013, flag","Haemophilus influenzae, invasive†, All ages, all serotypes,Current week","Haemophilus influenzae, invasive†, All ages, all serotypes,Current week, flag","Haemophilus influenzae, invasive†, All ages, all serotypes, Previous 52 weeks Med","Haemophilus influenzae, invasive†, All ages, all serotypes, Previous 52 weeks Med, flag","Haemophilus influenzae, invasive†, All ages, all serotypes, Previous 52 weeks Max","Haemophilus influenzae, invasive†, All ages, all serotypes, Previous 52 weeks Max, flag","Haemophilus influenzae, invasive†, All ages, all serotypes, Cum 2014","Haemophilus influenzae, invasive†, All ages, all serotypes, Cum 2014, flag","Haemophilus influenzae, invasive†, All ages, all serotypes, Cum 2013","Haemophilus influenzae, invasive†, All ages, all serotypes, Cum 2013, flag",Location 1,Location 2
UNITED STATES,2014,1,62,,237,,407,,62,,184,,2444,,6199,,6951,,2444,,5412,,26,,62,,112,,26,,101,,,
NEW ENGLAND,2014,1,5,,23,,58,,5,,23,,51,,127,,192,,51,,121,,,-,4,,9,,,-,6,,,
MID. ATLANTIC,2014,1,14,,48,,89,,14,,20,,253,,775,,914,,253,,509,,3,,11,,22,,3,,20,,,
E.N. CENTRAL,2014,1,4,,37,,62,,4,,23,,137,,980,,1296,,137,,773,,3,,11,,21,,3,,21,,,
W.N. CENTRAL,2014,1,4,,16,,41,,4,,16,,36,,327,,416,,36,,238,,5,,5,,9,,5,,6,,,
S. ATLANTIC,2014,1,22,,43,,91,,22,,30,,1006,,1372,,1761,,1006,,1006,,9,,16,,33,,9,,21,,,
E.S. CENTRAL,2014,1,,-,3,,8,,,-,4,,166,,470,,632,,166,,363,,2,,5,,12,,2,,10,,,
W.S. CENTRAL,2014,1,,-,6,,15,,,-,1,,427,,943,,1491,,427,,1491,,2,,3,,10,,2,,3,,,
MOUNTAIN,2014,1,4,,17,,37,,4,,15,,130,,264,,386,,130,,186,,2,,5,,14,,2,,9,,,
PACIFIC,2014,1,9,,53,,126,,9,,52,,238,,892,,1038,,238,,725,,,-,3,,9,,,-,5,,,
VIRGIN ISL.,2014,1,,-,0,,0,,,-,,-,,-,1,,3,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
NEW HAMPSHIRE,2014,1,,-,2,,7,,,-,2,,1,,2,,6,,1,,5,,,-,0,,3,,,-,1,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
NEW YORK CITY,2014,1,2,,14,,24,,2,,7,,62,,254,,311,,62,,204,,,-,2,,7,,,-,4,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
WASHINGTON,2014,1,,-,10,,20,,,-,1,,52,,80,,113,,52,,59,,,-,0,,2,,,-,,-,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
MAINE,2014,1,1,,4,,12,,1,,4,,,-,4,,13,,,-,4,,,-,0,,2,,,-,1,,"MAINE
(45.254228663000504, -68.98502952999962)",
SOUTH CAROLINA,2014,1,2,,2,,7,,2,,1,,280,,143,,207,,280,,132,,,-,2,,11,,,-,3,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
PENNSYLVANIA,2014,1,11,,13,,27,,11,,9,,181,,269,,328,,181,,177,,3,,4,,11,,3,,6,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
NORTH CAROLINA,2014,1,,N,0,,0,,,N,,N,244,,264,,544,,244,,129,,2,,2,,12,,2,,,-,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
UTAH,2014,1,2,,4,,9,,2,,1,,14,,19,,27,,14,,10,,,-,1,,2,,,-,,-,"UTAH
(39.36070374600047, -111.5871285339997)",
VIRGINIA,2014,1,,-,0,,10,,,-,,-,106,,125,,237,,106,,69,,,-,0,,4,,,-,,-,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
GUAM,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(34.91997872200045, -120.52155783099971)",
HAWAII,2014,1,,-,1,,3,,,-,1,,,-,14,,26,,,-,18,,,-,0,,2,,,-,1,,"HAWAII
(21.30485166200043, -157.85774691599974)",
RHODE ISLAND,2014,1,,-,0,,7,,,-,,-,1,,6,,40,,1,,9,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
ALABAMA,2014,1,,-,3,,8,,,-,4,,,-,152,,257,,,-,112,,1,,1,,7,,1,,5,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
ARIZONA,2014,1,,-,2,,7,,,-,,-,,-,104,,182,,,-,97,,1,,2,,7,,1,,4,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
VERMONT,2014,1,4,,2,,14,,4,,1,,1,,1,,8,,1,,,-,,-,0,,1,,,-,,-,"VERMONT
(43.62538292400046, -72.51763944499965)",
MICHIGAN,2014,1,,-,10,,27,,,-,3,,45,,198,,276,,45,,127,,,-,2,,5,,,-,2,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
IOWA,2014,1,,-,4,,15,,,-,1,,1,,28,,44,,1,,25,,,-,0,,0,,,-,,-,"IOWA
(42.469404401000475, -93.81648936699969)",
OKLAHOMA,2014,1,,-,0,,0,,,-,,-,8,,85,,687,,8,,687,,2,,2,,9,,2,,1,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
NEBRASKA,2014,1,2,,3,,9,,2,,2,,,-,24,,49,,,-,21,,,-,0,,3,,,-,,-,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
KANSAS,2014,1,,-,2,,6,,,-,,-,,-,39,,66,,,-,20,,,-,0,,3,,,-,1,,"KANSAS
(38.34774033400049, -98.20077655499966)",
WYOMING,2014,1,,-,0,,6,,,-,,-,,-,1,,3,,,-,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
PUERTO RICO,2014,1,,-,0,,4,,,-,,-,,-,6,,21,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
NEW JERSEY,2014,1,,-,5,,12,,,-,4,,3,,135,,171,,3,,121,,,-,2,,10,,,-,10,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
KENTUCKY,2014,1,,N,0,,0,,,N,,N,35,,85,,143,,35,,58,,,-,1,,4,,,-,1,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
GEORGIA,2014,1,,-,9,,44,,,-,6,,83,,249,,328,,83,,235,,1,,2,,8,,1,,8,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
WEST VIRGINIA,2014,1,,-,1,,4,,,-,,-,15,,20,,34,,15,,12,,,-,0,,3,,,-,,-,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
AMER. SAMOA,2014,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
MISSISSIPPI,2014,1,,N,0,,0,,,N,,N,99,,101,,185,,99,,122,,1,,0,,2,,1,,1,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
OREGON,2014,1,4,,6,,17,,4,,10,,22,,33,,55,,22,,35,,,-,1,,5,,,-,3,,"OREGON
(44.567446178000466, -120.15502977999972)",
ALASKA,2014,1,,-,1,,7,,,-,1,,13,,19,,39,,13,,14,,,-,0,,3,,,-,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
NEW MEXICO,2014,1,,-,2,,6,,,-,3,,8,,35,,72,,8,,25,,,-,1,,3,,,-,1,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
TENNESSEE,2014,1,,N,0,,0,,,N,,N,32,,141,,205,,32,,71,,,-,2,,6,,,-,3,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
C.N.M.I.,2014,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
MINNESOTA,2014,1,,-,0,,0,,,-,,-,,-,66,,89,,,-,56,,,-,1,,5,,,-,3,,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
FLORIDA,2014,1,14,,20,,56,,14,,22,,254,,397,,492,,254,,317,,5,,5,,13,,5,,4,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
NORTH DAKOTA,2014,1,,-,0,,3,,,-,1,,,-,8,,15,,,-,6,,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
ARKANSAS,2014,1,,-,2,,7,,,-,,-,55,,73,,108,,55,,107,,,-,0,,3,,,-,,-,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
NEVADA,2014,1,,-,1,,6,,,-,3,,44,,50,,85,,44,,14,,,-,0,,1,,,-,1,,"NEVADA
(39.49324126500045, -117.07183978499972)",
CALIFORNIA,2014,1,5,,33,,102,,5,,39,,151,,747,,889,,151,,599,,,-,1,,5,,,-,1,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
IDAHO,2014,1,2,,2,,9,,2,,1,,,-,3,,12,,,-,7,,1,,0,,2,,1,,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
NEW YORK,2014,1,1,,18,,51,,1,,,-,7,,122,,171,,7,,7,,,-,3,,15,,,-,,-,"NEW YORK
(42.82700023900048, -75.54396639699968)",
MASSACHUSETTS,2014,1,,-,11,,26,,,-,13,,48,,59,,100,,48,,39,,,-,2,,6,,,-,4,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
DIST. OF COL.,2014,1,,-,0,,3,,,-,,-,,-,43,,84,,,-,26,,,-,0,,2,,,-,2,,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
MISSOURI,2014,1,2,,5,,15,,2,,8,,35,,151,,184,,35,,103,,5,,2,,7,,5,,1,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
INDIANA,2014,1,,-,3,,10,,,-,2,,37,,146,,208,,37,,90,,,-,2,,6,,,-,5,,"INDIANA
(39.76691364600049, -86.14995579899966)",
MARYLAND,2014,1,6,,4,,9,,6,,1,,16,,101,,174,,16,,60,,1,,2,,4,,1,,4,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
TEXAS,2014,1,,N,0,,0,,,N,,N,351,,659,,823,,351,,670,,,-,0,,1,,,-,,-,"TEXAS
(31.827243635000457, -99.4267664729997)",
OHIO,2014,1,2,,9,,25,,2,,3,,23,,314,,379,,23,,295,,3,,3,,8,,3,,5,,"OHIO
(40.06021029700048, -82.40425685299965)",
ILLINOIS,2014,1,,-,6,,18,,,-,6,,6,,253,,398,,6,,206,,,-,3,,6,,,-,5,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
LOUISIANA,2014,1,,-,4,,11,,,-,1,,13,,116,,326,,13,,27,,,-,1,,6,,,-,2,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
COLORADO,2014,1,,-,3,,18,,,-,7,,58,,53,,100,,58,,32,,,-,1,,4,,,-,3,,"COLORADO
(38.84384047000049, -106.13360888799969)",
DELAWARE,2014,1,,-,0,,2,,,-,,-,8,,25,,65,,8,,26,,,-,0,,2,,,-,,-,"DELAWARE
(39.00883351400046, -75.57773943699965)",
SOUTH DAKOTA,2014,1,,-,2,,9,,,-,4,,,-,15,,27,,,-,7,,,-,0,,1,,,-,,-,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
WISCONSIN,2014,1,2,,7,,15,,2,,9,,26,,82,,122,,26,,55,,,-,0,,4,,,-,4,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
MONTANA,2014,1,,-,1,,6,,,-,,-,6,,4,,10,,6,,1,,,-,0,,1,,,-,,-,"MONTANA
(47.066526051000494, -109.42441687999968)",
W.N. CENTRAL,2014,2,5,,16,,41,,13,,38,,63,,327,,416,,197,,597,,6,,5,,9,,12,,15,,,
MICHIGAN,2014,2,1,,10,,27,,2,,13,,72,,198,,276,,141,,391,,1,,2,,5,,1,,3,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
NEBRASKA,2014,2,1,,3,,9,,3,,9,,,-,24,,49,,,-,59,,1,,0,,3,,1,,1,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
OHIO,2014,2,8,,9,,25,,12,,15,,96,,314,,379,,239,,670,,9,,3,,8,,13,,8,,"OHIO
(40.06021029700048, -82.40425685299965)",
KANSAS,2014,2,,-,2,,6,,2,,4,,3,,39,,66,,20,,46,,,-,0,,3,,,-,2,,"KANSAS
(38.34774033400049, -98.20077655499966)",
SOUTH DAKOTA,2014,2,,-,2,,9,,,-,4,,3,,15,,27,,3,,19,,,-,0,,1,,,-,,-,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
MINNESOTA,2014,2,,-,0,,0,,,-,,-,,-,66,,89,,,-,145,,,-,1,,5,,,-,3,,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
INDIANA,2014,2,,-,3,,11,,,-,4,,26,,146,,210,,86,,238,,,-,3,,6,,,-,9,,"INDIANA
(39.76691364600049, -86.14995579899966)",
IOWA,2014,2,2,,4,,15,,3,,5,,3,,28,,44,,17,,69,,,-,0,,0,,,-,,-,"IOWA
(42.469404401000475, -93.81648936699969)",
NORTH DAKOTA,2014,2,,-,0,,3,,,-,1,,,-,8,,15,,4,,12,,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
WISCONSIN,2014,2,3,,7,,15,,8,,13,,49,,82,,122,,103,,166,,,-,1,,4,,,-,8,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
MISSOURI,2014,2,2,,5,,15,,5,,15,,54,,152,,184,,153,,247,,5,,2,,7,,11,,8,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
UNITED STATES,2014,2,102,,238,,409,,196,,410,,3067,,6217,,6951,,6708,,12141,,50,,63,,112,,95,,213,,,
NEW ENGLAND,2014,2,7,,23,,58,,16,,47,,72,,127,,192,,122,,217,,2,,4,,9,,6,,14,,,
MID. ATLANTIC,2014,2,11,,48,,89,,32,,51,,437,,775,,914,,795,,1296,,8,,11,,22,,13,,38,,,
E.N. CENTRAL,2014,2,12,,37,,62,,22,,57,,243,,980,,1296,,575,,2070,,10,,11,,17,,14,,36,,,
ALASKA,2014,15,2,,1,,7,,17,,13,,9,,24,,41,,353,,268,,,-,0,,3,,5,,3,,"ALASKA
",
VERMONT,2014,2,,-,2,,14,,4,,3,,,-,1,,8,,1,,3,,,-,0,,1,,,-,,-,"VERMONT
(43.62538292400046, -72.51763944499965)",
ILLINOIS,2014,2,,-,6,,23,,,-,12,,,-,257,,398,,6,,605,,,-,3,,6,,,-,8,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
NEW YORK,2014,2,,-,18,,51,,1,,13,,70,,122,,217,,77,,68,,6,,3,,15,,6,,4,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
MAINE,2014,2,1,,4,,12,,2,,6,,,-,4,,13,,,-,12,,,-,0,,2,,,-,3,,"MAINE
(45.254228663000504, -68.98502952999962)",
NEW HAMPSHIRE,2014,2,,-,1,,7,,1,,2,,4,,2,,6,,5,,9,,,-,0,,3,,1,,1,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
NEW JERSEY,2014,2,,-,5,,12,,,-,5,,,-,135,,171,,3,,292,,,-,2,,5,,,-,12,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
RHODE ISLAND,2014,2,,-,0,,7,,,-,,-,,-,5,,40,,1,,13,,,-,0,,8,,,-,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
CONNECTICUT,2014,2,,-,5,,11,,,-,4,,,-,52,,104,,,-,88,,,-,1,,4,,,-,1,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
PENNSYLVANIA,2014,2,8,,13,,27,,21,,17,,230,,269,,328,,425,,424,,2,,4,,11,,7,,13,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
NEW YORK CITY,2014,2,3,,14,,24,,10,,16,,137,,254,,311,,290,,512,,,-,2,,7,,,-,9,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
MASSACHUSETTS,2014,2,6,,11,,26,,9,,32,,68,,59,,100,,115,,92,,2,,2,,6,,5,,9,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
S. ATLANTIC,2014,2,42,,43,,91,,64,,73,,946,,1373,,1758,,2064,,2586,,16,,16,,33,,31,,54,,,
E.S. CENTRAL,2014,2,3,,3,,8,,3,,5,,218,,472,,632,,439,,811,,4,,4,,12,,7,,20,,,
W.S. CENTRAL,2014,2,3,,6,,15,,6,,6,,511,,939,,1171,,1126,,2433,,1,,3,,11,,4,,7,,,
MOUNTAIN,2014,2,3,,17,,37,,11,,29,,120,,264,,392,,379,,465,,1,,5,,14,,6,,19,,,
PACIFIC,2014,2,16,,53,,126,,29,,104,,457,,891,,1069,,1011,,1666,,2,,3,,9,,2,,10,,,
ARIZONA,2014,2,,-,2,,7,,,-,1,,,-,104,,181,,104,,196,,,-,2,,7,,1,,8,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
FLORIDA,2014,2,21,,20,,56,,35,,47,,241,,396,,494,,565,,764,,11,,5,,13,,16,,12,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
ALASKA,2014,2,2,,1,,7,,2,,1,,17,,20,,39,,41,,31,,,-,0,,3,,,-,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
OREGON,2014,2,1,,6,,17,,7,,16,,35,,33,,55,,60,,71,,2,,1,,5,,2,,8,,"OREGON
(44.567446178000466, -120.15502977999972)",
NEW MEXICO,2014,2,,-,2,,6,,,-,4,,13,,36,,77,,26,,56,,,-,1,,3,,,-,2,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
GEORGIA,2014,2,12,,9,,44,,12,,9,,268,,249,,328,,361,,546,,1,,2,,8,,6,,15,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
MONTANA,2014,2,2,,1,,6,,2,,,-,2,,4,,10,,8,,2,,1,,0,,1,,1,,,-,"MONTANA
(47.066526051000494, -109.42441687999968)",
COLORADO,2014,2,,-,3,,18,,3,,11,,37,,54,,100,,95,,132,,,-,1,,4,,1,,6,,"COLORADO
(38.84384047000049, -106.13360888799969)",
LOUISIANA,2014,2,1,,4,,11,,4,,5,,30,,116,,326,,43,,72,,,-,1,,6,,1,,4,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
MARYLAND,2014,2,6,,5,,9,,12,,7,,59,,109,,174,,102,,136,,1,,2,,5,,4,,8,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
ARKANSAS,2014,2,2,,2,,7,,2,,1,,87,,73,,108,,142,,193,,,-,0,,3,,,-,,-,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
WYOMING,2014,2,,-,0,,6,,,-,2,,,-,1,,3,,,-,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
NEVADA,2014,2,,-,1,,6,,,-,5,,52,,51,,85,,102,,46,,,-,0,,1,,,-,2,,"NEVADA
(39.49324126500045, -117.07183978499972)",
SOUTH CAROLINA,2014,2,1,,2,,7,,3,,3,,,-,144,,280,,280,,258,,,-,2,,11,,,-,14,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
VIRGINIA,2014,2,2,,0,,10,,2,,,-,13,,125,,237,,119,,256,,,-,0,,4,,,-,,-,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
WASHINGTON,2014,2,,-,10,,20,,,-,1,,63,,80,,113,,115,,146,,,-,0,,2,,,-,,-,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
WEST VIRGINIA,2014,2,,-,1,,4,,,-,3,,17,,20,,34,,37,,23,,,-,0,,3,,,-,,-,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
NORTH CAROLINA,2014,2,,N,0,,0,,,N,,N,323,,264,,544,,567,,481,,3,,2,,12,,5,,2,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
VIRGIN ISL.,2014,2,,-,0,,0,,,-,,-,,-,1,,5,,,-,1,,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
C.N.M.I.,2014,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
PUERTO RICO,2014,2,,-,0,,4,,,-,,-,,-,6,,21,,,-,7,,,-,0,,0,,,-,,-,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
DELAWARE,2014,2,,-,0,,2,,,-,1,,25,,25,,65,,33,,47,,,-,0,,2,,,-,1,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
KENTUCKY,2014,2,,N,0,,0,,,N,,N,70,,85,,143,,134,,101,,,-,1,,4,,,-,3,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
MISSISSIPPI,2014,2,,N,0,,0,,,N,,N,,-,99,,185,,99,,227,,,-,0,,2,,2,,1,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
IDAHO,2014,2,1,,2,,9,,3,,2,,2,,3,,14,,5,,8,,,-,0,,2,,1,,1,,"IDAHO
(43.682630058000484, -114.3637261449997)",
CALIFORNIA,2014,2,13,,33,,102,,20,,85,,340,,748,,915,,785,,1382,,,-,1,,5,,,-,1,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
OKLAHOMA,2014,2,,-,0,,0,,,-,,-,22,,83,,177,,60,,768,,1,,2,,9,,3,,3,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
ALABAMA,2014,2,3,,3,,8,,3,,5,,100,,152,,257,,120,,244,,2,,1,,7,,3,,12,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
AMER. SAMOA,2014,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
HAWAII,2014,2,,-,0,,3,,,-,1,,2,,13,,26,,10,,36,,,-,0,,2,,,-,1,,"HAWAII
(21.30485166200043, -157.85774691599974)",
UTAH,2014,2,,-,4,,9,,3,,4,,14,,19,,29,,39,,25,,,-,1,,2,,2,,,-,"UTAH
(39.36070374600047, -111.5871285339997)",
TEXAS,2014,2,,N,0,,0,,,N,,N,372,,658,,824,,881,,1400,,,-,0,,1,,,-,,-,"TEXAS
(31.827243635000457, -99.4267664729997)",
DIST. OF COL.,2014,2,,-,0,,3,,,-,3,,,-,48,,85,,,-,75,,,-,0,,2,,,-,2,,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
TENNESSEE,2014,2,,N,0,,0,,,N,,N,48,,144,,210,,86,,239,,2,,2,,6,,2,,4,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
GUAM,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
UNITED STATES,2014,3,113,,235,,404,,340,,622,,2474,,6233,,6951,,10903,,19096,,34,,63,,99,,149,,284,,,
NEW ENGLAND,2014,3,14,,23,,58,,34,,63,,106,,127,,192,,226,,330,,3,,4,,9,,11,,20,,,
MID. ATLANTIC,2014,3,32,,48,,89,,77,,97,,519,,771,,914,,1698,,2130,,6,,11,,22,,27,,48,,,
E.N. CENTRAL,2014,3,12,,37,,62,,37,,94,,338,,978,,1235,,1192,,3305,,2,,11,,17,,19,,47,,,
W.N. CENTRAL,2014,3,4,,16,,41,,22,,47,,53,,327,,416,,346,,960,,2,,5,,9,,15,,22,,,
S. ATLANTIC,2014,3,30,,44,,91,,101,,108,,723,,1368,,1758,,3129,,4234,,18,,17,,33,,50,,71,,,
E.S. CENTRAL,2014,3,1,,3,,8,,4,,6,,208,,472,,632,,706,,1443,,1,,4,,12,,9,,25,,,
W.S. CENTRAL,2014,3,2,,6,,15,,8,,8,,32,,949,,1170,,1159,,3330,,1,,3,,11,,6,,8,,,
MOUNTAIN,2014,3,,-,17,,37,,14,,48,,96,,266,,395,,665,,756,,,-,5,,14,,8,,31,,,
PACIFIC,2014,3,18,,48,,118,,43,,151,,399,,891,,1086,,1782,,2608,,1,,3,,9,,4,,12,,,
CALIFORNIA,2014,3,17,,28,,94,,33,,121,,277,,745,,932,,1429,,2137,,,-,1,,5,,1,,2,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
MINNESOTA,2014,3,,-,0,,0,,,-,,-,,-,67,,87,,,-,232,,,-,1,,5,,,-,5,,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
NEBRASKA,2014,3,2,,3,,9,,5,,10,,,-,24,,49,,,-,82,,,-,0,,3,,1,,2,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
C.N.M.I.,2014,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
NEW HAMPSHIRE,2014,3,,-,1,,7,,1,,2,,8,,2,,6,,13,,12,,,-,0,,3,,1,,1,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
OREGON,2014,3,1,,6,,17,,8,,26,,50,,33,,55,,115,,116,,1,,1,,5,,3,,9,,"OREGON
(44.567446178000466, -120.15502977999972)",
NEW JERSEY,2014,3,,-,5,,12,,,-,10,,50,,134,,167,,232,,436,,,-,2,,5,,5,,15,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
GUAM,2014,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
MAINE,2014,3,5,,4,,12,,7,,9,,,-,4,,13,,,-,25,,,-,0,,2,,,-,4,,"MAINE
(45.254228663000504, -68.98502952999962)",
COLORADO,2014,3,,-,3,,18,,3,,16,,45,,53,,88,,146,,193,,,-,1,,4,,1,,9,,"COLORADO
(38.84384047000049, -106.13360888799969)",
VERMONT,2014,3,1,,2,,14,,5,,4,,1,,1,,8,,3,,4,,1,,0,,1,,1,,1,,"VERMONT
(43.62538292400046, -72.51763944499965)",
DIST. OF COL.,2014,3,,-,0,,3,,,-,5,,,-,47,,85,,,-,89,,,-,0,,2,,,-,2,,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
NORTH DAKOTA,2014,3,,-,0,,3,,,-,2,,2,,8,,15,,7,,20,,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
NORTH CAROLINA,2014,3,,N,0,,0,,,N,,N,,-,264,,544,,567,,1025,,4,,3,,12,,10,,5,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
AMER. SAMOA,2014,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
WEST VIRGINIA,2014,3,,-,1,,4,,,-,3,,,-,20,,34,,37,,44,,,-,0,,3,,,-,1,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
