Reporting Area,MMWR Year,MMWR Week,"Tetanus, Current week","Tetanus, Current week, flag","Tetanus, Previous 52 weeks Med","Tetanus, Previous 52 weeks Med, flag","Tetanus, Previous 52 weeks Max","Tetanus, Previous 52 weeks Max, flag","Tetanus, Cum 2016","Tetanus, Cum 2016, flag","Tetanus, Cum 2015","Tetanus, Cum 2015, flag","Varicella (chickenpox), Current week","Varicella (chickenpox), Current week, flag","Varicella (chickenpox), Previous 52 weeks Med","Varicella (chickenpox), Previous 52 weeks Med, flag","Varicella (chickenpox), Previous 52 weeks Max","Varicella (chickenpox), Previous 52 weeks Max, flag","Varicella (chickenpox), Cum 2016","Varicella (chickenpox), Cum 2016, flag","Varicella (chickenpox), Cum 2015","Varicella (chickenpox), Cum 2015, flag","Vibriosis§, Current week","Vibriosis§, Current week, flag","Vibriosis§, Previous 52 weeks Med","Vibriosis§, Previous 52 weeks Med, flag","Vibriosis§, Previous 52 weeks Max","Vibriosis§, Previous 52 weeks Max, flag","Vibriosis§, Cum 2016","Vibriosis§, Cum 2016, flag","Vibriosis§, Cum 2015","Vibriosis§, Cum 2015, flag",Location 1,Location 2
CALIFORNIA,2016,9,,-,0,,1,,,-,,-,,-,1,,3,,1,,7,,,-,3,,13,,4,,29,,"CALIFORNIA
(37.640735, -121.002435)",
ALABAMA,2016,9,,-,0,,1,,,-,,-,,-,3,,11,,22,,34,,,-,0,,4,,2,,1,,"ALABAMA
(32.839182, -86.631125)",
GUAM,2016,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NORTH DAKOTA,2016,9,,-,0,,0,,,-,,-,1,,0,,4,,9,,8,,,-,0,,1,,1,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MASSACHUSETTS,2016,9,,-,0,,0,,,-,,-,1,,7,,14,,45,,71,,,-,1,,9,,2,,2,,"MASSACHUSETTS
(42.268546, -72.085064)",
MAINE,2016,9,,-,0,,0,,,-,,-,3,,4,,8,,29,,43,,,-,0,,3,,,-,,-,"MAINE
(45.252223, -68.986647)",
KENTUCKY,2016,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,3,,,-,"KENTUCKY
(37.64591, -84.774043)",
NEVADA,2016,9,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NEW HAMPSHIRE,2016,9,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,1,,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
INDIANA,2016,9,,-,0,,0,,,-,,-,1,,3,,8,,21,,46,,,-,0,,1,,2,,,-,"INDIANA
(39.76845, -86.156212)",
ALASKA,2016,9,,-,0,,0,,,-,,-,1,,1,,4,,3,,10,,,-,0,,2,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NORTH CAROLINA,2016,9,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,5,,1,,1,,"NORTH CAROLINA
(35.47995, -79.180571)",
MONTANA,2016,9,,-,0,,0,,,-,,-,3,,0,,13,,12,,23,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
MISSOURI,2016,9,,-,0,,0,,,-,,-,3,,2,,9,,28,,37,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
DELAWARE,2016,9,,-,0,,0,,,-,,-,,-,0,,3,,2,,9,,,-,0,,2,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MARYLAND,2016,9,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,6,,,-,1,,"MARYLAND
(39.290443, -76.612333)",
WISCONSIN,2016,9,,-,0,,1,,,-,,-,2,,6,,14,,49,,72,,,-,0,,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
IDAHO,2016,9,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
MISSISSIPPI,2016,9,,-,0,,0,,,-,,-,,-,0,,2,,2,,8,,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
ARIZONA,2016,9,,-,0,,1,,1,,,-,5,,4,,18,,55,,62,,,-,0,,6,,,-,1,,"ARIZONA
(34.869712, -111.760902)",
NEW JERSEY,2016,9,,-,0,,0,,,-,,-,,-,5,,18,,25,,67,,,-,0,,4,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
ARKANSAS,2016,9,,-,0,,0,,,-,,-,2,,3,,23,,31,,30,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
TEXAS,2016,9,,-,0,,1,,,-,,-,30,,24,,72,,174,,219,,1,,1,,8,,3,,,-,"TEXAS
(31.827233, -99.423022)",
NEBRASKA,2016,9,,-,0,,0,,,-,,-,,-,0,,3,,6,,2,,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NEW YORK,2016,9,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
COLORADO,2016,9,,-,0,,1,,,-,,-,,-,0,,10,,,-,42,,,-,0,,1,,,-,1,,"COLORADO
(38.841772, -106.132562)",
MINNESOTA,2016,9,,-,0,,0,,,-,,-,,-,5,,14,,31,,65,,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
TENNESSEE,2016,9,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,2,,3,,1,,"TENNESSEE
(35.681402, -85.774444)",
OREGON,2016,9,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,3,,3,,3,,"OREGON
(44.567912, -120.156945)",
UNITED STATES,2016,10,,-,0,,3,,1,,2,,57,,172,,237,,1376,,1864,,1,,16,,69,,57,,89,,,
NEW ENGLAND,2016,10,,-,0,,1,,,-,,-,3,,17,,33,,128,,214,,,-,1,,13,,4,,5,,,
MID. ATLANTIC,2016,10,,-,0,,1,,,-,,-,6,,20,,38,,127,,222,,,-,0,,7,,1,,2,,,
NEW YORK CITY,2016,10,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,1,,1,,"NEW YORK CITY
",
E.N. CENTRAL,2016,10,,-,0,,1,,,-,,-,22,,36,,80,,390,,372,,,-,1,,6,,4,,4,,,
W.N. CENTRAL,2016,10,,-,0,,1,,,-,,-,3,,10,,18,,91,,130,,,-,0,,2,,1,,,-,,
S. ATLANTIC,2016,10,,-,0,,2,,,-,2,,17,,29,,53,,271,,317,,1,,7,,14,,19,,27,,,
DIST. OF COL.,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,10,,-,0,,1,,,-,,-,1,,3,,11,,26,,46,,,-,0,,4,,9,,2,,,
W.S. CENTRAL,2016,10,,-,0,,2,,,-,,-,,-,31,,76,,216,,291,,,-,3,,8,,8,,6,,,
MOUNTAIN,2016,10,,-,0,,1,,1,,,-,5,,17,,34,,115,,234,,,-,1,,7,,1,,3,,,
PACIFIC,2016,10,,-,0,,1,,,-,,-,,-,3,,9,,12,,38,,,-,5,,30,,10,,40,,,
AMER. SAMOA,2016,10,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2016,10,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
NEW JERSEY,2016,10,,-,0,,0,,,-,,-,,-,5,,18,,27,,72,,,-,0,,4,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
MISSOURI,2016,10,,-,0,,0,,,-,,-,3,,2,,9,,31,,39,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
FLORIDA,2016,10,,-,0,,1,,,-,1,,16,,14,,39,,207,,176,,1,,4,,9,,14,,16,,"FLORIDA
(28.915325, -81.922409)",
MICHIGAN,2016,10,,-,0,,0,,,-,,-,,-,10,,36,,136,,80,,,-,0,,3,,1,,1,,"MICHIGAN
(44.66399, -84.711206)",
ARKANSAS,2016,10,,-,0,,0,,,-,,-,,-,3,,23,,31,,32,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NEW MEXICO,2016,10,,-,0,,1,,,-,,-,,-,1,,5,,4,,10,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
SOUTH DAKOTA,2016,10,,-,0,,1,,,-,,-,,-,0,,3,,4,,7,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
LOUISIANA,2016,10,,-,0,,1,,,-,,-,,-,1,,21,,11,,13,,,-,1,,6,,4,,6,,"LOUISIANA
(31.2931, -92.463284)",
ARIZONA,2016,10,,-,0,,1,,1,,,-,5,,4,,18,,62,,69,,,-,0,,6,,,-,2,,"ARIZONA
(34.869712, -111.760902)",
TENNESSEE,2016,10,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,2,,3,,1,,"TENNESSEE
(35.681402, -85.774444)",
PUERTO RICO,2016,10,,-,0,,0,,,-,1,,1,,2,,6,,5,,22,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
TEXAS,2016,10,,-,0,,1,,,-,,-,,-,25,,72,,174,,246,,,-,1,,8,,4,,,-,"TEXAS
(31.827233, -99.423022)",
OHIO,2016,10,,-,0,,1,,,-,,-,18,,8,,21,,97,,90,,,-,0,,2,,,-,1,,"OHIO
(40.056807, -82.405897)",
DELAWARE,2016,10,,-,0,,0,,,-,,-,,-,0,,3,,3,,9,,,-,0,,2,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
WISCONSIN,2016,10,,-,0,,1,,,-,,-,2,,6,,14,,56,,76,,,-,0,,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
VIRGINIA,2016,10,,-,0,,0,,,-,,-,,-,6,,13,,26,,78,,,-,0,,3,,,-,2,,"VIRGINIA
(37.542699, -78.45822)",
MINNESOTA,2016,10,,-,0,,0,,,-,,-,,-,6,,14,,37,,73,,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
NEW HAMPSHIRE,2016,10,,-,0,,1,,,-,,-,,-,1,,7,,,-,16,,,-,0,,2,,1,,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
UTAH,2016,10,,-,0,,0,,,-,,-,,-,3,,12,,36,,55,,,-,0,,3,,1,,,-,"UTAH
(39.359772, -111.584173)",
PENNSYLVANIA,2016,10,,-,0,,1,,,-,,-,6,,13,,28,,100,,150,,,-,0,,2,,,-,1,,"PENNSYLVANIA
(40.789676, -77.858055)",
HAWAII,2016,10,,-,0,,0,,,-,,-,,-,1,,5,,8,,17,,,-,0,,5,,3,,5,,"HAWAII
(21.30992, -157.858158)",
NORTH DAKOTA,2016,10,,-,0,,0,,,-,,-,,-,0,,5,,13,,9,,,-,0,,1,,1,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
GEORGIA,2016,10,,-,0,,0,,,-,,-,,-,0,,7,,13,,12,,,-,0,,3,,2,,3,,"GEORGIA
(32.836038, -83.631709)",
NEVADA,2016,10,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
WYOMING,2016,10,,-,0,,0,,,-,,-,,-,0,,3,,1,,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
KANSAS,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"KANSAS
(38.345528, -98.201847)",
SOUTH CAROLINA,2016,10,,-,0,,0,,,-,1,,1,,3,,13,,18,,32,,,-,0,,2,,2,,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
MASSACHUSETTS,2016,10,,-,0,,0,,,-,,-,,-,6,,14,,45,,81,,,-,1,,9,,2,,2,,"MASSACHUSETTS
(42.268546, -72.085064)",
ALASKA,2016,10,,-,0,,0,,,-,,-,,-,1,,6,,3,,12,,,-,0,,2,,,-,,-,"ALASKA
(64.836661, -147.738891)",
OREGON,2016,10,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,3,,3,,3,,"OREGON
(44.567912, -120.156945)",
MAINE,2016,10,,-,0,,0,,,-,,-,,-,4,,9,,29,,51,,,-,0,,3,,,-,,-,"MAINE
(45.252223, -68.986647)",
GUAM,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
IOWA,2016,10,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
VERMONT,2016,10,,-,0,,0,,,-,,-,,-,0,,6,,17,,10,,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NEW YORK,2016,10,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
MARYLAND,2016,10,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,6,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
NEBRASKA,2016,10,,-,0,,0,,,-,,-,,-,0,,3,,6,,2,,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
OKLAHOMA,2016,10,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
IDAHO,2016,10,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
ILLINOIS,2016,10,,-,0,,1,,,-,,-,2,,7,,16,,79,,81,,,-,0,,3,,1,,2,,"ILLINOIS
(40.477092, -88.993221)",
MONTANA,2016,10,,-,0,,0,,,-,,-,,-,0,,13,,12,,33,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
CALIFORNIA,2016,10,,-,0,,1,,,-,,-,,-,1,,3,,1,,9,,,-,3,,13,,4,,31,,"CALIFORNIA
(37.640735, -121.002435)",
INDIANA,2016,10,,-,0,,0,,,-,,-,,-,3,,6,,22,,45,,,-,0,,1,,2,,,-,"INDIANA
(39.76845, -86.156212)",
CONNECTICUT,2016,10,,-,0,,0,,,-,,-,1,,3,,10,,32,,41,,,-,0,,7,,,-,3,,"CONNECTICUT
(41.544654, -72.651713)",
WEST VIRGINIA,2016,10,,-,0,,0,,,-,,-,,-,3,,9,,4,,10,,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
WASHINGTON,2016,10,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,17,,,-,1,,"WASHINGTON
(47.517368, -120.467672)",
ALABAMA,2016,10,,-,0,,1,,,-,,-,1,,3,,11,,24,,38,,,-,0,,4,,3,,1,,"ALABAMA
(32.839182, -86.631125)",
RHODE ISLAND,2016,10,,-,0,,0,,,-,,-,2,,0,,5,,5,,15,,,-,0,,2,,1,,,-,"RHODE ISLAND
(41.707447, -71.522488)",
KENTUCKY,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,3,,,-,"KENTUCKY
(37.64591, -84.774043)",
NORTH CAROLINA,2016,10,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,5,,1,,6,,"NORTH CAROLINA
(35.47995, -79.180571)",
COLORADO,2016,10,,-,0,,1,,,-,,-,,-,5,,12,,,-,67,,,-,0,,1,,,-,1,,"COLORADO
(38.841772, -106.132562)",
MISSISSIPPI,2016,10,,-,0,,0,,,-,,-,,-,0,,2,,2,,8,,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
UNITED STATES,2016,11,,-,0,,3,,1,,2,,78,,172,,237,,1536,,2052,,,-,16,,69,,58,,99,,,
NEW ENGLAND,2016,11,,-,0,,1,,,-,,-,4,,17,,33,,138,,231,,,-,1,,13,,4,,6,,,
MID. ATLANTIC,2016,11,,-,0,,1,,,-,,-,15,,20,,38,,145,,241,,,-,0,,7,,1,,2,,,
NEW YORK CITY,2016,11,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,1,,1,,"NEW YORK CITY
",
E.N. CENTRAL,2016,11,,-,0,,1,,,-,,-,18,,36,,81,,444,,413,,,-,1,,6,,4,,5,,,
W.N. CENTRAL,2016,11,,-,0,,1,,,-,,-,2,,10,,18,,100,,146,,,-,0,,2,,1,,,-,,
S. ATLANTIC,2016,11,,-,0,,2,,,-,2,,8,,29,,53,,287,,360,,,-,7,,14,,19,,29,,,
DIST. OF COL.,2016,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,11,,-,0,,1,,,-,,-,,-,3,,11,,26,,56,,,-,1,,4,,9,,2,,,
W.S. CENTRAL,2016,11,,-,0,,2,,,-,,-,15,,31,,76,,234,,314,,,-,3,,8,,8,,7,,,
MOUNTAIN,2016,11,,-,0,,1,,1,,,-,16,,17,,34,,148,,248,,,-,1,,7,,1,,3,,,
PACIFIC,2016,11,,-,0,,1,,,-,,-,,-,3,,9,,14,,43,,,-,5,,30,,11,,45,,,
AMER. SAMOA,2016,11,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2016,11,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
OHIO,2016,11,,-,0,,1,,,-,,-,12,,8,,21,,109,,99,,,-,0,,2,,,-,1,,"OHIO
(40.056807, -82.405897)",
MONTANA,2016,11,,-,0,,0,,,-,,-,1,,0,,13,,14,,40,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
TENNESSEE,2016,11,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,2,,3,,1,,"TENNESSEE
(35.681402, -85.774444)",
RHODE ISLAND,2016,11,,-,0,,0,,,-,,-,,-,0,,5,,5,,17,,,-,0,,2,,1,,,-,"RHODE ISLAND
(41.707447, -71.522488)",
PENNSYLVANIA,2016,11,,-,0,,1,,,-,,-,15,,13,,28,,118,,159,,,-,0,,2,,,-,1,,"PENNSYLVANIA
(40.789676, -77.858055)",
UTAH,2016,11,,-,0,,0,,,-,,-,,-,3,,14,,51,,55,,,-,0,,3,,1,,,-,"UTAH
(39.359772, -111.584173)",
OKLAHOMA,2016,11,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
FLORIDA,2016,11,,-,0,,1,,,-,1,,7,,14,,39,,214,,203,,,-,4,,9,,14,,17,,"FLORIDA
(28.915325, -81.922409)",
VIRGINIA,2016,11,,-,0,,0,,,-,,-,1,,6,,13,,34,,85,,,-,0,,3,,,-,2,,"VIRGINIA
(37.542699, -78.45822)",
NORTH DAKOTA,2016,11,,-,0,,0,,,-,,-,,-,0,,5,,13,,10,,,-,0,,1,,1,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MINNESOTA,2016,11,,-,0,,0,,,-,,-,,-,6,,14,,44,,85,,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
COLORADO,2016,11,,-,0,,1,,,-,,-,10,,5,,12,,10,,74,,,-,0,,1,,,-,1,,"COLORADO
(38.841772, -106.132562)",
KANSAS,2016,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"KANSAS
(38.345528, -98.201847)",
MAINE,2016,11,,-,0,,0,,,-,,-,2,,4,,9,,36,,55,,,-,0,,3,,,-,,-,"MAINE
(45.252223, -68.986647)",
ILLINOIS,2016,11,,-,0,,1,,,-,,-,2,,7,,16,,88,,90,,,-,0,,3,,1,,2,,"ILLINOIS
(40.477092, -88.993221)",
WEST VIRGINIA,2016,11,,-,0,,0,,,-,,-,,-,3,,9,,4,,14,,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW MEXICO,2016,11,,-,0,,1,,,-,,-,1,,1,,5,,6,,10,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
VERMONT,2016,11,,-,0,,0,,,-,,-,1,,0,,6,,18,,11,,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
IOWA,2016,11,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
NEVADA,2016,11,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MISSISSIPPI,2016,11,,-,0,,0,,,-,,-,,-,0,,2,,2,,7,,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEW YORK,2016,11,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
MARYLAND,2016,11,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,6,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
NEW HAMPSHIRE,2016,11,,-,0,,1,,,-,,-,,-,1,,7,,,-,18,,,-,0,,2,,1,,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
WASHINGTON,2016,11,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,17,,,-,1,,"WASHINGTON
(47.517368, -120.467672)",
GUAM,2016,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
IDAHO,2016,11,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
INDIANA,2016,11,,-,0,,0,,,-,,-,,-,3,,7,,34,,46,,,-,0,,1,,2,,1,,"INDIANA
(39.76845, -86.156212)",
LOUISIANA,2016,11,,-,0,,1,,,-,,-,,-,1,,21,,11,,16,,,-,1,,5,,4,,6,,"LOUISIANA
(31.2931, -92.463284)",
ARIZONA,2016,11,,-,0,,1,,1,,,-,4,,4,,18,,66,,69,,,-,0,,6,,,-,2,,"ARIZONA
(34.869712, -111.760902)",
NORTH CAROLINA,2016,11,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,6,,1,,6,,"NORTH CAROLINA
(35.47995, -79.180571)",
SOUTH CAROLINA,2016,11,,-,0,,0,,,-,1,,,-,3,,13,,18,,33,,,-,0,,2,,2,,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
CALIFORNIA,2016,11,,-,0,,1,,,-,,-,,-,1,,3,,3,,11,,,-,3,,13,,5,,36,,"CALIFORNIA
(37.640735, -121.002435)",
CONNECTICUT,2016,11,,-,0,,0,,,-,,-,1,,3,,10,,34,,42,,,-,0,,7,,,-,3,,"CONNECTICUT
(41.544654, -72.651713)",
WISCONSIN,2016,11,,-,0,,1,,,-,,-,1,,6,,13,,59,,85,,,-,0,,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
SOUTH DAKOTA,2016,11,,-,0,,1,,,-,,-,,-,0,,3,,4,,8,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
ALASKA,2016,11,,-,0,,0,,,-,,-,,-,1,,6,,3,,14,,,-,0,,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
ARKANSAS,2016,11,,-,0,,0,,,-,,-,1,,3,,23,,35,,33,,,-,0,,1,,,-,1,,"ARKANSAS
(34.748745, -92.275105)",
DELAWARE,2016,11,,-,0,,0,,,-,,-,,-,0,,3,,3,,9,,,-,0,,2,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEBRASKA,2016,11,,-,0,,0,,,-,,-,,-,0,,3,,6,,2,,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
ALABAMA,2016,11,,-,0,,1,,,-,,-,,-,3,,11,,24,,49,,,-,0,,4,,3,,1,,"ALABAMA
(32.839182, -86.631125)",
KENTUCKY,2016,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,3,,,-,"KENTUCKY
(37.64591, -84.774043)",
MASSACHUSETTS,2016,11,,-,0,,0,,,-,,-,,-,6,,14,,45,,88,,,-,1,,9,,2,,3,,"MASSACHUSETTS
(42.268546, -72.085064)",
TEXAS,2016,11,,-,0,,1,,,-,,-,14,,24,,72,,188,,265,,,-,1,,8,,4,,,-,"TEXAS
(31.827233, -99.423022)",
MISSOURI,2016,11,,-,0,,0,,,-,,-,2,,2,,9,,33,,41,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
WYOMING,2016,11,,-,0,,0,,,-,,-,,-,0,,3,,1,,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
GEORGIA,2016,11,,-,0,,0,,,-,,-,,-,0,,7,,14,,16,,,-,0,,3,,2,,4,,"GEORGIA
(32.836038, -83.631709)",
MICHIGAN,2016,11,,-,0,,0,,,-,,-,3,,10,,36,,154,,93,,,-,0,,3,,1,,1,,"MICHIGAN
(44.66399, -84.711206)",
OREGON,2016,11,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,3,,3,,3,,"OREGON
(44.567912, -120.156945)",
NEW JERSEY,2016,11,,-,0,,0,,,-,,-,,-,5,,18,,27,,82,,,-,0,,4,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
HAWAII,2016,11,,-,0,,0,,,-,,-,,-,1,,5,,8,,18,,,-,0,,5,,3,,5,,"HAWAII
(21.30992, -157.858158)",
PUERTO RICO,2016,11,,-,0,,0,,,-,1,,,-,1,,6,,5,,24,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
UNITED STATES,2016,12,,-,0,,3,,2,,4,,92,,168,,237,,1709,,2241,,4,,16,,69,,70,,112,,,
NEW ENGLAND,2016,12,,-,0,,1,,,-,,-,6,,17,,33,,161,,247,,,-,1,,13,,7,,7,,,
MID. ATLANTIC,2016,12,,-,0,,1,,,-,,-,8,,20,,38,,160,,253,,,-,0,,7,,1,,2,,,
NEW YORK CITY,2016,12,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,1,,1,,"NEW YORK CITY
",
E.N. CENTRAL,2016,12,,-,0,,1,,,-,,-,24,,36,,80,,480,,460,,,-,1,,6,,4,,6,,,
W.N. CENTRAL,2016,12,,-,0,,1,,,-,1,,2,,10,,19,,112,,153,,,-,0,,2,,1,,,-,,
S. ATLANTIC,2016,12,,-,0,,2,,,-,2,,21,,28,,54,,322,,392,,4,,7,,14,,24,,31,,,
DIST. OF COL.,2016,12,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,12,,-,0,,1,,,-,,-,1,,3,,11,,27,,60,,,-,1,,4,,9,,2,,,
W.S. CENTRAL,2016,12,,-,0,,2,,1,,,-,13,,31,,76,,255,,355,,,-,3,,8,,8,,9,,,
MOUNTAIN,2016,12,,-,0,,1,,1,,1,,17,,17,,34,,178,,273,,,-,1,,7,,1,,4,,,
