Reporting Area,MMWR Year,MMWR Week,"Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Current week","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Current week, flag","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Cum 2015","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Cum 2015, flag","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Cum 2014","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Cum 2014, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Current week","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Current week, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Cum 2015","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Cum 2015, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Cum 2014","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Cum 2014, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Current week","Ehrlichiosis/Anaplasmosis§, Undetermined, Current week, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis§, Undetermined, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis§, Undetermined, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Cum 2015","Ehrlichiosis/Anaplasmosis§, Undetermined, Cum 2015, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Cum 2014","Ehrlichiosis/Anaplasmosis§, Undetermined, Cum 2014, flag",Location 1,Location 2
MARYLAND,2015,1,,-,0,,5,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MARYLAND
(39.290582950000044, -76.60925984299996)",
NEW YORK,2015,1,,-,1,,14,,,-,,-,,-,7,,36,,,-,1,,,-,0,,3,,,-,,-,"NEW YORK
(42.82700376100007, -75.54396609999998)",
MISSISSIPPI,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
WASHINGTON,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
MISSOURI,2015,1,,-,2,,29,,,-,,-,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,"MISSOURI
(38.63579147100006, -92.56629944499997)",
VIRGINIA,2015,1,,-,0,,9,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
NORTH DAKOTA,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
WEST VIRGINIA,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
PENNSYLVANIA,2015,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
NEW YORK CITY,2015,1,,-,0,,3,,,-,,-,,-,0,,5,,,-,,-,,-,0,,0,,,-,,-,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
OKLAHOMA,2015,1,,-,0,,16,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
WISCONSIN,2015,1,,-,0,,2,,,-,,-,,-,4,,47,,,-,2,,,-,0,,5,,,-,,-,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
MONTANA,2015,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"MONTANA
(47.06652795700006, -109.42441587999997)",
TEXAS,2015,1,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"TEXAS
(31.827240467000024, -99.42676785299994)",
MASSACHUSETTS,2015,1,,-,0,,3,,,-,,-,,-,5,,40,,,-,,-,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
IDAHO,2015,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.68263174800006, -114.36372693399994)",
HAWAII,2015,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"HAWAII
(21.30485232600006, -157.85774798099996)",
KANSAS,2015,1,,-,0,,5,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.347742794000055, -98.20077822999997)",
LOUISIANA,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
VERMONT,2015,1,,-,0,,1,,,-,,-,,-,1,,6,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
INDIANA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,5,,,-,1,,"INDIANA
(39.766913353000064, -86.14995646699998)",
NEBRASKA,2015,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
OREGON,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.56745049300008, -120.15502935599994)",
RHODE ISLAND,2015,1,,-,0,,4,,,-,,-,,-,0,,11,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
ILLINOIS,2015,1,,-,0,,5,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
MICHIGAN,2015,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
NEVADA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.49324221300003, -117.07183885899997)",
MINNESOTA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
COLORADO,2015,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"COLORADO
(38.84384342200008, -106.13360911499996)",
ALASKA,2015,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.84507799500005, -147.72205958799998)",
GUAM,2015,1,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,"GUAM
(13.480998894000038, 144.73149801400007)",
ARKANSAS,2015,1,,-,4,,20,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
ARIZONA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"ARIZONA
(34.86597351900008, -111.76380664699997)",
CALIFORNIA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
SOUTH DAKOTA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
OHIO,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"OHIO
(40.060212455000055, -82.40425667899996)",
NEW JERSEY,2015,1,,-,0,,7,,,-,,-,,-,1,,6,,,-,,-,,-,0,,2,,,-,,-,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
WYOMING,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
GEORGIA,2015,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GEORGIA
(32.839683200000024, -83.62757885599996)",
NEW HAMPSHIRE,2015,1,,-,0,,1,,,-,,-,,-,1,,11,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
FLORIDA,2015,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"FLORIDA
(28.932042722000062, -81.92895768899996)",
CONNECTICUT,2015,1,,-,0,,0,,,-,,-,,-,0,,11,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
ALABAMA,2015,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"ALABAMA
(32.84057234800002, -86.63185738799996)",
SOUTH CAROLINA,2015,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
PUERTO RICO,2015,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
UTAH,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.36070123200005, -111.58712831499997)",
NEW MEXICO,2015,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
IOWA,2015,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.469401411000035, -93.81648725599996)",
KENTUCKY,2015,1,,-,0,,6,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
UNITED STATES,2015,2,1,,18,,102,,1,,2,,3,,28,,146,,4,,6,,3,,1,,13,,3,,1,,,
NEW ENGLAND,2015,2,,-,0,,6,,,-,,-,1,,11,,72,,1,,1,,,-,0,,2,,,-,,-,,
MID. ATLANTIC,2015,2,,-,2,,20,,,-,,-,,-,8,,42,,,-,2,,,-,0,,3,,,-,,-,,
E.N. CENTRAL,2015,2,,-,1,,5,,,-,,-,,-,5,,48,,,-,3,,3,,1,,7,,3,,1,,,
W.N. CENTRAL,2015,2,,-,4,,34,,,-,1,,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,,
S. ATLANTIC,2015,2,1,,3,,25,,1,,1,,2,,0,,6,,3,,,-,,-,0,,2,,,-,,-,,
DIST. OF COL.,2015,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"DIST. OF COL.
",
E.S. CENTRAL,2015,2,,-,1,,13,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,
W.S. CENTRAL,2015,2,,-,5,,29,,,-,,-,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,
MOUNTAIN,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,
PACIFIC,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,
AMER. SAMOA,2015,2,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
IDAHO,2015,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.68263174800006, -114.36372693399994)",
KANSAS,2015,2,,-,0,,5,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.347742794000055, -98.20077822999997)",
KENTUCKY,2015,2,,-,0,,6,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
VIRGINIA,2015,2,,-,0,,10,,,-,,-,,-,0,,2,,1,,,-,,-,0,,2,,,-,,-,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
MISSOURI,2015,2,,-,2,,29,,,-,1,,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,"MISSOURI
(38.63579147100006, -92.56629944499997)",
TENNESSEE,2015,2,,-,1,,8,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
NEBRASKA,2015,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
PUERTO RICO,2015,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
NORTH CAROLINA,2015,2,1,,0,,23,,1,,,-,1,,0,,6,,1,,,-,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
MISSISSIPPI,2015,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
VERMONT,2015,2,,-,0,,1,,,-,,-,,-,1,,6,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
MINNESOTA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
HAWAII,2015,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"HAWAII
(21.30485232600006, -157.85774798099996)",
SOUTH DAKOTA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
WEST VIRGINIA,2015,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
WISCONSIN,2015,2,,-,0,,2,,,-,,-,,-,4,,47,,,-,3,,,-,0,,5,,,-,,-,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
NEVADA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.49324221300003, -117.07183885899997)",
ARKANSAS,2015,2,,-,4,,20,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
CONNECTICUT,2015,2,,-,0,,0,,,-,,-,1,,0,,11,,1,,1,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
MICHIGAN,2015,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
OREGON,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.56745049300008, -120.15502935599994)",
NEW MEXICO,2015,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
OKLAHOMA,2015,2,,-,0,,16,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
ALASKA,2015,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.84507799500005, -147.72205958799998)",
OHIO,2015,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"OHIO
(40.060212455000055, -82.40425667899996)",
MONTANA,2015,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"MONTANA
(47.06652795700006, -109.42441587999997)",
WASHINGTON,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
ARIZONA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"ARIZONA
(34.86597351900008, -111.76380664699997)",
NEW JERSEY,2015,2,,-,0,,7,,,-,,-,,-,1,,6,,,-,,-,,-,0,,2,,,-,,-,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
RHODE ISLAND,2015,2,,-,0,,4,,,-,,-,,-,0,,11,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
LOUISIANA,2015,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
NEW HAMPSHIRE,2015,2,,-,0,,1,,,-,,-,,-,1,,11,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
ALABAMA,2015,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"ALABAMA
(32.84057234800002, -86.63185738799996)",
COLORADO,2015,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"COLORADO
(38.84384342200008, -106.13360911499996)",
TEXAS,2015,2,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"TEXAS
(31.827240467000024, -99.42676785299994)",
DELAWARE,2015,2,,-,0,,5,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.00883389200004, -75.57773597599999)",
INDIANA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,0,,5,,3,,1,,"INDIANA
(39.766913353000064, -86.14995646699998)",
NEW YORK CITY,2015,2,,-,0,,3,,,-,,-,,-,0,,5,,,-,,-,,-,0,,0,,,-,,-,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
IOWA,2015,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.469401411000035, -93.81648725599996)",
CALIFORNIA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
ILLINOIS,2015,2,,-,0,,5,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
NEW YORK,2015,2,,-,1,,14,,,-,,-,,-,7,,36,,,-,2,,,-,0,,3,,,-,,-,"NEW YORK
(42.82700376100007, -75.54396609999998)",
SOUTH CAROLINA,2015,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
MASSACHUSETTS,2015,2,,-,0,,3,,,-,,-,,-,5,,40,,,-,,-,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
UTAH,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.36070123200005, -111.58712831499997)",
MAINE,2015,2,,-,0,,1,,,-,,-,,-,3,,13,,,-,,-,,-,0,,2,,,-,,-,"MAINE
(45.25422910300006, -68.98502586699993)",
FLORIDA,2015,2,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"FLORIDA
(28.932042722000062, -81.92895768899996)",
WYOMING,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
GEORGIA,2015,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GEORGIA
(32.839683200000024, -83.62757885599996)",
MARYLAND,2015,2,,-,0,,5,,,-,1,,1,,0,,2,,1,,,-,,-,0,,0,,,-,,-,"MARYLAND
(39.290582950000044, -76.60925984299996)",
GUAM,2015,2,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,"GUAM
(13.480998894000038, 144.73149801400007)",
PENNSYLVANIA,2015,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
NORTH DAKOTA,2015,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
UNITED STATES,2015,3,3,,18,,102,,4,,3,,2,,28,,147,,6,,8,,4,,2,,13,,7,,1,,,
NEW ENGLAND,2015,3,,-,0,,6,,,-,,-,1,,11,,73,,2,,2,,,-,0,,2,,,-,,-,,
MID. ATLANTIC,2015,3,,-,2,,20,,,-,,-,,-,9,,42,,,-,2,,,-,0,,3,,,-,,-,,
E.N. CENTRAL,2015,3,,-,1,,5,,,-,,-,,-,5,,48,,,-,3,,4,,1,,7,,7,,1,,,
W.N. CENTRAL,2015,3,,-,4,,34,,,-,2,,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,,
S. ATLANTIC,2015,3,3,,3,,26,,4,,1,,1,,1,,6,,4,,1,,,-,0,,2,,,-,,-,,
DIST. OF COL.,2015,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"DIST. OF COL.
",
