Reporting Area,MMWRYear,MMWRWeek,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2014","Cryptosporidiosis, Cum 2014, flag","Cryptosporidiosis, Cum 2013","Cryptosporidiosis, Cum 2013, flag","Dengue Fever†, Current week","Dengue Fever†, Current week, flag","Dengue Fever†, Previous 52 weeks Med","Dengue Fever†, Previous 52 weeks Med, flag","Dengue Fever†, Previous 52 weeks Max","Dengue Fever†, Previous 52 weeks Max, flag","Dengue Fever†, Cum 2014","Dengue Fever†, Cum 2014, flag","Dengue Fever†, Cum 2013","Dengue Fever†, Cum 2013, flag","Dengue Hemorrhagic Fever§, Current week","Dengue Hemorrhagic Fever§, Current week, flag","Dengue Hemorrhagic Fever§, Previous 52 weeks Med","Dengue Hemorrhagic Fever§, Previous 52 weeks Med, flag","Dengue Hemorrhagic Fever§, Previous 52 weeks Max","Dengue Hemorrhagic Fever§, Previous 52 weeks Max, flag","Dengue Hemorrhagic Fever§, Cum 2014","Dengue Hemorrhagic Fever§, Cum 2014, flag","Dengue Hemorrhagic Fever§, Cum 2013","Dengue Hemorrhagic Fever§, Cum 2013, flag",Location 1,Location 2
KANSAS,2014,1,,-,2,,6,,,-,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"KANSAS
(38.34774033400049, -98.20077655499966)",
PUERTO RICO,2014,1,,N,0,,0,,,N,,N,,-,142,,424,,,-,217,,,-,1,,5,,,-,1,,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
IDAHO,2014,1,1,,2,,16,,1,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
FLORIDA,2014,1,8,,7,,23,,8,,5,,,-,0,,9,,,-,4,,,-,0,,0,,,-,,-,"FLORIDA
(28.932042899000464, -81.92895558499964)",
PENNSYLVANIA,2014,1,2,,6,,30,,2,,6,,,-,0,,3,,,-,3,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
DELAWARE,2014,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.00883351400046, -75.57773943699965)",
NEVADA,2014,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.49324126500045, -117.07183978499972)",
NORTH DAKOTA,2014,1,,-,1,,7,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
MISSOURI,2014,1,,-,4,,11,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSOURI
(38.63579372300046, -92.56629737199967)",
INDIANA,2014,1,,-,2,,7,,,-,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"INDIANA
(39.76691364600049, -86.14995579899966)",
VERMONT,2014,1,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.62538292400046, -72.51763944499965)",
NORTH CAROLINA,2014,1,,-,0,,25,,,-,,-,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
CONNECTICUT,2014,1,,-,0,,5,,,-,,-,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
NEW YORK CITY,2014,1,,-,1,,6,,,-,1,,,-,1,,9,,,-,3,,,-,0,,1,,,-,,-,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
WISCONSIN,2014,1,3,,7,,24,,3,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
VIRGIN ISL.,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
UTAH,2014,1,,-,1,,7,,,-,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.36070374600047, -111.5871285339997)",
RHODE ISLAND,2014,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
MONTANA,2014,1,1,,1,,19,,1,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.066526051000494, -109.42441687999968)",
NEBRASKA,2014,1,2,,2,,11,,2,,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
ALABAMA,2014,1,3,,2,,8,,3,,6,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.84057327200048, -86.63185803899967)",
IOWA,2014,1,,-,5,,155,,,-,1,,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"IOWA
(42.469404401000475, -93.81648936699969)",
ALASKA,2014,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
DIST. OF COL.,2014,1,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
HAWAII,2014,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30485166200043, -157.85774691599974)",
GUAM,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(34.91997872200045, -120.52155783099971)",
CALIFORNIA,2014,1,1,,6,,15,,1,,3,,,-,1,,7,,,-,2,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
WYOMING,2014,1,,-,0,,25,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
OHIO,2014,1,1,,7,,17,,1,,6,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"OHIO
(40.06021029700048, -82.40425685299965)",
ARIZONA,2014,1,,-,1,,6,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ARIZONA
(34.865973091000455, -111.76380949799972)",
TEXAS,2014,1,,-,4,,21,,,-,3,,,-,0,,10,,,-,,-,,-,0,,0,,,-,,-,"TEXAS
(31.827243635000457, -99.4267664729997)",
OKLAHOMA,2014,1,,-,1,,4,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
MAINE,2014,1,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.254228663000504, -68.98502952999962)",
MICHIGAN,2014,1,,-,5,,15,,,-,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
SOUTH CAROLINA,2014,1,1,,1,,7,,1,,2,,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
SOUTH DAKOTA,2014,1,,-,3,,17,,,-,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
NEW YORK,2014,1,1,,4,,16,,1,,,-,,-,0,,5,,,-,2,,,-,0,,1,,,-,,-,"NEW YORK
(42.82700023900048, -75.54396639699968)",
MASSACHUSETTS,2014,1,,-,2,,7,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
KENTUCKY,2014,1,,-,1,,5,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
WEST VIRGINIA,2014,1,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
LOUISIANA,2014,1,,-,4,,31,,,-,7,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
MISSISSIPPI,2014,1,,-,1,,5,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
MINNESOTA,2014,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
COLORADO,2014,1,,-,0,,4,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.84384047000049, -106.13360888799969)",
VIRGINIA,2014,1,2,,0,,6,,2,,,-,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
UNITED STATES,2014,2,37,,102,,433,,83,,168,,,-,9,,41,,,-,46,,,-,0,,2,,,-,,-,,
NEW ENGLAND,2014,2,5,,4,,14,,8,,4,,,-,0,,3,,,-,4,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2014,2,3,,12,,42,,8,,19,,,-,2,,11,,,-,12,,,-,0,,1,,,-,,-,,
E.N. CENTRAL,2014,2,6,,25,,63,,16,,43,,,-,1,,4,,,-,3,,,-,0,,0,,,-,,-,,
W.N. CENTRAL,2014,2,2,,16,,171,,5,,18,,,-,1,,3,,,-,2,,,-,0,,1,,,-,,-,,
S. ATLANTIC,2014,2,15,,18,,53,,31,,29,,,-,1,,13,,,-,19,,,-,0,,1,,,-,,-,,
PUERTO RICO,2014,3,,N,0,,0,,,N,,N,,-,120,,424,,,-,770,,,-,0,,5,,,-,2,,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
GUAM,2014,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(34.91997872200045, -120.52155783099971)",
VIRGIN ISL.,2014,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
PUERTO RICO,2014,5,,N,0,,0,,,N,,N,,-,105,,424,,,-,1258,,,-,0,,5,,,-,2,,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
GUAM,2014,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(34.91997872200045, -120.52155783099971)",
VIRGIN ISL.,2014,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
C.N.M.I.,2014,5,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
GUAM,2014,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
PUERTO RICO,2014,11,,N,0,,0,,,N,,N,,-,77,,424,,87,,2141,,,-,0,,5,,1,,8,,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
VIRGIN ISL.,2014,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
E.S. CENTRAL,2014,2,,-,6,,17,,4,,9,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,2,,-,11,,39,,2,,15,,,-,0,,10,,,-,1,,,-,0,,0,,,-,,-,,
MOUNTAIN,2014,2,2,,8,,51,,4,,14,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
PACIFIC,2014,2,4,,10,,75,,5,,17,,,-,2,,8,,,-,5,,,-,0,,0,,,-,,-,,
ARIZONA,2014,2,,-,1,,6,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ARIZONA
(34.865973091000455, -111.76380949799972)",
NEVADA,2014,2,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.49324126500045, -117.07183978499972)",
NORTH DAKOTA,2014,2,,-,1,,7,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
VERMONT,2014,2,2,,0,,2,,2,,1,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"VERMONT
(43.62538292400046, -72.51763944499965)",
VIRGINIA,2014,2,3,,0,,6,,5,,,-,,-,0,,4,,,-,4,,,-,0,,1,,,-,,-,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
GUAM,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(34.91997872200045, -120.52155783099971)",
MARYLAND,2014,2,2,,1,,4,,2,,1,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MARYLAND
(39.2905806980005, -76.60925970899967)",
WYOMING,2014,2,,-,0,,25,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
WISCONSIN,2014,2,1,,7,,24,,5,,11,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
DELAWARE,2014,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.00883351400046, -75.57773943699965)",
ARKANSAS,2014,2,,-,1,,12,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
UTAH,2014,2,1,,1,,7,,1,,6,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.36070374600047, -111.5871285339997)",
IOWA,2014,2,,-,5,,155,,,-,5,,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"IOWA
(42.469404401000475, -93.81648936699969)",
VIRGIN ISL.,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
FLORIDA,2014,2,8,,8,,23,,16,,14,,,-,0,,9,,,-,13,,,-,0,,0,,,-,,-,"FLORIDA
(28.932042899000464, -81.92895558499964)",
OKLAHOMA,2014,2,,-,1,,4,,,-,1,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
MISSOURI,2014,2,1,,4,,11,,1,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSOURI
(38.63579372300046, -92.56629737199967)",
C.N.M.I.,2014,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
INDIANA,2014,2,,-,2,,7,,,-,7,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"INDIANA
(39.76691364600049, -86.14995579899966)",
NEW MEXICO,2014,2,,-,1,,3,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
MASSACHUSETTS,2014,2,3,,2,,7,,5,,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
NEW YORK,2014,2,,-,4,,16,,1,,1,,,-,0,,5,,,-,3,,,-,0,,1,,,-,,-,"NEW YORK
(42.82700023900048, -75.54396639699968)",
PENNSYLVANIA,2014,2,3,,6,,30,,6,,12,,,-,0,,3,,,-,5,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
TENNESSEE,2014,2,,-,1,,6,,1,,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
SOUTH CAROLINA,2014,2,,-,1,,7,,1,,3,,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
COLORADO,2014,2,,-,0,,4,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.84384047000049, -106.13360888799969)",
ALABAMA,2014,2,,-,2,,8,,3,,7,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.84057327200048, -86.63185803899967)",
NORTH CAROLINA,2014,2,,-,0,,25,,,-,,-,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
MICHIGAN,2014,2,,-,5,,15,,3,,7,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
ILLINOIS,2014,2,,-,4,,16,,,-,7,,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
GEORGIA,2014,2,2,,4,,16,,7,,8,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"GEORGIA
(32.83968004200045, -83.62757601199968)",
CALIFORNIA,2014,2,4,,6,,15,,5,,11,,,-,1,,8,,,-,3,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
OREGON,2014,2,,-,2,,58,,,-,6,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567446178000466, -120.15502977999972)",
TEXAS,2014,2,,-,5,,21,,,-,5,,,-,0,,10,,,-,1,,,-,0,,0,,,-,,-,"TEXAS
(31.827243635000457, -99.4267664729997)",
OHIO,2014,2,5,,7,,17,,8,,11,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"OHIO
(40.06021029700048, -82.40425685299965)",
MISSISSIPPI,2014,2,,-,1,,5,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
PUERTO RICO,2014,2,,N,0,,0,,,N,,N,,-,135,,424,,,-,503,,,-,0,,5,,,-,2,,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
DIST. OF COL.,2014,2,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
KANSAS,2014,2,,-,2,,6,,1,,1,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"KANSAS
(38.34774033400049, -98.20077655499966)",
NEW JERSEY,2014,2,,-,1,,5,,,-,4,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
MINNESOTA,2014,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
MAINE,2014,2,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.254228663000504, -68.98502952999962)",
KENTUCKY,2014,2,,-,1,,5,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
WEST VIRGINIA,2014,2,,-,0,,3,,,-,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
CONNECTICUT,2014,2,,-,0,,5,,1,,2,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
NEBRASKA,2014,2,1,,2,,11,,3,,5,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
RHODE ISLAND,2014,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
ALASKA,2014,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
NEW YORK CITY,2014,2,,-,1,,6,,1,,2,,,-,1,,9,,,-,4,,,-,0,,1,,,-,,-,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
IDAHO,2014,2,1,,2,,16,,2,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
SOUTH DAKOTA,2014,2,,-,3,,17,,,-,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
LOUISIANA,2014,2,,-,4,,31,,2,,9,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
MONTANA,2014,2,,-,1,,19,,1,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.066526051000494, -109.42441687999968)",
AMER. SAMOA,2014,2,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
HAWAII,2014,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"HAWAII
(21.30485166200043, -157.85774691599974)",
NEW HAMPSHIRE,2014,2,,-,1,,2,,,-,,-,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
WASHINGTON,2014,2,,-,1,,12,,,-,,-,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
UNITED STATES,2014,3,31,,101,,433,,128,,260,,,-,9,,41,,,-,52,,,-,0,,2,,,-,,-,,
NEW ENGLAND,2014,3,,-,4,,14,,8,,8,,,-,0,,3,,,-,4,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2014,3,2,,12,,42,,12,,29,,,-,2,,11,,,-,15,,,-,0,,1,,,-,,-,,
ALASKA,2014,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
E.N. CENTRAL,2014,3,6,,25,,63,,24,,64,,,-,1,,4,,,-,3,,,-,0,,0,,,-,,-,,
W.N. CENTRAL,2014,3,2,,16,,171,,12,,33,,,-,1,,3,,,-,3,,,-,0,,1,,,-,,-,,
S. ATLANTIC,2014,3,15,,17,,53,,47,,45,,,-,1,,9,,,-,21,,,-,0,,1,,,-,,-,,
E.S. CENTRAL,2014,3,1,,6,,17,,7,,12,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,
