Reporting Area,MMWR Year,MMWR Week,"Shiga toxin-producing E. coli (STEC)§, Current week","Shiga toxin-producing E. coli (STEC)§, Current week, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2016","Shiga toxin-producing E. coli (STEC)§, Cum 2016, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2015","Shiga toxin-producing E. coli (STEC)§, Cum 2015, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Med","Shigellosis, Previous 52 weeks Med, flag","Shigellosis, Previous 52 weeks Max","Shigellosis, Previous 52 weeks Max, flag","Shigellosis, Cum 2016","Shigellosis, Cum 2016, flag","Shigellosis, Cum 2015","Shigellosis, Cum 2015, flag",Location 1,Location 2
UNITED STATES,2016,1,16,,111,,194,,16,,56,,166,,408,,610,,166,,332,,,
NEW ENGLAND,2016,1,,-,3,,17,,,-,3,,1,,5,,17,,1,,2,,,
MID. ATLANTIC,2016,1,2,,12,,23,,2,,4,,12,,28,,82,,12,,49,,,
NEW YORK CITY,2016,1,1,,2,,8,,1,,1,,7,,11,,51,,7,,30,,"NEW YORK CITY
",
E.N. CENTRAL,2016,1,3,,13,,31,,3,,5,,34,,44,,85,,34,,56,,,
W.N. CENTRAL,2016,1,2,,9,,22,,2,,4,,8,,25,,61,,8,,32,,,
S. ATLANTIC,2016,1,4,,10,,21,,4,,6,,53,,76,,153,,53,,65,,,
DIST. OF COL.,2016,1,,-,0,,1,,,-,,-,,-,0,,4,,,-,2,,"DIST. OF COL.
",
E.S. CENTRAL,2016,1,2,,5,,14,,2,,1,,19,,25,,50,,19,,48,,,
W.S. CENTRAL,2016,1,1,,15,,38,,1,,6,,19,,120,,268,,19,,21,,,
MOUNTAIN,2016,1,1,,11,,39,,1,,2,,16,,14,,33,,16,,11,,,
PACIFIC,2016,1,1,,23,,72,,1,,25,,4,,48,,169,,4,,48,,,
AMER. SAMOA,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
TEXAS,2016,1,,-,9,,33,,,-,5,,17,,97,,205,,17,,15,,"TEXAS
(31.827233, -99.423022)",
NEW HAMPSHIRE,2016,1,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MASSACHUSETTS,2016,1,,-,1,,6,,,-,1,,1,,3,,12,,1,,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
ALABAMA,2016,1,,-,1,,5,,,-,,-,5,,11,,31,,5,,19,,"ALABAMA
(32.839182, -86.631125)",
WEST VIRGINIA,2016,1,,-,0,,2,,,-,,-,,-,0,,4,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
KENTUCKY,2016,1,,-,1,,6,,,-,,-,6,,6,,29,,6,,16,,"KENTUCKY
(37.64591, -84.774043)",
MINNESOTA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
IDAHO,2016,1,,-,3,,9,,,-,,-,,-,0,,5,,,-,1,,"IDAHO
(43.680635, -114.364237)",
WASHINGTON,2016,1,,-,0,,50,,,-,,-,,-,2,,11,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
NEW JERSEY,2016,1,,-,1,,3,,,-,3,,,-,6,,15,,,-,7,,"NEW JERSEY
(40.104655, -74.386686)",
FLORIDA,2016,1,2,,2,,8,,2,,3,,22,,32,,86,,22,,9,,"FLORIDA
(28.915325, -81.922409)",
ARIZONA,2016,1,1,,2,,11,,1,,,-,16,,8,,30,,16,,7,,"ARIZONA
(34.869712, -111.760902)",
RHODE ISLAND,2016,1,,-,0,,3,,,-,,-,,-,0,,6,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
WISCONSIN,2016,1,,-,1,,7,,,-,,-,4,,3,,18,,4,,12,,"WISCONSIN
(44.395526, -89.834513)",
MICHIGAN,2016,1,,-,2,,8,,,-,1,,3,,9,,23,,3,,7,,"MICHIGAN
(44.66399, -84.711206)",
KANSAS,2016,1,,-,2,,5,,,-,,-,1,,2,,12,,1,,,-,"KANSAS
(38.345528, -98.201847)",
ILLINOIS,2016,1,,-,3,,8,,,-,2,,,-,15,,30,,,-,17,,"ILLINOIS
(40.477092, -88.993221)",
NORTH DAKOTA,2016,1,,-,0,,6,,,-,,-,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
PENNSYLVANIA,2016,1,,-,4,,11,,,-,,-,3,,7,,23,,3,,1,,"PENNSYLVANIA
(40.789676, -77.858055)",
OHIO,2016,1,3,,5,,19,,3,,2,,27,,11,,40,,27,,11,,"OHIO
(40.056807, -82.405897)",
HAWAII,2016,1,,-,0,,5,,,-,4,,,-,1,,6,,,-,,-,"HAWAII
(21.30992, -157.858158)",
WYOMING,2016,1,,-,0,,1,,,-,1,,,-,0,,3,,,-,,-,"WYOMING
(43.23558, -108.110518)",
SOUTH DAKOTA,2016,1,,-,1,,5,,,-,1,,,-,3,,20,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
GEORGIA,2016,1,,-,2,,7,,,-,1,,15,,25,,46,,15,,30,,"GEORGIA
(32.836038, -83.631709)",
ALASKA,2016,1,1,,0,,4,,1,,4,,,-,0,,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
TENNESSEE,2016,1,2,,3,,11,,2,,1,,7,,4,,15,,7,,13,,"TENNESSEE
(35.681402, -85.774444)",
OKLAHOMA,2016,1,,-,1,,32,,,-,,-,,-,13,,165,,,-,1,,"OKLAHOMA
(35.468494, -97.521264)",
NEW MEXICO,2016,1,,-,0,,3,,,-,,-,,-,1,,5,,,-,1,,"NEW MEXICO
(34.520396, -106.244402)",
DELAWARE,2016,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,"DELAWARE
(39.008676, -75.574561)",
PUERTO RICO,2016,1,,-,0,,1,,,-,,-,,-,0,,7,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEBRASKA,2016,1,2,,2,,7,,2,,,-,,-,1,,8,,,-,5,,"NEBRASKA
(41.640503, -99.367122)",
LOUISIANA,2016,1,,-,0,,12,,,-,1,,,-,4,,12,,,-,4,,"LOUISIANA
(31.2931, -92.463284)",
NEW YORK,2016,1,1,,4,,14,,1,,,-,2,,5,,18,,2,,11,,"NEW YORK
(42.826892, -75.544286)",
MAINE,2016,1,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"MAINE
(45.252223, -68.986647)",
NORTH CAROLINA,2016,1,,-,1,,6,,,-,1,,,-,5,,28,,,-,6,,"NORTH CAROLINA
(35.47995, -79.180571)",
ARKANSAS,2016,1,1,,1,,5,,1,,,-,2,,2,,7,,2,,1,,"ARKANSAS
(34.748745, -92.275105)",
VIRGINIA,2016,1,,-,1,,6,,,-,1,,3,,4,,18,,3,,2,,"VIRGINIA
(37.542699, -78.45822)",
CONNECTICUT,2016,1,,-,1,,8,,,-,2,,,-,1,,4,,,-,2,,"CONNECTICUT
(41.544654, -72.651713)",
IOWA,2016,1,,-,2,,10,,,-,,-,7,,9,,41,,7,,2,,"IOWA
(42.46942, -93.815856)",
MONTANA,2016,1,,-,1,,6,,,-,,-,,-,0,,2,,,-,2,,"MONTANA
(47.062617, -109.430168)",
COLORADO,2016,1,,-,2,,16,,,-,,-,,-,0,,4,,,-,,-,"COLORADO
(38.841772, -106.132562)",
NEVADA,2016,1,,-,1,,6,,,-,,-,,-,0,,6,,,-,,-,"NEVADA
(39.491833, -117.070159)",
VERMONT,2016,1,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
SOUTH CAROLINA,2016,1,1,,0,,7,,1,,,-,10,,3,,44,,10,,11,,"SOUTH CAROLINA
(34.009286, -81.037094)",
UTAH,2016,1,,-,1,,8,,,-,1,,,-,0,,8,,,-,,-,"UTAH
(39.359772, -111.584173)",
MISSISSIPPI,2016,1,,-,0,,3,,,-,,-,1,,1,,7,,1,,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MISSOURI,2016,1,,-,0,,6,,,-,3,,,-,0,,35,,,-,24,,"MISSOURI
(38.636168, -92.566292)",
INDIANA,2016,1,,-,1,,8,,,-,,-,,-,5,,13,,,-,9,,"INDIANA
(39.76845, -86.156212)",
OREGON,2016,1,,-,4,,11,,,-,3,,,-,2,,9,,,-,,-,"OREGON
(44.567912, -120.156945)",
MARYLAND,2016,1,1,,1,,7,,1,,,-,3,,4,,13,,3,,4,,"MARYLAND
(39.290443, -76.612333)",
GUAM,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
CALIFORNIA,2016,1,,-,14,,31,,,-,14,,4,,42,,158,,4,,48,,"CALIFORNIA
(37.640735, -121.002435)",
UNITED STATES,2016,2,20,,113,,194,,44,,116,,221,,414,,610,,437,,622,,,
NEW ENGLAND,2016,2,,-,3,,17,,,-,3,,,-,5,,17,,2,,8,,,
MID. ATLANTIC,2016,2,4,,12,,23,,7,,5,,10,,28,,82,,23,,109,,,
NEW YORK CITY,2016,2,4,,2,,8,,5,,1,,6,,10,,51,,13,,59,,"NEW YORK CITY
",
E.N. CENTRAL,2016,2,2,,13,,31,,6,,11,,65,,43,,87,,105,,97,,,
W.N. CENTRAL,2016,2,2,,9,,22,,5,,9,,1,,24,,61,,15,,55,,,
S. ATLANTIC,2016,2,5,,10,,21,,9,,20,,43,,76,,153,,104,,109,,,
DIST. OF COL.,2016,2,,-,0,,1,,,-,,-,,-,0,,4,,,-,2,,"DIST. OF COL.
",
E.S. CENTRAL,2016,2,3,,5,,14,,8,,2,,3,,25,,50,,25,,82,,,
W.S. CENTRAL,2016,2,1,,15,,38,,3,,10,,68,,120,,282,,87,,60,,,
MOUNTAIN,2016,2,3,,11,,39,,5,,10,,27,,15,,33,,55,,29,,,
PACIFIC,2016,2,,-,23,,73,,1,,46,,4,,48,,172,,21,,73,,,
AMER. SAMOA,2016,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
NEW HAMPSHIRE,2016,2,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MARYLAND,2016,2,1,,1,,7,,1,,1,,4,,4,,13,,7,,12,,"MARYLAND
(39.290443, -76.612333)",
COLORADO,2016,2,,-,2,,16,,,-,2,,,-,0,,4,,,-,2,,"COLORADO
(38.841772, -106.132562)",
TENNESSEE,2016,2,3,,2,,11,,6,,2,,3,,4,,15,,10,,17,,"TENNESSEE
(35.681402, -85.774444)",
NEW JERSEY,2016,2,,-,1,,3,,,-,4,,,-,6,,15,,,-,17,,"NEW JERSEY
(40.104655, -74.386686)",
NEBRASKA,2016,2,2,,2,,7,,5,,,-,1,,1,,8,,1,,6,,"NEBRASKA
(41.640503, -99.367122)",
GEORGIA,2016,2,,-,2,,7,,1,,5,,10,,25,,46,,32,,40,,"GEORGIA
(32.836038, -83.631709)",
MASSACHUSETTS,2016,2,,-,1,,6,,,-,1,,,-,3,,12,,1,,2,,"MASSACHUSETTS
(42.268546, -72.085064)",
NORTH DAKOTA,2016,2,,-,1,,6,,,-,,-,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
IDAHO,2016,2,2,,3,,9,,2,,1,,1,,0,,5,,4,,1,,"IDAHO
(43.680635, -114.364237)",
PENNSYLVANIA,2016,2,,-,4,,11,,1,,,-,4,,7,,23,,8,,9,,"PENNSYLVANIA
(40.789676, -77.858055)",
MICHIGAN,2016,2,,-,2,,8,,1,,1,,4,,9,,23,,12,,11,,"MICHIGAN
(44.66399, -84.711206)",
OKLAHOMA,2016,2,,-,1,,32,,,-,,-,15,,13,,165,,15,,7,,"OKLAHOMA
(35.468494, -97.521264)",
ILLINOIS,2016,2,,-,3,,8,,,-,5,,1,,15,,30,,6,,25,,"ILLINOIS
(40.477092, -88.993221)",
CALIFORNIA,2016,2,,-,14,,31,,,-,29,,2,,41,,161,,18,,72,,"CALIFORNIA
(37.640735, -121.002435)",
INDIANA,2016,2,,-,1,,8,,,-,1,,,-,5,,13,,,-,22,,"INDIANA
(39.76845, -86.156212)",
NEW YORK,2016,2,,-,4,,14,,1,,,-,,-,5,,18,,2,,24,,"NEW YORK
(42.826892, -75.544286)",
WISCONSIN,2016,2,,-,1,,7,,,-,,-,3,,3,,19,,9,,17,,"WISCONSIN
(44.395526, -89.834513)",
ALABAMA,2016,2,,-,1,,5,,,-,,-,,-,10,,31,,5,,33,,"ALABAMA
(32.839182, -86.631125)",
MINNESOTA,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
MISSOURI,2016,2,,-,0,,6,,,-,6,,,-,0,,35,,,-,42,,"MISSOURI
(38.636168, -92.566292)",
VERMONT,2016,2,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
OHIO,2016,2,2,,5,,19,,5,,4,,57,,11,,40,,78,,22,,"OHIO
(40.056807, -82.405897)",
SOUTH DAKOTA,2016,2,,-,1,,5,,,-,2,,,-,3,,20,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
ARIZONA,2016,2,1,,2,,11,,2,,1,,26,,9,,30,,50,,18,,"ARIZONA
(34.869712, -111.760902)",
NEW MEXICO,2016,2,,-,0,,3,,,-,1,,,-,1,,5,,1,,1,,"NEW MEXICO
(34.520396, -106.244402)",
NEVADA,2016,2,,-,1,,6,,,-,1,,,-,1,,6,,,-,1,,"NEVADA
(39.491833, -117.070159)",
MONTANA,2016,2,,-,1,,6,,1,,,-,,-,0,,2,,,-,2,,"MONTANA
(47.062617, -109.430168)",
MAINE,2016,2,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"MAINE
(45.252223, -68.986647)",
TEXAS,2016,2,1,,10,,33,,2,,7,,49,,97,,267,,66,,45,,"TEXAS
(31.827233, -99.423022)",
FLORIDA,2016,2,4,,2,,8,,6,,5,,19,,32,,86,,41,,24,,"FLORIDA
(28.915325, -81.922409)",
WASHINGTON,2016,2,,-,0,,50,,,-,,-,2,,2,,20,,2,,,-,"WASHINGTON
(47.517368, -120.467672)",
KENTUCKY,2016,2,,-,1,,6,,2,,,-,,-,6,,29,,8,,30,,"KENTUCKY
(37.64591, -84.774043)",
WYOMING,2016,2,,-,0,,1,,,-,2,,,-,0,,3,,,-,,-,"WYOMING
(43.23558, -108.110518)",
DELAWARE,2016,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,"DELAWARE
(39.008676, -75.574561)",
MISSISSIPPI,2016,2,,-,0,,3,,,-,,-,,-,2,,7,,2,,2,,"MISSISSIPPI
(32.738663, -89.537312)",
RHODE ISLAND,2016,2,,-,0,,3,,,-,,-,,-,0,,6,,1,,,-,"RHODE ISLAND
(41.707447, -71.522488)",
KANSAS,2016,2,,-,2,,5,,,-,,-,,-,2,,12,,2,,2,,"KANSAS
(38.345528, -98.201847)",
HAWAII,2016,2,,-,0,,5,,,-,5,,,-,1,,6,,,-,1,,"HAWAII
(21.30992, -157.858158)",
VIRGINIA,2016,2,,-,1,,6,,,-,2,,2,,4,,18,,5,,2,,"VIRGINIA
(37.542699, -78.45822)",
ALASKA,2016,2,,-,0,,2,,1,,4,,,-,0,,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
SOUTH CAROLINA,2016,2,,-,0,,7,,1,,,-,8,,3,,44,,19,,15,,"SOUTH CAROLINA
(34.009286, -81.037094)",
IOWA,2016,2,,-,2,,10,,,-,1,,,-,10,,41,,12,,4,,"IOWA
(42.46942, -93.815856)",
WEST VIRGINIA,2016,2,,-,0,,2,,,-,1,,,-,0,,4,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NORTH CAROLINA,2016,2,,-,1,,6,,,-,6,,,-,5,,28,,,-,13,,"NORTH CAROLINA
(35.47995, -79.180571)",
ARKANSAS,2016,2,,-,1,,5,,1,,,-,4,,2,,7,,6,,2,,"ARKANSAS
(34.748745, -92.275105)",
UTAH,2016,2,,-,1,,8,,,-,2,,,-,0,,8,,,-,4,,"UTAH
(39.359772, -111.584173)",
CONNECTICUT,2016,2,,-,1,,8,,,-,2,,,-,1,,4,,,-,6,,"CONNECTICUT
(41.544654, -72.651713)",
OREGON,2016,2,,-,4,,11,,,-,8,,,-,2,,9,,1,,,-,"OREGON
(44.567912, -120.156945)",
LOUISIANA,2016,2,,-,0,,12,,,-,3,,,-,4,,12,,,-,6,,"LOUISIANA
(31.2931, -92.463284)",
PUERTO RICO,2016,2,,-,0,,1,,,-,,-,,-,0,,7,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
GUAM,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
UNITED STATES,2016,3,24,,116,,194,,89,,175,,183,,417,,610,,717,,990,,,
NEW ENGLAND,2016,3,,-,3,,17,,1,,5,,,-,4,,17,,2,,14,,,
MID. ATLANTIC,2016,3,6,,12,,23,,16,,12,,20,,27,,82,,53,,191,,,
NEW YORK CITY,2016,3,3,,2,,8,,8,,4,,13,,9,,51,,26,,110,,"NEW YORK CITY
",
E.N. CENTRAL,2016,3,,-,14,,31,,7,,16,,51,,44,,88,,162,,146,,,
W.N. CENTRAL,2016,3,2,,9,,22,,13,,23,,5,,24,,61,,36,,93,,,
S. ATLANTIC,2016,3,5,,10,,21,,16,,25,,24,,77,,153,,134,,172,,,
DIST. OF COL.,2016,3,,-,0,,1,,,-,,-,,-,0,,4,,,-,2,,"DIST. OF COL.
",
E.S. CENTRAL,2016,3,3,,5,,15,,13,,5,,3,,25,,50,,35,,123,,,
W.S. CENTRAL,2016,3,2,,15,,38,,6,,16,,44,,120,,315,,140,,98,,,
MOUNTAIN,2016,3,4,,11,,39,,9,,19,,30,,15,,35,,95,,39,,,
PACIFIC,2016,3,2,,23,,73,,8,,54,,6,,48,,172,,60,,114,,,
AMER. SAMOA,2016,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
MARYLAND,2016,3,,-,1,,7,,1,,2,,,-,4,,13,,7,,21,,"MARYLAND
(39.290443, -76.612333)",
MISSISSIPPI,2016,3,,-,0,,3,,,-,,-,,-,1,,7,,2,,3,,"MISSISSIPPI
(32.738663, -89.537312)",
MASSACHUSETTS,2016,3,,-,1,,6,,,-,3,,,-,3,,12,,1,,6,,"MASSACHUSETTS
(42.268546, -72.085064)",
ALASKA,2016,3,,-,0,,2,,2,,4,,,-,0,,1,,,-,1,,"ALASKA
(64.836661, -147.738891)",
CALIFORNIA,2016,3,,-,14,,31,,3,,37,,1,,41,,161,,45,,111,,"CALIFORNIA
(37.640735, -121.002435)",
VERMONT,2016,3,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
COLORADO,2016,3,,-,1,,16,,,-,4,,,-,0,,4,,,-,3,,"COLORADO
(38.841772, -106.132562)",
OREGON,2016,3,2,,4,,11,,3,,8,,3,,2,,9,,10,,,-,"OREGON
(44.567912, -120.156945)",
ILLINOIS,2016,3,,-,3,,8,,,-,7,,,-,15,,30,,8,,34,,"ILLINOIS
(40.477092, -88.993221)",
MONTANA,2016,3,,-,1,,6,,1,,1,,1,,0,,2,,1,,3,,"MONTANA
(47.062617, -109.430168)",
ARIZONA,2016,3,2,,2,,11,,4,,2,,29,,9,,34,,89,,25,,"ARIZONA
(34.869712, -111.760902)",
NEW HAMPSHIRE,2016,3,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW MEXICO,2016,3,,-,0,,3,,,-,4,,,-,1,,5,,1,,1,,"NEW MEXICO
(34.520396, -106.244402)",
SOUTH DAKOTA,2016,3,,-,1,,5,,,-,2,,,-,3,,20,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
TEXAS,2016,3,2,,10,,33,,5,,12,,28,,97,,299,,105,,73,,"TEXAS
(31.827233, -99.423022)",
NEW JERSEY,2016,3,,-,0,,3,,,-,6,,,-,6,,15,,1,,28,,"NEW JERSEY
(40.104655, -74.386686)",
INDIANA,2016,3,,-,2,,8,,,-,1,,,-,5,,12,,1,,33,,"INDIANA
(39.76845, -86.156212)",
GUAM,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WISCONSIN,2016,3,,-,1,,7,,,-,,-,10,,3,,19,,26,,21,,"WISCONSIN
(44.395526, -89.834513)",
PENNSYLVANIA,2016,3,2,,3,,11,,5,,,-,3,,7,,23,,12,,16,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEBRASKA,2016,3,2,,2,,7,,7,,4,,4,,1,,8,,5,,9,,"NEBRASKA
(41.640503, -99.367122)",
IDAHO,2016,3,2,,3,,9,,4,,2,,,-,0,,5,,4,,1,,"IDAHO
(43.680635, -114.364237)",
ALABAMA,2016,3,,-,1,,5,,,-,1,,3,,11,,31,,15,,49,,"ALABAMA
(32.839182, -86.631125)",
WYOMING,2016,3,,-,0,,1,,,-,2,,,-,0,,3,,,-,,-,"WYOMING
(43.23558, -108.110518)",
PUERTO RICO,2016,3,,-,0,,1,,,-,,-,,-,0,,7,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MISSOURI,2016,3,,-,0,,6,,,-,12,,,-,0,,35,,,-,70,,"MISSOURI
(38.636168, -92.566292)",
DELAWARE,2016,3,,-,0,,1,,,-,,-,,-,0,,2,,1,,3,,"DELAWARE
(39.008676, -75.574561)",
MICHIGAN,2016,3,,-,2,,8,,2,,1,,2,,9,,23,,14,,22,,"MICHIGAN
(44.66399, -84.711206)",
HAWAII,2016,3,,-,0,,5,,,-,5,,,-,1,,6,,1,,1,,"HAWAII
(21.30992, -157.858158)",
NORTH CAROLINA,2016,3,,-,1,,6,,,-,7,,,-,5,,28,,,-,20,,"NORTH CAROLINA
(35.47995, -79.180571)",
MINNESOTA,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
WEST VIRGINIA,2016,3,,-,0,,2,,1,,1,,,-,0,,4,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NORTH DAKOTA,2016,3,,-,0,,6,,,-,,-,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
OKLAHOMA,2016,3,,-,1,,32,,,-,,-,15,,13,,165,,28,,12,,"OKLAHOMA
(35.468494, -97.521264)",
MAINE,2016,3,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"MAINE
(45.252223, -68.986647)",
UTAH,2016,3,,-,1,,8,,,-,2,,,-,0,,8,,,-,5,,"UTAH
(39.359772, -111.584173)",
ARKANSAS,2016,3,,-,1,,5,,1,,1,,1,,2,,7,,7,,3,,"ARKANSAS
(34.748745, -92.275105)",
WASHINGTON,2016,3,,-,0,,51,,,-,,-,2,,2,,22,,4,,1,,"WASHINGTON
(47.517368, -120.467672)",
NEW YORK,2016,3,1,,4,,14,,3,,2,,4,,5,,18,,14,,37,,"NEW YORK
(42.826892, -75.544286)",
CONNECTICUT,2016,3,,-,1,,8,,1,,2,,,-,1,,4,,,-,6,,"CONNECTICUT
(41.544654, -72.651713)",
GEORGIA,2016,3,,-,2,,7,,3,,5,,8,,25,,46,,42,,62,,"GEORGIA
(32.836038, -83.631709)",
LOUISIANA,2016,3,,-,0,,12,,,-,3,,,-,4,,12,,,-,10,,"LOUISIANA
(31.2931, -92.463284)",
IOWA,2016,3,,-,2,,10,,4,,1,,1,,10,,41,,28,,6,,"IOWA
(42.46942, -93.815856)",
FLORIDA,2016,3,5,,2,,8,,10,,6,,9,,32,,86,,50,,41,,"FLORIDA
(28.915325, -81.922409)",
KANSAS,2016,3,,-,2,,5,,2,,4,,,-,2,,12,,3,,6,,"KANSAS
(38.345528, -98.201847)",
OHIO,2016,3,,-,5,,19,,5,,7,,39,,11,,52,,113,,36,,"OHIO
(40.056807, -82.405897)",
SOUTH CAROLINA,2016,3,,-,0,,7,,1,,1,,3,,3,,44,,24,,18,,"SOUTH CAROLINA
(34.009286, -81.037094)",
KENTUCKY,2016,3,,-,1,,6,,2,,1,,,-,6,,29,,8,,39,,"KENTUCKY
(37.64591, -84.774043)",
RHODE ISLAND,2016,3,,-,0,,3,,,-,,-,,-,0,,6,,1,,2,,"RHODE ISLAND
(41.707447, -71.522488)",
NEVADA,2016,3,,-,0,,6,,,-,2,,,-,0,,6,,,-,1,,"NEVADA
(39.491833, -117.070159)",
VIRGINIA,2016,3,,-,1,,6,,,-,3,,4,,5,,18,,10,,5,,"VIRGINIA
(37.542699, -78.45822)",
TENNESSEE,2016,3,3,,3,,11,,11,,3,,,-,4,,15,,10,,32,,"TENNESSEE
(35.681402, -85.774444)",
UNITED STATES,2016,4,31,,117,,194,,160,,222,,255,,417,,618,,1104,,1294,,,
NEW ENGLAND,2016,4,,-,3,,17,,3,,11,,1,,4,,17,,4,,16,,,
MID. ATLANTIC,2016,4,7,,12,,23,,27,,15,,23,,27,,75,,79,,246,,,
NEW YORK CITY,2016,4,,-,2,,8,,8,,4,,11,,9,,48,,37,,140,,"NEW YORK CITY
",
E.N. CENTRAL,2016,4,1,,14,,31,,14,,22,,53,,44,,90,,251,,186,,,
W.N. CENTRAL,2016,4,,-,9,,22,,18,,29,,7,,23,,61,,54,,131,,,
S. ATLANTIC,2016,4,5,,10,,21,,27,,26,,35,,77,,153,,175,,240,,,
DIST. OF COL.,2016,4,,-,0,,1,,,-,,-,,-,0,,4,,,-,3,,"DIST. OF COL.
",
E.S. CENTRAL,2016,4,2,,6,,15,,22,,6,,6,,25,,50,,58,,153,,,
W.S. CENTRAL,2016,4,10,,15,,39,,20,,21,,91,,121,,336,,252,,146,,,
MOUNTAIN,2016,4,4,,11,,39,,15,,24,,30,,17,,36,,132,,50,,,
PACIFIC,2016,4,2,,23,,74,,14,,68,,9,,47,,169,,99,,126,,,
AMER. SAMOA,2016,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
PENNSYLVANIA,2016,4,2,,4,,11,,10,,,-,9,,7,,24,,24,,21,,"PENNSYLVANIA
(40.789676, -77.858055)",
ALASKA,2016,4,,-,0,,2,,2,,4,,,-,0,,1,,,-,1,,"ALASKA
(64.836661, -147.738891)",
MONTANA,2016,4,1,,1,,6,,2,,2,,,-,0,,2,,1,,4,,"MONTANA
(47.062617, -109.430168)",
