Reporting Area,MMWR Year,MMWR Week,"Mumps, Current week","Mumps, Current week, flag","Mumps, Previous 52 weeks Med","Mumps, Previous 52 weeks Med, flag","Mumps, Previous 52 weeks Max","Mumps, Previous 52 weeks Max, flag","Mumps, Cum 2015","Mumps, Cum 2015, flag","Mumps, Cum 2014","Mumps, Cum 2014, flag","Pertussis, Current week","Pertussis, Current week, flag","Pertussis, Previous 52 weeks Med","Pertussis, Previous 52 weeks Med, flag","Pertussis, Previous 52 weeks Max","Pertussis, Previous 52 weeks Max, flag","Pertussis, Cum 2015","Pertussis, Cum 2015, flag","Pertussis, Cum 2014","Pertussis, Cum 2014, flag","Rabies, animal, Current week","Rabies, animal, Current week, flag","Rabies, animal, Previous 52 weeks Med","Rabies, animal, Previous 52 weeks Med, flag","Rabies, animal, Previous 52 weeks Max","Rabies, animal, Previous 52 weeks Max, flag","Rabies, animal, Cum 2015","Rabies, animal, Cum 2015, flag","Rabies, animal, Cum 2014","Rabies, animal, Cum 2014, flag",Location 1,Location 2
DELAWARE,2015,1,,-,0,,0,,,-,,-,,-,1,,35,,,-,10,,,-,0,,0,,,-,,-,"DELAWARE
(39.00883389200004, -75.57773597599999)",
NEW JERSEY,2015,1,,-,0,,9,,,-,,-,,-,6,,15,,,-,12,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
CONNECTICUT,2015,1,,-,0,,0,,,-,,-,,-,1,,7,,,-,1,,1,,3,,13,,1,,2,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
NEW YORK CITY,2015,1,,-,1,,24,,,-,1,,,-,2,,6,,,-,1,,,-,0,,0,,,-,,-,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
GEORGIA,2015,1,,-,0,,0,,,-,,-,,-,6,,17,,,-,4,,,-,0,,0,,,-,,-,"GEORGIA
(32.839683200000024, -83.62757885599996)",
NORTH DAKOTA,2015,1,,-,0,,1,,,-,,-,,-,0,,8,,,-,2,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
MONTANA,2015,1,,-,0,,1,,,-,,-,,-,8,,27,,,-,5,,,N,0,,0,,,N,,N,"MONTANA
(47.06652795700006, -109.42441587999997)",
NEVADA,2015,1,,-,0,,1,,,-,,-,,-,2,,8,,,-,3,,,-,0,,4,,,-,,-,"NEVADA
(39.49324221300003, -117.07183885899997)",
SOUTH CAROLINA,2015,1,,-,0,,1,,,-,,-,1,,3,,9,,1,,1,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
IDAHO,2015,1,,-,0,,3,,,-,,-,1,,7,,23,,1,,2,,,-,0,,2,,,-,,-,"IDAHO
(43.68263174800006, -114.36372693399994)",
TEXAS,2015,1,,-,0,,3,,,-,,-,1,,47,,77,,1,,4,,1,,18,,51,,1,,1,,"TEXAS
(31.827240467000024, -99.42676785299994)",
MARYLAND,2015,1,,-,0,,1,,,-,,-,5,,3,,17,,5,,2,,,-,6,,19,,,-,2,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
PENNSYLVANIA,2015,1,,-,0,,5,,,-,,-,10,,14,,36,,10,,10,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
FLORIDA,2015,1,,-,0,,1,,,-,,-,7,,12,,32,,7,,5,,1,,0,,87,,1,,,-,"FLORIDA
(28.932042722000062, -81.92895768899996)",
WISCONSIN,2015,1,,-,0,,10,,,-,,-,2,,22,,61,,2,,24,,,N,0,,0,,,N,,N,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
ILLINOIS,2015,1,,-,1,,15,,,-,,-,,-,12,,35,,,-,17,,,-,0,,6,,,-,,-,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
OREGON,2015,1,,-,0,,1,,,-,,-,2,,9,,16,,2,,5,,,-,0,,3,,,-,,-,"OREGON
(44.56745049300008, -120.15502935599994)",
MICHIGAN,2015,1,,-,0,,2,,,-,1,,5,,22,,58,,5,,11,,,-,0,,4,,,-,,-,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
LOUISIANA,2015,1,,-,0,,0,,,-,,-,,-,1,,6,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
SOUTH DAKOTA,2015,1,,-,0,,0,,,-,,-,,-,1,,11,,,-,6,,,-,0,,2,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
WEST VIRGINIA,2015,1,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,1,,3,,,-,,-,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
IOWA,2015,1,,-,0,,3,,,-,,-,,-,3,,11,,,-,4,,,-,0,,0,,,-,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
WYOMING,2015,1,,-,0,,0,,,-,,-,,-,0,,6,,,-,2,,,-,0,,0,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
VERMONT,2015,1,,-,0,,0,,,-,,-,,-,0,,5,,,-,,-,,-,1,,4,,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
NEW HAMPSHIRE,2015,1,,-,0,,2,,,-,,-,,-,1,,5,,,-,,-,,-,0,,2,,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
OKLAHOMA,2015,1,,-,0,,2,,,-,,-,1,,0,,32,,1,,,-,,-,1,,17,,,-,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
KENTUCKY,2015,1,,-,0,,1,,,-,,-,2,,5,,17,,2,,5,,,-,0,,2,,,-,,-,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
RHODE ISLAND,2015,1,,-,0,,0,,,-,,-,,-,0,,23,,,-,1,,,-,0,,4,,,-,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
ALASKA,2015,1,,-,0,,1,,,-,,-,,-,2,,17,,,-,3,,,-,0,,1,,,-,,-,"ALASKA
(64.84507799500005, -147.72205958799998)",
CALIFORNIA,2015,1,,-,0,,6,,,-,,-,,-,102,,305,,,-,69,,,-,3,,21,,,-,,-,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
UTAH,2015,1,,-,0,,1,,,-,,-,,-,16,,38,,,-,23,,,-,0,,4,,,-,,-,"UTAH
(39.36070123200005, -111.58712831499997)",
MAINE,2015,1,,-,0,,0,,,-,,-,2,,8,,32,,2,,4,,,-,1,,3,,,-,1,,"MAINE
(45.25422910300006, -68.98502586699993)",
MISSOURI,2015,1,,-,0,,2,,,-,,-,6,,9,,23,,6,,9,,,-,0,,3,,,-,,-,"MISSOURI
(38.63579147100006, -92.56629944499997)",
MISSISSIPPI,2015,1,,-,0,,0,,,-,,-,,-,1,,5,,,-,2,,,-,0,,1,,,-,,-,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
OHIO,2015,1,2,,2,,97,,2,,,-,37,,25,,82,,37,,53,,1,,0,,5,,1,,,-,"OHIO
(40.060212455000055, -82.40425667899996)",
INDIANA,2015,1,,-,0,,3,,,-,2,,,-,8,,21,,,-,4,,,-,0,,4,,,-,,-,"INDIANA
(39.766913353000064, -86.14995646699998)",
KANSAS,2015,1,,-,0,,1,,,-,,-,,-,7,,18,,,-,6,,1,,1,,5,,1,,,-,"KANSAS
(38.347742794000055, -98.20077822999997)",
PUERTO RICO,2015,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,,-,1,,5,,,-,,-,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
WASHINGTON,2015,1,,-,0,,4,,,-,,-,,-,8,,33,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
MINNESOTA,2015,1,,-,0,,6,,,-,,-,,-,10,,26,,,-,20,,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
TENNESSEE,2015,1,,-,0,,1,,,-,,-,9,,5,,16,,9,,6,,,-,0,,0,,,-,,-,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
VIRGINIA,2015,1,,-,0,,8,,,-,,-,,-,9,,20,,,-,2,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
ARKANSAS,2015,1,,-,0,,1,,,-,,-,,-,5,,14,,,-,,-,2,,1,,23,,2,,,-,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
NORTH CAROLINA,2015,1,,-,0,,2,,,-,,-,15,,11,,60,,15,,18,,1,,0,,5,,1,,,-,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
NEBRASKA,2015,1,,-,0,,0,,,-,,-,36,,4,,37,,36,,8,,,-,0,,3,,,-,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
MASSACHUSETTS,2015,1,,-,0,,2,,,-,,-,,-,5,,12,,,-,3,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
ALABAMA,2015,1,,-,0,,1,,,-,,-,2,,5,,13,,2,,3,,,-,1,,7,,,-,1,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
UNITED STATES,2015,2,11,,11,,117,,14,,7,,161,,515,,775,,352,,922,,13,,56,,114,,26,,29,,,
NEW ENGLAND,2015,2,,-,0,,2,,,-,,-,15,,19,,45,,27,,20,,1,,6,,16,,6,,5,,,
MID. ATLANTIC,2015,2,1,,2,,25,,1,,2,,26,,37,,81,,53,,60,,1,,6,,15,,1,,5,,,
E.N. CENTRAL,2015,2,4,,6,,107,,6,,5,,28,,87,,159,,77,,273,,3,,1,,12,,4,,,-,,
W.N. CENTRAL,2015,2,,-,0,,6,,1,,,-,41,,40,,69,,84,,93,,1,,2,,8,,3,,2,,,
S. ATLANTIC,2015,2,1,,0,,9,,1,,,-,25,,55,,100,,54,,99,,7,,7,,92,,9,,6,,,
DIST. OF COL.,2015,2,,-,0,,4,,,-,,-,1,,0,,3,,1,,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,2,2,,0,,2,,2,,,-,2,,18,,30,,17,,43,,,-,1,,7,,,-,3,,,
W.S. CENTRAL,2015,2,1,,0,,3,,1,,,-,2,,56,,92,,3,,12,,,-,23,,59,,3,,8,,,
MOUNTAIN,2015,2,2,,0,,4,,2,,,-,16,,72,,115,,24,,182,,,-,0,,7,,,-,,-,,
PACIFIC,2015,2,,-,0,,6,,,-,,-,6,,123,,331,,13,,140,,,-,4,,21,,,-,,-,,
AMER. SAMOA,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
DELAWARE,2015,2,,-,0,,0,,,-,,-,,-,1,,35,,,-,17,,,-,0,,0,,,-,,-,"DELAWARE
(39.00883389200004, -75.57773597599999)",
ALASKA,2015,2,,-,0,,1,,,-,,-,3,,2,,17,,6,,4,,,-,0,,1,,,-,,-,"ALASKA
(64.84507799500005, -147.72205958799998)",
HAWAII,2015,2,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30485232600006, -157.85774798099996)",
IOWA,2015,2,,-,0,,3,,1,,,-,,-,3,,11,,,-,8,,,-,0,,0,,,-,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
LOUISIANA,2015,2,,-,0,,0,,,-,,-,,-,1,,6,,,-,1,,,-,0,,0,,,-,,-,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
WISCONSIN,2015,2,,-,0,,10,,,-,,-,,-,22,,65,,2,,49,,,N,0,,0,,,N,,N,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
NORTH DAKOTA,2015,2,,-,0,,1,,,-,,-,,-,0,,8,,,-,2,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
VIRGINIA,2015,2,,-,0,,8,,,-,,-,,-,9,,20,,,-,9,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
RHODE ISLAND,2015,2,,-,0,,0,,,-,,-,,-,0,,23,,,-,1,,,-,0,,4,,,-,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
NEVADA,2015,2,,-,0,,1,,,-,,-,,-,2,,8,,,-,8,,,-,0,,4,,,-,,-,"NEVADA
(39.49324221300003, -117.07183885899997)",
MISSISSIPPI,2015,2,,-,0,,0,,,-,,-,,-,1,,5,,,-,4,,,-,0,,1,,,-,,-,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
NORTH CAROLINA,2015,2,1,,0,,2,,1,,,-,19,,11,,60,,34,,28,,6,,0,,5,,7,,,-,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
TENNESSEE,2015,2,,-,0,,1,,,-,,-,2,,5,,16,,11,,11,,,-,0,,0,,,-,,-,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
IDAHO,2015,2,2,,0,,3,,2,,,-,5,,7,,23,,6,,5,,,-,0,,2,,,-,,-,"IDAHO
(43.68263174800006, -114.36372693399994)",
PENNSYLVANIA,2015,2,,-,0,,5,,,-,,-,11,,14,,38,,27,,30,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
KANSAS,2015,2,,-,0,,1,,,-,,-,,-,6,,18,,,-,15,,1,,1,,5,,3,,1,,"KANSAS
(38.347742794000055, -98.20077822999997)",
NEBRASKA,2015,2,,-,0,,0,,,-,,-,34,,4,,38,,71,,13,,,-,0,,3,,,-,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
MAINE,2015,2,,-,0,,0,,,-,,-,15,,8,,32,,27,,9,,1,,1,,3,,1,,1,,"MAINE
(45.25422910300006, -68.98502586699993)",
MISSOURI,2015,2,,-,0,,2,,,-,,-,7,,9,,23,,13,,14,,,-,0,,3,,,-,1,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
MARYLAND,2015,2,,-,0,,1,,,-,,-,3,,3,,17,,9,,8,,,-,6,,19,,,-,5,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
UTAH,2015,2,,-,0,,1,,,-,,-,,-,16,,38,,,-,42,,,-,0,,4,,,-,,-,"UTAH
(39.36070123200005, -111.58712831499997)",
KENTUCKY,2015,2,2,,0,,1,,2,,,-,,-,5,,11,,3,,22,,,-,0,,2,,,-,1,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
NEW MEXICO,2015,2,,-,0,,1,,,-,,-,,-,5,,14,,,-,31,,,-,0,,2,,,-,,-,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
ILLINOIS,2015,2,,-,1,,15,,,-,2,,,-,12,,37,,,-,33,,,-,0,,6,,,-,,-,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
CONNECTICUT,2015,2,,-,0,,0,,,-,,-,,-,1,,7,,,-,2,,,-,3,,13,,5,,3,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
INDIANA,2015,2,,-,0,,3,,,-,2,,,-,8,,21,,,-,16,,,-,0,,4,,,-,,-,"INDIANA
(39.766913353000064, -86.14995646699998)",
CALIFORNIA,2015,2,,-,0,,6,,,-,,-,,-,102,,305,,,-,123,,,-,3,,21,,,-,,-,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
OREGON,2015,2,,-,0,,1,,,-,,-,3,,9,,16,,7,,13,,,-,0,,3,,,-,,-,"OREGON
(44.56745049300008, -120.15502935599994)",
FLORIDA,2015,2,,-,0,,1,,,-,,-,2,,12,,32,,9,,27,,1,,0,,87,,2,,,-,"FLORIDA
(28.932042722000062, -81.92895768899996)",
VERMONT,2015,2,,-,0,,0,,,-,,-,,-,0,,5,,,-,,-,,-,1,,4,,,-,1,,"VERMONT
(43.62538389600007, -72.51763667599994)",
ALABAMA,2015,2,,-,0,,1,,,-,,-,,-,5,,13,,3,,6,,,-,1,,7,,,-,2,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
OKLAHOMA,2015,2,,-,0,,2,,,-,,-,,-,0,,32,,,-,,-,,-,1,,17,,,-,2,,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
WEST VIRGINIA,2015,2,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,,-,1,,3,,,-,1,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
GEORGIA,2015,2,,-,0,,0,,,-,,-,,-,7,,15,,,-,5,,,-,0,,0,,,-,,-,"GEORGIA
(32.839683200000024, -83.62757885599996)",
NEW HAMPSHIRE,2015,2,,-,0,,2,,,-,,-,,-,1,,5,,,-,1,,,-,0,,2,,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
MICHIGAN,2015,2,,-,0,,2,,,-,1,,4,,20,,58,,14,,40,,,-,0,,4,,,-,,-,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
PUERTO RICO,2015,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,2,,,-,1,,5,,,-,1,,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
MONTANA,2015,2,,-,0,,1,,,-,,-,10,,8,,27,,17,,8,,,N,0,,0,,,N,,N,"MONTANA
(47.06652795700006, -109.42441587999997)",
NEW YORK CITY,2015,2,,-,1,,24,,,-,2,,,-,2,,6,,,-,2,,,-,0,,0,,,-,,-,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
WASHINGTON,2015,2,,-,0,,4,,,-,,-,,-,8,,47,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
TEXAS,2015,2,,-,0,,3,,,-,,-,2,,47,,77,,3,,11,,,-,19,,51,,1,,6,,"TEXAS
(31.827240467000024, -99.42676785299994)",
NEW JERSEY,2015,2,,-,0,,9,,,-,,-,,-,6,,15,,,-,20,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
WYOMING,2015,2,,-,0,,0,,,-,,-,,-,0,,6,,,-,2,,,-,0,,0,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
ARIZONA,2015,2,,-,0,,2,,,-,,-,,-,7,,29,,,-,22,,,N,0,,0,,,N,,N,"ARIZONA
(34.86597351900008, -111.76380664699997)",
SOUTH CAROLINA,2015,2,,-,0,,1,,,-,,-,,-,3,,9,,1,,4,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
SOUTH DAKOTA,2015,2,,-,0,,0,,,-,,-,,-,1,,11,,,-,11,,,-,0,,2,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
OHIO,2015,2,4,,2,,97,,6,,,-,24,,25,,63,,61,,135,,3,,0,,5,,4,,,-,"OHIO
(40.060212455000055, -82.40425667899996)",
MASSACHUSETTS,2015,2,,-,0,,2,,,-,,-,,-,5,,12,,,-,7,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
NEW YORK,2015,2,1,,0,,1,,1,,,-,15,,16,,54,,26,,8,,1,,6,,15,,1,,5,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
MINNESOTA,2015,2,,-,0,,6,,,-,,-,,-,10,,26,,,-,30,,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
ARKANSAS,2015,2,1,,0,,1,,1,,,-,,-,5,,14,,,-,,-,,-,1,,23,,2,,,-,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
COLORADO,2015,2,,-,0,,1,,,-,,-,1,,23,,42,,1,,64,,,-,0,,0,,,-,,-,"COLORADO
(38.84384342200008, -106.13360911499996)",
GUAM,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
UNITED STATES,2015,3,7,,12,,117,,23,,17,,129,,522,,775,,544,,1405,,12,,57,,114,,40,,71,,,
NEW ENGLAND,2015,3,,-,0,,2,,,-,,-,8,,20,,45,,42,,33,,,-,6,,16,,6,,9,,,
MID. ATLANTIC,2015,3,1,,2,,25,,3,,4,,22,,37,,82,,84,,89,,6,,6,,15,,7,,15,,,
E.N. CENTRAL,2015,3,2,,6,,107,,8,,11,,20,,88,,168,,103,,395,,,-,1,,12,,4,,,-,,
W.N. CENTRAL,2015,3,,-,0,,6,,1,,,-,51,,40,,70,,139,,147,,,-,2,,8,,4,,2,,,
S. ATLANTIC,2015,3,,-,0,,9,,2,,,-,19,,54,,100,,76,,156,,6,,7,,92,,15,,12,,,
DIST. OF COL.,2015,3,,-,0,,4,,,-,,-,,-,0,,3,,1,,1,,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,3,2,,0,,2,,4,,1,,3,,18,,31,,26,,70,,,-,1,,7,,,-,4,,,
W.S. CENTRAL,2015,3,1,,0,,3,,2,,,-,2,,57,,92,,8,,25,,,-,23,,59,,4,,23,,,
MOUNTAIN,2015,3,1,,0,,4,,3,,1,,4,,72,,115,,36,,280,,,-,0,,7,,,-,,-,,
PACIFIC,2015,3,,-,0,,6,,,-,,-,,-,127,,331,,30,,210,,,-,3,,21,,,-,6,,,
AMER. SAMOA,2015,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2015,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
NEW YORK,2015,3,,-,0,,1,,1,,,-,14,,16,,54,,41,,20,,6,,6,,15,,7,,15,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
VIRGINIA,2015,3,,-,0,,8,,1,,,-,,-,9,,30,,1,,14,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
OHIO,2015,3,2,,2,,97,,8,,2,,18,,24,,63,,79,,184,,,-,0,,5,,4,,,-,"OHIO
(40.060212455000055, -82.40425667899996)",
MINNESOTA,2015,3,,-,0,,6,,,-,,-,,-,10,,29,,,-,47,,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
WEST VIRGINIA,2015,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,4,,,-,0,,3,,,-,2,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
GEORGIA,2015,3,,-,0,,0,,,-,,-,,-,7,,15,,,-,9,,,-,0,,0,,,-,,-,"GEORGIA
(32.839683200000024, -83.62757885599996)",
IOWA,2015,3,,-,0,,3,,1,,,-,,-,3,,11,,,-,12,,,-,0,,0,,,-,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
FLORIDA,2015,3,,-,0,,1,,,-,,-,6,,12,,32,,15,,54,,3,,0,,87,,5,,,-,"FLORIDA
(28.932042722000062, -81.92895768899996)",
DELAWARE,2015,3,,-,0,,0,,,-,,-,,-,1,,35,,,-,23,,,-,0,,0,,,-,,-,"DELAWARE
(39.00883389200004, -75.57773597599999)",
ARIZONA,2015,3,,-,0,,2,,,-,1,,,-,7,,29,,,-,49,,,N,0,,0,,,N,,N,"ARIZONA
(34.86597351900008, -111.76380664699997)",
NEW JERSEY,2015,3,,-,0,,9,,,-,1,,,-,6,,15,,,-,23,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
ALABAMA,2015,3,,-,0,,1,,,-,,-,,-,5,,13,,5,,14,,,-,1,,7,,,-,3,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
