Reporting Area,MMWR Year,MMWR Week,"Lyme disease, Current week","Lyme disease, Current week, flag","Lyme disease, Previous 52 weeks Med","Lyme disease, Previous 52 weeks Med, flag","Lyme disease, Previous 52 weeks Max","Lyme disease, Previous 52 weeks Max, flag","Lyme disease, Cum 2014","Lyme disease, Cum 2014, flag","Lyme disease, Cum 2013","Lyme disease, Cum 2013, flag","Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Med","Malaria, Previous 52 weeks Med, flag","Malaria, Previous 52 weeks Max","Malaria, Previous 52 weeks Max, flag","Malaria, Cum 2014","Malaria, Cum 2014, flag","Malaria, Cum 2013","Malaria, Cum 2013, flag","Meningococcal disease, invasive, All serogroups, Current week","Meningococcal disease, invasive†, All serogroups, Current week, flag","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Med","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Med, flag","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Max","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Max, flag","Meningococcal disease, invasive†, All serogroups, Cum 2014","Meningococcal disease, invasive†, All serogroups, Cum 2014, flag","Meningococcal disease, invasive†, All serogroups, Cum 2013","Meningococcal disease, invasive†, All serogroups, Cum 2013, flag",Location 1,Location 2
NEW MEXICO,2014,20,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,1,,1,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
ARKANSAS,2014,20,,-,0,,0,,,-,,-,,-,0,,1,,2,,1,,,-,0,,1,,1,,2,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
CONNECTICUT,2014,20,,-,24,,252,,82,,479,,,-,0,,3,,,-,8,,,-,0,,1,,2,,2,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
MICHIGAN,2014,20,,-,2,,16,,11,,5,,,-,0,,2,,6,,8,,,-,0,,1,,3,,3,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
DIST. OF COL.,2014,20,,N,0,,0,,,N,,N,,-,0,,1,,,-,6,,,-,0,,1,,,-,1,,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
NEW YORK CITY,2014,20,,-,9,,441,,475,,100,,1,,4,,13,,48,,36,,1,,0,,2,,6,,8,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
WISCONSIN,2014,20,,-,16,,196,,64,,124,,,-,0,,1,,1,,5,,,-,0,,1,,3,,10,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
TEXAS,2014,20,,-,0,,12,,1,,24,,,-,1,,19,,12,,21,,,-,0,,5,,12,,15,,"TEXAS
(31.827243635000457, -99.4267664729997)",
GUAM,2014,20,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
VIRGIN ISL.,2014,20,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
PUERTO RICO,2014,20,,N,0,,0,,,N,,N,,-,0,,1,,1,,,-,,-,0,,1,,1,,,-,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
ALASKA,2014,20,,-,0,,2,,4,,1,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
HAWAII,2014,20,,N,0,,0,,,N,,N,,-,0,,0,,,-,1,,,-,0,,1,,1,,1,,"HAWAII
(21.30485166200043, -157.85774691599974)",
OREGON,2014,20,1,,1,,4,,19,,14,,,-,0,,1,,2,,2,,,-,0,,3,,11,,6,,"OREGON
(44.567446178000466, -120.15502977999972)",
VERMONT,2014,20,1,,8,,103,,50,,56,,,-,0,,3,,,-,,-,,-,0,,1,,,-,1,,"VERMONT
(43.62538292400046, -72.51763944499965)",
OKLAHOMA,2014,20,,-,0,,2,,,-,1,,,-,0,,3,,1,,2,,1,,0,,2,,4,,4,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
DELAWARE,2014,20,,-,7,,24,,72,,130,,,-,0,,2,,1,,,-,,-,0,,1,,1,,1,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
IDAHO,2014,20,1,,0,,2,,5,,5,,,-,0,,1,,,-,2,,,-,0,,1,,2,,3,,"IDAHO
(43.682630058000484, -114.3637261449997)",
NORTH DAKOTA,2014,20,,-,0,,6,,,-,,-,,-,0,,1,,3,,1,,,-,0,,1,,1,,2,,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
WYOMING,2014,20,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,"WYOMING
(43.23554147100049, -108.10982744299969)",
LOUISIANA,2014,20,,-,0,,0,,,-,,-,,-,0,,1,,2,,3,,,-,0,,2,,3,,8,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
NORTH CAROLINA,2014,20,,-,1,,32,,15,,15,,,-,0,,5,,5,,8,,,-,0,,3,,11,,7,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
WASHINGTON,2014,20,2,,0,,4,,2,,1,,1,,0,,3,,11,,7,,,-,0,,5,,6,,8,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
AMER. SAMOA,2014,20,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
WEST VIRGINIA,2014,20,,-,2,,23,,14,,30,,,-,0,,1,,,-,1,,,-,0,,0,,,-,2,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
NEW HAMPSHIRE,2014,20,,-,14,,164,,2,,172,,,-,0,,2,,2,,3,,,-,0,,0,,,-,2,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
COLORADO,2014,20,,-,0,,0,,,-,,-,3,,0,,3,,5,,10,,,-,0,,1,,1,,4,,"COLORADO
(38.84384047000049, -106.13360888799969)",
MONTANA,2014,20,,-,0,,3,,1,,3,,,-,0,,0,,,-,,-,,-,0,,1,,2,,,-,"MONTANA
(47.066526051000494, -109.42441687999968)",
PENNSYLVANIA,2014,20,125,,55,,433,,787,,570,,,-,1,,5,,15,,19,,,-,0,,2,,5,,14,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
ALABAMA,2014,20,1,,0,,3,,6,,6,,,-,0,,1,,4,,1,,,-,0,,1,,2,,1,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
ILLINOIS,2014,20,,-,1,,30,,5,,21,,,-,1,,5,,5,,17,,,-,0,,2,,7,,4,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
FLORIDA,2014,20,1,,2,,14,,24,,23,,,-,1,,3,,13,,22,,2,,1,,3,,20,,31,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
IOWA,2014,20,,-,1,,29,,2,,21,,,-,0,,2,,4,,3,,,-,0,,1,,1,,,-,"IOWA
(42.469404401000475, -93.81648936699969)",
SOUTH CAROLINA,2014,20,,-,0,,5,,2,,4,,,-,0,,2,,2,,2,,,-,0,,1,,1,,2,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
KANSAS,2014,20,,-,0,,4,,1,,3,,,-,0,,2,,5,,4,,,-,0,,1,,1,,3,,"KANSAS
(38.34774033400049, -98.20077655499966)",
INDIANA,2014,20,,-,0,,14,,,-,10,,,-,0,,2,,4,,7,,,-,0,,1,,2,,10,,"INDIANA
(39.76691364600049, -86.14995579899966)",
NEW JERSEY,2014,20,,-,44,,234,,354,,820,,,-,1,,6,,13,,28,,,-,0,,2,,2,,8,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
MASSACHUSETTS,2014,20,,-,57,,484,,347,,581,,,-,1,,4,,10,,19,,,-,0,,3,,6,,3,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
OHIO,2014,20,,-,1,,7,,9,,16,,1,,1,,3,,10,,9,,,-,0,,2,,5,,5,,"OHIO
(40.06021029700048, -82.40425685299965)",
MAINE,2014,20,1,,15,,102,,93,,110,,,-,0,,2,,3,,1,,,-,0,,1,,,-,1,,"MAINE
(45.254228663000504, -68.98502952999962)",
UTAH,2014,20,,-,0,,3,,2,,2,,,-,0,,2,,1,,2,,,-,0,,2,,1,,3,,"UTAH
(39.36070374600047, -111.5871285339997)",
SOUTH DAKOTA,2014,20,,-,0,,1,,,-,,-,,-,0,,3,,1,,1,,,-,0,,1,,2,,3,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
UNITED STATES,2014,21,174,,444,,2487,,3313,,4725,,10,,25,,51,,360,,465,,1,,8,,23,,202,,297,,,
NEW ENGLAND,2014,21,,-,129,,1003,,713,,1614,,,-,2,,9,,18,,35,,,-,0,,3,,9,,12,,,
MID. ATLANTIC,2014,21,165,,179,,907,,2068,,1854,,1,,8,,21,,96,,108,,,-,1,,3,,17,,42,,,
E.N. CENTRAL,2014,21,2,,15,,235,,105,,212,,3,,2,,8,,32,,49,,,-,1,,4,,20,,33,,,
W.N. CENTRAL,2014,21,,-,16,,245,,10,,199,,1,,2,,7,,23,,30,,,-,0,,3,,13,,24,,,
S. ATLANTIC,2014,21,7,,46,,308,,355,,753,,5,,7,,18,,110,,132,,1,,1,,6,,50,,56,,,
ARKANSAS,2014,21,,-,0,,0,,,-,,-,,-,0,,1,,2,,1,,,-,0,,1,,1,,3,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
E.S. CENTRAL,2014,21,,-,1,,9,,24,,17,,,-,1,,4,,15,,12,,,-,0,,2,,7,,6,,,
W.S. CENTRAL,2014,21,,-,0,,13,,1,,22,,,-,1,,21,,17,,27,,,-,1,,6,,22,,31,,,
MOUNTAIN,2014,21,,-,1,,9,,11,,15,,,-,1,,6,,13,,28,,,-,0,,2,,12,,23,,,
PACIFIC,2014,21,,-,3,,10,,26,,39,,,-,3,,9,,36,,44,,,-,2,,7,,52,,70,,,
VIRGINIA,2014,21,2,,15,,267,,99,,181,,2,,1,,6,,20,,21,,,-,0,,2,,4,,4,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
INDIANA,2014,21,,-,0,,14,,,-,13,,,-,0,,2,,4,,7,,,-,0,,1,,2,,10,,"INDIANA
(39.76691364600049, -86.14995579899966)",
NEW MEXICO,2014,21,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,1,,1,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
WYOMING,2014,21,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,"WYOMING
(43.23554147100049, -108.10982744299969)",
ALABAMA,2014,21,,-,0,,3,,6,,7,,,-,0,,1,,4,,2,,,-,0,,1,,2,,1,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
DIST. OF COL.,2014,21,,N,0,,0,,,N,,N,,-,0,,1,,,-,6,,,-,0,,1,,,-,1,,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
IOWA,2014,21,,-,1,,29,,2,,33,,,-,0,,2,,4,,3,,,-,0,,1,,1,,,-,"IOWA
(42.469404401000475, -93.81648936699969)",
