Reporting Area,MMWR Year,MMWR Week,"Invasive Pneumococcal disease, All ages, Current week","Invasive Pneumococcal disease§, All ages, Current week, flag","Invasive Pneumococcal disease§, All ages, Previous 52 weeks Med","Invasive Pneumococcal disease§, All ages, Previous 52 weeks Med, flag","Invasive Pneumococcal disease§, All ages, Previous 52 weeks Max","Invasive Pneumococcal disease§, All ages, Previous 52 weeks Max, flag","Invasive Pneumococcal disease§, All ages, Cum 2016","Invasive Pneumococcal disease§, All ages, Cum 2016, flag","Invasive Pneumococcal disease§, All ages, Cum 2015","Invasive Pneumococcal disease§, All ages, Cum 2015, flag","Invasive Pneumococcal disease§, Age LT 5, Current week","Invasive Pneumococcal disease§, Age LT 5, Current week, flag","Invasive Pneumococcal disease§, Age LT 5, Previous 52 weeks Med","Invasive Pneumococcal disease§, Age LT 5, Previous 52 weeks Med, flag","Invasive Pneumococcal disease§, Age LT 5, Previous 52 weeks Max","Invasive Pneumococcal disease§, Age LT 5, Previous 52 weeks Max, flag","Invasive Pneumococcal disease§, Age LT 5, Cum 2016","Invasive Pneumococcal disease§, Age LT 5, Cum 2016, flag","Invasive Pneumococcal disease§, Age LT 5, Cum 2015","Invasive Pneumococcal disease§, Age LT 5, Cum 2015, flag","Legionellosis, Current week","Legionellosis, Current week, flag","Legionellosis, Previous 52 weeks Med","Legionellosis, Previous 52 weeks Med, flag","Legionellosis, Previous 52 weeks Max","Legionellosis, Previous 52 weeks Max, flag","Legionellosis, Cum 2016","Legionellosis, Cum 2016, flag","Legionellosis, Cum 2015","Legionellosis, Cum 2015, flag",Location 1,Location 2
WEST VIRGINIA,2016,1,,-,3,,12,,,-,7,,,-,0,,2,,,-,,-,,-,1,,2,,,-,2,,"WEST VIRGINIA
(38.668501, -80.709421)",
MINNESOTA,2016,1,,-,7,,36,,,-,33,,,-,0,,5,,,-,4,,,-,1,,5,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
WASHINGTON,2016,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,7,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
FLORIDA,2016,1,29,,8,,17,,29,,17,,3,,1,,4,,3,,3,,4,,6,,13,,4,,3,,"FLORIDA
(28.915325, -81.922409)",
TENNESSEE,2016,1,25,,13,,51,,25,,51,,1,,1,,4,,1,,1,,2,,2,,9,,2,,,-,"TENNESSEE
(35.681402, -85.774444)",
CONNECTICUT,2016,1,,-,3,,11,,,-,9,,,-,0,,1,,,-,1,,,-,1,,4,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
MASSACHUSETTS,2016,1,8,,9,,25,,8,,16,,,-,0,,3,,,-,3,,3,,3,,8,,3,,1,,"MASSACHUSETTS
(42.268546, -72.085064)",
VERMONT,2016,1,,-,1,,4,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"VERMONT
(43.622479, -72.51927)",
ALABAMA,2016,1,6,,5,,16,,6,,11,,,-,0,,2,,,-,,-,,-,1,,6,,,-,2,,"ALABAMA
(32.839182, -86.631125)",
NEW HAMPSHIRE,2016,1,,-,1,,7,,,-,3,,,-,0,,2,,,-,1,,,-,0,,5,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NORTH DAKOTA,2016,1,,-,1,,6,,,-,5,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
TEXAS,2016,1,6,,28,,90,,6,,22,,,-,2,,8,,,-,2,,,-,5,,13,,,-,,-,"TEXAS
(31.827233, -99.423022)",
WYOMING,2016,1,,-,0,,4,,,-,1,,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
VIRGINIA,2016,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,-,2,,9,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
OREGON,2016,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,3,,,-,,-,"OREGON
(44.567912, -120.156945)",
WISCONSIN,2016,1,15,,8,,20,,15,,14,,,-,1,,2,,,-,,-,,-,1,,3,,,-,2,,"WISCONSIN
(44.395526, -89.834513)",
LOUISIANA,2016,1,,-,6,,16,,,-,15,,,-,0,,3,,,-,2,,,-,0,,4,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
MARYLAND,2016,1,16,,7,,25,,16,,24,,1,,0,,3,,1,,,-,3,,2,,9,,3,,5,,"MARYLAND
(39.290443, -76.612333)",
ILLINOIS,2016,1,,N,0,,0,,,N,,N,,-,0,,2,,,-,,-,,-,4,,49,,,-,2,,"ILLINOIS
(40.477092, -88.993221)",
KENTUCKY,2016,1,,-,4,,10,,,-,10,,,-,0,,2,,,-,,-,,-,1,,7,,,-,1,,"KENTUCKY
(37.64591, -84.774043)",
UNITED STATES,2016,2,202,,276,,474,,571,,1075,,6,,23,,33,,26,,55,,28,,86,,223,,71,,148,,,
NEW ENGLAND,2016,2,8,,20,,41,,21,,55,,,-,0,,4,,,-,8,,1,,5,,15,,4,,3,,,
MID. ATLANTIC,2016,2,30,,40,,82,,71,,175,,,-,2,,7,,,-,4,,5,,20,,101,,22,,38,,,
NEW YORK CITY,2016,2,15,,13,,24,,32,,44,,,-,1,,3,,,-,1,,4,,5,,84,,8,,18,,"NEW YORK CITY
",
E.N. CENTRAL,2016,2,31,,51,,96,,127,,192,,,-,3,,9,,8,,6,,5,,16,,97,,14,,39,,,
W.N. CENTRAL,2016,2,5,,14,,49,,18,,82,,,-,1,,7,,1,,11,,1,,4,,22,,2,,5,,,
S. ATLANTIC,2016,2,48,,47,,97,,131,,229,,3,,4,,10,,7,,11,,11,,18,,30,,21,,36,,,
DIST. OF COL.,2016,2,,-,1,,5,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,2,16,,29,,60,,76,,130,,,-,3,,4,,3,,5,,1,,5,,15,,3,,3,,,
W.S. CENTRAL,2016,2,27,,40,,149,,38,,86,,1,,4,,12,,1,,6,,1,,8,,15,,1,,1,,,
MOUNTAIN,2016,2,36,,31,,63,,87,,119,,2,,2,,8,,6,,4,,3,,3,,7,,4,,7,,,
PACIFIC,2016,2,1,,3,,8,,2,,7,,,-,0,,2,,,-,,-,,-,8,,16,,,-,16,,,
AMER. SAMOA,2016,2,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2016,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
OREGON,2016,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,3,,,-,,-,"OREGON
(44.567912, -120.156945)",
ILLINOIS,2016,2,,N,0,,0,,,N,,N,,-,0,,2,,,-,,-,,-,4,,48,,,-,2,,"ILLINOIS
(40.477092, -88.993221)",
VERMONT,2016,2,4,,1,,4,,5,,3,,,-,0,,1,,,-,1,,1,,0,,3,,1,,,-,"VERMONT
(43.622479, -72.51927)",
GUAM,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
HAWAII,2016,2,,-,1,,5,,,-,4,,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"HAWAII
(21.30992, -157.858158)",
RHODE ISLAND,2016,2,,-,1,,5,,,-,,-,,-,0,,1,,,-,,-,,-,0,,6,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
OHIO,2016,2,23,,18,,41,,64,,86,,,-,1,,4,,3,,3,,5,,8,,74,,13,,17,,"OHIO
(40.056807, -82.405897)",
MISSISSIPPI,2016,2,3,,5,,11,,14,,7,,,-,0,,3,,,-,,-,,-,0,,4,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
PUERTO RICO,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MISSOURI,2016,2,,N,0,,0,,,N,,N,,-,0,,1,,,-,1,,1,,2,,19,,2,,,-,"MISSOURI
(38.636168, -92.566292)",
MICHIGAN,2016,2,5,,13,,35,,40,,60,,,-,1,,4,,4,,,-,,-,2,,9,,1,,10,,"MICHIGAN
(44.66399, -84.711206)",
NEW YORK,2016,2,5,,15,,38,,15,,49,,,-,1,,3,,,-,2,,1,,7,,25,,8,,6,,"NEW YORK
(42.826892, -75.544286)",
FLORIDA,2016,2,23,,8,,29,,52,,30,,3,,1,,4,,6,,4,,9,,6,,13,,13,,9,,"FLORIDA
(28.915325, -81.922409)",
PENNSYLVANIA,2016,2,10,,9,,21,,24,,40,,,-,0,,3,,,-,1,,,-,5,,22,,6,,8,,"PENNSYLVANIA
(40.789676, -77.858055)",
MINNESOTA,2016,2,,-,6,,36,,,-,57,,,-,0,,5,,,-,8,,,-,1,,5,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
LOUISIANA,2016,2,,-,5,,16,,,-,20,,,-,0,,3,,,-,2,,,-,0,,4,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
KENTUCKY,2016,2,3,,4,,10,,13,,17,,,-,0,,2,,,-,1,,,-,1,,7,,,-,1,,"KENTUCKY
(37.64591, -84.774043)",
NEVADA,2016,2,5,,3,,9,,13,,17,,,-,0,,2,,1,,1,,,-,0,,2,,,-,2,,"NEVADA
(39.491833, -117.070159)",
WEST VIRGINIA,2016,2,,-,3,,12,,,-,19,,,-,0,,2,,,-,1,,,-,0,,2,,,-,3,,"WEST VIRGINIA
(38.668501, -80.709421)",
VIRGINIA,2016,2,,-,0,,2,,,-,1,,,-,0,,2,,,-,1,,1,,2,,9,,1,,2,,"VIRGINIA
(37.542699, -78.45822)",
TENNESSEE,2016,2,10,,13,,35,,36,,86,,,-,1,,4,,1,,2,,1,,2,,9,,3,,,-,"TENNESSEE
(35.681402, -85.774444)",
MARYLAND,2016,2,14,,7,,25,,30,,49,,,-,0,,3,,1,,1,,1,,2,,9,,5,,12,,"MARYLAND
(39.290443, -76.612333)",
WYOMING,2016,2,,-,0,,4,,1,,1,,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
ARIZONA,2016,2,31,,12,,32,,63,,55,,1,,1,,5,,3,,1,,2,,2,,4,,3,,2,,"ARIZONA
(34.869712, -111.760902)",
WASHINGTON,2016,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,7,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
NEBRASKA,2016,2,5,,3,,8,,12,,6,,,-,0,,1,,,-,,-,,-,0,,2,,,-,3,,"NEBRASKA
(41.640503, -99.367122)",
IOWA,2016,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,3,,,-,2,,"IOWA
(42.46942, -93.815856)",
KANSAS,2016,2,,-,3,,7,,2,,8,,,-,0,,2,,1,,1,,,-,0,,4,,,-,,-,"KANSAS
(38.345528, -98.201847)",
IDAHO,2016,2,,N,0,,0,,,N,,N,1,,0,,1,,1,,,-,1,,0,,2,,1,,,-,"IDAHO
(43.680635, -114.364237)",
SOUTH CAROLINA,2016,2,5,,7,,20,,20,,45,,,-,0,,3,,,-,2,,,-,1,,3,,,-,1,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MASSACHUSETTS,2016,2,,-,9,,25,,8,,27,,,-,0,,3,,,-,3,,,-,3,,8,,3,,2,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW JERSEY,2016,2,,-,0,,20,,,-,42,,,-,0,,2,,,-,,-,,-,3,,10,,,-,6,,"NEW JERSEY
(40.104655, -74.386686)",
MAINE,2016,2,4,,3,,7,,8,,7,,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"MAINE
(45.252223, -68.986647)",
ALABAMA,2016,2,,-,5,,17,,13,,20,,,-,0,,2,,2,,2,,,-,1,,6,,,-,2,,"ALABAMA
(32.839182, -86.631125)",
UTAH,2016,2,,-,3,,7,,1,,7,,,-,0,,2,,,-,,-,,-,0,,2,,,-,3,,"UTAH
(39.359772, -111.584173)",
TEXAS,2016,2,24,,28,,135,,34,,55,,,-,2,,8,,,-,4,,1,,5,,13,,1,,1,,"TEXAS
(31.827233, -99.423022)",
OKLAHOMA,2016,2,,N,0,,0,,,N,,N,,-,0,,2,,,-,,-,,-,0,,9,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
INDIANA,2016,2,,-,10,,25,,,-,26,,,-,1,,3,,,-,2,,,-,2,,8,,,-,8,,"INDIANA
(39.76845, -86.156212)",
NEW MEXICO,2016,2,,-,4,,13,,6,,18,,,-,0,,4,,1,,1,,,-,0,,2,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
DELAWARE,2016,2,,-,1,,5,,5,,8,,,-,0,,1,,,-,,-,,-,0,,3,,1,,1,,"DELAWARE
(39.008676, -75.574561)",
CONNECTICUT,2016,2,,-,4,,11,,,-,12,,,-,0,,1,,,-,1,,,-,1,,4,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
SOUTH DAKOTA,2016,2,,-,2,,11,,4,,3,,,N,0,,0,,,N,,N,,-,0,,2,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
COLORADO,2016,2,,-,7,,19,,,-,18,,,-,0,,3,,,-,1,,,-,0,,2,,,-,,-,"COLORADO
(38.841772, -106.132562)",
CALIFORNIA,2016,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,6,,16,,,-,15,,"CALIFORNIA
(37.640735, -121.002435)",
NORTH DAKOTA,2016,2,,-,1,,6,,,-,8,,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
ARKANSAS,2016,2,3,,5,,22,,4,,11,,1,,0,,3,,1,,,-,,-,0,,4,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MONTANA,2016,2,,-,1,,5,,3,,3,,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"MONTANA
(47.062617, -109.430168)",
ALASKA,2016,2,1,,2,,7,,2,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NEW HAMPSHIRE,2016,2,,-,1,,7,,,-,6,,,-,0,,2,,,-,3,,,-,0,,5,,,-,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
WISCONSIN,2016,2,3,,8,,22,,23,,20,,,-,1,,2,,1,,1,,,-,0,,3,,,-,2,,"WISCONSIN
(44.395526, -89.834513)",
NORTH CAROLINA,2016,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,3,,8,,,-,7,,"NORTH CAROLINA
(35.47995, -79.180571)",
GEORGIA,2016,2,6,,17,,50,,24,,77,,,-,1,,5,,,-,2,,,-,2,,9,,1,,1,,"GEORGIA
(32.836038, -83.631709)",
UNITED STATES,2016,3,162,,272,,521,,806,,1438,,7,,23,,33,,36,,79,,52,,86,,223,,140,,222,,,
NEW ENGLAND,2016,3,4,,19,,41,,33,,75,,,-,0,,4,,,-,10,,1,,5,,15,,6,,5,,,
MID. ATLANTIC,2016,3,40,,40,,84,,134,,234,,2,,2,,7,,2,,4,,29,,19,,101,,55,,54,,,
NEW YORK CITY,2016,3,14,,13,,24,,46,,63,,,-,1,,3,,,-,1,,27,,4,,84,,35,,19,,"NEW YORK CITY
",
E.N. CENTRAL,2016,3,41,,50,,95,,173,,245,,4,,3,,9,,11,,8,,4,,15,,97,,21,,53,,,
W.N. CENTRAL,2016,3,4,,13,,49,,23,,113,,,-,1,,6,,1,,13,,,-,4,,22,,2,,8,,,
S. ATLANTIC,2016,3,21,,48,,97,,159,,298,,1,,4,,10,,8,,15,,11,,18,,30,,35,,48,,,
DIST. OF COL.,2016,3,,-,1,,5,,,-,4,,,-,0,,2,,,-,2,,,-,0,,1,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,3,14,,29,,64,,106,,162,,,-,3,,5,,5,,9,,2,,5,,15,,8,,7,,,
W.S. CENTRAL,2016,3,19,,39,,178,,60,,126,,,-,4,,12,,2,,11,,2,,8,,15,,4,,5,,,
MOUNTAIN,2016,3,17,,31,,63,,113,,175,,,-,2,,8,,7,,9,,3,,3,,7,,7,,10,,,
PACIFIC,2016,3,2,,3,,8,,5,,10,,,-,0,,2,,,-,,-,,-,9,,16,,2,,32,,,
AMER. SAMOA,2016,3,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2016,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
IOWA,2016,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,3,,,-,3,,"IOWA
(42.46942, -93.815856)",
KENTUCKY,2016,3,,-,4,,10,,13,,25,,,-,0,,2,,,-,1,,,-,1,,7,,,-,1,,"KENTUCKY
(37.64591, -84.774043)",
RHODE ISLAND,2016,3,,-,1,,5,,,-,,-,,-,0,,1,,,-,,-,,-,0,,6,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
INDIANA,2016,3,,-,10,,26,,6,,39,,,-,1,,3,,,-,3,,,-,2,,8,,2,,15,,"INDIANA
(39.76845, -86.156212)",
LOUISIANA,2016,3,,-,5,,16,,,-,33,,,-,0,,3,,,-,3,,,-,0,,4,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
CALIFORNIA,2016,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,6,,16,,2,,31,,"CALIFORNIA
(37.640735, -121.002435)",
UTAH,2016,3,,-,3,,7,,2,,13,,,-,0,,2,,,-,2,,,-,0,,2,,,-,4,,"UTAH
(39.359772, -111.584173)",
ALASKA,2016,3,2,,2,,7,,4,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
ILLINOIS,2016,3,,N,0,,0,,,N,,N,,-,0,,2,,,-,,-,,-,4,,48,,,-,2,,"ILLINOIS
(40.477092, -88.993221)",
NORTH CAROLINA,2016,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,3,,8,,,-,10,,"NORTH CAROLINA
(35.47995, -79.180571)",
MASSACHUSETTS,2016,3,,-,9,,25,,8,,32,,,-,0,,3,,,-,5,,,-,3,,8,,3,,4,,"MASSACHUSETTS
(42.268546, -72.085064)",
ARKANSAS,2016,3,2,,5,,22,,6,,17,,,-,0,,3,,1,,1,,,-,1,,4,,1,,2,,"ARKANSAS
(34.748745, -92.275105)",
GUAM,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
