 Reporting Area,MMWR Year,MMWR Week,"Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Med","Giardiasis, Previous 52 weeks Med, flag","Giardiasis, Previous 52 weeks Max","Giardiasis, Previous 52 weeks Max, flag","Giardiasis, Cum 2016","Giardiasis, Cum 2016, flag","Giardiasis, Cum 2015","Giardiasis, Cum 2015, flag","Gonorrhea,Current week","Gonorrhea,Current week, flag","Gonorrhea,Previous 52 weeks Med","Gonorrhea,Previous 52 weeks Med, flag","Gonorrhea, Previous 52 weeks Max","Gonorrhea, Previous 52 weeks Max, flag","Gonorrhea, Cum 2016","Gonorrhea, Cum 2016, flag","Gonorrhea, Cum 2015","Gonorrhea, Cum 2015, flag","Haemophilus influenzae, invasive§, All ages, all serotypes,Current week","Haemophilus influenzae, invasive§, All ages, all serotypes,Current week, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Med","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Med, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Max","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Max, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2016","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2016, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2015","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2015, flag",Location 1,Location 2
UNITED STATES,2016,1,84,,227,,335,,84,,189,,3871,,7155,,8306,,3871,,6941,,55,,69,,128,,55,,128,,,
NEW ENGLAND,2016,1,10,,20,,40,,10,,16,,52,,136,,196,,52,,119,,2,,5,,10,,2,,6,,,
MID. ATLANTIC,2016,1,22,,47,,74,,22,,40,,510,,876,,1036,,510,,816,,7,,11,,18,,7,,16,,,
NEW YORK CITY,2016,1,13,,16,,29,,13,,12,,96,,329,,399,,96,,379,,2,,1,,6,,2,,3,,"NEW YORK CITY
",
E.N. CENTRAL,2016,1,11,,25,,58,,11,,22,,468,,1014,,1288,,468,,1037,,13,,13,,27,,13,,27,,,
W.N. CENTRAL,2016,1,4,,9,,30,,4,,8,,224,,402,,479,,224,,416,,,-,3,,12,,,-,11,,,
S. ATLANTIC,2016,1,17,,41,,64,,17,,34,,638,,1612,,2227,,638,,1305,,16,,17,,67,,16,,29,,,
DIST. OF COL.,2016,1,,-,0,,4,,,-,,-,,-,45,,137,,,-,28,,,-,0,,3,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,1,2,,3,,10,,2,,3,,52,,424,,646,,52,,309,,9,,5,,15,,9,,15,,,
W.S. CENTRAL,2016,1,1,,6,,15,,1,,3,,1024,,1056,,1786,,1024,,1172,,1,,4,,11,,1,,6,,,
MOUNTAIN,2016,1,5,,17,,49,,5,,12,,142,,377,,523,,142,,444,,6,,8,,15,,6,,15,,,
PACIFIC,2016,1,12,,58,,89,,12,,51,,761,,1276,,1570,,761,,1323,,1,,3,,11,,1,,3,,,
AMER. SAMOA,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,1,,-,0,,0,,,-,,-,,-,1,,6,,,-,,-,,N,0,,0,,,N,,N,"VIRGIN ISL.
",
MASSACHUSETTS,2016,1,8,,13,,26,,8,,8,,52,,74,,109,,52,,81,,2,,2,,7,,2,,2,,"MASSACHUSETTS
(42.268546, -72.085064)",
MISSISSIPPI,2016,1,,N,0,,0,,,N,,N,,-,71,,238,,,-,2,,1,,1,,2,,1,,1,,"MISSISSIPPI
(32.738663, -89.537312)",
INDIANA,2016,1,,-,3,,11,,,-,,-,125,,144,,304,,125,,155,,,-,2,,5,,,-,2,,"INDIANA
(39.76845, -86.156212)",
MISSOURI,2016,1,,-,0,,10,,,-,3,,185,,174,,227,,185,,166,,,-,0,,3,,,-,1,,"MISSOURI
(38.636168, -92.566292)",
LOUISIANA,2016,1,,-,3,,11,,,-,2,,272,,148,,764,,272,,42,,,-,1,,5,,,-,1,,"LOUISIANA
(31.2931, -92.463284)",
TENNESSEE,2016,1,,N,0,,0,,,N,,N,52,,146,,242,,52,,146,,8,,3,,9,,8,,7,,"TENNESSEE
(35.681402, -85.774444)",
NEBRASKA,2016,1,4,,2,,9,,4,,2,,19,,31,,64,,19,,52,,,-,0,,3,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
ALABAMA,2016,1,2,,3,,10,,2,,3,,,-,126,,250,,,-,143,,,-,1,,6,,,-,3,,"ALABAMA
(32.839182, -86.631125)",
TEXAS,2016,1,,N,0,,0,,,N,,N,749,,749,,1417,,749,,1015,,,-,0,,2,,,-,2,,"TEXAS
(31.827233, -99.423022)",
COLORADO,2016,1,,-,6,,20,,,-,,-,101,,83,,172,,101,,83,,,-,2,,5,,,-,5,,"COLORADO
(38.841772, -106.132562)",
NEW YORK,2016,1,5,,15,,33,,5,,7,,57,,169,,237,,57,,64,,2,,3,,11,,2,,2,,"NEW YORK
(42.826892, -75.544286)",
MARYLAND,2016,1,4,,5,,13,,4,,7,,,-,118,,189,,,-,22,,6,,1,,6,,6,,4,,"MARYLAND
(39.290443, -76.612333)",
ARIZONA,2016,1,2,,2,,8,,2,,1,,,-,151,,206,,,-,127,,5,,2,,8,,5,,5,,"ARIZONA
(34.869712, -111.760902)",
GUAM,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
SOUTH CAROLINA,2016,1,2,,2,,9,,2,,2,,168,,161,,271,,168,,124,,,-,2,,5,,,-,5,,"SOUTH CAROLINA
(34.009286, -81.037094)",
GEORGIA,2016,1,,-,0,,33,,,-,8,,,-,300,,363,,,-,279,,1,,3,,14,,1,,3,,"GEORGIA
(32.836038, -83.631709)",
SOUTH DAKOTA,2016,1,,-,2,,8,,,-,,-,,-,16,,32,,,-,19,,,-,0,,1,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
HAWAII,2016,1,,-,0,,3,,,-,,-,,-,24,,38,,,-,30,,,-,0,,2,,,-,,-,"HAWAII
(21.30992, -157.858158)",
CALIFORNIA,2016,1,7,,40,,65,,7,,45,,585,,1046,,1211,,585,,1110,,,-,1,,5,,,-,1,,"CALIFORNIA
(37.640735, -121.002435)",
OHIO,2016,1,9,,7,,15,,9,,7,,117,,312,,397,,117,,333,,8,,3,,11,,8,,11,,"OHIO
(40.056807, -82.405897)",
PUERTO RICO,2016,1,,-,0,,3,,,-,,-,,-,8,,39,,,-,3,,,-,0,,1,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
WEST VIRGINIA,2016,1,,-,1,,5,,,-,1,,,-,13,,31,,,-,31,,,-,1,,3,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
NORTH CAROLINA,2016,1,,N,0,,0,,,N,,N,,-,312,,1026,,,-,403,,,-,3,,10,,,-,5,,"NORTH CAROLINA
(35.47995, -79.180571)",
MINNESOTA,2016,1,,-,0,,1,,,-,,-,,-,77,,98,,,-,84,,,-,1,,10,,,-,10,,"MINNESOTA
(44.943719, -93.094281)",
WYOMING,2016,1,,-,0,,3,,,-,,-,,-,2,,9,,,-,1,,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NORTH DAKOTA,2016,1,,-,0,,3,,,-,2,,,-,12,,20,,,-,12,,,-,0,,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEVADA,2016,1,,-,1,,3,,,-,1,,,-,50,,130,,,-,130,,,-,0,,2,,,-,2,,"NEVADA
(39.491833, -117.070159)",
KENTUCKY,2016,1,,-,0,,1,,,-,,N,,-,75,,183,,,-,18,,,-,0,,4,,,-,4,,"KENTUCKY
(37.64591, -84.774043)",
MAINE,2016,1,2,,2,,9,,2,,,-,,-,8,,20,,,-,5,,,-,1,,3,,,-,,-,"MAINE
(45.252223, -68.986647)",
ILLINOIS,2016,1,,N,0,,0,,,N,,N,13,,276,,357,,13,,285,,1,,3,,8,,1,,3,,"ILLINOIS
(40.477092, -88.993221)",
VIRGINIA,2016,1,1,,5,,14,,1,,3,,332,,150,,336,,332,,107,,,-,2,,6,,,-,3,,"VIRGINIA
(37.542699, -78.45822)",
IOWA,2016,1,,-,1,,10,,,-,1,,7,,41,,66,,7,,24,,,-,0,,1,,,-,,-,"IOWA
(42.46942, -93.815856)",
UTAH,2016,1,2,,3,,15,,2,,5,,13,,25,,40,,13,,26,,,-,1,,4,,,-,1,,"UTAH
(39.359772, -111.584173)",
DELAWARE,2016,1,,-,0,,3,,,-,,-,21,,35,,66,,21,,16,,,-,0,,2,,,-,1,,"DELAWARE
(39.008676, -75.574561)",
RHODE ISLAND,2016,1,,-,0,,7,,,-,,-,,-,10,,29,,,-,12,,,-,0,,2,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
ARKANSAS,2016,1,1,,2,,6,,1,,1,,3,,92,,222,,3,,1,,1,,1,,3,,1,,1,,"ARKANSAS
(34.748745, -92.275105)",
OKLAHOMA,2016,1,,N,0,,0,,,N,,N,,-,92,,114,,,-,114,,,-,2,,6,,,-,2,,"OKLAHOMA
(35.468494, -97.521264)",
IDAHO,2016,1,1,,3,,9,,1,,1,,,-,8,,19,,,-,11,,,-,0,,2,,,-,,-,"IDAHO
(43.680635, -114.364237)",
PENNSYLVANIA,2016,1,4,,12,,22,,4,,14,,300,,245,,329,,300,,214,,3,,4,,10,,3,,8,,"PENNSYLVANIA
(40.789676, -77.858055)",
ALASKA,2016,1,,-,1,,6,,,-,,-,6,,16,,28,,6,,17,,,-,0,,3,,,-,,-,"ALASKA
(64.836661, -147.738891)",
WASHINGTON,2016,1,,-,7,,51,,,-,,-,134,,134,,240,,134,,110,,,-,0,,2,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
FLORIDA,2016,1,10,,20,,34,,10,,13,,117,,457,,572,,117,,295,,9,,3,,58,,9,,7,,"FLORIDA
(28.915325, -81.922409)",
MICHIGAN,2016,1,2,,8,,19,,2,,6,,128,,194,,278,,128,,190,,4,,2,,7,,4,,7,,"MICHIGAN
(44.66399, -84.711206)",
OREGON,2016,1,5,,6,,15,,5,,6,,36,,62,,99,,36,,56,,1,,2,,5,,1,,2,,"OREGON
(44.567912, -120.156945)",
WISCONSIN,2016,1,,-,7,,34,,,-,9,,85,,94,,162,,85,,74,,,-,2,,5,,,-,4,,"WISCONSIN
(44.395526, -89.834513)",
VERMONT,2016,1,,N,0,,0,,,N,,N,,-,3,,8,,,-,1,,,-,0,,1,,,-,1,,"VERMONT
(43.622479, -72.51927)",
NEW JERSEY,2016,1,,-,0,,9,,,-,7,,57,,140,,169,,57,,159,,,-,2,,6,,,-,3,,"NEW JERSEY
(40.104655, -74.386686)",
MONTANA,2016,1,,-,1,,6,,,-,2,,22,,17,,23,,22,,10,,1,,0,,2,,1,,,-,"MONTANA
(47.062617, -109.430168)",
NEW HAMPSHIRE,2016,1,,-,2,,6,,,-,2,,,-,5,,13,,,-,1,,,-,0,,2,,,-,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
CONNECTICUT,2016,1,,-,4,,10,,,-,6,,,-,38,,56,,,-,19,,,-,0,,3,,,-,2,,"CONNECTICUT
(41.544654, -72.651713)",
NEW MEXICO,2016,1,,-,1,,4,,,-,2,,6,,44,,80,,6,,56,,,-,1,,5,,,-,2,,"NEW MEXICO
(34.520396, -106.244402)",
KANSAS,2016,1,,-,2,,7,,,-,,-,13,,50,,63,,13,,59,,,-,1,,3,,,-,,-,"KANSAS
(38.345528, -98.201847)",
UNITED STATES,2016,2,90,,232,,335,,201,,391,,3751,,7155,,8347,,9159,,13700,,52,,72,,110,,130,,231,,,
NEW ENGLAND,2016,2,,-,20,,40,,12,,34,,3,,136,,196,,59,,254,,,-,5,,10,,2,,7,,,
MID. ATLANTIC,2016,2,23,,47,,74,,45,,87,,609,,877,,1037,,1349,,1653,,4,,11,,18,,11,,30,,,
NEW YORK CITY,2016,2,14,,16,,29,,27,,26,,86,,327,,399,,268,,707,,,-,1,,6,,2,,9,,"NEW YORK CITY
",
E.N. CENTRAL,2016,2,13,,25,,58,,27,,51,,476,,1007,,1296,,1287,,2063,,5,,13,,22,,27,,43,,,
W.N. CENTRAL,2016,2,1,,9,,30,,6,,16,,173,,401,,487,,496,,830,,,-,3,,12,,,-,20,,,
S. ATLANTIC,2016,2,28,,41,,64,,47,,63,,565,,1614,,2227,,1283,,2555,,26,,17,,67,,47,,59,,,
DIST. OF COL.,2016,2,,-,0,,4,,,-,2,,,-,45,,137,,,-,35,,,-,0,,3,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,2,1,,3,,10,,3,,8,,132,,430,,646,,250,,778,,3,,5,,11,,13,,26,,,
W.S. CENTRAL,2016,2,4,,6,,15,,5,,4,,1031,,1056,,1786,,2210,,2214,,3,,4,,11,,4,,11,,,
MOUNTAIN,2016,2,4,,18,,51,,12,,26,,125,,387,,526,,307,,740,,10,,8,,15,,20,,28,,,
PACIFIC,2016,2,16,,59,,115,,44,,102,,637,,1278,,1587,,1918,,2613,,1,,4,,11,,6,,7,,,
AMER. SAMOA,2016,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,2,,-,0,,0,,,-,,-,,-,1,,6,,,-,1,,,N,0,,0,,,N,,N,"VIRGIN ISL.
",
MAINE,2016,2,,-,2,,9,,2,,2,,,-,8,,20,,,-,10,,,-,1,,3,,,-,,-,"MAINE
(45.252223, -68.986647)",
SOUTH DAKOTA,2016,2,,-,2,,8,,,-,,-,,-,15,,32,,,-,38,,,-,0,,1,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW MEXICO,2016,2,,-,1,,4,,,-,5,,4,,44,,81,,24,,120,,,-,1,,5,,,-,4,,"NEW MEXICO
(34.520396, -106.244402)",
MISSOURI,2016,2,,-,0,,10,,,-,5,,153,,176,,227,,368,,347,,,-,0,,3,,,-,3,,"MISSOURI
(38.636168, -92.566292)",
C.N.M.I.,2016,23,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
INDIANA,2016,2,,-,3,,11,,,-,4,,69,,144,,304,,232,,272,,,-,2,,5,,1,,5,,"INDIANA
(39.76845, -86.156212)",
FLORIDA,2016,2,22,,20,,34,,32,,22,,245,,458,,637,,431,,691,,16,,3,,58,,25,,14,,"FLORIDA
(28.915325, -81.922409)",
NORTH CAROLINA,2016,2,,N,0,,0,,,N,,N,,-,308,,1026,,,-,542,,,-,3,,10,,,-,6,,"NORTH CAROLINA
(35.47995, -79.180571)",
NEBRASKA,2016,2,1,,2,,9,,5,,6,,12,,30,,63,,34,,86,,,-,0,,3,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
ARKANSAS,2016,2,4,,2,,6,,5,,1,,31,,92,,222,,47,,2,,1,,1,,3,,2,,2,,"ARKANSAS
(34.748745, -92.275105)",
OREGON,2016,2,1,,6,,15,,7,,14,,72,,62,,99,,116,,117,,,-,2,,5,,4,,5,,"OREGON
(44.567912, -120.156945)",
WEST VIRGINIA,2016,2,,-,1,,5,,,-,1,,,-,13,,28,,,-,49,,,-,1,,3,,,-,2,,"WEST VIRGINIA
(38.668501, -80.709421)",
ILLINOIS,2016,2,,N,0,,0,,,N,,N,24,,277,,358,,112,,581,,,-,4,,8,,3,,7,,"ILLINOIS
(40.477092, -88.993221)",
WISCONSIN,2016,2,3,,7,,34,,4,,16,,86,,97,,162,,201,,170,,,-,2,,5,,2,,5,,"WISCONSIN
(44.395526, -89.834513)",
ALABAMA,2016,2,1,,3,,10,,3,,8,,,-,126,,250,,52,,294,,,-,1,,6,,1,,5,,"ALABAMA
(32.839182, -86.631125)",
NORTH DAKOTA,2016,2,,-,0,,3,,,-,2,,,-,12,,20,,,-,26,,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
CONNECTICUT,2016,2,,-,4,,10,,1,,10,,,-,39,,87,,,-,48,,,-,1,,3,,,-,2,,"CONNECTICUT
(41.544654, -72.651713)",
OHIO,2016,2,8,,7,,15,,17,,15,,163,,311,,397,,437,,652,,5,,3,,8,,13,,16,,"OHIO
(40.056807, -82.405897)",
TENNESSEE,2016,2,,N,0,,0,,,N,,N,88,,145,,242,,140,,388,,3,,3,,9,,11,,11,,"TENNESSEE
(35.681402, -85.774444)",
MISSISSIPPI,2016,2,,N,0,,0,,,N,,N,,-,72,,238,,,-,35,,,-,1,,2,,1,,3,,"MISSISSIPPI
(32.738663, -89.537312)",
CALIFORNIA,2016,2,8,,40,,66,,30,,87,,467,,1046,,1223,,1558,,2177,,1,,1,,5,,2,,1,,"CALIFORNIA
(37.640735, -121.002435)",
WYOMING,2016,2,,-,0,,4,,,-,,-,,-,2,,9,,,-,1,,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
PUERTO RICO,2016,2,,-,0,,3,,,-,,-,,-,9,,39,,,-,5,,,-,0,,1,,,-,1,,"PUERTO RICO
(18.215692, -66.414655)",
OKLAHOMA,2016,2,,N,0,,0,,,N,,N,22,,91,,114,,82,,217,,2,,2,,6,,2,,6,,"OKLAHOMA
(35.468494, -97.521264)",
PENNSYLVANIA,2016,2,9,,12,,22,,13,,26,,284,,247,,364,,648,,449,,4,,4,,10,,7,,12,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW JERSEY,2016,2,,-,0,,9,,,-,14,,65,,139,,169,,202,,299,,,-,2,,6,,,-,5,,"NEW JERSEY
(40.104655, -74.386686)",
UTAH,2016,2,,-,3,,15,,2,,9,,11,,25,,40,,39,,60,,1,,1,,4,,1,,3,,"UTAH
(39.359772, -111.584173)",
RHODE ISLAND,2016,2,,-,0,,7,,,-,,-,2,,10,,29,,3,,24,,,-,0,,2,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MONTANA,2016,2,,-,1,,6,,1,,2,,26,,17,,25,,51,,28,,,-,0,,2,,1,,,-,"MONTANA
(47.062617, -109.430168)",
DELAWARE,2016,2,,-,0,,3,,,-,2,,25,,35,,66,,46,,32,,1,,0,,2,,1,,1,,"DELAWARE
(39.008676, -75.574561)",
NEW YORK,2016,2,,-,15,,33,,5,,21,,174,,169,,266,,231,,198,,,-,3,,12,,2,,4,,"NEW YORK
(42.826892, -75.544286)",
LOUISIANA,2016,2,,-,3,,11,,,-,3,,245,,153,,764,,517,,173,,,-,1,,5,,,-,1,,"LOUISIANA
(31.2931, -92.463284)",
IOWA,2016,2,,-,1,,10,,1,,1,,3,,42,,66,,49,,59,,,-,0,,1,,,-,,-,"IOWA
(42.46942, -93.815856)",
MICHIGAN,2016,2,2,,8,,19,,6,,16,,134,,194,,278,,305,,388,,,-,2,,8,,8,,10,,"MICHIGAN
(44.66399, -84.711206)",
TEXAS,2016,2,,N,0,,0,,,N,,N,733,,749,,1417,,1564,,1822,,,-,0,,1,,,-,2,,"TEXAS
(31.827233, -99.423022)",
ALASKA,2016,2,3,,2,,6,,3,,,-,1,,17,,28,,13,,36,,,-,0,,3,,,-,1,,"ALASKA
(64.836661, -147.738891)",
NEW HAMPSHIRE,2016,2,,-,2,,6,,1,,3,,,-,5,,13,,,-,7,,,-,0,,2,,,-,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
KANSAS,2016,2,,-,2,,7,,,-,2,,5,,49,,63,,45,,99,,,-,1,,3,,,-,,-,"KANSAS
(38.345528, -98.201847)",
GEORGIA,2016,2,,-,0,,33,,,-,12,,,-,310,,395,,,-,557,,2,,3,,14,,5,,12,,"GEORGIA
(32.836038, -83.631709)",
COLORADO,2016,2,,-,6,,20,,,-,1,,84,,83,,172,,193,,130,,1,,1,,5,,1,,9,,"COLORADO
(38.841772, -106.132562)",
VIRGINIA,2016,2,1,,5,,14,,2,,8,,87,,152,,336,,419,,259,,,-,2,,6,,,-,8,,"VIRGINIA
(37.542699, -78.45822)",
ARIZONA,2016,2,,-,2,,8,,4,,3,,,-,151,,226,,,-,249,,7,,2,,9,,16,,8,,"ARIZONA
(34.869712, -111.760902)",
HAWAII,2016,2,,-,0,,3,,,-,1,,,-,24,,38,,,-,59,,,-,0,,2,,,-,,-,"HAWAII
(21.30992, -157.858158)",
VERMONT,2016,2,,N,0,,0,,,N,,N,1,,3,,8,,4,,2,,,-,0,,1,,,-,2,,"VERMONT
(43.622479, -72.51927)",
IDAHO,2016,2,4,,3,,9,,5,,3,,,-,8,,19,,,-,15,,1,,0,,2,,1,,1,,"IDAHO
(43.680635, -114.364237)",
MINNESOTA,2016,2,,-,0,,1,,,-,,-,,-,76,,98,,,-,175,,,-,1,,8,,,-,16,,"MINNESOTA
(44.943719, -93.094281)",
MARYLAND,2016,2,4,,5,,13,,10,,13,,,-,118,,189,,,-,102,,4,,1,,6,,10,,8,,"MARYLAND
(39.290443, -76.612333)",
MASSACHUSETTS,2016,2,,-,13,,26,,8,,19,,,-,73,,109,,52,,163,,,-,2,,7,,2,,2,,"MASSACHUSETTS
(42.268546, -72.085064)",
KENTUCKY,2016,2,,-,0,,2,,,-,,N,44,,75,,183,,58,,61,,,-,0,,3,,,-,7,,"KENTUCKY
(37.64591, -84.774043)",
SOUTH CAROLINA,2016,2,1,,2,,9,,3,,3,,208,,162,,271,,387,,288,,3,,2,,5,,6,,8,,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEVADA,2016,2,,-,1,,4,,,-,3,,,-,50,,75,,,-,137,,,-,0,,3,,,-,3,,"NEVADA
(39.491833, -117.070159)",
WASHINGTON,2016,2,4,,7,,73,,4,,,-,97,,134,,240,,231,,224,,,-,0,,2,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
GUAM,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
UNITED STATES,2016,3,103,,232,,335,,360,,590,,3711,,7182,,8367,,15619,,20515,,44,,72,,110,,195,,314,,,
NEW ENGLAND,2016,3,,-,20,,40,,12,,53,,10,,136,,196,,73,,376,,,-,5,,10,,2,,15,,,
MID. ATLANTIC,2016,3,36,,47,,74,,95,,133,,563,,887,,1039,,2498,,2494,,8,,11,,22,,23,,40,,,
NEW YORK CITY,2016,3,10,,16,,29,,37,,43,,193,,329,,399,,891,,1016,,1,,1,,5,,3,,12,,"NEW YORK CITY
",
E.N. CENTRAL,2016,3,11,,25,,58,,43,,75,,485,,1008,,1300,,2267,,3087,,5,,13,,23,,33,,53,,,
W.N. CENTRAL,2016,3,3,,9,,30,,13,,21,,157,,402,,489,,828,,1252,,,-,3,,12,,1,,25,,,
S. ATLANTIC,2016,3,23,,41,,64,,72,,104,,531,,1615,,2227,,2202,,3864,,9,,17,,67,,58,,83,,,
DIST. OF COL.,2016,3,,-,0,,4,,,-,2,,2,,45,,137,,26,,43,,1,,0,,3,,1,,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,3,3,,3,,10,,12,,10,,151,,424,,646,,436,,1166,,5,,5,,13,,23,,32,,,
W.S. CENTRAL,2016,3,1,,6,,15,,7,,9,,1078,,1064,,1786,,3448,,3354,,8,,4,,11,,14,,14,,,
MOUNTAIN,2016,3,8,,18,,51,,22,,44,,113,,389,,528,,575,,1112,,8,,8,,17,,32,,40,,,
PACIFIC,2016,3,18,,59,,127,,84,,141,,623,,1273,,1595,,3292,,3810,,1,,4,,11,,9,,12,,,
AMER. SAMOA,2016,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,3,,-,0,,0,,,-,,-,,-,1,,6,,,-,2,,,N,0,,0,,,N,,N,"VIRGIN ISL.
",
MARYLAND,2016,3,3,,5,,13,,14,,18,,,-,118,,189,,,-,193,,3,,1,,6,,12,,11,,"MARYLAND
(39.290443, -76.612333)",
UTAH,2016,3,1,,3,,15,,3,,12,,9,,25,,40,,71,,84,,,-,1,,4,,2,,3,,"UTAH
(39.359772, -111.584173)",
NORTH DAKOTA,2016,3,,-,0,,3,,1,,2,,3,,12,,20,,20,,40,,,-,0,,2,,1,,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
WYOMING,2016,3,,-,0,,4,,,-,1,,,-,2,,9,,,-,4,,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEBRASKA,2016,3,3,,2,,9,,8,,6,,14,,30,,63,,49,,113,,,-,0,,3,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
CONNECTICUT,2016,3,,-,4,,10,,1,,14,,9,,39,,89,,10,,81,,,-,1,,3,,,-,4,,"CONNECTICUT
(41.544654, -72.651713)",
WISCONSIN,2016,3,1,,7,,34,,8,,19,,103,,99,,162,,353,,247,,,-,2,,5,,2,,6,,"WISCONSIN
(44.395526, -89.834513)",
ALASKA,2016,3,1,,2,,6,,5,,1,,,-,17,,28,,34,,58,,1,,0,,3,,1,,1,,"ALASKA
(64.836661, -147.738891)",
CALIFORNIA,2016,3,14,,40,,66,,65,,119,,409,,1046,,1231,,2693,,3115,,,-,1,,5,,2,,2,,"CALIFORNIA
(37.640735, -121.002435)",
NEW YORK,2016,3,17,,15,,33,,34,,33,,138,,169,,275,,370,,310,,5,,3,,19,,7,,7,,"NEW YORK
(42.826892, -75.544286)",
PENNSYLVANIA,2016,3,9,,11,,22,,24,,36,,192,,249,,369,,906,,733,,2,,4,,10,,12,,14,,"PENNSYLVANIA
(40.789676, -77.858055)",
MICHIGAN,2016,3,2,,8,,19,,10,,21,,147,,194,,278,,521,,582,,,-,2,,8,,8,,11,,"MICHIGAN
(44.66399, -84.711206)",
SOUTH DAKOTA,2016,3,,-,2,,8,,,-,1,,,-,13,,32,,,-,61,,,-,0,,1,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
GUAM,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MAINE,2016,3,,-,2,,9,,2,,4,,,-,8,,20,,,-,16,,,-,1,,3,,,-,3,,"MAINE
(45.252223, -68.986647)",
KENTUCKY,2016,3,,-,0,,2,,,-,,-,,-,75,,183,,58,,116,,,-,0,,3,,,-,7,,"KENTUCKY
(37.64591, -84.774043)",
SOUTH CAROLINA,2016,3,1,,2,,9,,4,,8,,156,,162,,271,,562,,437,,,-,2,,5,,6,,12,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MINNESOTA,2016,3,,-,0,,1,,,-,,-,,-,77,,98,,,-,252,,,-,1,,8,,,-,18,,"MINNESOTA
(44.943719, -93.094281)",
MISSOURI,2016,3,,-,0,,10,,,-,6,,131,,176,,229,,579,,550,,,-,0,,3,,,-,5,,"MISSOURI
(38.636168, -92.566292)",
ALABAMA,2016,3,3,,3,,10,,12,,10,,123,,126,,250,,210,,416,,,-,1,,6,,4,,7,,"ALABAMA
(32.839182, -86.631125)",
ARKANSAS,2016,3,1,,2,,7,,7,,1,,21,,92,,222,,102,,3,,3,,1,,3,,5,,3,,"ARKANSAS
(34.748745, -92.275105)",
