Reporting Area,MMWR Year,MMWR Week,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2015","Cryptosporidiosis, Cum 2015, flag","Cryptosporidiosis, Cum 2014","Cryptosporidiosis, Cum 2014, flag","Dengue Fever, Current week","Dengue§, Current week, flag","Dengue§, Previous 52 weeks Med","Dengue§, Previous 52 weeks Med, flag","Dengue§, Previous 52 weeks Max","Dengue§, Previous 52 weeks Max, flag","Dengue§, Cum 2015","Dengue§, Cum 2015, flag","Dengue§, Cum 2014","Dengue§, Cum 2014, flag","Dengue Hemorrhagic Fever, Current week","Dengue Severe, Current week, flag","Dengue Severe, Previous 52 weeks Med","Dengue Severe, Previous 52 weeks Med, flag","Dengue Severe, Previous 52 weeks Max","Dengue Severe, Previous 52 weeks Max, flag","Dengue Severe, Cum 2015","Dengue Severe, Cum 2015, flag","Dengue Severe, Cum 2014","Dengue Severe, Cum 2014, flag",Location 1,Location 2
WISCONSIN,2015,1,1,,7,,32,,1,,7,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
MICHIGAN,2015,1,1,,4,,13,,1,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
KENTUCKY,2015,1,,-,1,,6,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
CALIFORNIA,2015,1,,-,6,,19,,,-,3,,,-,1,,7,,,-,3,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
ALABAMA,2015,1,5,,3,,8,,5,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.84057234800002, -86.63185738799996)",
IOWA,2015,1,1,,4,,13,,1,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
VERMONT,2015,1,,-,0,,7,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
INDIANA,2015,1,,-,3,,11,,,-,3,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"INDIANA
(39.766913353000064, -86.14995646699998)",
KANSAS,2015,1,,-,1,,4,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.347742794000055, -98.20077822999997)",
RHODE ISLAND,2015,1,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
SOUTH DAKOTA,2015,1,,-,2,,9,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
MONTANA,2015,1,,-,1,,5,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
OKLAHOMA,2015,1,,-,1,,10,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
NORTH DAKOTA,2015,1,,-,1,,16,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
TEXAS,2015,1,,-,6,,20,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"TEXAS
(31.827240467000024, -99.42676785299994)",
NEVADA,2015,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.49324221300003, -117.07183885899997)",
ARIZONA,2015,1,,-,1,,5,,,-,,-,,-,0,,11,,,-,,-,,-,0,,0,,,-,,-,"ARIZONA
(34.86597351900008, -111.76380664699997)",
GEORGIA,2015,1,11,,4,,16,,11,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"GEORGIA
(32.839683200000024, -83.62757885599996)",
NEW YORK,2015,1,3,,4,,14,,3,,1,,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,"NEW YORK
(42.82700376100007, -75.54396609999998)",
MINNESOTA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
OREGON,2015,1,,-,2,,7,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.56745049300008, -120.15502935599994)",
ALASKA,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.84507799500005, -147.72205958799998)",
PENNSYLVANIA,2015,1,,-,6,,15,,,-,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
VIRGINIA,2015,1,,-,2,,8,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
GUAM,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
HAWAII,2015,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30485232600006, -157.85774798099996)",
MISSISSIPPI,2015,1,,-,1,,6,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
UTAH,2015,1,2,,1,,4,,2,,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.36070123200005, -111.58712831499997)",
NEW YORK CITY,2015,1,,-,2,,7,,,-,1,,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
LOUISIANA,2015,1,2,,3,,17,,2,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
WASHINGTON,2015,1,,-,0,,9,,,-,,-,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
SOUTH CAROLINA,2015,1,1,,1,,4,,1,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
TENNESSEE,2015,1,6,,2,,12,,6,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
WYOMING,2015,1,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
PUERTO RICO,2015,1,,N,0,,0,,,N,,N,,-,6,,40,,,-,29,,,-,0,,1,,,-,,-,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
NEW JERSEY,2015,1,,-,0,,2,,,-,,-,,-,1,,6,,,-,1,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
NEBRASKA,2015,1,,-,2,,9,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
ARKANSAS,2015,1,1,,1,,12,,1,,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
MASSACHUSETTS,2015,1,,-,2,,9,,,-,1,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
NORTH CAROLINA,2015,1,24,,0,,42,,24,,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
NEW MEXICO,2015,1,,-,1,,7,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
FLORIDA,2015,1,9,,18,,123,,9,,8,,,-,1,,5,,,-,3,,,-,0,,0,,,-,,-,"FLORIDA
(28.932042722000062, -81.92895768899996)",
CONNECTICUT,2015,1,,-,1,,3,,,-,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
MISSOURI,2015,1,4,,3,,13,,4,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSOURI
(38.63579147100006, -92.56629944499997)",
IDAHO,2015,1,,-,1,,14,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.68263174800006, -114.36372693399994)",
MAINE,2015,1,,-,1,,4,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.25422910300006, -68.98502586699993)",
NEW HAMPSHIRE,2015,1,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
DELAWARE,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.00883389200004, -75.57773597599999)",
COLORADO,2015,1,,-,1,,6,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.84384342200008, -106.13360911499996)",
UNITED STATES,2015,2,41,,114,,334,,127,,136,,,-,8,,23,,,-,22,,,-,0,,0,,,-,,-,,
NEW ENGLAND,2015,2,,-,5,,17,,1,,9,,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2015,2,4,,11,,34,,8,,16,,,-,2,,9,,,-,2,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2015,2,7,,21,,69,,15,,30,,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,,
W.N. CENTRAL,2015,2,4,,14,,39,,11,,23,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
S. ATLANTIC,2015,2,20,,32,,150,,67,,25,,,-,2,,6,,,-,6,,,-,0,,0,,,-,,-,,
DIST. OF COL.,2015,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,2,1,,7,,20,,13,,10,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2015,2,2,,12,,31,,5,,7,,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,
MOUNTAIN,2015,2,2,,8,,21,,6,,9,,,-,0,,11,,,-,3,,,-,0,,0,,,-,,-,,
PACIFIC,2015,2,1,,9,,24,,1,,7,,,-,1,,7,,,-,8,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2015,2,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,2,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
OKLAHOMA,2015,2,,-,1,,10,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
WYOMING,2015,2,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
MAINE,2015,2,,-,1,,4,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.25422910300006, -68.98502586699993)",
TENNESSEE,2015,2,1,,2,,12,,7,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
GUAM,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
GEORGIA,2015,2,6,,4,,13,,18,,6,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"GEORGIA
(32.839683200000024, -83.62757885599996)",
NEW MEXICO,2015,2,,-,1,,7,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
ALASKA,2015,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.84507799500005, -147.72205958799998)",
IDAHO,2015,2,1,,1,,14,,1,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.68263174800006, -114.36372693399994)",
MINNESOTA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
ARKANSAS,2015,2,1,,1,,12,,2,,1,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
DELAWARE,2015,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.00883389200004, -75.57773597599999)",
NEW JERSEY,2015,2,,-,0,,2,,,-,2,,,-,1,,6,,,-,1,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
MARYLAND,2015,2,3,,1,,6,,4,,1,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MARYLAND
(39.290582950000044, -76.60925984299996)",
MISSISSIPPI,2015,2,,-,1,,6,,,-,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
WISCONSIN,2015,2,1,,7,,32,,3,,11,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
PUERTO RICO,2015,2,,N,0,,0,,,N,,N,,-,6,,38,,,-,69,,,-,0,,1,,,-,,-,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
NEBRASKA,2015,2,2,,2,,9,,2,,4,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
RHODE ISLAND,2015,2,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
SOUTH CAROLINA,2015,2,,-,1,,4,,1,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
MICHIGAN,2015,2,1,,4,,13,,2,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
ILLINOIS,2015,2,,-,2,,9,,,-,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
KENTUCKY,2015,2,,-,1,,6,,,-,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
SOUTH DAKOTA,2015,2,,-,2,,9,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
IOWA,2015,2,,-,4,,13,,2,,11,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
NEW YORK CITY,2015,2,2,,2,,7,,2,,2,,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
COLORADO,2015,2,,-,1,,6,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.84384342200008, -106.13360911499996)",
VIRGINIA,2015,2,,-,2,,8,,,-,1,,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
VERMONT,2015,2,,-,0,,7,,,-,2,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
NORTH CAROLINA,2015,2,,-,0,,42,,24,,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
ALABAMA,2015,2,,-,3,,8,,6,,6,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.84057234800002, -86.63185738799996)",
OREGON,2015,2,,-,2,,7,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.56745049300008, -120.15502935599994)",
FLORIDA,2015,2,11,,18,,123,,20,,16,,,-,1,,5,,,-,6,,,-,0,,0,,,-,,-,"FLORIDA
(28.932042722000062, -81.92895768899996)",
MONTANA,2015,2,,-,1,,5,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
NEW HAMPSHIRE,2015,2,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
WASHINGTON,2015,2,,-,0,,9,,,-,,-,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
NEVADA,2015,2,,-,0,,2,,1,,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"NEVADA
(39.49324221300003, -117.07183885899997)",
CALIFORNIA,2015,2,1,,6,,19,,1,,5,,,-,1,,7,,,-,6,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
MISSOURI,2015,2,2,,3,,13,,6,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSOURI
(38.63579147100006, -92.56629944499997)",
UTAH,2015,2,1,,1,,4,,4,,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.36070123200005, -111.58712831499997)",
KANSAS,2015,2,,-,1,,4,,1,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.347742794000055, -98.20077822999997)",
WEST VIRGINIA,2015,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
HAWAII,2015,2,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30485232600006, -157.85774798099996)",
ARIZONA,2015,2,,-,1,,5,,,-,1,,,-,0,,11,,,-,2,,,-,0,,0,,,-,,-,"ARIZONA
(34.86597351900008, -111.76380664699997)",
INDIANA,2015,2,,-,3,,11,,1,,5,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"INDIANA
(39.766913353000064, -86.14995646699998)",
NORTH DAKOTA,2015,2,,-,1,,16,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
CONNECTICUT,2015,2,,-,1,,3,,1,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
NEW YORK,2015,2,1,,4,,14,,4,,2,,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,"NEW YORK
(42.82700376100007, -75.54396609999998)",
TEXAS,2015,2,1,,7,,20,,1,,2,,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"TEXAS
(31.827240467000024, -99.42676785299994)",
MASSACHUSETTS,2015,2,,-,2,,9,,,-,4,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
OHIO,2015,2,5,,6,,15,,9,,8,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"OHIO
(40.060212455000055, -82.40425667899996)",
PENNSYLVANIA,2015,2,1,,6,,15,,2,,10,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
LOUISIANA,2015,2,,-,3,,17,,2,,4,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
UNITED STATES,2015,3,52,,114,,334,,213,,214,,,-,8,,24,,,-,35,,,-,0,,0,,,-,,-,,
NEW ENGLAND,2015,3,,-,5,,17,,1,,12,,,-,0,,3,,,-,3,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2015,3,9,,11,,34,,21,,24,,,-,2,,9,,,-,5,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2015,3,9,,21,,69,,27,,47,,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,,
W.N. CENTRAL,2015,3,5,,14,,39,,21,,31,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
S. ATLANTIC,2015,3,15,,32,,150,,84,,45,,,-,2,,6,,,-,10,,,-,0,,0,,,-,,-,,
DIST. OF COL.,2015,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,3,5,,7,,20,,20,,15,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2015,3,5,,12,,31,,18,,14,,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,,
MOUNTAIN,2015,3,2,,8,,21,,11,,11,,,-,0,,11,,,-,4,,,-,0,,0,,,-,,-,,
PACIFIC,2015,3,2,,9,,24,,10,,15,,,-,1,,7,,,-,9,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2015,3,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,3,,-,0,,0,,,-,,-,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
NEW JERSEY,2015,3,,-,0,,2,,,-,2,,,-,1,,6,,,-,1,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
IDAHO,2015,3,,-,1,,14,,2,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.68263174800006, -114.36372693399994)",
FLORIDA,2015,3,13,,18,,123,,33,,25,,,-,1,,5,,,-,7,,,-,0,,0,,,-,,-,"FLORIDA
(28.932042722000062, -81.92895768899996)",
NORTH CAROLINA,2015,3,,-,0,,42,,24,,3,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
IOWA,2015,3,,-,4,,13,,2,,14,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
MICHIGAN,2015,3,1,,4,,13,,4,,6,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
PENNSYLVANIA,2015,3,2,,6,,15,,6,,15,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
WISCONSIN,2015,3,2,,7,,32,,6,,16,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
VIRGINIA,2015,3,,-,2,,8,,,-,1,,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
NORTH DAKOTA,2015,3,,-,1,,16,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
