Reporting Area,MMWR Year,MMWR Week,"Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Med","Chlamydia trachomatis infection, Previous 52 weeks Med, flag","Chlamydia trachomatis infection, Previous 52 weeks Max","Chlamydia trachomatis infection, Previous 52 weeks Max, flag","Chlamydia trachomatis infection, Cum 2014","Chlamydia trachomatis infection, Cum 2014, flag","Chlamydia trachomatis infection, Cum 2013","Chlamydia trachomatis infection, Cum 2013, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Med","Coccidioidomycosis, Previous 52 weeks Med, flag","Coccidioidomycosis, Previous 52 weeks Max","Coccidioidomycosis, Previous 52 weeks Max, flag","Coccidioidomycosis, Cum 2014","Coccidioidomycosis, Cum 2014, flag","Coccidioidomycosis, Cum 2013","Coccidioidomycosis, Cum 2013, flag",Location 1,Location 2
WYOMING,2014,34,1,,31,,67,,941,,1347,,,-,0,,1,,2,,2,,"WYOMING
(43.235543013000495, -108.10982744299969)",
NORTH DAKOTA,2014,34,9,,62,,83,,2024,,1865,,,-,0,,2,,7,,7,,"NORTH DAKOTA
(47.47531892900048, -100.11842599699969)",
WASHINGTON,2014,34,401,,383,,596,,11370,,16391,,,N,0,,0,,,N,,N,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
PENNSYLVANIA,2014,34,923,,943,,1190,,31540,,34466,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
COLORADO,2014,34,277,,375,,592,,12912,,13578,,,N,0,,0,,,N,,N,"COLORADO
(38.84384201300048, -106.13360888799969)",
TEXAS,2014,34,2146,,2363,,2910,,78211,,87360,,,N,0,,0,,,N,,N,"TEXAS
(31.827240712000446, -99.4267664729997)",
MISSISSIPPI,2014,34,,-,252,,987,,7479,,11771,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
FLORIDA,2014,34,1026,,1612,,1828,,54146,,52309,,,N,0,,0,,,N,,N,"FLORIDA
(28.93204444200046, -81.92895558499964)",
ALASKA,2014,34,37,,110,,147,,3617,,3813,,,-,0,,0,,,-,,-,"ALASKA
(64.84507631500048, -147.72205669099972)",
INDIANA,2014,34,288,,545,,693,,17707,,18593,,,N,0,,0,,,N,,N,"INDIANA
(39.76691072200049, -86.14995579899966)",
NEBRASKA,2014,34,,-,149,,245,,4861,,4581,,,-,0,,1,,1,,1,,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
NEW YORK,2014,34,824,,755,,1866,,24035,,23202,,,N,0,,0,,,N,,N,"NEW YORK
(42.82700178100049, -75.54396639699968)",
GUAM,2014,34,,-,12,,22,,,-,660,,,-,0,,0,,,-,1,,"GUAM
(13.480998894000436, 144.73149801400064)",
VERMONT,2014,34,2,,36,,98,,1184,,1083,,,N,0,,0,,,N,,N,"VERMONT
(43.62538000100045, -72.51763944499965)",
OHIO,2014,34,334,,1042,,1179,,33616,,34897,,1,,0,,2,,11,,5,,"OHIO
(40.06021184000048, -82.40425685299965)",
IOWA,2014,34,16,,223,,263,,7275,,7096,,,N,0,,0,,,N,,N,"IOWA
(42.469401477000474, -93.81648936699969)",
VIRGINIA,2014,34,942,,701,,1267,,23875,,21795,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
OREGON,2014,34,283,,291,,395,,9991,,9361,,,-,0,,1,,3,,5,,"OREGON
(44.56745218600048, -120.15502977999972)",
UTAH,2014,34,51,,147,,179,,4747,,4875,,,-,1,,4,,22,,22,,"UTAH
(39.36070082200047, -111.5871285339997)",
PUERTO RICO,2014,34,55,,96,,318,,3231,,3686,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.24828934900046, -66.49988980099965)",
NORTH CAROLINA,2014,34,597,,914,,1840,,33885,,33537,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
ALABAMA,2014,34,,-,509,,734,,14527,,19734,,,N,0,,0,,,N,,N,"ALABAMA
(32.84057034900047, -86.63185803899967)",
MARYLAND,2014,34,,-,476,,804,,15219,,16363,,2,,0,,2,,7,,5,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
KANSAS,2014,34,121,,214,,258,,6836,,7283,,,N,0,,0,,,N,,N,"KANSAS
(38.3477418760005, -98.20077655499966)",
MONTANA,2014,34,19,,76,,104,,2552,,2429,,,-,0,,2,,8,,2,,"MONTANA
(47.06652759400049, -109.42441687999968)",
NEVADA,2014,34,,-,203,,604,,7398,,7690,,,-,1,,5,,43,,50,,"NEVADA
(39.493242807000456, -117.07183978499972)",
CALIFORNIA,2014,34,1489,,3098,,3528,,100644,,111345,,32,,51,,93,,1424,,1982,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
CONNECTICUT,2014,34,138,,239,,388,,8067,,8437,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
ARKANSAS,2014,34,283,,287,,424,,9988,,10575,,,N,0,,0,,,N,,N,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
MISSOURI,2014,34,180,,529,,627,,17204,,17878,,,-,0,,1,,5,,12,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
NEW YORK CITY,2014,34,,-,1132,,1267,,36251,,38298,,,N,0,,0,,,N,,N,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
IDAHO,2014,34,,-,94,,156,,1684,,3536,,,N,0,,0,,,N,,N,"IDAHO
(43.68263160000049, -114.3637261449997)",
KENTUCKY,2014,34,336,,321,,483,,10703,,11001,,,N,0,,0,,,N,,N,"KENTUCKY
(37.645970985000474, -84.77496612599964)",
MICHIGAN,2014,34,400,,812,,1091,,26517,,29286,,,-,0,,3,,26,,11,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
WISCONSIN,2014,34,267,,447,,539,,14238,,15365,,,-,0,,1,,2,,4,,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
MAINE,2014,34,,-,58,,106,,1163,,2197,,,N,0,,0,,,N,,N,"MAINE
(45.2542257390005, -68.98502952999962)",
SOUTH DAKOTA,2014,34,,-,69,,99,,1233,,2622,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
NEW MEXICO,2014,34,128,,221,,353,,7190,,8015,,,-,0,,2,,14,,20,,"NEW MEXICO
(34.520884020000494, -106.24057768899968)",
MASSACHUSETTS,2014,34,,-,390,,669,,11390,,15449,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
NEW JERSEY,2014,34,161,,566,,693,,18544,,18450,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
SOUTH CAROLINA,2014,34,532,,522,,926,,17674,,17330,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
MINNESOTA,2014,34,,-,346,,423,,9576,,12163,,,-,1,,6,,59,,43,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
HAWAII,2014,34,,-,121,,151,,3601,,4354,,,N,0,,0,,,N,,N,"HAWAII
(21.304853205000427, -157.85774691599974)",
DELAWARE,2014,34,63,,84,,220,,2693,,3282,,,-,0,,1,,,-,,-,"DELAWARE
(39.00883059000046, -75.57773943699965)",
OKLAHOMA,2014,34,74,,250,,394,,6823,,12242,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
NEW HAMPSHIRE,2014,34,5,,35,,76,,725,,2055,,,-,0,,2,,2,,1,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
RHODE ISLAND,2014,34,,-,86,,147,,2622,,2634,,,-,0,,1,,2,,,-,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
TENNESSEE,2014,34,214,,585,,871,,18374,,19910,,,N,0,,0,,,N,,N,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
GEORGIA,2014,34,1133,,1008,,2050,,29224,,32720,,,N,0,,0,,,N,,N,"GEORGIA
(32.83968158500045, -83.62757601199968)",
LOUISIANA,2014,34,5,,355,,1359,,8143,,16412,,,-,0,,1,,1,,3,,"LOUISIANA
(31.312664106000454, -92.44567554599968)",
WEST VIRGINIA,2014,34,78,,94,,127,,2980,,3254,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
ILLINOIS,2014,34,37,,946,,1441,,25770,,40974,,,N,0,,0,,,N,,N,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
