Reporting Area,MMWR Year,MMWR Week,"West Nile virus disease§, Neuroinvasive, Current week","West Nile virus disease§, Neuroinvasive, Current week, flag","West Nile virus disease§, Neuroinvasive, Previous 52 weeks Med","West Nile virus disease§, Neuroinvasive, Previous 52 weeks Med, flag","West Nile virus disease§, Neuroinvasive, Previous 52 weeks Max","West Nile virus disease§, Neuroinvasive, Previous 52 weeks Max, flag","West Nile virus disease§, Neuroinvasive, Cum 2016","West Nile virus disease§, Neuroinvasive, Cum 2016, flag","West Nile virus disease§, Neuroinvasive, Cum 2015","West Nile virus disease§, Neuroinvasive, Cum 2015, flag","West Nile virus disease§, Nonneuroinvasiveś, Current week","West Nile virus disease§, Nonneuroinvasiveś, Current week, flag","West Nile virus disease§, Nonneuroinvasiveś, Previous 52 weeks Med","West Nile virus disease§, Nonneuroinvasiveś, Previous 52 weeks Med, flag","West Nile virus disease§, Nonneuroinvasiveś, Previous 52 weeks Max","West Nile virus disease§, Nonneuroinvasiveś, Previous 52 weeks Max, flag","West Nile virus disease§, Nonneuroinvasiveś, Cum 2016","West Nile virus disease§, Nonneuroinvasiveś, Cum 2016, flag","West Nile virus disease§, Nonneuroinvasiveś, Cum 2015","West Nile virus disease§, Nonneuroinvasiveś, Cum 2015, flag",Location 1,Location 2
IDAHO,2016,1,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"IDAHO
(43.680635, -114.364237)",
MISSISSIPPI,2016,1,,-,0,,5,,,-,,-,,-,0,,3,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEW HAMPSHIRE,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW YORK,2016,1,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
NORTH CAROLINA,2016,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
VERMONT,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NEW JERSEY,2016,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
UTAH,2016,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"UTAH
(39.359772, -111.584173)",
WYOMING,2016,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
UNITED STATES,2016,2,,-,1,,146,,,-,,-,,-,1,,92,,,-,,-,,
NEW ENGLAND,2016,2,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,
MID. ATLANTIC,2016,2,,-,0,,10,,,-,,-,,-,0,,8,,,-,,-,,
NEW YORK CITY,2016,2,,-,0,,5,,,-,,-,,-,0,,2,,,-,,-,"NEW YORK CITY
",
E.N. CENTRAL,2016,2,,-,0,,21,,,-,,-,,-,0,,8,,,-,,-,,
W.N. CENTRAL,2016,2,,-,0,,11,,,-,,-,,-,0,,23,,,-,,-,,
S. ATLANTIC,2016,2,,-,0,,10,,,-,,-,,-,0,,8,,,-,,-,,
DIST. OF COL.,2016,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,2,,-,0,,5,,,-,,-,,-,0,,3,,,-,,-,,
W.S. CENTRAL,2016,2,,-,1,,34,,,-,,-,,-,0,,18,,,-,,-,,
MOUNTAIN,2016,2,,-,0,,20,,,-,,-,,-,0,,18,,,-,,-,,
PACIFIC,2016,2,,-,0,,53,,,-,,-,,-,0,,24,,,-,,-,,
AMER. SAMOA,2016,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
WISCONSIN,2016,2,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
INDIANA,2016,2,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
WYOMING,2016,2,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
IDAHO,2016,2,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"IDAHO
(43.680635, -114.364237)",
COLORADO,2016,2,,-,0,,11,,,-,,-,,-,0,,12,,,-,,-,"COLORADO
(38.841772, -106.132562)",
ILLINOIS,2016,2,,-,0,,11,,,-,,-,,-,0,,6,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
MINNESOTA,2016,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
MICHIGAN,2016,2,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
KENTUCKY,2016,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
MISSISSIPPI,2016,2,,-,0,,5,,,-,,-,,-,0,,3,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MAINE,2016,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
RHODE ISLAND,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW HAMPSHIRE,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
GEORGIA,2016,2,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
NEBRASKA,2016,2,,-,0,,3,,,-,,-,,-,0,,8,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
VERMONT,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
DELAWARE,2016,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
OREGON,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
CALIFORNIA,2016,2,,-,0,,52,,,-,,-,,-,0,,24,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
TEXAS,2016,2,,-,0,,22,,,-,,-,,-,0,,12,,,-,,-,"TEXAS
(31.827233, -99.423022)",
MISSOURI,2016,2,,-,0,,5,,,-,,-,,-,0,,2,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
NEW MEXICO,2016,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
ALASKA,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
TENNESSEE,2016,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
NEW JERSEY,2016,2,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
NEW YORK,2016,2,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
SOUTH DAKOTA,2016,2,,-,0,,3,,,-,,-,,-,0,,7,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
ARIZONA,2016,2,,-,0,,9,,,-,,-,,-,0,,5,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
VIRGINIA,2016,2,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
NORTH CAROLINA,2016,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
OKLAHOMA,2016,2,,-,0,,6,,,-,,-,,-,0,,7,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
GUAM,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
LOUISIANA,2016,2,,-,0,,5,,,-,,-,,-,0,,2,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
SOUTH CAROLINA,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
FLORIDA,2016,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
MONTANA,2016,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NEVADA,2016,2,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"NEVADA
(39.491833, -117.070159)",
PUERTO RICO,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
PENNSYLVANIA,2016,2,,-,0,,3,,,-,,-,,-,0,,4,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
OHIO,2016,2,,-,0,,4,,,-,,-,,-,0,,3,,,-,,-,"OHIO
(40.056807, -82.405897)",
ALABAMA,2016,2,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
ARKANSAS,2016,2,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
HAWAII,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NORTH DAKOTA,2016,2,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MASSACHUSETTS,2016,2,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
WASHINGTON,2016,2,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
CONNECTICUT,2016,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
MARYLAND,2016,2,,-,0,,7,,,-,,-,,-,0,,5,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
UTAH,2016,2,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"UTAH
(39.359772, -111.584173)",
KANSAS,2016,2,,-,0,,3,,,-,,-,,-,0,,5,,,-,,-,"KANSAS
(38.345528, -98.201847)",
IOWA,2016,2,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"IOWA
(42.46942, -93.815856)",
WEST VIRGINIA,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
UNITED STATES,2016,3,,-,1,,147,,,-,,-,,-,1,,91,,,-,,-,,
NEW ENGLAND,2016,3,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,
MID. ATLANTIC,2016,3,,-,0,,10,,,-,,-,,-,0,,8,,,-,,-,,
NEW YORK CITY,2016,3,,-,0,,5,,,-,,-,,-,0,,2,,,-,,-,"NEW YORK CITY
",
E.N. CENTRAL,2016,3,,-,0,,22,,,-,,-,,-,0,,8,,,-,,-,,
W.N. CENTRAL,2016,3,,-,0,,11,,,-,,-,,-,0,,23,,,-,,-,,
S. ATLANTIC,2016,3,,-,0,,10,,,-,,-,,-,0,,8,,,-,,-,,
DIST. OF COL.,2016,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,3,,-,0,,5,,,-,,-,,-,0,,3,,,-,,-,,
W.S. CENTRAL,2016,3,,-,1,,34,,,-,,-,,-,0,,18,,,-,,-,,
MOUNTAIN,2016,3,,-,0,,20,,,-,,-,,-,0,,18,,,-,,-,,
PACIFIC,2016,3,,-,0,,53,,,-,,-,,-,0,,24,,,-,,-,,
AMER. SAMOA,2016,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
WYOMING,2016,3,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
PENNSYLVANIA,2016,3,,-,0,,3,,,-,,-,,-,0,,4,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW HAMPSHIRE,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
OREGON,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
WASHINGTON,2016,3,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
OKLAHOMA,2016,3,,-,0,,6,,,-,,-,,-,0,,7,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
MAINE,2016,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
WEST VIRGINIA,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
ARKANSAS,2016,3,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
GEORGIA,2016,3,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MARYLAND,2016,3,,-,0,,7,,,-,,-,,-,0,,5,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
LOUISIANA,2016,3,,-,0,,5,,,-,,-,,-,0,,2,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
OHIO,2016,3,,-,0,,4,,,-,,-,,-,0,,3,,,-,,-,"OHIO
(40.056807, -82.405897)",
VIRGINIA,2016,3,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
NEBRASKA,2016,3,,-,0,,3,,,-,,-,,-,0,,8,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NEVADA,2016,3,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MISSISSIPPI,2016,3,,-,0,,5,,,-,,-,,-,0,,3,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
INDIANA,2016,3,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NEW JERSEY,2016,3,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
SOUTH DAKOTA,2016,3,,-,0,,3,,,-,,-,,-,0,,7,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
COLORADO,2016,3,,-,0,,11,,,-,,-,,-,0,,12,,,-,,-,"COLORADO
(38.841772, -106.132562)",
FLORIDA,2016,3,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
UTAH,2016,3,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"UTAH
(39.359772, -111.584173)",
ILLINOIS,2016,3,,-,0,,12,,,-,,-,,-,0,,6,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
VERMONT,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NORTH DAKOTA,2016,3,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
RHODE ISLAND,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
IOWA,2016,3,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"IOWA
(42.46942, -93.815856)",
CALIFORNIA,2016,3,,-,0,,52,,,-,,-,,-,0,,24,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
SOUTH CAROLINA,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
MICHIGAN,2016,3,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
MASSACHUSETTS,2016,3,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
WISCONSIN,2016,3,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
ARIZONA,2016,3,,-,0,,9,,,-,,-,,-,0,,5,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
IDAHO,2016,3,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"IDAHO
(43.680635, -114.364237)",
NEW YORK,2016,3,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
MONTANA,2016,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MONTANA
(47.062617, -109.430168)",
HAWAII,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MINNESOTA,2016,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
TEXAS,2016,3,,-,0,,22,,,-,,-,,-,0,,12,,,-,,-,"TEXAS
(31.827233, -99.423022)",
MISSOURI,2016,3,,-,0,,5,,,-,,-,,-,0,,2,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
ALABAMA,2016,3,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
CONNECTICUT,2016,3,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
NEW MEXICO,2016,3,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
GUAM,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
TENNESSEE,2016,3,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
KANSAS,2016,3,,-,0,,3,,,-,,-,,-,0,,5,,,-,,-,"KANSAS
(38.345528, -98.201847)",
KENTUCKY,2016,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
DELAWARE,2016,3,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
ALASKA,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NORTH CAROLINA,2016,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
PUERTO RICO,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
UNITED STATES,2016,4,,-,1,,147,,,-,,-,,-,1,,91,,,-,,-,,
NEW ENGLAND,2016,4,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,
MID. ATLANTIC,2016,4,,-,0,,10,,,-,,-,,-,0,,8,,,-,,-,,
