Reporting Area,MMWR Year,MMWR Week,"Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2016","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2016, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2016","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2016, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015, flag","Syphilis, primary and secondary, Current week","Syphilis, primary and secondary, Current week, flag","Syphilis, primary and secondary, Previous 52 weeks Med","Syphilis, primary and secondary, Previous 52 weeks Med, flag","Syphilis, primary and secondary, Previous 52 weeks Max","Syphilis, primary and secondary, Previous 52 weeks Max, flag","Syphilis, primary and secondary, Cum 2016","Syphilis, primary and secondary, Cum 2016, flag","Syphilis, primary and secondary, Cum 2015","Syphilis, primary and secondary, Cum 2015, flag",Location 1,Location 2
GEORGIA,2016,16,,-,0,,4,,,-,3,,,-,0,,0,,,-,,-,,-,25,,41,,292,,461,,"GEORGIA
(32.836038, -83.631709)",
MINNESOTA,2016,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,11,,89,,62,,"MINNESOTA
(44.943719, -93.094281)",
GUAM,2016,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
CONNECTICUT,2016,16,,-,0,,0,,,-,1,,,-,0,,1,,,-,2,,,-,1,,7,,9,,27,,"CONNECTICUT
(41.544654, -72.651713)",
TENNESSEE,2016,16,,-,0,,3,,1,,,-,,-,9,,42,,25,,40,,,-,4,,13,,53,,94,,"TENNESSEE
(35.681402, -85.774444)",
WASHINGTON,2016,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,8,,13,,70,,127,,"WASHINGTON
(47.517368, -120.467672)",
ALABAMA,2016,16,,-,0,,1,,,-,,-,2,,4,,19,,38,,26,,,-,6,,11,,59,,83,,"ALABAMA
(32.839182, -86.631125)",
NORTH DAKOTA,2016,16,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,0,,2,,4,,5,,"NORTH DAKOTA
(47.475879, -100.121011)",
ARIZONA,2016,16,,-,0,,1,,,-,6,,,-,0,,1,,3,,4,,1,,12,,19,,139,,181,,"ARIZONA
(34.869712, -111.760902)",
WISCONSIN,2016,16,,-,0,,0,,,-,,-,,-,0,,1,,2,,2,,,-,2,,5,,38,,24,,"WISCONSIN
(44.395526, -89.834513)",
COLORADO,2016,16,,-,0,,0,,,-,,-,,-,0,,1,,,-,2,,,-,4,,9,,38,,66,,"COLORADO
(38.841772, -106.132562)",
WYOMING,2016,16,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
NORTH CAROLINA,2016,16,,-,0,,1,,,-,,-,,-,3,,67,,12,,35,,,-,20,,43,,196,,345,,"NORTH CAROLINA
(35.47995, -79.180571)",
KANSAS,2016,16,,-,0,,0,,,-,1,,,-,1,,13,,3,,16,,,-,1,,5,,25,,22,,"KANSAS
(38.345528, -98.201847)",
NEVADA,2016,16,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,6,,15,,71,,85,,"NEVADA
(39.491833, -117.070159)",
MICHIGAN,2016,16,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,6,,12,,39,,145,,"MICHIGAN
(44.66399, -84.711206)",
MISSOURI,2016,16,,-,0,,1,,,-,,-,2,,4,,18,,6,,4,,1,,6,,16,,113,,104,,"MISSOURI
(38.636168, -92.566292)",
MARYLAND,2016,16,,-,0,,0,,,-,,-,,-,0,,2,,7,,1,,,-,9,,18,,103,,131,,"MARYLAND
(39.290443, -76.612333)",
OKLAHOMA,2016,16,,-,0,,0,,,-,,-,,-,0,,16,,,-,2,,,-,2,,11,,22,,53,,"OKLAHOMA
(35.468494, -97.521264)",
IOWA,2016,16,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,1,,4,,18,,19,,"IOWA
(42.46942, -93.815856)",
NEBRASKA,2016,16,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,4,,5,,18,,"NEBRASKA
(41.640503, -99.367122)",
PUERTO RICO,2016,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,9,,38,,131,,125,,"PUERTO RICO
(18.215692, -66.414655)",
FLORIDA,2016,16,,-,0,,1,,,-,,-,,-,0,,5,,3,,6,,,-,40,,65,,530,,584,,"FLORIDA
(28.915325, -81.922409)",
VERMONT,2016,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,6,,4,,"VERMONT
(43.622479, -72.51927)",
RHODE ISLAND,2016,16,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,1,,2,,5,,25,,18,,"RHODE ISLAND
(41.707447, -71.522488)",
INDIANA,2016,16,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,1,,6,,15,,102,,77,,"INDIANA
(39.76845, -86.156212)",
CALIFORNIA,2016,16,,-,0,,1,,,-,,-,,-,0,,1,,1,,3,,12,,96,,120,,1254,,1404,,"CALIFORNIA
(37.640735, -121.002435)",
NEW YORK,2016,16,,-,0,,1,,1,,,-,,-,0,,3,,2,,2,,9,,9,,46,,117,,96,,"NEW YORK
(42.826892, -75.544286)",
UTAH,2016,16,,-,0,,0,,,-,1,,,-,0,,2,,,-,,-,,-,0,,5,,1,,16,,"UTAH
(39.359772, -111.584173)",
NEW MEXICO,2016,16,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,2,,10,,44,,35,,"NEW MEXICO
(34.520396, -106.244402)",
PENNSYLVANIA,2016,16,,-,0,,0,,,-,,-,,-,0,,4,,2,,,-,6,,15,,32,,307,,179,,"PENNSYLVANIA
(40.789676, -77.858055)",
TEXAS,2016,16,,-,0,,1,,,-,,-,1,,1,,5,,7,,5,,28,,33,,48,,551,,506,,"TEXAS
(31.827233, -99.423022)",
