Reporting Area,MMWR Year,MMWR Week,"Babesiosis, Current week","Babesiosis, Current week, flag","Babesiosis, Previous 52 weeks Med","Babesiosis, Previous 52 weeks Med, flag","Babesiosis, Previous 52 weeks Max","Babesiosis, Previous 52 weeks Max, flag","Babesiosis, Cum 2016","Babesiosis, Cum 2016, flag","Babesiosis, Cum 2015","Babesiosis, Cum 2015, flag","Campylobacteriosis, Current week","Campylobacteriosis, Current week, flag","Campylobacteriosis, Previous 52 weeks Med","Campylobacteriosis, Previous 52 weeks Med, flag","Campylobacteriosis, Previous 52 weeks Max","Campylobacteriosis, Previous 52 weeks Max, flag","Campylobacteriosis, Cum 2016","Campylobacteriosis, Cum 2016, flag","Campylobacteriosis, Cum 2015","Campylobacteriosis, Cum 2015, flag",Location 1,Location 2
WEST VIRGINIA,2016,8,,-,0,,0,,,-,,-,,-,5,,12,,7,,29,,"WEST VIRGINIA
(38.668501, -80.709421)",
PENNSYLVANIA,2016,8,,N,0,,0,,,N,,N,11,,41,,98,,246,,267,,"PENNSYLVANIA
(40.789676, -77.858055)",
COLORADO,2016,8,,N,0,,0,,,N,,N,,-,19,,40,,1,,79,,"COLORADO
(38.841772, -106.132562)",
MASSACHUSETTS,2016,8,,-,3,,48,,3,,2,,11,,28,,47,,144,,140,,"MASSACHUSETTS
(42.268546, -72.085064)",
FLORIDA,2016,8,,N,0,,0,,,N,,N,69,,70,,106,,515,,488,,"FLORIDA
(28.915325, -81.922409)",
GEORGIA,2016,8,,N,0,,0,,,N,,N,5,,13,,29,,60,,77,,"GEORGIA
(32.836038, -83.631709)",
VERMONT,2016,8,,-,0,,3,,,-,,-,,-,3,,10,,18,,16,,"VERMONT
(43.622479, -72.51927)",
WASHINGTON,2016,8,,-,0,,0,,,-,,-,49,,24,,170,,119,,76,,"WASHINGTON
(47.517368, -120.467672)",
NEVADA,2016,8,,N,0,,0,,,N,,N,,-,3,,8,,8,,16,,"NEVADA
(39.491833, -117.070159)",
NEW HAMPSHIRE,2016,8,,-,1,,5,,1,,2,,2,,5,,12,,25,,25,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NORTH CAROLINA,2016,8,,N,0,,0,,,N,,N,,-,18,,73,,56,,179,,"NORTH CAROLINA
(35.47995, -79.180571)",
MARYLAND,2016,8,,-,0,,0,,,-,,-,11,,14,,33,,102,,96,,"MARYLAND
(39.290443, -76.612333)",
UTAH,2016,8,,-,0,,0,,,-,,-,,-,7,,20,,27,,29,,"UTAH
(39.359772, -111.584173)",
NORTH DAKOTA,2016,8,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
KENTUCKY,2016,8,,N,0,,0,,,N,,N,6,,15,,34,,89,,83,,"KENTUCKY
(37.64591, -84.774043)",
MICHIGAN,2016,8,,-,0,,1,,,-,,-,4,,21,,53,,110,,149,,"MICHIGAN
(44.66399, -84.711206)",
NEW MEXICO,2016,8,,N,0,,0,,,N,,N,,-,8,,19,,33,,45,,"NEW MEXICO
(34.520396, -106.244402)",
NEW JERSEY,2016,8,,-,1,,32,,,-,2,,,-,31,,63,,83,,202,,"NEW JERSEY
(40.104655, -74.386686)",
LOUISIANA,2016,8,,-,0,,1,,,-,,-,5,,9,,23,,35,,62,,"LOUISIANA
(31.2931, -92.463284)",
NEW YORK,2016,8,,-,3,,78,,5,,6,,23,,33,,82,,152,,179,,"NEW YORK
(42.826892, -75.544286)",
IOWA,2016,8,,N,0,,0,,,N,,N,6,,13,,46,,97,,58,,"IOWA
(42.46942, -93.815856)",
TEXAS,2016,8,,-,0,,1,,,-,,-,,-,0,,86,,,-,234,,"TEXAS
(31.827233, -99.423022)",
ALASKA,2016,8,,N,0,,0,,,N,,N,,-,2,,5,,8,,11,,"ALASKA
(64.836661, -147.738891)",
SOUTH DAKOTA,2016,8,,-,0,,0,,,-,,-,,-,6,,23,,36,,13,,"SOUTH DAKOTA
(44.35371, -100.373709)",
MISSISSIPPI,2016,8,,N,0,,0,,,N,,N,1,,3,,10,,26,,15,,"MISSISSIPPI
(32.738663, -89.537312)",
RHODE ISLAND,2016,8,,-,1,,24,,2,,,-,,-,3,,21,,15,,18,,"RHODE ISLAND
(41.707447, -71.522488)",
HAWAII,2016,8,,N,0,,0,,,N,,N,,-,10,,28,,46,,51,,"HAWAII
(21.30992, -157.858158)",
DELAWARE,2016,8,,-,0,,1,,,-,,-,2,,2,,6,,15,,14,,"DELAWARE
(39.008676, -75.574561)",
MISSOURI,2016,8,,N,0,,0,,,N,,N,,-,0,,15,,,-,88,,"MISSOURI
(38.636168, -92.566292)",
WYOMING,2016,8,,-,0,,0,,,-,,-,,-,2,,9,,8,,15,,"WYOMING
(43.23558, -108.110518)",
UNITED STATES,2016,9,,-,15,,165,,14,,23,,360,,903,,1377,,5282,,5926,,,
NEW ENGLAND,2016,9,,-,7,,98,,8,,7,,12,,54,,112,,312,,337,,,
MID. ATLANTIC,2016,9,,-,6,,86,,5,,12,,59,,136,,250,,781,,939,,,
NEW YORK CITY,2016,9,,-,0,,11,,,-,2,,24,,30,,127,,257,,205,,"NEW YORK CITY
",
E.N. CENTRAL,2016,9,,-,0,,6,,,-,1,,36,,94,,217,,634,,634,,,
W.N. CENTRAL,2016,9,,-,0,,2,,,-,,-,13,,33,,91,,217,,251,,,
S. ATLANTIC,2016,9,,-,0,,1,,1,,1,,94,,161,,264,,1073,,1191,,,
DIST. OF COL.,2016,9,,N,0,,0,,,N,,N,,-,0,,2,,,-,4,,"DIST. OF COL.
",
E.S. CENTRAL,2016,9,,-,0,,1,,,-,2,,14,,46,,77,,308,,261,,,
W.S. CENTRAL,2016,9,,-,0,,1,,,-,,-,25,,43,,177,,193,,420,,,
MOUNTAIN,2016,9,,-,0,,0,,,-,,-,27,,77,,137,,340,,444,,,
PACIFIC,2016,9,,-,0,,2,,,-,,-,80,,235,,351,,1424,,1449,,,
AMER. SAMOA,2016,9,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,9,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,9,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
ARIZONA,2016,9,,-,0,,0,,,-,,-,12,,26,,53,,150,,166,,"ARIZONA
(34.869712, -111.760902)",
