Reporting Area,MMWR Year,MMWR Week,"Lyme disease, Current week","Lyme disease, Current week, flag","Lyme disease, Previous 52 weeks Med","Lyme disease, Previous 52 weeks Med, flag","Lyme disease, Previous 52 weeks Max","Lyme disease, Previous 52 weeks Max, flag","Lyme disease, Cum 2015","Lyme disease, Cum 2015, flag","Lyme disease, Cum 2014","Lyme disease, Cum 2014, flag","Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Med","Malaria, Previous 52 weeks Med, flag","Malaria, Previous 52 weeks Max","Malaria, Previous 52 weeks Max, flag","Malaria, Cum 2015","Malaria, Cum 2015, flag","Malaria, Cum 2014","Malaria, Cum 2014, flag","Meningococcal disease, invasive, All serogroups, Current week","Meningococcal disease, invasive§, All serogroups, Current week, flag","Meningococcal disease, invasive§, All serogroups, Previous 52 weeks Med","Meningococcal disease, invasive§, All serogroups, Previous 52 weeks Med, flag","Meningococcal disease, invasive§, All serogroups, Previous 52 weeks Max","Meningococcal disease, invasive§, All serogroups, Previous 52 weeks Max, flag","Meningococcal disease, invasive§, All serogroups, Cum 2015","Meningococcal disease, invasive§, All serogroups, Cum 2015, flag","Meningococcal disease, invasive§, All serogroups, Cum 2014","Meningococcal disease, invasive§, All serogroups, Cum 2014, flag",Location 1,Location 2
DELAWARE,2015,1,,-,6,,24,,,-,3,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"DELAWARE
(39.00883389200004, -75.57773597599999)",
NORTH CAROLINA,2015,1,,-,0,,78,,,-,,-,,-,0,,8,,,-,,-,,-,0,,3,,,-,2,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
ARKANSAS,2015,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
MISSISSIPPI,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
MINNESOTA,2015,1,,-,0,,0,,,-,3,,,-,0,,1,,,-,1,,,-,0,,1,,,-,1,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
NEBRASKA,2015,1,,-,0,,4,,,-,,-,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
NEW MEXICO,2015,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
NEW YORK,2015,1,2,,44,,171,,2,,2,,1,,1,,4,,1,,,-,,-,0,,2,,,-,,-,"NEW YORK
(42.82700376100007, -75.54396609999998)",
COLORADO,2015,1,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,,-,0,,1,,,-,2,,"COLORADO
(38.84384342200008, -106.13360911499996)",
VIRGINIA,2015,1,2,,16,,100,,2,,1,,,-,1,,5,,,-,,-,1,,0,,2,,1,,,-,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
KENTUCKY,2015,1,,-,0,,5,,,-,1,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
VERMONT,2015,1,,-,8,,48,,,-,13,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
GEORGIA,2015,1,,-,0,,1,,,-,,-,,-,1,,5,,,-,,-,,-,0,,2,,,-,,-,"GEORGIA
(32.839683200000024, -83.62757885599996)",
ARIZONA,2015,1,,-,0,,5,,,-,,-,,-,0,,3,,,-,,-,,-,0,,2,,,-,1,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
NORTH DAKOTA,2015,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
OHIO,2015,1,,-,1,,10,,,-,,-,1,,1,,3,,1,,1,,,-,0,,2,,,-,,-,"OHIO
(40.060212455000055, -82.40425667899996)",
TEXAS,2015,1,,-,0,,5,,,-,,-,,-,1,,9,,,-,,-,,-,0,,3,,,-,,-,"TEXAS
(31.827240467000024, -99.42676785299994)",
WISCONSIN,2015,1,,-,10,,97,,,-,6,,,-,0,,2,,,-,,-,,-,0,,1,,,-,1,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
OREGON,2015,1,,-,1,,3,,,-,1,,,-,0,,2,,,-,,-,,-,0,,3,,,-,3,,"OREGON
(44.56745049300008, -120.15502935599994)",
PENNSYLVANIA,2015,1,10,,79,,603,,10,,45,,1,,1,,5,,1,,,-,,-,0,,2,,,-,,-,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
SOUTH DAKOTA,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
OKLAHOMA,2015,1,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
MASSACHUSETTS,2015,1,,-,42,,419,,,-,24,,,-,1,,5,,,-,1,,,-,0,,1,,,-,,-,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
NEW HAMPSHIRE,2015,1,,-,5,,67,,,-,3,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
IDAHO,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"IDAHO
(43.68263174800006, -114.36372693399994)",
MISSOURI,2015,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
HAWAII,2015,1,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"HAWAII
(21.30485232600006, -157.85774798099996)",
GUAM,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
MONTANA,2015,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
NEVADA,2015,1,,-,0,,2,,,-,1,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.49324221300003, -117.07183885899997)",
IOWA,2015,1,,-,1,,20,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,1,,"IOWA
(42.469401411000035, -93.81648725599996)",
WYOMING,2015,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
ALASKA,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.84507799500005, -147.72205958799998)",
CONNECTICUT,2015,1,1,,30,,176,,1,,11,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
NEW YORK CITY,2015,1,1,,3,,441,,1,,,-,,-,3,,16,,,-,4,,,-,0,,2,,,-,,-,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
UTAH,2015,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"UTAH
(39.36070123200005, -111.58712831499997)",
WASHINGTON,2015,1,,-,0,,2,,,-,,-,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
KANSAS,2015,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.347742794000055, -98.20077822999997)",
MICHIGAN,2015,1,,-,1,,13,,,-,2,,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
PUERTO RICO,2015,1,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
LOUISIANA,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
INDIANA,2015,1,,-,1,,11,,,-,,-,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"INDIANA
(39.766913353000064, -86.14995646699998)",
MAINE,2015,1,,-,15,,92,,,-,2,,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"MAINE
(45.25422910300006, -68.98502586699993)",
WEST VIRGINIA,2015,1,,-,1,,15,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
TENNESSEE,2015,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,1,,,-,0,,2,,,-,1,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
FLORIDA,2015,1,1,,2,,12,,1,,1,,1,,1,,4,,1,,1,,2,,1,,4,,2,,3,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
ALABAMA,2015,1,,-,0,,7,,,-,,-,1,,0,,3,,1,,,-,,-,0,,1,,,-,,-,"ALABAMA
(32.84057234800002, -86.63185738799996)",
MARYLAND,2015,1,,-,15,,62,,,-,5,,1,,2,,9,,1,,2,,,-,0,,1,,,-,,-,"MARYLAND
(39.290582950000044, -76.60925984299996)",
NEW JERSEY,2015,1,,-,39,,191,,,-,30,,,-,1,,5,,,-,1,,,-,0,,1,,,-,,-,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
RHODE ISLAND,2015,1,,-,9,,83,,,-,,-,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
UNITED STATES,2015,2,28,,393,,1819,,74,,323,,8,,24,,52,,15,,46,,2,,7,,16,,6,,26,,,
NEW ENGLAND,2015,2,1,,124,,733,,2,,126,,,-,2,,7,,,-,2,,,-,0,,2,,,-,,-,,
MID. ATLANTIC,2015,2,17,,187,,922,,50,,143,,3,,7,,24,,6,,14,,,-,1,,3,,,-,,-,,
E.N. CENTRAL,2015,2,1,,13,,128,,2,,17,,,-,2,,8,,1,,6,,,-,1,,4,,,-,1,,,
W.N. CENTRAL,2015,2,,-,2,,23,,,-,3,,,-,1,,4,,,-,4,,,-,0,,2,,,-,3,,,
S. ATLANTIC,2015,2,9,,45,,186,,20,,28,,3,,7,,18,,5,,8,,1,,2,,6,,5,,7,,,
DIST. OF COL.,2015,2,,-,0,,4,,,-,2,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,2,,-,1,,10,,,-,1,,,-,1,,5,,1,,2,,,-,0,,2,,,-,1,,,
W.S. CENTRAL,2015,2,,-,0,,6,,,-,,-,1,,2,,10,,1,,2,,,-,0,,4,,,-,1,,,
MOUNTAIN,2015,2,,-,1,,7,,,-,2,,,-,1,,6,,,-,4,,,-,0,,3,,,-,4,,,
PACIFIC,2015,2,,-,2,,5,,,-,3,,1,,3,,7,,1,,4,,1,,1,,6,,1,,9,,,
AMER. SAMOA,2015,2,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,2,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
INDIANA,2015,2,,-,1,,11,,,-,,-,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"INDIANA
(39.766913353000064, -86.14995646699998)",
OKLAHOMA,2015,2,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
HAWAII,2015,2,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"HAWAII
(21.30485232600006, -157.85774798099996)",
OREGON,2015,2,,-,1,,3,,,-,2,,1,,0,,2,,1,,,-,1,,0,,2,,1,,6,,"OREGON
(44.56745049300008, -120.15502935599994)",
COLORADO,2015,2,,-,0,,0,,,-,,-,,-,0,,3,,,-,1,,,-,0,,1,,,-,2,,"COLORADO
(38.84384342200008, -106.13360911499996)",
CONNECTICUT,2015,2,,-,30,,176,,1,,29,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
MASSACHUSETTS,2015,2,,-,42,,419,,,-,60,,,-,1,,5,,,-,1,,,-,0,,1,,,-,,-,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
FLORIDA,2015,2,2,,2,,12,,3,,1,,1,,1,,4,,2,,1,,,-,1,,4,,2,,3,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
MISSOURI,2015,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
MINNESOTA,2015,2,,-,0,,0,,,-,3,,,-,0,,0,,,-,2,,,-,0,,1,,,-,1,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
UTAH,2015,2,,-,0,,2,,,-,1,,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"UTAH
(39.36070123200005, -111.58712831499997)",
GEORGIA,2015,2,,-,0,,1,,,-,,-,,-,1,,5,,,-,3,,,-,0,,2,,,-,1,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
SOUTH DAKOTA,2015,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
PUERTO RICO,2015,2,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
GUAM,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
IOWA,2015,2,,-,1,,20,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,1,,"IOWA
(42.469401411000035, -93.81648725599996)",
MICHIGAN,2015,2,,-,1,,13,,1,,2,,,-,0,,2,,,-,1,,,-,0,,2,,,-,,-,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
WISCONSIN,2015,2,,-,10,,97,,,-,15,,,-,0,,2,,,-,,-,,-,0,,1,,,-,1,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
MISSISSIPPI,2015,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
OHIO,2015,2,1,,1,,10,,1,,,-,,-,1,,3,,1,,2,,,-,0,,2,,,-,,-,"OHIO
(40.060212455000055, -82.40425667899996)",
LOUISIANA,2015,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,,-,1,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
NEW HAMPSHIRE,2015,2,,-,5,,67,,,-,12,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
ARKANSAS,2015,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
NEW MEXICO,2015,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
RHODE ISLAND,2015,2,,-,9,,83,,,-,,-,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
ILLINOIS,2015,2,,-,1,,20,,,-,,-,,-,1,,4,,,-,3,,,-,0,,2,,,-,,-,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
KANSAS,2015,2,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.347742794000055, -98.20077822999997)",
NEW JERSEY,2015,2,,-,39,,191,,2,,56,,,-,1,,5,,,-,3,,,-,0,,1,,,-,,-,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
MAINE,2015,2,,-,15,,93,,,-,7,,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"MAINE
(45.25422910300006, -68.98502586699993)",
NEW YORK CITY,2015,2,,-,3,,441,,1,,,-,2,,3,,16,,2,,9,,,-,0,,2,,,-,,-,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
ALASKA,2015,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.84507799500005, -147.72205958799998)",
VIRGINIA,2015,2,1,,17,,108,,4,,1,,,-,1,,5,,,-,1,,,-,0,,2,,2,,1,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
VERMONT,2015,2,1,,8,,48,,1,,18,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
MONTANA,2015,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
ARIZONA,2015,2,,-,0,,5,,,-,,-,,-,0,,3,,,-,2,,,-,0,,2,,,-,1,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
WEST VIRGINIA,2015,2,,-,2,,15,,3,,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
PENNSYLVANIA,2015,2,10,,79,,603,,38,,82,,,-,1,,6,,2,,2,,,-,0,,2,,,-,,-,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
WYOMING,2015,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
IDAHO,2015,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"IDAHO
(43.68263174800006, -114.36372693399994)",
SOUTH CAROLINA,2015,2,,-,0,,3,,,-,1,,,-,0,,1,,,-,1,,,-,0,,2,,,-,,-,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
NEW YORK,2015,2,7,,46,,171,,9,,5,,1,,1,,4,,2,,,-,,-,0,,2,,,-,,-,"NEW YORK
(42.82700376100007, -75.54396609999998)",
KENTUCKY,2015,2,,-,0,,5,,,-,1,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
NEVADA,2015,2,,-,0,,2,,,-,1,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.49324221300003, -117.07183885899997)",
MARYLAND,2015,2,3,,15,,62,,6,,16,,1,,2,,9,,2,,2,,1,,0,,1,,1,,,-,"MARYLAND
(39.290582950000044, -76.60925984299996)",
CALIFORNIA,2015,2,,-,0,,3,,,-,1,,,-,1,,5,,,-,4,,,-,1,,5,,,-,3,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
NORTH CAROLINA,2015,2,2,,0,,78,,2,,,-,1,,0,,8,,1,,,-,,-,0,,3,,,-,2,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
ALABAMA,2015,2,,-,0,,7,,,-,,-,,-,0,,3,,1,,,-,,-,0,,1,,,-,,-,"ALABAMA
(32.84057234800002, -86.63185738799996)",
NORTH DAKOTA,2015,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
TENNESSEE,2015,2,,-,0,,3,,,-,,-,,-,0,,2,,,-,2,,,-,0,,2,,,-,1,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
WASHINGTON,2015,2,,-,0,,2,,,-,,-,,-,0,,3,,,-,,-,,-,0,,4,,,-,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
NEBRASKA,2015,2,,-,0,,4,,,-,,-,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
DELAWARE,2015,2,1,,6,,24,,2,,7,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"DELAWARE
(39.00883389200004, -75.57773597599999)",
TEXAS,2015,2,,-,0,,5,,,-,,-,1,,1,,9,,1,,,-,,-,0,,3,,,-,,-,"TEXAS
(31.827240467000024, -99.42676785299994)",
UNITED STATES,2015,3,33,,400,,1827,,159,,530,,8,,23,,55,,24,,77,,2,,7,,16,,11,,35,,,
NEW ENGLAND,2015,3,,-,121,,734,,9,,252,,,-,1,,7,,,-,6,,,-,0,,2,,,-,,-,,
MID. ATLANTIC,2015,3,28,,187,,928,,109,,204,,2,,7,,24,,8,,22,,,-,1,,3,,,-,,-,,
E.N. CENTRAL,2015,3,,-,13,,129,,2,,22,,2,,2,,8,,3,,8,,,-,1,,4,,,-,1,,,
W.N. CENTRAL,2015,3,1,,2,,23,,1,,4,,,-,1,,4,,2,,7,,,-,0,,2,,,-,4,,,
S. ATLANTIC,2015,3,3,,48,,188,,35,,41,,3,,7,,19,,7,,17,,1,,2,,6,,8,,10,,,
DIST. OF COL.,2015,3,,-,0,,4,,,-,2,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,3,,-,1,,10,,,-,1,,,-,1,,5,,1,,3,,,-,0,,2,,,-,1,,,
W.S. CENTRAL,2015,3,,-,0,,6,,,-,,-,,-,2,,10,,1,,3,,1,,0,,4,,1,,3,,,
MOUNTAIN,2015,3,,-,1,,8,,,-,2,,,-,1,,6,,,-,5,,,-,0,,3,,,-,5,,,
PACIFIC,2015,3,1,,2,,7,,3,,4,,1,,3,,7,,2,,6,,,-,1,,6,,2,,11,,,
AMER. SAMOA,2015,3,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,3,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
PUERTO RICO,2015,3,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,,-,0,,0,,,-,1,,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
MINNESOTA,2015,3,,-,0,,0,,,-,3,,,-,0,,0,,,-,2,,,-,0,,1,,,-,2,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
ALABAMA,2015,3,,-,1,,7,,,-,,-,,-,0,,3,,1,,,-,,-,0,,1,,,-,,-,"ALABAMA
(32.84057234800002, -86.63185738799996)",
OREGON,2015,3,1,,0,,3,,2,,2,,1,,0,,2,,2,,,-,,-,0,,2,,1,,6,,"OREGON
(44.56745049300008, -120.15502935599994)",
NORTH DAKOTA,2015,3,,-,0,,2,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
WYOMING,2015,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
ALASKA,2015,3,,-,0,,1,,1,,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"ALASKA
(64.84507799500005, -147.72205958799998)",
KENTUCKY,2015,3,,-,0,,5,,,-,1,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
NEVADA,2015,3,,-,0,,2,,,-,1,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.49324221300003, -117.07183885899997)",
