Reporting Area,MMWR Year,MMWR Week,"Spotted Fever Rickettsiosis (including RMSF), Confirmed, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2014","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2014, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2014","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2014, flag","Syphilis, primary and secondary, Current week","Syphilis, primary and secondary, Current week, flag","Syphilis, primary and secondary, Previous 52 weeks Med","Syphilis, primary and secondary, Previous 52 weeks Med, flag","Syphilis, primary and secondary, Previous 52 weeks Max","Syphilis, primary and secondary, Previous 52 weeks Max, flag","Syphilis, primary and secondary, Cum 2015","Syphilis, primary and secondary, Cum 2015, flag","Syphilis, primary and secondary, Cum 2014","Syphilis, primary and secondary, Cum 2014, flag",Location 1,Location 2
NEW JERSEY,2015,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,13,,49,,86,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
NORTH DAKOTA,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,5,,6,,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
WEST VIRGINIA,2015,25,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,4,,19,,15,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
TEXAS,2015,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,26,,32,,50,,368,,289,,"TEXAS
(31.827240467000024, -99.42676785299994)",
WYOMING,2015,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,1,,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
MARYLAND,2015,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,8,,16,,32,,74,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
MISSOURI,2015,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,6,,13,,35,,50,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
MARYLAND,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,7,,16,,32,,118,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
PENNSYLVANIA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,9,,19,,14,,9,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
GEORGIA,2015,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,33,,25,,38,,257,,116,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
KANSAS,2015,20,,-,0,,0,,,-,,-,,-,1,,9,,15,,23,,1,,1,,3,,25,,23,,"KANSAS
(38.347742794000055, -98.20077822999997)",
PENNSYLVANIA,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,10,,19,,126,,103,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
RHODE ISLAND,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,1,,5,,23,,20,,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
DELAWARE,2015,20,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,0,,9,,15,,12,,"DELAWARE
(39.00883389200004, -75.57773597599999)",
GEORGIA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,24,,23,,38,,47,,3,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
OREGON,2015,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,5,,12,,19,,31,,"OREGON
(44.56745049300008, -120.15502935599994)",
NORTH CAROLINA,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,18,,16,,37,,264,,143,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
TENNESSEE,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,12,,51,,76,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
ILLINOIS,2015,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,11,,24,,34,,58,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
VERMONT,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,4,,1,,"VERMONT
(43.62538389600007, -72.51763667599994)",
WISCONSIN,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,3,,5,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
NEW MEXICO,2015,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,7,,14,,26,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
GEORGIA,2015,20,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,28,,24,,42,,564,,476,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
OHIO,2015,24,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,11,,21,,240,,219,,"OHIO
(40.060212455000055, -82.40425667899996)",
ALASKA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,"ALASKA
(64.84507799500005, -147.72205958799998)",
NEVADA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,20,,1,,37,,"NEVADA
(39.49324221300003, -117.07183885899997)",
MISSISSIPPI,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,8,,,-,33,,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
OHIO,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,17,,,-,8,,"OHIO
(40.060212455000055, -82.40425667899996)",
NORTH CAROLINA,2015,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,15,,15,,37,,190,,76,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
PENNSYLVANIA,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,11,,19,,184,,154,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
ARIZONA,2015,20,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,9,,22,,91,,165,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
NEW YORK,2015,25,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,7,,24,,159,,165,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
RHODE ISLAND,2015,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,1,,4,,20,,17,,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
NEW YORK CITY,2015,20,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,24,,37,,415,,496,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
IOWA,2015,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,2,,5,,"IOWA
(42.469401411000035, -93.81648725599996)",
NEBRASKA,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,3,,16,,29,,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
UTAH,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,4,,16,,17,,"UTAH
(39.36070123200005, -111.58712831499997)",
NEW HAMPSHIRE,2015,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,4,,8,,8,,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
RHODE ISLAND,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,1,,5,,1,,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
MAINE,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,6,,9,,5,,"MAINE
(45.25422910300006, -68.98502586699993)",
LOUISIANA,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,9,,30,,138,,178,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
PUERTO RICO,2015,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,9,,31,,76,,51,,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
NEW HAMPSHIRE,2015,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,0,,4,,3,,3,,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
NEW JERSEY,2015,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,13,,7,,48,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
NEBRASKA,2015,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,3,,6,,12,,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
MINNESOTA,2015,22,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,11,,71,,112,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
NEW MEXICO,2015,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,7,,4,,19,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
OREGON,2015,24,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,5,,10,,142,,123,,"OREGON
(44.56745049300008, -120.15502935599994)",
MISSISSIPPI,2015,25,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,8,,68,,83,,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
OREGON,2015,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,5,,10,,43,,54,,"OREGON
(44.56745049300008, -120.15502935599994)",
CONNECTICUT,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,,-,8,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
MISSISSIPPI,2015,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,3,,8,,18,,61,,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
WISCONSIN,2015,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,1,,5,,11,,13,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
WASHINGTON,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,5,,16,,76,,135,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
KENTUCKY,2015,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,3,,8,,29,,31,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
NORTH DAKOTA,2015,19,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,3,,6,,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
ARIZONA,2015,24,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,9,,22,,126,,207,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
MASSACHUSETTS,2015,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,12,,,-,44,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
FLORIDA,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,34,,49,,493,,527,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
ALABAMA,2015,19,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,9,,83,,52,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
MAINE,2015,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,4,,,-,1,,"MAINE
(45.25422910300006, -68.98502586699993)",
NORTH CAROLINA,2015,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,19,,14,,28,,87,,33,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
SOUTH CAROLINA,2015,19,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,5,,11,,104,,85,,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
SOUTH DAKOTA,2015,22,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,13,,37,,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
TEXAS,2015,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,23,,33,,50,,339,,269,,"TEXAS
(31.827240467000024, -99.42676785299994)",
ARKANSAS,2015,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,1,,11,,10,,41,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
ALABAMA,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,8,,4,,7,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
MISSOURI,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,6,,13,,94,,113,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
NEW YORK,2015,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,8,,14,,15,,18,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
NEW YORK,2015,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,7,,7,,15,,22,,26,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
NORTH CAROLINA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,18,,14,,28,,18,,,-,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
WEST VIRGINIA,2015,22,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,4,,19,,14,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
MONTANA,2015,19,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,1,,2,,"MONTANA
(47.06652795700006, -109.42441587999997)",
TENNESSEE,2015,19,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,12,,64,,82,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
COLORADO,2015,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,9,,21,,27,,"COLORADO
(38.84384342200008, -106.13360911499996)",
MICHIGAN,2015,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,7,,16,,8,,72,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
WASHINGTON,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,11,,6,,16,,41,,80,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
NEVADA,2015,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,14,,52,,139,,"NEVADA
(39.49324221300003, -117.07183885899997)",
RHODE ISLAND,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,24,,21,,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
ARKANSAS,2015,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,2,,19,,7,,30,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
SOUTH DAKOTA,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,11,,33,,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
LOUISIANA,2015,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,9,,22,,59,,79,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
INDIANA,2015,20,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,10,,84,,67,,"INDIANA
(39.766913353000064, -86.14995646699998)",
PENNSYLVANIA,2015,23,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,11,,19,,226,,212,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
TEXAS,2015,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,32,,50,,410,,349,,"TEXAS
(31.827240467000024, -99.42676785299994)",
OHIO,2015,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,11,,21,,152,,127,,"OHIO
(40.060212455000055, -82.40425667899996)",
INDIANA,2015,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,10,,55,,51,,"INDIANA
(39.766913353000064, -86.14995646699998)",
PENNSYLVANIA,2015,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,10,,19,,138,,109,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
IOWA,2015,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,2,,3,,"IOWA
(42.469401411000035, -93.81648725599996)",
WISCONSIN,2015,20,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,2,,5,,25,,21,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
WEST VIRGINIA,2015,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,7,,8,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
UTAH,2015,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,4,,2,,6,,"UTAH
(39.36070123200005, -111.58712831499997)",
WISCONSIN,2015,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,11,,16,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
SOUTH CAROLINA,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,10,,10,,11,,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
MICHIGAN,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,7,,17,,,-,3,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
PUERTO RICO,2015,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,9,,8,,31,,48,,41,,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
NEBRASKA,2015,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,3,,14,,24,,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
CALIFORNIA,2015,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,11,,76,,94,,917,,1087,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
OKLAHOMA,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,11,,30,,55,,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
GUAM,2015,22,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
VERMONT,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
ARKANSAS,2015,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,11,,9,,41,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
ARIZONA,2015,23,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,9,,22,,113,,196,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
VERMONT,2015,23,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,5,,2,,"VERMONT
(43.62538389600007, -72.51763667599994)",
VERMONT,2015,19,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,4,,1,,"VERMONT
(43.62538389600007, -72.51763667599994)",
PUERTO RICO,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,31,,125,,96,,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
SOUTH CAROLINA,2015,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,7,,5,,11,,42,,33,,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
CALIFORNIA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,72,,96,,4,,55,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
NEW YORK CITY,2015,24,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,24,,33,,502,,606,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
WYOMING,2015,19,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,1,,1,,"WYOMING
(43.23554100600006, -108.10982701399996)",
MAINE,2015,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,4,,,-,2,,"MAINE
(45.25422910300006, -68.98502586699993)",
NEW HAMPSHIRE,2015,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,4,,4,,5,,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
COLORADO,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,3,,9,,7,,4,,"COLORADO
(38.84384342200008, -106.13360911499996)",
OKLAHOMA,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,10,,18,,28,,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
VERMONT,2015,20,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,4,,2,,"VERMONT
(43.62538389600007, -72.51763667599994)",
NORTH CAROLINA,2015,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,36,,14,,28,,124,,50,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
ILLINOIS,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,14,,29,,143,,239,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
GEORGIA,2015,23,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,32,,24,,43,,658,,568,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
MONTANA,2015,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
IOWA,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,10,,24,,"IOWA
(42.469401411000035, -93.81648725599996)",
ALABAMA,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,3,,9,,83,,50,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
COLORADO,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,9,,80,,53,,"COLORADO
(38.84384342200008, -106.13360911499996)",
NEW JERSEY,2015,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,13,,14,,57,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
GUAM,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
GEORGIA,2015,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,41,,24,,39,,442,,352,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
NEW MEXICO,2015,19,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,2,,7,,30,,50,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
ILLINOIS,2015,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,25,,36,,90,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
OHIO,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,17,,5,,31,,"OHIO
(40.060212455000055, -82.40425667899996)",
NEW YORK,2015,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,8,,14,,10,,13,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
NEW HAMPSHIRE,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,4,,10,,10,,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
NORTH DAKOTA,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
WEST VIRGINIA,2015,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,4,,13,,12,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
VIRGINIA,2015,24,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,12,,5,,31,,152,,147,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
ARKANSAS,2015,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,19,,9,,57,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
CALIFORNIA,2015,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,74,,91,,661,,902,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
WISCONSIN,2015,25,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,2,,5,,35,,27,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
IDAHO,2015,22,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,6,,3,,"IDAHO
(43.68263174800006, -114.36372693399994)",
GEORGIA,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,29,,24,,41,,506,,412,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
NEVADA,2015,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,14,,8,,126,,"NEVADA
(39.49324221300003, -117.07183885899997)",
OKLAHOMA,2015,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,10,,9,,22,,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
NEVADA,2015,23,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,14,,104,,199,,"NEVADA
(39.49324221300003, -117.07183885899997)",
TENNESSEE,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,10,,,-,6,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
LOUISIANA,2015,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,9,,22,,73,,97,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
MISSOURI,2015,20,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,6,,13,,114,,131,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
ARIZONA,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,22,,91,,140,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
MINNESOTA,2015,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,10,,,-,30,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
RHODE ISLAND,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,3,,4,,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
KANSAS,2015,17,,-,0,,0,,,-,,-,,-,1,,9,,7,,8,,,-,1,,3,,24,,15,,"KANSAS
(38.347742794000055, -98.20077822999997)",
