Reporting Area,MMWR Year,MMWR Week,"Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Med","Chlamydia trachomatis infection, Previous 52 weeks Med, flag","Chlamydia trachomatis infection, Previous 52 weeks Max","Chlamydia trachomatis infection, Previous 52 weeks Max, flag","Chlamydia trachomatis infection, Cum 2015","Chlamydia trachomatis infection, Cum 2015, flag","Chlamydia trachomatis infection, Cum 2014","Chlamydia trachomatis infection, Cum 2014, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Med","Coccidioidomycosis, Previous 52 weeks Med, flag","Coccidioidomycosis, Previous 52 weeks Max","Coccidioidomycosis, Previous 52 weeks Max, flag","Coccidioidomycosis, Cum 2015","Coccidioidomycosis, Cum 2015, flag","Coccidioidomycosis, Cum 2014","Coccidioidomycosis, Cum 2014, flag",Location 1,Location 2
W.N. CENTRAL,2015,3,374,,1660,,1857,,2561,,4487,,,-,2,,6,,,-,2,,,
S. ATLANTIC,2015,3,3983,,5483,,6985,,13549,,12911,,,-,0,,2,,,-,,-,,
DIST. OF COL.,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,3,1034,,1759,,2562,,2757,,5609,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2015,3,2247,,3875,,4665,,8266,,9832,,,-,0,,1,,,-,,-,,
MOUNTAIN,2015,3,731,,1794,,2428,,2832,,4793,,53,,108,,180,,239,,404,,,
PACIFIC,2015,3,1122,,4111,,4745,,8346,,9397,,3,,44,,81,,35,,130,,,
AMER. SAMOA,2015,3,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2015,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,3,,-,14,,28,,,-,36,,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
NEW JERSEY,2015,3,111,,586,,690,,1191,,1728,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
COLORADO,2015,3,406,,400,,749,,1102,,1038,,,N,0,,0,,,N,,N,"COLORADO
(38.84384342200008, -106.13360911499996)",
NEBRASKA,2015,3,88,,147,,250,,269,,345,,,-,0,,1,,,-,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
MONTANA,2015,3,71,,79,,125,,221,,225,,,-,0,,2,,,-,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
WASHINGTON,2015,3,377,,346,,453,,755,,994,,,-,0,,0,,,-,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
MICHIGAN,2015,3,477,,860,,1214,,1712,,1886,,,-,0,,2,,,-,4,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
FLORIDA,2015,3,986,,1613,,1952,,3052,,3835,,,N,0,,0,,,N,,N,"FLORIDA
(28.932042722000062, -81.92895768899996)",
WISCONSIN,2015,3,342,,441,,513,,1252,,1269,,,-,0,,1,,,-,,-,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
IDAHO,2015,3,88,,102,,135,,280,,267,,,N,0,,0,,,N,,N,"IDAHO
(43.68263174800006, -114.36372693399994)",
CALIFORNIA,2015,3,415,,3221,,3735,,6498,,6859,,3,,44,,81,,35,,130,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
VERMONT,2015,3,2,,34,,69,,15,,124,,,N,0,,0,,,N,,N,"VERMONT
(43.62538389600007, -72.51763667599994)",
LOUISIANA,2015,3,16,,461,,1039,,17,,832,,,-,0,,1,,,-,,-,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
NEW YORK CITY,2015,3,482,,1189,,1274,,2966,,3199,,,N,0,,0,,,N,,N,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
PUERTO RICO,2015,3,,-,79,,317,,,-,175,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
NEVADA,2015,3,,-,186,,602,,88,,1087,,1,,1,,4,,3,,1,,"NEVADA
(39.49324221300003, -117.07183885899997)",
MASSACHUSETTS,2015,3,,-,424,,536,,,-,942,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
MAINE,2015,3,,-,73,,109,,,-,200,,,N,0,,0,,,N,,N,"MAINE
(45.25422910300006, -68.98502586699993)",
GEORGIA,2015,3,337,,998,,1175,,2157,,2076,,,N,0,,0,,,N,,N,"GEORGIA
(32.839683200000024, -83.62757885599996)",
OREGON,2015,3,304,,300,,395,,867,,834,,,-,0,,1,,,-,,-,"OREGON
(44.56745049300008, -120.15502935599994)",
ARIZONA,2015,3,,-,613,,938,,307,,994,,52,,104,,177,,236,,399,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
NEW YORK,2015,3,753,,754,,1043,,1678,,1036,,,N,0,,0,,,N,,N,"NEW YORK
(42.82700376100007, -75.54396609999998)",
WYOMING,2015,3,,-,33,,65,,,-,105,,,-,0,,1,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
KENTUCKY,2015,3,270,,331,,607,,425,,632,,,N,0,,0,,,N,,N,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
INDIANA,2015,3,264,,545,,921,,1123,,1324,,,N,0,,0,,,N,,N,"INDIANA
(39.766913353000064, -86.14995646699998)",
OHIO,2015,3,274,,1056,,1249,,1923,,2822,,1,,0,,2,,1,,1,,"OHIO
(40.060212455000055, -82.40425667899996)",
TEXAS,2015,3,1819,,2502,,2841,,7005,,6755,,,N,0,,0,,,N,,N,"TEXAS
(31.827240467000024, -99.42676785299994)",
NEW HAMPSHIRE,2015,3,,-,44,,74,,,-,119,,,-,0,,2,,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
VIRGINIA,2015,3,635,,695,,1267,,841,,907,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
DELAWARE,2015,3,60,,75,,166,,155,,122,,,-,0,,0,,,-,,-,"DELAWARE
(39.00883389200004, -75.57773597599999)",
KANSAS,2015,3,50,,210,,331,,579,,625,,,N,0,,0,,,N,,N,"KANSAS
(38.347742794000055, -98.20077822999997)",
SOUTH DAKOTA,2015,3,31,,79,,100,,143,,235,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
MARYLAND,2015,3,,-,504,,834,,317,,959,,,-,0,,2,,,-,,-,"MARYLAND
(39.290582950000044, -76.60925984299996)",
MISSISSIPPI,2015,3,97,,400,,978,,126,,2263,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
CONNECTICUT,2015,3,,-,247,,396,,,-,695,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
IOWA,2015,3,55,,224,,257,,384,,651,,,N,0,,0,,,N,,N,"IOWA
(42.469401411000035, -93.81648725599996)",
ALABAMA,2015,3,537,,502,,734,,1581,,1268,,,N,0,,0,,,N,,N,"ALABAMA
(32.84057234800002, -86.63185738799996)",
MINNESOTA,2015,3,,-,388,,438,,,-,1122,,,-,1,,6,,,-,1,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
TENNESSEE,2015,3,130,,577,,871,,625,,1446,,,N,0,,0,,,N,,N,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
NEW MEXICO,2015,3,90,,220,,306,,417,,627,,,-,0,,3,,,-,,-,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
ARKANSAS,2015,3,362,,605,,843,,849,,1342,,,N,0,,0,,,N,,N,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
MISSOURI,2015,3,141,,543,,634,,1102,,1343,,,-,0,,1,,,-,1,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
