Reporting Area,MMWR Year,MMWR Week,"Tetanus, Current week","Tetanus, Current week, flag","Tetanus, Previous 52 weeks Med","Tetanus, Previous 52 weeks Med, flag","Tetanus, Previous 52 weeks Max","Tetanus, Previous 52 weeks Max, flag","Tetanus, Cum 2015","Tetanus, Cum 2015, flag","Tetanus, Cum 2014","Tetanus, Cum 2014, flag","Varicella (chickenpox), Current week","Varicella (chickenpox), Current week, flag","Varicella (chickenpox), Previous 52 weeks Med","Varicella (chickenpox), Previous 52 weeks Med, flag","Varicella (chickenpox), Previous 52 weeks Max","Varicella (chickenpox), Previous 52 weeks Max, flag","Varicella (chickenpox), Cum 2015","Varicella (chickenpox), Cum 2015, flag","Varicella (chickenpox), Cum 2014","Varicella (chickenpox), Cum 2014, flag","Vibriosis§, Current week","Vibriosis§, Current week, flag","Vibriosis§, Previous 52 weeks Med","Vibriosis§, Previous 52 weeks Med, flag","Vibriosis§, Previous 52 weeks Max","Vibriosis§, Previous 52 weeks Max, flag","Vibriosis§, Cum 2015","Vibriosis§, Cum 2015, flag","Vibriosis§, Cum 2014","Vibriosis§, Cum 2014, flag",Location 1,Location 2
CALIFORNIA,2015,1,,-,0,,1,,,-,,-,,-,0,,3,,,-,2,,,-,2,,30,,,-,,-,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
UTAH,2015,1,,-,0,,0,,,-,,-,,-,3,,9,,,-,5,,,-,0,,1,,,-,,-,"UTAH
(39.36070123200005, -111.58712831499997)",
CONNECTICUT,2015,1,,-,0,,0,,,-,,-,3,,3,,8,,3,,4,,,-,0,,2,,,-,,-,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
ALABAMA,2015,1,,-,0,,0,,,-,,-,3,,1,,8,,3,,1,,,-,0,,3,,,-,1,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
VERMONT,2015,1,,-,0,,0,,,-,,-,1,,1,,11,,1,,,-,,-,0,,0,,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
WASHINGTON,2015,1,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,13,,,-,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
DELAWARE,2015,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"DELAWARE
(39.00883389200004, -75.57773597599999)",
MISSISSIPPI,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
VIRGINIA,2015,1,,-,0,,0,,,-,,-,,-,5,,15,,,-,4,,,-,0,,8,,,-,,-,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
NEW MEXICO,2015,1,,-,0,,0,,,-,,-,,-,1,,5,,,-,,-,,-,0,,1,,,-,,-,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
MINNESOTA,2015,1,,-,0,,1,,,-,,-,,-,4,,11,,,-,7,,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
OREGON,2015,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,2,,,-,,-,"OREGON
(44.56745049300008, -120.15502935599994)",
NORTH CAROLINA,2015,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,1,,0,,3,,1,,,-,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
TENNESSEE,2015,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,2,,,-,,-,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
PENNSYLVANIA,2015,1,,-,0,,1,,,-,,-,10,,16,,29,,10,,6,,,-,0,,3,,,-,,-,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
IOWA,2015,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
HAWAII,2015,1,,-,0,,0,,,-,,-,,-,1,,4,,,-,,-,,-,0,,4,,,-,,-,"HAWAII
(21.30485232600006, -157.85774798099996)",
ARKANSAS,2015,1,,-,0,,0,,,-,,-,,-,3,,27,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
MAINE,2015,1,,-,0,,0,,,-,,-,3,,3,,11,,3,,3,,,-,0,,2,,,-,,-,"MAINE
(45.25422910300006, -68.98502586699993)",
SOUTH DAKOTA,2015,1,,-,0,,0,,,-,,-,1,,0,,2,,1,,3,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
WYOMING,2015,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
RHODE ISLAND,2015,1,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
SOUTH CAROLINA,2015,1,,-,0,,0,,,-,,-,,-,2,,11,,,-,1,,,-,0,,2,,,-,,-,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
NEW JERSEY,2015,1,,-,0,,0,,,-,,-,,-,4,,14,,,-,5,,,-,0,,5,,,-,,-,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
ALASKA,2015,1,,-,0,,1,,,-,,-,,-,0,,8,,,-,,-,,-,0,,2,,,-,,-,"ALASKA
(64.84507799500005, -147.72205958799998)",
NEBRASKA,2015,1,,-,0,,0,,,-,,-,1,,0,,3,,1,,,-,,-,0,,1,,,-,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
MISSOURI,2015,1,,-,0,,0,,,-,,-,,-,3,,16,,,-,2,,,-,0,,2,,,-,,-,"MISSOURI
(38.63579147100006, -92.56629944499997)",
PUERTO RICO,2015,1,,-,0,,0,,,-,,-,1,,3,,12,,1,,3,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
UNITED STATES,2015,2,,-,0,,2,,1,,,-,68,,170,,270,,157,,205,,4,,14,,79,,10,,7,,,
NEW ENGLAND,2015,2,,-,0,,0,,,-,,-,9,,19,,39,,19,,29,,,-,1,,7,,,-,,-,,
MID. ATLANTIC,2015,2,,-,0,,1,,,-,,-,6,,21,,37,,20,,27,,,-,1,,10,,1,,1,,,
E.N. CENTRAL,2015,2,,-,0,,1,,,-,,-,17,,45,,73,,44,,61,,,-,1,,7,,,-,,-,,
W.N. CENTRAL,2015,2,,-,0,,1,,,-,,-,6,,9,,23,,10,,15,,,-,0,,3,,,-,,-,,
S. ATLANTIC,2015,2,,-,0,,1,,1,,,-,16,,21,,46,,35,,30,,4,,6,,17,,9,,2,,,
DIST. OF COL.,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,2,,-,0,,1,,,-,,-,,-,2,,8,,4,,2,,,-,1,,5,,,-,1,,,
W.S. CENTRAL,2015,2,,-,0,,1,,,-,,-,14,,35,,65,,16,,8,,,-,2,,8,,,-,1,,,
MOUNTAIN,2015,2,,-,0,,0,,,-,,-,,-,16,,53,,9,,32,,,-,0,,5,,,-,1,,,
PACIFIC,2015,2,,-,0,,2,,,-,,-,,-,2,,9,,,-,1,,,-,3,,39,,,-,1,,,
AMER. SAMOA,2015,2,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
MASSACHUSETTS,2015,2,,-,0,,0,,,-,,-,,-,8,,18,,,-,11,,,-,1,,6,,,-,,-,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
LOUISIANA,2015,2,,-,0,,1,,,-,,-,,-,0,,4,,,-,1,,,-,0,,4,,,-,1,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
NEW YORK,2015,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,5,,,-,,-,"NEW YORK
(42.82700376100007, -75.54396609999998)",
NORTH DAKOTA,2015,2,,-,0,,0,,,-,,-,,-,0,,3,,1,,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
OKLAHOMA,2015,2,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
WYOMING,2015,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
COLORADO,2015,2,,-,0,,0,,,-,,-,,-,4,,27,,7,,5,,,-,0,,3,,,-,,-,"COLORADO
(38.84384342200008, -106.13360911499996)",
WEST VIRGINIA,2015,2,,-,0,,0,,,-,,-,,-,2,,9,,,-,5,,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
PENNSYLVANIA,2015,2,,-,0,,1,,,-,,-,6,,16,,29,,20,,18,,,-,0,,3,,,-,1,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
ARKANSAS,2015,2,,-,0,,0,,,-,,-,,-,3,,28,,,-,1,,,-,0,,0,,,-,,-,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
GUAM,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
PUERTO RICO,2015,2,,-,0,,0,,,-,,-,,-,3,,12,,2,,8,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
MONTANA,2015,2,,-,0,,0,,,-,,-,,-,1,,5,,1,,3,,,-,0,,1,,,-,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
IOWA,2015,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
KENTUCKY,2015,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
GEORGIA,2015,2,,-,0,,0,,,-,,-,,-,1,,6,,,-,1,,,-,0,,1,,,-,1,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
TEXAS,2015,2,,-,0,,1,,,-,,-,14,,31,,59,,16,,6,,,-,1,,5,,,-,,-,"TEXAS
(31.827240467000024, -99.42676785299994)",
CONNECTICUT,2015,2,,-,0,,0,,,-,,-,,-,3,,8,,3,,6,,,-,0,,2,,,-,,-,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
OREGON,2015,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,2,,,-,,-,"OREGON
(44.56745049300008, -120.15502935599994)",
ALABAMA,2015,2,,-,0,,0,,,-,,-,,-,2,,8,,4,,2,,,-,0,,3,,,-,1,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
NEW MEXICO,2015,2,,-,0,,0,,,-,,-,,-,1,,5,,,-,5,,,-,0,,1,,,-,,-,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
RHODE ISLAND,2015,2,,-,0,,0,,,-,,-,,-,0,,3,,,-,2,,,-,0,,2,,,-,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
ALASKA,2015,2,,-,0,,1,,,-,,-,,-,0,,8,,,-,,-,,-,0,,2,,,-,,-,"ALASKA
(64.84507799500005, -147.72205958799998)",
UTAH,2015,2,,-,0,,0,,,-,,-,,-,3,,9,,,-,12,,,-,0,,1,,,-,,-,"UTAH
(39.36070123200005, -111.58712831499997)",
NEBRASKA,2015,2,,-,0,,0,,,-,,-,1,,0,,3,,2,,,-,,-,0,,1,,,-,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
SOUTH DAKOTA,2015,2,,-,0,,0,,,-,,-,,-,0,,2,,1,,4,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
NEVADA,2015,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"NEVADA
(39.49324221300003, -117.07183885899997)",
OHIO,2015,2,,-,0,,1,,,-,,-,7,,10,,22,,14,,12,,,-,0,,4,,,-,,-,"OHIO
(40.060212455000055, -82.40425667899996)",
KANSAS,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.347742794000055, -98.20077822999997)",
NEW YORK CITY,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,1,,,-,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
NEW HAMPSHIRE,2015,2,,-,0,,0,,,-,,-,,-,0,,5,,,-,3,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
ARIZONA,2015,2,,-,0,,0,,,-,,-,,-,5,,22,,1,,7,,,-,0,,3,,,-,1,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
WISCONSIN,2015,2,,-,0,,1,,,-,,-,5,,8,,15,,13,,14,,,-,0,,1,,,-,,-,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
ILLINOIS,2015,2,,-,0,,0,,,-,,-,,-,11,,23,,7,,16,,,-,0,,3,,,-,,-,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
VERMONT,2015,2,,-,0,,0,,,-,,-,1,,1,,11,,4,,1,,,-,0,,0,,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
HAWAII,2015,2,,-,0,,0,,,-,,-,,-,1,,4,,,-,,-,,-,0,,4,,,-,,-,"HAWAII
(21.30485232600006, -157.85774798099996)",
CALIFORNIA,2015,2,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,,-,2,,31,,,-,1,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
MAINE,2015,2,,-,0,,0,,,-,,-,8,,4,,11,,12,,6,,,-,0,,2,,,-,,-,"MAINE
(45.25422910300006, -68.98502586699993)",
INDIANA,2015,2,,-,0,,1,,,-,,-,1,,4,,11,,1,,6,,,-,0,,1,,,-,,-,"INDIANA
(39.766913353000064, -86.14995646699998)",
MISSOURI,2015,2,,-,0,,0,,,-,,-,5,,3,,16,,6,,3,,,-,0,,2,,,-,,-,"MISSOURI
(38.63579147100006, -92.56629944499997)",
MISSISSIPPI,2015,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
FLORIDA,2015,2,,-,0,,1,,1,,,-,16,,10,,28,,34,,10,,4,,3,,9,,7,,,-,"FLORIDA
(28.932042722000062, -81.92895768899996)",
MICHIGAN,2015,2,,-,0,,0,,,-,,-,4,,10,,33,,9,,13,,,-,0,,1,,,-,,-,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
MARYLAND,2015,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,1,,4,,1,,,-,"MARYLAND
(39.290582950000044, -76.60925984299996)",
WASHINGTON,2015,2,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,13,,,-,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
IDAHO,2015,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"IDAHO
(43.68263174800006, -114.36372693399994)",
MINNESOTA,2015,2,,-,0,,1,,,-,,-,,-,4,,11,,,-,8,,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
NORTH CAROLINA,2015,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,3,,1,,,-,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
DELAWARE,2015,2,,-,0,,0,,,-,,-,,-,0,,2,,1,,,-,,-,0,,1,,,-,,-,"DELAWARE
(39.00883389200004, -75.57773597599999)",
SOUTH CAROLINA,2015,2,,-,0,,0,,,-,,-,,-,2,,11,,,-,2,,,-,0,,2,,,-,1,,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
VIRGINIA,2015,2,,-,0,,0,,,-,,-,,-,5,,15,,,-,12,,,-,0,,8,,,-,,-,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
TENNESSEE,2015,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,2,,,-,,-,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
NEW JERSEY,2015,2,,-,0,,0,,,-,,-,,-,4,,14,,,-,9,,,-,0,,5,,,-,,-,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
UNITED STATES,2015,3,,-,0,,2,,1,,1,,58,,170,,270,,263,,377,,3,,14,,79,,14,,13,,,
NEW ENGLAND,2015,3,,-,0,,0,,,-,,-,5,,18,,39,,24,,48,,,-,1,,7,,,-,1,,,
MID. ATLANTIC,2015,3,,-,0,,1,,,-,,-,5,,21,,37,,25,,49,,,-,1,,10,,1,,1,,,
E.N. CENTRAL,2015,3,,-,0,,1,,,-,,-,18,,44,,73,,71,,108,,,-,1,,7,,,-,,-,,
W.N. CENTRAL,2015,3,,-,0,,1,,,-,,-,2,,9,,23,,16,,19,,,-,0,,3,,,-,,-,,
S. ATLANTIC,2015,3,,-,0,,1,,1,,1,,,-,22,,46,,51,,54,,2,,6,,17,,11,,6,,,
DIST. OF COL.,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,3,,-,0,,1,,,-,,-,1,,2,,8,,7,,3,,,-,1,,5,,,-,1,,,
W.S. CENTRAL,2015,3,,-,0,,1,,,-,,-,13,,35,,65,,45,,20,,1,,2,,8,,2,,1,,,
MOUNTAIN,2015,3,,-,0,,0,,,-,,-,14,,16,,53,,24,,75,,,-,0,,5,,,-,1,,,
PACIFIC,2015,3,,-,0,,2,,,-,,-,,-,2,,9,,,-,1,,,-,3,,39,,,-,2,,,
AMER. SAMOA,2015,3,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
OHIO,2015,3,,-,0,,1,,,-,,-,12,,10,,22,,26,,26,,,-,0,,4,,,-,,-,"OHIO
(40.060212455000055, -82.40425667899996)",
MICHIGAN,2015,3,,-,0,,0,,,-,,-,1,,10,,33,,13,,25,,,-,0,,1,,,-,,-,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
UTAH,2015,3,,-,0,,0,,,-,,-,,-,3,,8,,,-,21,,,-,0,,1,,,-,,-,"UTAH
(39.36070123200005, -111.58712831499997)",
NEW YORK CITY,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,1,,,-,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
TENNESSEE,2015,3,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,2,,,-,,-,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
PENNSYLVANIA,2015,3,,-,0,,1,,,-,,-,5,,16,,29,,25,,34,,,-,0,,3,,,-,1,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
MAINE,2015,3,,-,0,,0,,,-,,-,5,,4,,11,,16,,9,,,-,0,,2,,,-,,-,"MAINE
(45.25422910300006, -68.98502586699993)",
NEBRASKA,2015,3,,-,0,,0,,,-,,-,,-,0,,3,,1,,,-,,-,0,,1,,,-,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
MASSACHUSETTS,2015,3,,-,0,,0,,,-,,-,,-,8,,18,,,-,17,,,-,1,,6,,,-,1,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
WASHINGTON,2015,3,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,13,,,-,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
