Reporting Area,MMWR Year,MMWR Week,"Babesiosis, Current week","Babesiosis, Current week, flag","Babesiosis, Previous 52 weeks Med","Babesiosis, Previous 52 weeks Med, flag","Babesiosis, Previous 52 weeks Max","Babesiosis, Previous 52 weeks Max, flag","Babesiosis, Cum 2015","Babesiosis, Cum 2015, flag","Babesiosis, Cum 2014","Babesiosis, Cum 2014, flag","Campylobacteriosis, Current week","Campylobacteriosis, Current week, flag","Campylobacteriosis, Previous 52 weeks Med","Campylobacteriosis, Previous 52 weeks Med, flag","Campylobacteriosis, Previous 52 weeks Max","Campylobacteriosis, Previous 52 weeks Max, flag","Campylobacteriosis, Cum 2015","Campylobacteriosis, Cum 2015, flag","Campylobacteriosis, Cum 2014","Campylobacteriosis, Cum 2014, flag",Location 1,Location 2
OHIO,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"OHIO
(40.060212455000055, -82.40425667899996)",
ILLINOIS,2015,1,,-,0,,1,,,-,,-,,-,,-,,-,,-,,-,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
IDAHO,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"IDAHO
(43.68263174800006, -114.36372693399994)",
IOWA,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
WISCONSIN,2015,1,,-,0,,4,,,-,,-,,-,,-,,-,,-,,-,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
VIRGINIA,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
WASHINGTON,2015,1,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
NEW YORK,2015,1,,-,3,,56,,,-,,-,,-,,-,,-,,-,,-,"NEW YORK
(42.82700376100007, -75.54396609999998)",
UNITED STATES,2015,2,1,,11,,161,,2,,3,,202,,,-,,-,202,,,-,,
NEW ENGLAND,2015,2,,-,6,,92,,1,,3,,2,,,-,,-,2,,,-,,
MID. ATLANTIC,2015,2,1,,5,,71,,1,,,-,13,,,-,,-,13,,,-,,
E.N. CENTRAL,2015,2,,-,0,,4,,,-,,-,32,,,-,,-,32,,,-,,
W.N. CENTRAL,2015,2,,-,0,,1,,,-,,-,12,,,-,,-,12,,,-,,
S. ATLANTIC,2015,2,,-,0,,2,,,-,,-,101,,,-,,-,101,,,-,,
DIST. OF COL.,2015,2,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,2,,-,0,,1,,,-,,-,9,,,-,,-,9,,,-,,
W.S. CENTRAL,2015,2,,-,0,,1,,,-,,-,12,,,-,,-,12,,,-,,
MOUNTAIN,2015,2,,-,0,,0,,,-,,-,10,,,-,,-,10,,,-,,
PACIFIC,2015,2,,-,0,,1,,,-,,-,11,,,-,,-,11,,,-,,
AMER. SAMOA,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,2,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"VIRGIN ISL.
",
NEW MEXICO,2015,2,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
MAINE,2015,2,,-,0,,5,,1,,,-,1,,,-,,-,1,,,-,"MAINE
(45.25422910300006, -68.98502586699993)",
FLORIDA,2015,2,,-,0,,0,,,-,,-,57,,,-,,-,57,,,-,"FLORIDA
(28.932042722000062, -81.92895768899996)",
MISSOURI,2015,2,,-,0,,0,,,-,,-,10,,,-,,-,10,,,-,"MISSOURI
(38.63579147100006, -92.56629944499997)",
IOWA,2015,2,,-,0,,0,,,-,,-,2,,,-,,-,2,,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
ILLINOIS,2015,2,,-,0,,1,,,-,,-,,-,,-,,-,,-,,-,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
IDAHO,2015,2,,-,0,,0,,,-,,-,6,,,-,,-,6,,,-,"IDAHO
(43.68263174800006, -114.36372693399994)",
LOUISIANA,2015,2,,-,0,,0,,,-,,-,1,,,-,,-,1,,,-,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
MICHIGAN,2015,2,,-,0,,1,,,-,,-,5,,,-,,-,5,,,-,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
NORTH DAKOTA,2015,2,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
KANSAS,2015,2,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"KANSAS
(38.347742794000055, -98.20077822999997)",
KENTUCKY,2015,2,,-,0,,0,,,-,,-,3,,,-,,-,3,,,-,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
RHODE ISLAND,2015,2,,-,1,,18,,,-,,-,,-,,-,,-,,-,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
ALASKA,2015,2,,-,0,,0,,,-,,-,2,,,-,,-,2,,,-,"ALASKA
(64.84507799500005, -147.72205958799998)",
OKLAHOMA,2015,2,,-,0,,0,,,-,,-,1,,,-,,-,1,,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
MONTANA,2015,2,,-,0,,0,,,-,,-,1,,,-,,-,1,,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
ARIZONA,2015,2,,-,0,,0,,,-,,-,3,,,-,,-,3,,,-,"ARIZONA
(34.86597351900008, -111.76380664699997)",
NEVADA,2015,2,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"NEVADA
(39.49324221300003, -117.07183885899997)",
TENNESSEE,2015,2,,-,0,,0,,,-,,-,6,,,-,,-,6,,,-,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
SOUTH CAROLINA,2015,2,,-,0,,2,,,-,,-,2,,,-,,-,2,,,-,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
NORTH CAROLINA,2015,2,,-,0,,0,,,-,,-,21,,,-,,-,21,,,-,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
COLORADO,2015,2,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"COLORADO
(38.84384342200008, -106.13360911499996)",
DELAWARE,2015,2,,-,0,,1,,,-,,-,,-,,-,,-,,-,,-,"DELAWARE
(39.00883389200004, -75.57773597599999)",
OHIO,2015,2,,-,0,,0,,,-,,-,23,,,-,,-,23,,,-,"OHIO
(40.060212455000055, -82.40425667899996)",
ALABAMA,2015,2,,-,0,,1,,,-,,-,,-,,-,,-,,-,,-,"ALABAMA
(32.84057234800002, -86.63185738799996)",
GEORGIA,2015,2,,-,0,,0,,,-,,-,7,,,-,,-,7,,,-,"GEORGIA
(32.839683200000024, -83.62757885599996)",
HAWAII,2015,2,,-,0,,0,,,-,,-,4,,,-,,-,4,,,-,"HAWAII
(21.30485232600006, -157.85774798099996)",
GUAM,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
WISCONSIN,2015,2,,-,0,,4,,,-,,-,4,,,-,,-,4,,,-,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
WASHINGTON,2015,2,,-,0,,0,,,-,,-,1,,,-,,-,1,,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
SOUTH DAKOTA,2015,2,,-,0,,1,,,-,,-,,-,,-,,-,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
VIRGINIA,2015,2,,-,0,,0,,,-,,-,4,,,-,,-,4,,,-,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
NEBRASKA,2015,2,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
ARKANSAS,2015,2,,-,0,,0,,,-,,-,1,,,-,,-,1,,,-,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
NEW YORK CITY,2015,2,1,,0,,9,,1,,,-,,-,,-,,-,,-,,-,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
MINNESOTA,2015,2,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
NEW HAMPSHIRE,2015,2,,-,0,,6,,,-,,-,,-,,-,,-,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
UTAH,2015,2,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"UTAH
(39.36070123200005, -111.58712831499997)",
NEW YORK,2015,2,,-,3,,56,,,-,,-,,-,,-,,-,,-,,-,"NEW YORK
(42.82700376100007, -75.54396609999998)",
PUERTO RICO,2015,2,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
INDIANA,2015,2,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"INDIANA
(39.766913353000064, -86.14995646699998)",
MARYLAND,2015,2,,-,0,,1,,,-,,-,9,,,-,,-,9,,,-,"MARYLAND
(39.290582950000044, -76.60925984299996)",
WYOMING,2015,2,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
MISSISSIPPI,2015,2,,-,0,,0,,,-,,-,,-,,-,,-,,-,,-,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
TEXAS,2015,2,,-,0,,1,,,-,,-,9,,,-,,-,9,,,-,"TEXAS
(31.827240467000024, -99.42676785299994)",
NEW JERSEY,2015,2,,-,1,,24,,,-,,-,,-,,-,,-,,-,,-,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
CONNECTICUT,2015,2,,-,1,,28,,,-,,-,1,,,-,,-,1,,,-,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
CALIFORNIA,2015,2,,-,0,,1,,,-,,-,,-,,-,,-,,-,,-,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
OREGON,2015,2,,-,0,,1,,,-,,-,4,,,-,,-,4,,,-,"OREGON
(44.56745049300008, -120.15502935599994)",
VERMONT,2015,2,,-,0,,1,,,-,,-,,-,,-,,-,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
PENNSYLVANIA,2015,2,,-,0,,0,,,-,,-,13,,,-,,-,13,,,-,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
MASSACHUSETTS,2015,2,,-,2,,57,,,-,3,,,-,,-,,-,,-,,-,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
WEST VIRGINIA,2015,2,,-,0,,0,,,-,,-,1,,,-,,-,1,,,-,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
UNITED STATES,2015,3,1,,11,,161,,3,,5,,255,,666,,1087,,932,,1391,,,
NEW ENGLAND,2015,3,,-,6,,92,,,-,5,,,-,57,,117,,18,,99,,,
MID. ATLANTIC,2015,3,1,,5,,71,,2,,,-,32,,37,,81,,72,,97,,,
E.N. CENTRAL,2015,3,,-,0,,4,,,-,,-,37,,68,,150,,114,,159,,,
W.N. CENTRAL,2015,3,,-,0,,1,,,-,,-,13,,39,,97,,56,,51,,,
S. ATLANTIC,2015,3,,-,0,,2,,1,,,-,103,,138,,274,,326,,439,,,
DIST. OF COL.,2015,3,,-,0,,0,,,-,,-,,-,0,,4,,,-,4,,"DIST. OF COL.
",
E.S. CENTRAL,2015,3,,-,0,,1,,,-,,-,11,,34,,65,,52,,80,,,
W.S. CENTRAL,2015,3,,-,0,,1,,,-,,-,28,,68,,172,,66,,48,,,
MOUNTAIN,2015,3,,-,0,,0,,,-,,-,7,,64,,107,,66,,124,,,
PACIFIC,2015,3,,-,0,,2,,,-,,-,24,,166,,271,,162,,294,,,
AMER. SAMOA,2015,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
GUAM,2015,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
NEBRASKA,2015,3,,-,0,,0,,,-,,-,4,,7,,28,,13,,11,,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
MISSOURI,2015,3,,-,0,,0,,,-,,-,8,,11,,29,,26,,12,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
ALABAMA,2015,3,,-,0,,1,,,-,,-,,-,8,,17,,3,,16,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
NEW MEXICO,2015,3,,-,0,,0,,,-,,-,,-,8,,24,,3,,15,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
IDAHO,2015,3,,-,0,,0,,,-,,-,4,,6,,19,,14,,11,,"IDAHO
(43.68263174800006, -114.36372693399994)",
ILLINOIS,2015,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
HAWAII,2015,3,,-,0,,0,,,-,,-,,-,13,,34,,11,,30,,"HAWAII
(21.30485232600006, -157.85774798099996)",
LOUISIANA,2015,3,,-,0,,0,,,-,,-,9,,0,,12,,23,,,-,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
MARYLAND,2015,3,,-,0,,1,,1,,,-,8,,14,,28,,28,,36,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
MINNESOTA,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
KANSAS,2015,3,,-,0,,0,,,-,,-,,-,5,,15,,1,,9,,"KANSAS
(38.347742794000055, -98.20077822999997)",
OKLAHOMA,2015,3,,-,0,,0,,,-,,-,3,,8,,25,,7,,5,,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
CALIFORNIA,2015,3,,-,0,,1,,,-,,-,,-,107,,158,,103,,218,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
NEW JERSEY,2015,3,,-,1,,24,,,-,,-,,-,0,,0,,,-,,-,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
FLORIDA,2015,3,,-,0,,0,,,-,,-,59,,57,,100,,162,,146,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
RHODE ISLAND,2015,3,,-,1,,18,,,-,,-,,-,3,,23,,1,,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
VIRGINIA,2015,3,,-,0,,0,,,-,,-,12,,23,,44,,33,,26,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
UTAH,2015,3,,-,0,,0,,,-,,-,,-,8,,19,,3,,19,,"UTAH
(39.36070123200005, -111.58712831499997)",
MONTANA,2015,3,,-,0,,0,,,-,,-,,-,5,,12,,7,,11,,"MONTANA
(47.06652795700006, -109.42441587999997)",
KENTUCKY,2015,3,,-,0,,0,,,-,,-,7,,10,,30,,29,,22,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
VERMONT,2015,3,,-,0,,1,,,-,,-,,-,3,,9,,4,,5,,"VERMONT
(43.62538389600007, -72.51763667599994)",
NEVADA,2015,3,,-,0,,0,,,-,,-,,-,3,,11,,,-,9,,"NEVADA
(39.49324221300003, -117.07183885899997)",
TEXAS,2015,3,,-,0,,1,,,-,,-,16,,52,,135,,34,,38,,"TEXAS
(31.827240467000024, -99.42676785299994)",
MISSISSIPPI,2015,3,,-,0,,0,,,-,,-,,-,2,,5,,,-,7,,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
ALASKA,2015,3,,-,0,,0,,,-,,-,2,,1,,7,,5,,5,,"ALASKA
(64.84507799500005, -147.72205958799998)",
NEW YORK CITY,2015,3,,-,0,,9,,1,,,-,16,,0,,0,,16,,,-,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
SOUTH CAROLINA,2015,3,,-,0,,2,,,-,,-,4,,6,,15,,12,,18,,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
PUERTO RICO,2015,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
NEW YORK,2015,3,1,,3,,56,,1,,,-,,-,0,,0,,,-,,-,"NEW YORK
(42.82700376100007, -75.54396609999998)",
MASSACHUSETTS,2015,3,,-,2,,57,,,-,3,,,-,30,,49,,,-,60,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
OREGON,2015,3,,-,0,,1,,,-,,-,13,,15,,35,,33,,41,,"OREGON
(44.56745049300008, -120.15502935599994)",
TENNESSEE,2015,3,,-,0,,0,,,-,,-,4,,13,,24,,20,,35,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
WEST VIRGINIA,2015,3,,-,0,,0,,,-,,-,,-,4,,19,,5,,3,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
ARKANSAS,2015,3,,-,0,,0,,,-,,-,,-,6,,14,,2,,5,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
CONNECTICUT,2015,3,,-,1,,28,,,-,,-,,-,14,,34,,7,,25,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
GEORGIA,2015,3,,-,0,,0,,,-,,-,,-,11,,27,,15,,40,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
INDIANA,2015,3,,-,0,,0,,,-,,-,,-,14,,35,,5,,39,,"INDIANA
(39.766913353000064, -86.14995646699998)",
DELAWARE,2015,3,,-,0,,1,,,-,,-,1,,2,,6,,3,,5,,"DELAWARE
(39.00883389200004, -75.57773597599999)",
NEW HAMPSHIRE,2015,3,,-,0,,6,,,-,1,,,-,5,,14,,,-,5,,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
PENNSYLVANIA,2015,3,,-,0,,0,,,-,,-,16,,37,,81,,56,,97,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
COLORADO,2015,3,,-,0,,0,,,-,,-,,-,11,,33,,,-,24,,"COLORADO
(38.84384342200008, -106.13360911499996)",
NORTH CAROLINA,2015,3,,-,0,,0,,,-,,-,19,,16,,117,,68,,161,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
MAINE,2015,3,,-,0,,5,,,-,1,,,-,4,,13,,6,,4,,"MAINE
(45.25422910300006, -68.98502586699993)",
NORTH DAKOTA,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
WYOMING,2015,3,,-,0,,0,,,-,,-,,-,0,,4,,,-,1,,"WYOMING
(43.23554100600006, -108.10982701399996)",
MICHIGAN,2015,3,,-,0,,1,,,-,,-,5,,21,,45,,21,,41,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
WISCONSIN,2015,3,,-,0,,4,,,-,,-,8,,19,,58,,27,,44,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
