Reporting Area,MMWR Year,MMWR Week,"Lyme disease, Current week","Lyme disease, Current week, flag","Lyme disease, Previous 52 weeks Med","Lyme disease, Previous 52 weeks Med, flag","Lyme disease, Previous 52 weeks Max","Lyme disease, Previous 52 weeks Max, flag","Lyme disease, Cum 2016","Lyme disease, Cum 2016, flag","Lyme disease, Cum 2015","Lyme disease, Cum 2015, flag","Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Med","Malaria, Previous 52 weeks Med, flag","Malaria, Previous 52 weeks Max","Malaria, Previous 52 weeks Max, flag","Malaria, Cum 2016","Malaria, Cum 2016, flag","Malaria, Cum 2015","Malaria, Cum 2015, flag","Meningococcal disease, invasive, All serogroups, Current week","Meningococcal disease, invasive§, All serogroups, Current week, flag","Meningococcal disease, invasive§, All serogroups, Previous 52 weeks Med","Meningococcal disease, invasive§, All serogroups, Previous 52 weeks Med, flag","Meningococcal disease, invasive§, All serogroups, Previous 52 weeks Max","Meningococcal disease, invasive§, All serogroups, Previous 52 weeks Max, flag","Meningococcal disease, invasive§, All serogroups, Cum 2016","Meningococcal disease, invasive§, All serogroups, Cum 2016, flag","Meningococcal disease, invasive§, All serogroups, Cum 2015","Meningococcal disease, invasive§, All serogroups, Cum 2015, flag",Location 1,Location 2
LOUISIANA,2016,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,4,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
IDAHO,2016,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
NORTH DAKOTA,2016,1,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MAINE,2016,1,,-,15,,78,,,-,3,,1,,0,,3,,1,,,-,,-,0,,2,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEW HAMPSHIRE,2016,1,,-,6,,65,,,-,1,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
SOUTH DAKOTA,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NORTH CAROLINA,2016,1,,-,1,,57,,,-,,-,,-,0,,5,,,-,,-,,-,0,,1,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
MASSACHUSETTS,2016,1,,-,30,,390,,,-,27,,,-,1,,3,,,-,1,,,-,0,,2,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
TENNESSEE,2016,1,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
GUAM,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
UTAH,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"UTAH
(39.359772, -111.584173)",
IOWA,2016,1,,-,2,,28,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"IOWA
(42.46942, -93.815856)",
WYOMING,2016,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
PUERTO RICO,2016,1,,N,0,,0,,,N,,N,,-,0,,5,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEW YORK,2016,1,6,,47,,231,,6,,4,,,-,1,,7,,,-,1,,,-,0,,1,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
VERMONT,2016,1,,-,7,,55,,,-,3,,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
FLORIDA,2016,1,1,,3,,15,,1,,1,,3,,1,,3,,3,,1,,,-,0,,3,,,-,2,,"FLORIDA
(28.915325, -81.922409)",
OREGON,2016,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,3,,,-,,-,"OREGON
(44.567912, -120.156945)",
KANSAS,2016,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.345528, -98.201847)",
NEBRASKA,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NEW JERSEY,2016,1,,-,44,,325,,,-,30,,,-,1,,5,,,-,1,,,-,0,,1,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
CALIFORNIA,2016,1,,-,1,,8,,,-,,-,,-,2,,6,,,-,3,,1,,0,,4,,1,,3,,"CALIFORNIA
(37.640735, -121.002435)",
COLORADO,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"COLORADO
(38.841772, -106.132562)",
DELAWARE,2016,1,,-,6,,30,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
WISCONSIN,2016,1,,-,14,,129,,,-,4,,,-,0,,1,,,-,1,,,-,0,,2,,,-,1,,"WISCONSIN
(44.395526, -89.834513)",
ALABAMA,2016,1,1,,0,,3,,1,,,-,,-,0,,2,,,-,2,,,-,0,,1,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
ALASKA,2016,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
RHODE ISLAND,2016,1,,-,10,,69,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
PENNSYLVANIA,2016,1,34,,127,,835,,34,,55,,,-,0,,3,,,-,3,,,-,0,,2,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
MINNESOTA,2016,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
ILLINOIS,2016,1,,-,2,,28,,,-,1,,,-,1,,3,,,-,2,,,-,0,,1,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
KENTUCKY,2016,1,,-,0,,6,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
MISSOURI,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
TEXAS,2016,1,,-,1,,6,,,-,,-,1,,1,,8,,1,,,-,,-,0,,3,,,-,,-,"TEXAS
(31.827233, -99.423022)",
ARKANSAS,2016,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
ARIZONA,2016,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
SOUTH CAROLINA,2016,1,,-,1,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEVADA,2016,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
VIRGINIA,2016,1,1,,23,,95,,1,,4,,,-,1,,5,,,-,,-,,-,0,,2,,,-,2,,"VIRGINIA
(37.542699, -78.45822)",
MISSISSIPPI,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
SOUTH DAKOTA,2016,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
WEST VIRGINIA,2016,1,1,,3,,24,,1,,7,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW MEXICO,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
WASHINGTON,2016,1,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,,-,0,,4,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
MARYLAND,2016,1,1,,23,,111,,1,,8,,,-,2,,9,,,-,,-,,-,0,,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
OHIO,2016,1,,-,2,,18,,,-,1,,1,,0,,3,,1,,1,,,-,0,,4,,,-,,-,"OHIO
(40.056807, -82.405897)",
OKLAHOMA,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
UNITED STATES,2016,2,49,,435,,2243,,148,,337,,4,,22,,56,,19,,42,,5,,7,,15,,7,,15,,,
NEW ENGLAND,2016,2,5,,82,,722,,7,,112,,1,,1,,6,,2,,1,,,-,0,,2,,,-,1,,,
MID. ATLANTIC,2016,2,39,,231,,1249,,120,,158,,2,,5,,24,,7,,9,,,-,1,,4,,,-,,-,,
NEW YORK CITY,2016,2,1,,4,,560,,3,,1,,2,,3,,17,,7,,2,,,-,0,,2,,,-,,-,"NEW YORK CITY
",
E.N. CENTRAL,2016,2,,-,20,,174,,1,,15,,,-,2,,6,,3,,7,,,-,1,,5,,,-,1,,,
W.N. CENTRAL,2016,2,,-,4,,30,,1,,,-,,-,0,,3,,,-,2,,,-,0,,3,,,-,,-,,
S. ATLANTIC,2016,2,5,,68,,233,,18,,48,,,-,6,,15,,4,,10,,1,,1,,5,,1,,9,,,
DIST. OF COL.,2016,2,,-,1,,8,,,-,4,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,2,,-,2,,12,,1,,,-,1,,0,,4,,1,,2,,,-,0,,2,,,-,,-,,
W.S. CENTRAL,2016,2,,-,1,,6,,,-,,-,,-,2,,9,,1,,3,,1,,1,,5,,1,,,-,,
MOUNTAIN,2016,2,,-,1,,2,,,-,1,,,-,1,,3,,,-,1,,,-,0,,3,,,-,,-,,
PACIFIC,2016,2,,-,2,,11,,,-,3,,,-,2,,7,,1,,7,,3,,1,,7,,5,,4,,,
AMER. SAMOA,2016,2,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,2,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
ILLINOIS,2016,2,,-,2,,28,,,-,3,,,-,1,,3,,1,,5,,,-,0,,2,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
NEVADA,2016,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
FLORIDA,2016,2,1,,3,,15,,2,,1,,,-,1,,3,,3,,2,,1,,0,,3,,1,,3,,"FLORIDA
(28.915325, -81.922409)",
IOWA,2016,2,,-,2,,28,,1,,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"IOWA
(42.46942, -93.815856)",
CALIFORNIA,2016,2,,-,1,,8,,,-,1,,,-,2,,6,,,-,5,,,-,0,,4,,2,,3,,"CALIFORNIA
(37.640735, -121.002435)",
IDAHO,2016,2,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
VERMONT,2016,2,1,,7,,55,,2,,6,,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
KANSAS,2016,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.345528, -98.201847)",
NEW MEXICO,2016,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
ARKANSAS,2016,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NEW JERSEY,2016,2,,-,44,,325,,,-,52,,,-,1,,5,,,-,2,,,-,0,,1,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
PUERTO RICO,2016,2,,N,0,,0,,,N,,N,,-,0,,5,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NORTH DAKOTA,2016,2,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MICHIGAN,2016,2,,-,2,,11,,1,,,-,,-,0,,2,,1,,,-,,-,0,,1,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
ARIZONA,2016,2,,-,0,,2,,,-,1,,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
TEXAS,2016,2,,-,1,,6,,,-,,-,,-,1,,8,,1,,2,,,-,0,,3,,,-,,-,"TEXAS
(31.827233, -99.423022)",
NEW HAMPSHIRE,2016,2,,-,6,,65,,,-,5,,1,,0,,2,,1,,,-,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
WASHINGTON,2016,2,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,,-,0,,4,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
OREGON,2016,2,,-,0,,3,,,-,1,,,-,0,,2,,1,,2,,3,,0,,3,,3,,1,,"OREGON
(44.567912, -120.156945)",
NEBRASKA,2016,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
WISCONSIN,2016,2,,-,14,,129,,,-,9,,,-,0,,1,,,-,1,,,-,0,,2,,,-,1,,"WISCONSIN
(44.395526, -89.834513)",
GEORGIA,2016,2,,-,0,,0,,,-,,-,,-,1,,8,,1,,3,,,-,0,,2,,,-,2,,"GEORGIA
(32.836038, -83.631709)",
VIRGINIA,2016,2,,-,23,,95,,1,,6,,,-,1,,5,,,-,2,,,-,0,,2,,,-,3,,"VIRGINIA
(37.542699, -78.45822)",
SOUTH CAROLINA,2016,2,,-,1,,3,,,-,1,,,-,0,,1,,,-,1,,,-,0,,2,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
ALASKA,2016,2,,-,0,,2,,,-,1,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
PENNSYLVANIA,2016,2,31,,129,,837,,104,,94,,,-,0,,3,,,-,3,,,-,0,,2,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
MARYLAND,2016,2,1,,24,,111,,3,,23,,,-,2,,9,,,-,1,,,-,0,,1,,,-,1,,"MARYLAND
(39.290443, -76.612333)",
MISSOURI,2016,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,2,,,-,0,,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
RHODE ISLAND,2016,2,2,,10,,69,,2,,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MISSISSIPPI,2016,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MAINE,2016,2,2,,15,,78,,3,,12,,,-,0,,3,,1,,,-,,-,0,,2,,,-,,-,"MAINE
(45.252223, -68.986647)",
GUAM,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
OHIO,2016,2,,-,2,,18,,,-,2,,,-,0,,3,,1,,1,,,-,0,,4,,,-,,-,"OHIO
(40.056807, -82.405897)",
TENNESSEE,2016,2,,-,0,,4,,,-,,-,1,,0,,1,,1,,,-,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
WYOMING,2016,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NORTH CAROLINA,2016,2,,-,1,,57,,,-,2,,,-,0,,5,,,-,1,,,-,0,,1,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
OKLAHOMA,2016,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,1,,0,,1,,1,,,-,"OKLAHOMA
(35.468494, -97.521264)",
CONNECTICUT,2016,2,,-,26,,187,,,-,32,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
WEST VIRGINIA,2016,2,,-,3,,24,,1,,8,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
ALABAMA,2016,2,,-,0,,4,,1,,,-,,-,0,,2,,,-,2,,,-,0,,1,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
UTAH,2016,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"UTAH
(39.359772, -111.584173)",
LOUISIANA,2016,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,,-,0,,4,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
MONTANA,2016,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MONTANA
(47.062617, -109.430168)",
HAWAII,2016,2,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MINNESOTA,2016,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
KENTUCKY,2016,2,,-,0,,6,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
DELAWARE,2016,2,3,,7,,30,,11,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MASSACHUSETTS,2016,2,,-,30,,390,,,-,57,,,-,1,,3,,,-,1,,,-,0,,2,,,-,1,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW YORK,2016,2,7,,47,,231,,13,,11,,,-,1,,7,,,-,2,,,-,0,,1,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
INDIANA,2016,2,,-,0,,7,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
COLORADO,2016,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"COLORADO
(38.841772, -106.132562)",
UNITED STATES,2016,3,55,,436,,2251,,252,,509,,5,,21,,56,,30,,62,,1,,7,,15,,10,,23,,,
NEW ENGLAND,2016,3,1,,83,,722,,12,,180,,,-,1,,6,,3,,4,,,-,0,,2,,,-,2,,,
MID. ATLANTIC,2016,3,45,,234,,1256,,201,,238,,,-,5,,24,,9,,11,,,-,1,,4,,,-,,-,,
NEW YORK CITY,2016,3,7,,4,,560,,10,,8,,,-,3,,17,,7,,2,,,-,0,,2,,,-,,-,"NEW YORK CITY
",
E.N. CENTRAL,2016,3,1,,21,,175,,2,,18,,,-,2,,6,,3,,10,,1,,1,,5,,1,,2,,,
W.N. CENTRAL,2016,3,,-,4,,30,,1,,2,,1,,0,,3,,1,,3,,,-,0,,3,,,-,,-,,
S. ATLANTIC,2016,3,7,,69,,234,,34,,63,,4,,6,,15,,8,,17,,,-,1,,4,,1,,11,,,
DIST. OF COL.,2016,3,,-,1,,8,,,-,5,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,3,1,,2,,12,,2,,2,,,-,0,,4,,3,,2,,,-,0,,2,,,-,,-,,
W.S. CENTRAL,2016,3,,-,1,,6,,,-,,-,,-,1,,9,,1,,4,,,-,1,,5,,2,,1,,,
MOUNTAIN,2016,3,,-,1,,2,,,-,2,,,-,1,,3,,,-,1,,,-,0,,3,,,-,,-,,
PACIFIC,2016,3,,-,2,,12,,,-,4,,,-,2,,7,,2,,10,,,-,2,,7,,6,,7,,,
AMER. SAMOA,2016,3,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,3,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
CONNECTICUT,2016,3,,-,27,,187,,1,,48,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
VERMONT,2016,3,1,,7,,56,,6,,11,,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NEW YORK,2016,3,8,,47,,231,,21,,18,,,-,1,,7,,1,,4,,,-,0,,1,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
NEBRASKA,2016,3,,-,0,,1,,,-,,-,1,,0,,1,,1,,1,,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
PUERTO RICO,2016,3,,N,0,,0,,,N,,N,,-,0,,5,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
FLORIDA,2016,3,4,,3,,15,,6,,2,,1,,1,,3,,4,,4,,,-,0,,3,,1,,3,,"FLORIDA
(28.915325, -81.922409)",
ILLINOIS,2016,3,,-,2,,28,,,-,3,,,-,1,,3,,1,,6,,,-,0,,2,,,-,1,,"ILLINOIS
(40.477092, -88.993221)",
NEW MEXICO,2016,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
GEORGIA,2016,3,,-,0,,0,,,-,,-,,-,1,,8,,1,,5,,,-,0,,2,,,-,3,,"GEORGIA
(32.836038, -83.631709)",
TENNESSEE,2016,3,1,,0,,4,,1,,,-,,-,0,,1,,1,,,-,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
NEVADA,2016,3,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
WASHINGTON,2016,3,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,,-,0,,4,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
INDIANA,2016,3,,-,0,,7,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
WEST VIRGINIA,2016,3,,-,3,,24,,1,,8,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
COLORADO,2016,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"COLORADO
(38.841772, -106.132562)",
KENTUCKY,2016,3,,-,0,,6,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
