Reporting Area,MMWR Year,MMWR Week,"Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Current week","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Cum 2014","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Cum 2014, flag","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Cum 2013","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Cum 2013, flag","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Current week","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Cum 2014","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Cum 2014, flag","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Cum 2013","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Cum 2013, flag","Syphilis, primary and secondary, Current week","Syphilis, primary and secondary, Current week, flag","Syphilis, primary and secondary, Previous 52 weeks Med","Syphilis, primary and secondary, Previous 52 weeks Med, flag","Syphilis, primary and secondary, Previous 52 weeks Max","Syphilis, primary and secondary, Previous 52 weeks Max, flag","Syphilis, primary and secondary, Cum 2014","Syphilis, primary and secondary, Cum 2014, flag","Syphilis, primary and secondary, Cum 2013","Syphilis, primary and secondary, Cum 2013, flag",Location 1,Location 2
MARYLAND,2014,49,,-,0,,1,,3,,,-,,-,0,,3,,17,,8,,10,,8,,16,,406,,417,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
TENNESSEE,2014,49,,-,0,,2,,13,,12,,,-,5,,42,,526,,534,,2,,4,,10,,185,,205,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
DELAWARE,2014,49,,-,0,,0,,,-,,-,,-,0,,3,,24,,11,,,-,0,,9,,38,,42,,"DELAWARE
(39.00883389200004, -75.57773597599999)",
MICHIGAN,2014,49,,-,0,,0,,,-,,-,,-,0,,1,,2,,3,,,-,6,,17,,266,,457,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
IOWA,2014,49,,-,0,,0,,,-,,-,,-,0,,2,,10,,8,,,-,1,,5,,61,,98,,"IOWA
(42.469401411000035, -93.81648725599996)",
HAWAII,2014,49,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,5,,55,,43,,"HAWAII
(21.30485232600006, -157.85774798099996)",
WEST VIRGINIA,2014,49,,-,0,,0,,,-,1,,,-,0,,3,,5,,5,,,-,0,,2,,24,,13,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
OHIO,2014,49,,-,0,,0,,,-,1,,,-,0,,2,,11,,22,,,-,10,,17,,430,,407,,"OHIO
(40.060212455000055, -82.40425667899996)",
LOUISIANA,2014,49,,-,0,,0,,,-,,-,,-,0,,2,,17,,4,,,-,9,,22,,455,,385,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
NEW JERSEY,2014,49,,-,0,,0,,,-,2,,,-,1,,6,,50,,39,,,-,4,,13,,227,,219,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
KENTUCKY,2014,49,,-,0,,0,,,-,2,,,-,1,,5,,51,,68,,3,,2,,8,,142,,110,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
KANSAS,2014,49,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,1,,4,,57,,50,,"KANSAS
(38.347742794000055, -98.20077822999997)",
ILLINOIS,2014,49,,-,0,,1,,3,,3,,,-,0,,10,,81,,99,,,-,11,,21,,504,,752,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
OKLAHOMA,2014,49,,-,0,,1,,4,,9,,,-,0,,55,,133,,176,,1,,2,,9,,128,,111,,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
ARKANSAS,2014,49,,-,0,,1,,1,,4,,5,,13,,57,,725,,456,,12,,2,,9,,117,,169,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
SOUTH DAKOTA,2014,49,,-,0,,1,,1,,1,,,-,0,,1,,2,,6,,,-,1,,7,,47,,36,,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
WISCONSIN,2014,49,,-,0,,0,,,-,1,,,-,0,,2,,7,,10,,,-,1,,5,,72,,84,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
SOUTH CAROLINA,2014,49,,-,0,,1,,1,,1,,,-,0,,4,,29,,59,,4,,4,,10,,225,,257,,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
NEW YORK CITY,2014,49,,-,0,,0,,,-,1,,,-,0,,2,,10,,2,,1,,25,,38,,1155,,1101,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
VERMONT,2014,49,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,2,,3,,"VERMONT
(43.62538389600007, -72.51763667599994)",
PENNSYLVANIA,2014,49,,-,0,,1,,1,,,-,,-,0,,2,,8,,15,,10,,10,,22,,492,,448,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
IDAHO,2014,49,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,,-,0,,2,,9,,13,,"IDAHO
(43.68263174800006, -114.36372693399994)",
NEVADA,2014,49,,-,0,,0,,,-,,-,,-,0,,1,,1,,1,,,-,6,,20,,318,,184,,"NEVADA
(39.49324221300003, -117.07183885899997)",
ALASKA,2014,49,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,2,,16,,23,,"ALASKA
(64.84507799500005, -147.72205958799998)",
MINNESOTA,2014,49,,-,0,,0,,,-,1,,,-,0,,1,,,-,13,,1,,4,,10,,223,,178,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
WYOMING,2014,49,,-,0,,0,,,-,,-,,-,0,,0,,,-,2,,,-,0,,1,,1,,1,,"WYOMING
(43.23554100600006, -108.10982701399996)",
NEBRASKA,2014,49,,-,0,,1,,3,,5,,,-,0,,2,,10,,9,,,-,1,,3,,36,,39,,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
FLORIDA,2014,49,,-,0,,1,,1,,4,,1,,0,,3,,34,,20,,4,,32,,49,,1500,,1407,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
RHODE ISLAND,2014,49,,-,0,,0,,,-,,-,,-,0,,0,,,-,2,,,-,1,,5,,64,,37,,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
UTAH,2014,49,,-,0,,1,,1,,,-,,-,0,,1,,3,,5,,,-,0,,3,,27,,72,,"UTAH
(39.36070123200005, -111.58712831499997)",
WASHINGTON,2014,49,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,3,,10,,135,,267,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
ARIZONA,2014,49,,-,0,,0,,,-,9,,,-,0,,2,,7,,53,,,-,9,,21,,453,,263,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
VIRGINIA,2014,49,,-,0,,1,,5,,4,,,-,4,,23,,325,,335,,6,,5,,18,,276,,294,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
MISSOURI,2014,49,,-,0,,1,,4,,2,,,-,2,,19,,261,,240,,3,,5,,13,,300,,237,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
MONTANA,2014,49,,-,0,,1,,1,,,-,,-,0,,1,,3,,2,,,-,0,,2,,9,,5,,"MONTANA
(47.06652795700006, -109.42441587999997)",
NORTH CAROLINA,2014,49,,-,0,,2,,10,,11,,3,,2,,66,,439,,381,,14,,12,,25,,603,,380,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
ALABAMA,2014,49,,-,0,,2,,8,,1,,,-,3,,12,,203,,248,,,-,3,,8,,133,,176,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
PUERTO RICO,2014,49,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,9,,31,,459,,357,,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
NEW MEXICO,2014,49,,-,0,,1,,1,,1,,,-,0,,1,,1,,3,,,-,2,,6,,105,,77,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
GUAM,2014,49,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
CONNECTICUT,2014,49,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,1,,5,,71,,53,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
MASSACHUSETTS,2014,49,,-,0,,0,,,-,,-,,-,0,,1,,5,,1,,,-,5,,13,,250,,343,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
OREGON,2014,49,,-,0,,1,,1,,1,,,-,0,,1,,3,,1,,1,,5,,12,,242,,254,,"OREGON
(44.56745049300008, -120.15502935599994)",
INDIANA,2014,49,,-,0,,2,,2,,1,,,-,0,,4,,31,,29,,,-,3,,8,,153,,211,,"INDIANA
(39.766913353000064, -86.14995646699998)",
UNITED STATES,2014,50,,-,2,,10,,117,,168,,14,,54,,238,,3215,,3034,,98,,355,,433,,17040,,16423,,,
NEW ENGLAND,2014,50,,-,0,,1,,1,,1,,,-,0,,1,,11,,8,,2,,8,,16,,435,,481,,,
MID. ATLANTIC,2014,50,,-,0,,2,,4,,4,,,-,1,,8,,88,,75,,12,,47,,73,,2282,,2046,,,
E.N. CENTRAL,2014,50,,-,0,,2,,5,,6,,,-,1,,12,,132,,163,,,-,32,,59,,1447,,1956,,,
W.N. CENTRAL,2014,50,,-,0,,2,,10,,9,,,-,2,,21,,284,,279,,3,,17,,29,,748,,666,,,
S. ATLANTIC,2014,50,,-,1,,4,,55,,105,,9,,8,,92,,890,,826,,55,,89,,215,,4234,,3735,,,
DIST. OF COL.,2014,50,,-,0,,1,,,-,4,,,-,0,,0,,,-,1,,,U,0,,1,,,U,,U,"DIST. OF COL.
",
E.S. CENTRAL,2014,50,,-,0,,4,,27,,16,,1,,11,,52,,818,,893,,4,,14,,30,,663,,580,,,
W.S. CENTRAL,2014,50,,-,0,,1,,5,,14,,4,,16,,99,,965,,703,,,-,46,,66,,2263,,2132,,,
MOUNTAIN,2014,50,,-,0,,1,,3,,11,,,-,0,,2,,15,,72,,3,,25,,33,,1152,,792,,,
PACIFIC,2014,50,,-,0,,1,,7,,2,,,-,0,,2,,12,,15,,19,,80,,105,,3816,,4035,,,
AMER. SAMOA,2014,50,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2014,50,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2014,50,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,1,,1,,1,,"VIRGIN ISL.
",
NEW MEXICO,2014,50,,-,0,,1,,1,,1,,,-,0,,1,,1,,3,,,-,2,,6,,108,,77,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
MISSISSIPPI,2014,50,,-,0,,1,,5,,1,,,-,0,,5,,34,,38,,,-,3,,27,,192,,73,,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
ARIZONA,2014,50,,-,0,,0,,,-,9,,,-,0,,2,,7,,53,,1,,10,,21,,501,,274,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
TENNESSEE,2014,50,,-,0,,2,,14,,12,,,-,5,,42,,526,,536,,1,,3,,10,,186,,210,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
PENNSYLVANIA,2014,50,,-,0,,1,,1,,,-,,-,0,,2,,8,,16,,2,,10,,22,,495,,455,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
FLORIDA,2014,50,,-,0,,1,,1,,4,,,-,0,,3,,35,,20,,2,,32,,49,,1537,,1443,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
ILLINOIS,2014,50,,-,0,,1,,3,,3,,,-,0,,10,,81,,99,,,-,11,,21,,524,,765,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
RHODE ISLAND,2014,50,,-,0,,0,,,-,,-,,-,0,,0,,,-,2,,1,,1,,5,,67,,38,,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
CALIFORNIA,2014,50,,-,0,,1,,6,,1,,,-,0,,1,,9,,14,,13,,72,,95,,3359,,3437,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
MINNESOTA,2014,50,,-,0,,0,,,-,1,,,-,0,,1,,,-,14,,,-,4,,10,,223,,180,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
KENTUCKY,2014,50,,-,0,,0,,,-,2,,,-,1,,5,,51,,68,,3,,3,,8,,145,,118,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
MAINE,2014,50,,-,0,,0,,,-,,-,,-,0,,1,,3,,2,,,-,0,,4,,11,,10,,"MAINE
(45.25422910300006, -68.98502586699993)",
MONTANA,2014,50,,-,0,,1,,1,,,-,,-,0,,1,,3,,2,,2,,0,,2,,11,,5,,"MONTANA
(47.06652795700006, -109.42441587999997)",
TEXAS,2014,50,,-,0,,0,,,-,1,,,-,2,,16,,84,,64,,,-,30,,50,,1545,,1448,,"TEXAS
(31.827240467000024, -99.42676785299994)",
CONNECTICUT,2014,50,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,1,,5,,75,,55,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
ALASKA,2014,50,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,2,,16,,23,,"ALASKA
(64.84507799500005, -147.72205958799998)",
SOUTH DAKOTA,2014,50,,-,0,,1,,1,,1,,,-,0,,1,,2,,6,,,-,1,,6,,48,,38,,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
HAWAII,2014,50,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,5,,55,,44,,"HAWAII
(21.30485232600006, -157.85774798099996)",
IDAHO,2014,50,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,,-,0,,2,,10,,13,,"IDAHO
(43.68263174800006, -114.36372693399994)",
NORTH CAROLINA,2014,50,,-,0,,2,,10,,11,,8,,2,,66,,448,,381,,14,,12,,25,,618,,392,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
LOUISIANA,2014,50,,-,0,,0,,,-,,-,,-,0,,2,,17,,4,,,-,10,,22,,471,,400,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
ALABAMA,2014,50,,-,0,,2,,8,,1,,1,,3,,12,,207,,251,,,-,3,,8,,140,,179,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
INDIANA,2014,50,,-,0,,2,,2,,1,,,-,0,,4,,31,,29,,,-,3,,8,,155,,214,,"INDIANA
(39.766913353000064, -86.14995646699998)",
VIRGINIA,2014,50,,-,0,,1,,4,,4,,1,,4,,23,,332,,341,,5,,5,,18,,281,,298,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
KANSAS,2014,50,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,4,,57,,50,,"KANSAS
(38.347742794000055, -98.20077822999997)",
WYOMING,2014,50,,-,0,,0,,,-,,-,,-,0,,0,,,-,2,,,-,0,,1,,1,,1,,"WYOMING
(43.23554100600006, -108.10982701399996)",
UTAH,2014,50,,-,0,,1,,1,,,-,,-,0,,1,,3,,5,,,-,0,,3,,28,,74,,"UTAH
(39.36070123200005, -111.58712831499997)",
COLORADO,2014,50,,-,0,,0,,,-,,-,,-,0,,0,,,-,6,,,-,3,,9,,163,,155,,"COLORADO
(38.84384342200008, -106.13360911499996)",
