Reporting Area,MMWR Year,MMWR Week,"Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Med","Chlamydia trachomatis infection, Previous 52 weeks Med, flag","Chlamydia trachomatis infection, Previous 52 weeks Max","Chlamydia trachomatis infection, Previous 52 weeks Max, flag","Chlamydia trachomatis infection, Cum 2016","Chlamydia trachomatis infection, Cum 2016, flag","Chlamydia trachomatis infection, Cum 2015","Chlamydia trachomatis infection, Cum 2015, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Med","Coccidioidomycosis, Previous 52 weeks Med, flag","Coccidioidomycosis, Previous 52 weeks Max","Coccidioidomycosis, Previous 52 weeks Max, flag","Coccidioidomycosis, Cum 2016","Coccidioidomycosis, Cum 2016, flag","Coccidioidomycosis, Cum 2015","Coccidioidomycosis, Cum 2015, flag",Location 1,Location 2
VIRGINIA,2016,1,531,,689,,1057,,531,,588,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
OKLAHOMA,2016,1,,-,284,,350,,,-,314,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
TEXAS,2016,1,2169,,2688,,4582,,2169,,3026,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
MISSISSIPPI,2016,1,,-,139,,649,,,-,3,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
CALIFORNIA,2016,1,1799,,3594,,4068,,1799,,3850,,,-,62,,94,,,-,86,,"CALIFORNIA
(37.640735, -121.002435)",
MICHIGAN,2016,1,473,,898,,1140,,473,,754,,,-,0,,2,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
UTAH,2016,1,71,,159,,202,,71,,198,,,-,0,,4,,,-,,-,"UTAH
(39.359772, -111.584173)",
WEST VIRGINIA,2016,1,,-,66,,120,,,-,70,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
PUERTO RICO,2016,1,,-,88,,297,,,-,69,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
ALASKA,2016,1,20,,82,,123,,20,,120,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
MAINE,2016,1,,-,76,,122,,,-,95,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
SOUTH DAKOTA,2016,1,10,,66,,103,,10,,73,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
PENNSYLVANIA,2016,1,1009,,1029,,1465,,1009,,860,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
ARIZONA,2016,1,,-,621,,797,,,-,362,,139,,145,,283,,139,,85,,"ARIZONA
(34.869712, -111.760902)",
MONTANA,2016,1,67,,80,,117,,67,,70,,,-,0,,2,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NEW JERSEY,2016,1,275,,640,,744,,275,,681,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
DELAWARE,2016,1,73,,123,,261,,73,,66,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
OHIO,2016,1,427,,1080,,1231,,427,,1065,,,-,0,,2,,,-,,-,"OHIO
(40.056807, -82.405897)",
SOUTH CAROLINA,2016,1,436,,542,,758,,436,,384,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW YORK,2016,1,185,,794,,1087,,185,,259,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
IDAHO,2016,1,54,,108,,154,,54,,87,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
NEVADA,2016,1,,-,181,,424,,,-,424,,,-,1,,7,,,-,2,,"NEVADA
(39.491833, -117.070159)",
NORTH DAKOTA,2016,1,,-,59,,77,,,-,57,,,-,0,,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
FLORIDA,2016,1,320,,1756,,2128,,320,,885,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
MARYLAND,2016,1,,-,506,,834,,,-,82,,,-,0,,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
WASHINGTON,2016,1,434,,558,,938,,434,,444,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
LOUISIANA,2016,1,721,,426,,3351,,721,,138,,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
E.N. CENTRAL,2016,1,1664,,4193,,4587,,1664,,4164,,,-,1,,2,,,-,,-,,
UNITED STATES,2016,2,12933,,28731,,31112,,29626,,55419,,139,,209,,360,,277,,356,,,
NEW ENGLAND,2016,2,25,,958,,1429,,395,,1948,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2016,2,2274,,3589,,4223,,4862,,6756,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2016,2,213,,1186,,1354,,746,,2649,,,N,0,,0,,,N,,N,"NEW YORK CITY
",
E.N. CENTRAL,2016,2,1558,,4222,,4602,,4585,,8532,,,-,1,,2,,,-,,-,,
W.N. CENTRAL,2016,2,280,,1678,,1934,,1145,,3616,,,-,2,,7,,,-,3,,,
S. ATLANTIC,2016,2,2180,,6114,,7633,,3750,,11660,,,-,0,,1,,,-,,-,,
DIST. OF COL.,2016,2,,-,130,,403,,,-,229,,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,2,367,,1484,,2600,,760,,2656,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2016,2,3223,,3719,,6545,,6567,,7032,,,-,0,,2,,,-,,-,,
MOUNTAIN,2016,2,608,,1881,,2507,,1334,,3287,,139,,149,,284,,264,,181,,,
PACIFIC,2016,2,2418,,4694,,5212,,6228,,9932,,,-,62,,99,,13,,172,,,
AMER. SAMOA,2016,2,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2016,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,2,,-,15,,26,,,-,29,,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
MICHIGAN,2016,2,489,,898,,1140,,1188,,1661,,,-,0,,2,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
MARYLAND,2016,2,,-,506,,834,,,-,306,,,-,0,,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
PUERTO RICO,2016,2,,-,88,,298,,,-,91,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
ARIZONA,2016,2,,-,622,,798,,,-,902,,138,,145,,283,,262,,173,,"ARIZONA
(34.869712, -111.760902)",
LOUISIANA,2016,2,658,,470,,3351,,1379,,506,,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
ARKANSAS,2016,2,78,,337,,686,,143,,12,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
FLORIDA,2016,2,869,,1764,,2128,,1368,,2403,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
OKLAHOMA,2016,2,73,,284,,350,,196,,643,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
SOUTH DAKOTA,2016,2,,-,66,,103,,11,,151,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
UTAH,2016,2,82,,159,,202,,217,,401,,,-,1,,4,,,-,,-,"UTAH
(39.359772, -111.584173)",
COLORADO,2016,2,370,,447,,1013,,717,,715,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
WISCONSIN,2016,2,254,,461,,553,,667,,996,,,-,0,,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
GEORGIA,2016,2,,-,1151,,1337,,,-,2187,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
MAINE,2016,2,,-,76,,122,,,-,162,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
NEBRASKA,2016,2,70,,142,,236,,152,,444,,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
OHIO,2016,2,514,,1080,,1231,,1471,,2234,,,-,0,,2,,,-,,-,"OHIO
(40.056807, -82.405897)",
WEST VIRGINIA,2016,2,,-,63,,120,,,-,140,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
VERMONT,2016,2,8,,29,,55,,19,,62,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
WYOMING,2016,2,6,,36,,70,,11,,61,,,-,0,,3,,,-,,-,"WYOMING
(43.23558, -108.110518)",
IDAHO,2016,2,,-,108,,154,,54,,200,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
PENNSYLVANIA,2016,2,1034,,1032,,1465,,2246,,1850,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
DELAWARE,2016,2,86,,123,,261,,159,,190,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
KANSAS,2016,2,41,,218,,295,,215,,494,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
OREGON,2016,2,403,,317,,434,,555,,568,,,-,0,,1,,,-,1,,"OREGON
(44.567912, -120.156945)",
VIRGINIA,2016,2,641,,689,,1057,,1174,,1228,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
INDIANA,2016,2,236,,548,,1223,,784,,1020,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
KENTUCKY,2016,2,95,,291,,665,,147,,193,,,-,0,,0,,,-,,N,"KENTUCKY
(37.64591, -84.774043)",
ILLINOIS,2016,2,65,,1239,,1409,,475,,2621,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
MINNESOTA,2016,2,,-,406,,511,,,-,846,,,-,1,,7,,,-,3,,"MINNESOTA
(44.943719, -93.094281)",
ALABAMA,2016,2,,-,446,,1191,,180,,1044,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
NORTH CAROLINA,2016,2,,-,1037,,2547,,,-,4007,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
HAWAII,2016,2,,-,136,,178,,,-,307,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
NEW YORK,2016,2,724,,794,,1251,,909,,926,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
TENNESSEE,2016,2,272,,568,,794,,433,,1352,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
NEW HAMPSHIRE,2016,2,,-,37,,338,,,-,58,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MISSISSIPPI,2016,2,,-,139,,651,,,-,67,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
MASSACHUSETTS,2016,2,,-,472,,547,,359,,1005,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
CONNECTICUT,2016,2,,-,250,,452,,,-,288,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
IOWA,2016,2,20,,236,,276,,193,,441,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
MISSOURI,2016,2,149,,565,,693,,574,,1111,,,-,0,,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
RHODE ISLAND,2016,2,17,,92,,243,,17,,373,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NORTH DAKOTA,2016,2,,-,59,,77,,,-,129,,,-,0,,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
SOUTH CAROLINA,2016,2,584,,542,,758,,1049,,970,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
ALASKA,2016,2,4,,84,,123,,44,,236,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
WASHINGTON,2016,2,438,,558,,938,,872,,998,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
NEW JERSEY,2016,2,303,,640,,744,,961,,1331,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
CALIFORNIA,2016,2,1573,,3588,,4072,,4757,,7823,,,-,62,,99,,13,,171,,"CALIFORNIA
(37.640735, -121.002435)",
MONTANA,2016,2,69,,80,,113,,147,,158,,,-,0,,2,,,-,2,,"MONTANA
(47.062617, -109.430168)",
NEVADA,2016,2,,-,181,,244,,,-,372,,1,,2,,7,,2,,3,,"NEVADA
(39.491833, -117.070159)",
NEW MEXICO,2016,2,81,,231,,376,,188,,478,,,-,0,,2,,,-,3,,"NEW MEXICO
(34.520396, -106.244402)",
TEXAS,2016,2,2414,,2669,,4582,,4849,,5871,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
GUAM,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
UNITED STATES,2016,3,13503,,28794,,31117,,53213,,84198,,181,,209,,360,,490,,516,,,
NEW ENGLAND,2016,3,44,,936,,1429,,458,,2834,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2016,3,2491,,3682,,4233,,9761,,10393,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2016,3,723,,1233,,1413,,3345,,3833,,,N,0,,0,,,N,,N,"NEW YORK CITY
",
E.N. CENTRAL,2016,3,1523,,4227,,4647,,7946,,13067,,,-,1,,2,,,-,1,,,
W.N. CENTRAL,2016,3,249,,1682,,1937,,2282,,5555,,,-,2,,7,,,-,4,,,
S. ATLANTIC,2016,3,2154,,6125,,7632,,7536,,17492,,,-,0,,1,,,-,,-,,
DIST. OF COL.,2016,3,3,,128,,403,,98,,306,,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,3,494,,1474,,2600,,1335,,4205,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2016,3,3400,,3722,,6545,,10543,,10923,,,-,0,,2,,,-,,-,,
MOUNTAIN,2016,3,815,,1885,,2509,,2758,,5176,,179,,149,,284,,456,,283,,,
PACIFIC,2016,3,2333,,4695,,5215,,10594,,14553,,2,,60,,102,,34,,228,,,
AMER. SAMOA,2016,3,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2016,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,3,,-,15,,26,,,-,45,,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
ILLINOIS,2016,3,49,,1239,,1409,,1007,,3910,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
NORTH DAKOTA,2016,3,12,,59,,77,,108,,188,,,-,0,,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEVADA,2016,3,46,,181,,244,,263,,570,,,-,2,,7,,3,,6,,"NEVADA
(39.491833, -117.070159)",
KANSAS,2016,3,42,,218,,295,,460,,717,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
OHIO,2016,3,360,,1077,,1231,,2341,,3343,,,-,0,,2,,,-,1,,"OHIO
(40.056807, -82.405897)",
INDIANA,2016,3,409,,550,,1223,,1540,,1644,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
KENTUCKY,2016,3,,-,291,,665,,147,,454,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
IDAHO,2016,3,137,,106,,154,,316,,299,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
GEORGIA,2016,3,309,,1151,,1337,,873,,3178,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
WASHINGTON,2016,3,503,,558,,938,,1375,,1530,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
NEBRASKA,2016,3,68,,141,,236,,225,,620,,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MONTANA,2016,3,87,,80,,112,,252,,247,,,-,0,,1,,,-,2,,"MONTANA
(47.062617, -109.430168)",
PENNSYLVANIA,2016,3,776,,1040,,1467,,3195,,2968,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
RHODE ISLAND,2016,3,25,,88,,225,,42,,381,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MASSACHUSETTS,2016,3,,-,471,,547,,359,,1476,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
HAWAII,2016,3,,-,136,,178,,,-,441,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
ARKANSAS,2016,3,60,,337,,686,,364,,24,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
ALASKA,2016,3,12,,83,,123,,133,,334,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
COLORADO,2016,3,363,,447,,1015,,1093,,1155,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
MICHIGAN,2016,3,465,,894,,1140,,1957,,2645,,,-,0,,2,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
LOUISIANA,2016,3,667,,517,,3351,,2041,,1087,,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
GUAM,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
CONNECTICUT,2016,3,3,,250,,455,,3,,519,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
SOUTH DAKOTA,2016,3,2,,65,,103,,13,,236,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
SOUTH CAROLINA,2016,3,491,,542,,758,,1576,,1479,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
VIRGINIA,2016,3,378,,689,,1057,,1552,,1858,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
NORTH CAROLINA,2016,3,17,,1045,,2540,,326,,5410,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
FLORIDA,2016,3,869,,1764,,2154,,2865,,4077,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
MAINE,2016,3,,-,76,,122,,,-,253,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
TENNESSEE,2016,3,77,,561,,794,,510,,1989,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
NEW JERSEY,2016,3,243,,638,,744,,1567,,1920,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
ALABAMA,2016,3,417,,441,,1191,,678,,1569,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
ARIZONA,2016,3,,-,623,,797,,,-,1548,,179,,145,,283,,453,,270,,"ARIZONA
(34.869712, -111.760902)",
WYOMING,2016,3,34,,36,,70,,62,,101,,,-,0,,3,,,-,,-,"WYOMING
(43.23558, -108.110518)",
VERMONT,2016,3,16,,29,,55,,54,,90,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
UTAH,2016,3,72,,159,,194,,374,,580,,,-,1,,4,,,-,2,,"UTAH
(39.359772, -111.584173)",
WISCONSIN,2016,3,240,,457,,553,,1101,,1525,,,-,0,,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
IOWA,2016,3,40,,235,,276,,457,,717,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
MARYLAND,2016,3,,-,506,,834,,,-,671,,,-,0,,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
NEW YORK,2016,3,749,,794,,1321,,1654,,1672,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
WEST VIRGINIA,2016,3,,-,63,,120,,,-,203,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
TEXAS,2016,3,2625,,2657,,4582,,7735,,8869,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
CALIFORNIA,2016,3,1399,,3583,,4075,,8091,,11368,,2,,60,,102,,34,,227,,"CALIFORNIA
(37.640735, -121.002435)",
GUAM,2016,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
PUERTO RICO,2016,3,,-,88,,298,,,-,184,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
MISSISSIPPI,2016,3,,-,139,,651,,,-,193,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
DELAWARE,2016,3,87,,121,,261,,246,,310,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
OKLAHOMA,2016,3,48,,282,,350,,403,,943,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
OREGON,2016,3,419,,318,,434,,995,,880,,,-,0,,1,,,-,1,,"OREGON
(44.567912, -120.156945)",
MINNESOTA,2016,3,,-,411,,517,,,-,1334,,,-,1,,7,,,-,4,,"MINNESOTA
(44.943719, -93.094281)",
MISSOURI,2016,3,85,,563,,693,,1019,,1743,,,-,0,,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
NEW HAMPSHIRE,2016,3,,-,35,,338,,,-,115,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW MEXICO,2016,3,76,,237,,376,,398,,676,,,-,0,,2,,,-,3,,"NEW MEXICO
(34.520396, -106.244402)",
UNITED STATES,2016,4,13615,,28834,,31112,,75956,,115322,,162,,209,,362,,646,,658,,,
NEW ENGLAND,2016,4,72,,936,,1429,,897,,3603,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2016,4,1823,,3680,,4226,,12221,,13790,,,-,0,,0,,,-,,-,,
