Reporting Area,MMWR Year,MMWR Week,"Rubella, Current week","Rubella, Current week, flag","Rubella, Previous 52 weeks Med","Rubella, Previous 52 weeks Med, flag","Rubella, Previous 52 weeks Max","Rubella, Previous 52 weeks Max, flag","Rubella, Cum 2016","Rubella, Cum 2016, flag","Rubella, Cum 2015","Rubella, Cum 2015, flag","Rubella, congenital syndrome, Current week","Rubella, congenital syndrome, Current week, flag","Rubella, congenital syndrome, Previous 52 weeks Med","Rubella, congenital syndrome, Previous 52 weeks Med, flag","Rubella, congenital syndrome, Previous 52 weeks Max","Rubella, congenital syndrome, Previous 52 weeks Max, flag","Rubella, congenital syndrome, Cum 2016","Rubella, congenital syndrome, Cum 2016, flag","Rubella, congenital syndrome, Cum 2015","Rubella, congenital syndrome, Cum 2015, flag","Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2016","Salmonellosis, Cum 2016, flag","Salmonellosis, Cum 2015","Salmonellosis, Cum 2015, flag",Location 1,Location 2
RHODE ISLAND,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,14,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
UNITED STATES,2016,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,238,,942,,1632,,596,,1102,,,
NEW ENGLAND,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,33,,87,,12,,49,,,
MID. ATLANTIC,2016,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,18,,85,,167,,49,,98,,,
NEW YORK CITY,2016,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,10,,16,,37,,24,,32,,"NEW YORK CITY
",
E.N. CENTRAL,2016,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,23,,98,,192,,59,,150,,,
W.N. CENTRAL,2016,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,3,,33,,59,,24,,57,,,
S. ATLANTIC,2016,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,134,,251,,484,,274,,347,,,
DIST. OF COL.,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,7,,66,,137,,31,,69,,,
W.S. CENTRAL,2016,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,36,,155,,335,,63,,70,,,
MOUNTAIN,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,14,,59,,176,,46,,59,,,
PACIFIC,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,124,,268,,38,,203,,,
AMER. SAMOA,2016,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
OHIO,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,19,,26,,48,,49,,40,,"OHIO
(40.056807, -82.405897)",
MINNESOTA,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
VERMONT,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,6,,,-,1,,"VERMONT
(43.622479, -72.51927)",
ILLINOIS,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,34,,71,,,-,47,,"ILLINOIS
(40.477092, -88.993221)",
WISCONSIN,2016,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,13,,88,,,-,15,,"WISCONSIN
(44.395526, -89.834513)",
CONNECTICUT,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,7,,22,,1,,15,,"CONNECTICUT
(41.544654, -72.651713)",
MASSACHUSETTS,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,19,,50,,8,,30,,"MASSACHUSETTS
(42.268546, -72.085064)",
DELAWARE,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,11,,2,,4,,"DELAWARE
(39.008676, -75.574561)",
PENNSYLVANIA,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,26,,71,,11,,32,,"PENNSYLVANIA
(40.789676, -77.858055)",
KANSAS,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,9,,24,,3,,15,,"KANSAS
(38.345528, -98.201847)",
NEW JERSEY,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,18,,47,,2,,20,,"NEW JERSEY
(40.104655, -74.386686)",
NEW HAMPSHIRE,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,12,,,-,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
INDIANA,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,11,,28,,,-,17,,"INDIANA
(39.76845, -86.156212)",
IOWA,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,27,,12,,15,,"IOWA
(42.46942, -93.815856)",
MISSOURI,2016,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,16,,,-,19,,"MISSOURI
(38.636168, -92.566292)",
NEW YORK,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,26,,49,,12,,14,,"NEW YORK
(42.826892, -75.544286)",
MAINE,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,8,,3,,2,,"MAINE
(45.252223, -68.986647)",
RHODE ISLAND,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,14,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MICHIGAN,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,17,,33,,10,,31,,"MICHIGAN
(44.66399, -84.711206)",
SOUTH DAKOTA,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,11,,2,,3,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEBRASKA,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,6,,13,,7,,3,,"NEBRASKA
(41.640503, -99.367122)",
NORTH DAKOTA,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,8,,,-,2,,"NORTH DAKOTA
(47.475879, -100.121011)",
TEXAS,2016,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,21,,100,,209,,48,,41,,"TEXAS
(31.827233, -99.423022)",
IDAHO,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,6,,108,,9,,3,,"IDAHO
(43.680635, -114.364237)",
VIRGINIA,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,20,,54,,3,,26,,"VIRGINIA
(37.542699, -78.45822)",
UTAH,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,7,,30,,9,,11,,"UTAH
(39.359772, -111.584173)",
CALIFORNIA,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,95,,194,,26,,185,,"CALIFORNIA
(37.640735, -121.002435)",
OREGON,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,21,,8,,9,,"OREGON
(44.567912, -120.156945)",
ALASKA,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,,-,4,,"ALASKA
(64.836661, -147.738891)",
ARKANSAS,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,14,,34,,4,,3,,"ARKANSAS
(34.748745, -92.275105)",
COLORADO,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,7,,24,,,-,7,,"COLORADO
(38.841772, -106.132562)",
WYOMING,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,1,,1,,"WYOMING
(43.23558, -108.110518)",
PUERTO RICO,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,N,1,,10,,22,,1,,28,,"PUERTO RICO
(18.215692, -66.414655)",
GUAM,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WEST VIRGINIA,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,11,,,-,7,,"WEST VIRGINIA
(38.668501, -80.709421)",
FLORIDA,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,102,,119,,191,,182,,132,,"FLORIDA
(28.915325, -81.922409)",
GEORGIA,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,37,,98,,28,,51,,"GEORGIA
(32.836038, -83.631709)",
NEW MEXICO,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,25,,3,,8,,"NEW MEXICO
(34.520396, -106.244402)",
ALABAMA,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,18,,42,,8,,23,,"ALABAMA
(32.839182, -86.631125)",
MARYLAND,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,8,,16,,37,,16,,31,,"MARYLAND
(39.290443, -76.612333)",
C.N.M.I.,2016,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
HAWAII,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,12,,3,,5,,"HAWAII
(21.30992, -157.858158)",
TENNESSEE,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,16,,35,,14,,19,,"TENNESSEE
(35.681402, -85.774444)",
SOUTH CAROLINA,2016,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,18,,25,,68,,43,,37,,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEVADA,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,14,,1,,6,,"NEVADA
(39.491833, -117.070159)",
LOUISIANA,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,24,,62,,,-,22,,"LOUISIANA
(31.2931, -92.463284)",
MISSISSIPPI,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,20,,58,,9,,15,,"MISSISSIPPI
(32.738663, -89.537312)",
WASHINGTON,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,15,,71,,1,,,-,"WASHINGTON
(47.517368, -120.467672)",
OKLAHOMA,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,11,,11,,61,,11,,4,,"OKLAHOMA
(35.468494, -97.521264)",
KENTUCKY,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,11,,23,,,-,12,,"KENTUCKY
(37.64591, -84.774043)",
MONTANA,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,3,,35,,3,,2,,"MONTANA
(47.062617, -109.430168)",
ARIZONA,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,7,,19,,51,,20,,21,,"ARIZONA
(34.869712, -111.760902)",
NORTH CAROLINA,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,27,,146,,,-,59,,"NORTH CAROLINA
(35.47995, -79.180571)",
UNITED STATES,2016,3,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,247,,947,,1634,,1013,,1699,,,
NEW ENGLAND,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,33,,87,,22,,72,,,
MID. ATLANTIC,2016,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,23,,85,,167,,89,,139,,,
NEW YORK CITY,2016,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,8,,16,,37,,32,,39,,"NEW YORK CITY
",
E.N. CENTRAL,2016,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,26,,99,,192,,90,,216,,,
W.N. CENTRAL,2016,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,7,,33,,59,,48,,99,,,
S. ATLANTIC,2016,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,126,,251,,486,,418,,533,,,
DIST. OF COL.,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,68,,137,,74,,103,,,
W.S. CENTRAL,2016,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,26,,157,,335,,96,,140,,,
MOUNTAIN,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,16,,59,,176,,80,,103,,,
PACIFIC,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,17,,125,,268,,96,,294,,,
AMER. SAMOA,2016,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
CONNECTICUT,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,7,,22,,8,,20,,"CONNECTICUT
(41.544654, -72.651713)",
RHODE ISLAND,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,14,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
ARIZONA,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,9,,19,,50,,35,,41,,"ARIZONA
(34.869712, -111.760902)",
NEW MEXICO,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,8,,25,,6,,12,,"NEW MEXICO
(34.520396, -106.244402)",
MONTANA,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,3,,35,,6,,3,,"MONTANA
(47.062617, -109.430168)",
OREGON,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,10,,21,,18,,13,,"OREGON
(44.567912, -120.156945)",
FLORIDA,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,92,,119,,191,,274,,223,,"FLORIDA
(28.915325, -81.922409)",
WISCONSIN,2016,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,13,,88,,1,,26,,"WISCONSIN
(44.395526, -89.834513)",
SOUTH CAROLINA,2016,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,10,,25,,68,,53,,49,,"SOUTH CAROLINA
(34.009286, -81.037094)",
KENTUCKY,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,11,,23,,,-,19,,"KENTUCKY
(37.64591, -84.774043)",
MISSISSIPPI,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,20,,58,,15,,26,,"MISSISSIPPI
(32.738663, -89.537312)",
NEW HAMPSHIRE,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,3,,12,,2,,3,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
COLORADO,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,7,,24,,,-,16,,"COLORADO
(38.841772, -106.132562)",
DELAWARE,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,11,,2,,5,,"DELAWARE
(39.008676, -75.574561)",
CALIFORNIA,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,9,,96,,194,,67,,260,,"CALIFORNIA
(37.640735, -121.002435)",
WYOMING,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,1,,1,,"WYOMING
(43.23558, -108.110518)",
