Reporting Area,MMWR Year,MMWR Week,"Invasive Pneumococcal disease, All ages, Current week","Invasive Pneumococcal disease§, All ages, Current week, flag","Invasive Pneumococcal disease§, All ages, Previous 52 weeks Med","Invasive Pneumococcal disease§, All ages, Previous 52 weeks Med, flag","Invasive Pneumococcal disease§, All ages, Previous 52 weeks Max","Invasive Pneumococcal disease§, All ages, Previous 52 weeks Max, flag","Invasive Pneumococcal disease§, All ages, Cum 2015","Invasive Pneumococcal disease§, All ages, Cum 2015, flag","Invasive Pneumococcal disease§, All ages, Cum 2014","Invasive Pneumococcal disease§, All ages, Cum 2014, flag","Invasive Pneumococcal disease§, Age LT 5, Current week","Invasive Pneumococcal disease§, Age LT 5, Current week, flag","Invasive Pneumococcal disease§, Age LT 5, Previous 52 weeks Med","Invasive Pneumococcal disease§, Age LT 5, Previous 52 weeks Med, flag","Invasive Pneumococcal disease§, Age LT 5, Previous 52 weeks Max","Invasive Pneumococcal disease§, Age LT 5, Previous 52 weeks Max, flag","Invasive Pneumococcal disease§, Age LT 5, Cum 2015","Invasive Pneumococcal disease§, Age LT 5, Cum 2015, flag","Invasive Pneumococcal disease§, Age LT 5, Cum 2014","Invasive Pneumococcal disease§, Age LT 5, Cum 2014, flag","Legionellosis, Current week","Legionellosis, Current week, flag","Legionellosis, Previous 52 weeks Med","Legionellosis, Previous 52 weeks Med, flag","Legionellosis, Previous 52 weeks Max","Legionellosis, Previous 52 weeks Max, flag","Legionellosis, Cum 2015","Legionellosis, Cum 2015, flag","Legionellosis, Cum 2014","Legionellosis, Cum 2014, flag",Location 1,Location 2
COLORADO,2015,11,,-,7,,24,,82,,141,,,-,0,,3,,8,,7,,2,,1,,7,,6,,6,,"COLORADO
(38.84384342200008, -106.13360911499996)",
MISSOURI,2015,11,,N,0,,0,,,N,,N,,-,0,,3,,2,,1,,,-,1,,12,,4,,6,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
MASSACHUSETTS,2015,11,4,,9,,29,,114,,143,,,-,0,,3,,8,,5,,1,,2,,8,,22,,20,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
HAWAII,2015,11,,-,1,,4,,11,,29,,,-,0,,1,,,-,3,,,-,0,,1,,2,,1,,"HAWAII
(21.30485232600006, -157.85774798099996)",
OKLAHOMA,2015,11,,N,0,,0,,,N,,N,,-,0,,2,,5,,4,,,-,0,,10,,1,,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
OHIO,2015,11,16,,18,,54,,275,,262,,1,,1,,4,,10,,7,,4,,7,,25,,57,,46,,"OHIO
(40.060212455000055, -82.40425667899996)",
MINNESOTA,2015,11,,-,7,,21,,,-,109,,,-,0,,4,,,-,8,,,-,1,,7,,,-,11,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
NEW YORK,2015,11,8,,15,,47,,187,,190,,,-,1,,8,,8,,6,,7,,7,,22,,54,,35,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
UTAH,2015,11,,-,0,,5,,3,,50,,,-,0,,1,,,-,5,,,-,0,,2,,3,,8,,"UTAH
(39.36070123200005, -111.58712831499997)",
GUAM,2015,11,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
KENTUCKY,2015,11,1,,3,,9,,49,,56,,,-,0,,2,,,-,3,,,-,1,,8,,8,,9,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
MAINE,2015,11,1,,2,,8,,35,,37,,1,,0,,1,,1,,,-,,-,0,,4,,,-,1,,"MAINE
(45.25422910300006, -68.98502586699993)",
VERMONT,2015,11,,-,1,,4,,16,,15,,,-,0,,1,,2,,,-,,-,0,,2,,,-,1,,"VERMONT
(43.62538389600007, -72.51763667599994)",
TENNESSEE,2015,11,12,,13,,48,,267,,220,,2,,1,,4,,14,,14,,1,,2,,12,,8,,10,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
ARKANSAS,2015,11,3,,4,,37,,61,,56,,1,,0,,2,,4,,1,,,-,0,,5,,4,,4,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
SOUTH DAKOTA,2015,11,,-,1,,4,,20,,28,,,-,0,,0,,,-,,-,,-,0,,2,,,-,2,,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
INDIANA,2015,11,,-,10,,31,,78,,149,,,-,0,,3,,7,,7,,,-,2,,14,,18,,13,,"INDIANA
(39.766913353000064, -86.14995646699998)",
IOWA,2015,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,3,,4,,2,,"IOWA
(42.469401411000035, -93.81648725599996)",
LOUISIANA,2015,11,9,,5,,16,,99,,141,,,-,0,,4,,7,,9,,,-,1,,4,,6,,5,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
MICHIGAN,2015,11,3,,10,,39,,162,,154,,,-,0,,3,,5,,10,,,-,4,,18,,20,,19,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
PENNSYLVANIA,2015,11,,N,,-,,-,,N,,N,,N,0,,0,,,N,,N,,-,5,,15,,26,,40,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
NEVADA,2015,11,,-,2,,10,,48,,39,,,-,0,,2,,1,,,-,,-,0,,3,,5,,1,,"NEVADA
(39.49324221300003, -117.07183885899997)",
VIRGINIA,2015,11,,N,0,,3,,,N,,N,,-,0,,3,,3,,4,,1,,2,,9,,18,,11,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
ARIZONA,2015,11,12,,11,,32,,201,,325,,,-,0,,4,,12,,17,,,-,1,,4,,16,,7,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
WASHINGTON,2015,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,1,,0,,9,,5,,1,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
NEW JERSEY,2015,11,,-,0,,3,,,-,22,,,-,0,,0,,,-,2,,,-,2,,6,,10,,22,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
WYOMING,2015,11,1,,0,,3,,6,,6,,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
KANSAS,2015,11,1,,2,,8,,38,,39,,,-,0,,0,,,-,,-,,-,0,,2,,,-,2,,"KANSAS
(38.347742794000055, -98.20077822999997)",
WISCONSIN,2015,11,,-,7,,16,,89,,100,,,-,0,,3,,5,,2,,,-,0,,7,,6,,13,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
NEW YORK CITY,2015,11,5,,12,,28,,175,,162,,,-,1,,2,,3,,5,,3,,4,,15,,39,,20,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
MONTANA,2015,11,,-,1,,3,,15,,14,,,N,0,,1,,,N,,N,,-,0,,1,,1,,2,,"MONTANA
(47.06652795700006, -109.42441587999997)",
NORTH DAKOTA,2015,11,5,,1,,5,,22,,19,,,-,0,,1,,1,,1,,,-,0,,1,,1,,2,,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
MISSISSIPPI,2015,11,1,,4,,10,,65,,83,,,-,0,,3,,4,,7,,,-,0,,2,,4,,2,,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
WEST VIRGINIA,2015,11,,-,4,,15,,51,,82,,,-,0,,1,,1,,3,,,-,1,,4,,8,,4,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
RHODE ISLAND,2015,11,2,,1,,8,,12,,10,,,-,0,,2,,1,,1,,,-,0,,4,,3,,2,,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
FLORIDA,2015,11,12,,10,,32,,133,,347,,3,,1,,6,,18,,19,,3,,6,,11,,59,,40,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
NEBRASKA,2015,11,7,,3,,8,,45,,41,,,-,0,,4,,3,,3,,,-,0,,3,,7,,1,,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
PUERTO RICO,2015,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,1,,1,,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
ALASKA,2015,11,,-,1,,5,,18,,18,,,-,0,,2,,1,,2,,,-,0,,0,,,-,2,,"ALASKA
(64.84507799500005, -147.72205958799998)",
NEW MEXICO,2015,11,,-,4,,16,,83,,102,,,-,0,,3,,5,,5,,,-,0,,1,,,-,,-,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
ILLINOIS,2015,11,,N,0,,0,,,N,,N,,-,1,,3,,3,,7,,,-,3,,16,,9,,24,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
NORTH CAROLINA,2015,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,3,,21,,35,,12,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
IDAHO,2015,11,,N,0,,0,,,N,,N,,-,0,,1,,2,,1,,,-,0,,2,,2,,2,,"IDAHO
(43.68263174800006, -114.36372693399994)",
GEORGIA,2015,11,3,,14,,35,,185,,267,,,-,1,,4,,11,,13,,,-,1,,6,,3,,7,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
ALABAMA,2015,11,2,,4,,11,,75,,65,,,-,0,,2,,5,,4,,,-,1,,5,,8,,4,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
CONNECTICUT,2015,11,,-,4,,8,,22,,65,,,-,0,,1,,1,,4,,,-,1,,3,,5,,13,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
CALIFORNIA,2015,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,6,,14,,20,,48,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
OREGON,2015,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,3,,3,,4,,"OREGON
(44.56745049300008, -120.15502935599994)",
WISCONSIN,2015,12,,-,6,,16,,89,,108,,,-,0,,3,,5,,2,,,-,1,,8,,6,,14,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
UNITED STATES,2015,12,155,,251,,664,,3739,,4667,,12,,19,,40,,241,,274,,38,,89,,182,,654,,587,,,
NEW ENGLAND,2015,12,4,,18,,54,,215,,309,,,-,1,,5,,16,,11,,2,,4,,14,,34,,41,,,
MID. ATLANTIC,2015,12,22,,26,,70,,386,,402,,1,,1,,10,,14,,15,,6,,19,,52,,139,,126,,,
E.N. CENTRAL,2015,12,29,,46,,122,,656,,720,,,-,3,,8,,32,,34,,5,,18,,49,,124,,120,,,
W.N. CENTRAL,2015,12,5,,14,,33,,138,,257,,,-,1,,6,,6,,16,,,-,3,,20,,23,,29,,,
S. ATLANTIC,2015,12,36,,48,,119,,766,,1087,,6,,4,,9,,60,,67,,16,,18,,36,,177,,115,,,
DIST. OF COL.,2015,12,3,,1,,4,,20,,17,,,-,0,,2,,4,,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,12,18,,23,,71,,480,,465,,2,,1,,4,,25,,29,,2,,6,,19,,32,,30,,,
W.S. CENTRAL,2015,12,31,,37,,216,,612,,660,,3,,3,,14,,55,,59,,7,,7,,31,,52,,32,,,
MOUNTAIN,2015,12,6,,28,,57,,452,,717,,,-,2,,8,,32,,37,,,-,4,,12,,36,,28,,,
PACIFIC,2015,12,4,,3,,8,,34,,50,,,-,0,,2,,1,,6,,,-,7,,20,,37,,66,,,
AMER. SAMOA,2015,12,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
",
VIRGIN ISL.,2015,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
NEW JERSEY,2015,12,,-,0,,3,,,-,23,,,-,0,,0,,,-,2,,,-,2,,6,,11,,22,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
MASSACHUSETTS,2015,12,,-,9,,29,,114,,153,,,-,0,,3,,8,,5,,,-,2,,8,,22,,22,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
NORTH DAKOTA,2015,12,1,,1,,6,,24,,21,,,-,0,,1,,1,,1,,,-,0,,1,,1,,2,,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
GEORGIA,2015,12,17,,14,,40,,230,,291,,,-,1,,4,,13,,14,,,-,1,,6,,5,,8,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
MONTANA,2015,12,,-,1,,3,,15,,14,,,N,0,,1,,,N,,N,,-,0,,1,,1,,2,,"MONTANA
(47.06652795700006, -109.42441587999997)",
DELAWARE,2015,12,,-,1,,5,,30,,12,,,-,0,,1,,2,,,-,,-,0,,2,,2,,3,,"DELAWARE
(39.00883389200004, -75.57773597599999)",
TEXAS,2015,12,23,,22,,170,,431,,448,,2,,2,,11,,38,,44,,4,,4,,24,,38,,22,,"TEXAS
(31.827240467000024, -99.42676785299994)",
ALABAMA,2015,12,1,,4,,11,,79,,69,,1,,0,,2,,6,,4,,,-,1,,5,,8,,5,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
SOUTH CAROLINA,2015,12,2,,7,,32,,169,,149,,,-,0,,3,,8,,11,,1,,1,,3,,11,,6,,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
MAINE,2015,12,3,,2,,8,,38,,38,,,-,0,,1,,1,,,-,1,,0,,4,,1,,1,,"MAINE
(45.25422910300006, -68.98502586699993)",
NEW YORK CITY,2015,12,,-,12,,28,,177,,172,,,-,1,,2,,5,,6,,,-,4,,15,,39,,21,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
WEST VIRGINIA,2015,12,,-,4,,15,,53,,84,,,-,0,,1,,2,,3,,,-,1,,4,,9,,4,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
IDAHO,2015,12,,N,0,,0,,,N,,N,,-,0,,1,,3,,1,,,-,0,,2,,2,,2,,"IDAHO
(43.68263174800006, -114.36372693399994)",
NEW MEXICO,2015,12,,-,4,,16,,83,,106,,,-,0,,3,,5,,5,,,-,0,,1,,,-,,-,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
C.N.M.I.,2015,25,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
NORTH CAROLINA,2015,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,7,,3,,21,,42,,16,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
CONNECTICUT,2015,12,,-,4,,8,,22,,71,,,-,0,,1,,1,,4,,,-,1,,3,,5,,13,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
MISSOURI,2015,12,,N,0,,0,,,N,,N,,-,0,,3,,2,,2,,,-,1,,12,,9,,8,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
MARYLAND,2015,12,7,,7,,23,,124,,161,,2,,0,,3,,4,,10,,1,,2,,10,,23,,17,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
KANSAS,2015,12,1,,2,,8,,43,,40,,,-,0,,0,,,-,,-,,-,0,,2,,,-,3,,"KANSAS
(38.347742794000055, -98.20077822999997)",
ALASKA,2015,12,4,,1,,5,,23,,20,,,-,0,,2,,1,,3,,,-,0,,0,,,-,2,,"ALASKA
(64.84507799500005, -147.72205958799998)",
ILLINOIS,2015,12,,N,0,,0,,,N,,N,,-,1,,3,,4,,7,,,-,3,,16,,14,,27,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
PENNSYLVANIA,2015,12,,N,,-,,-,,N,,N,,N,0,,0,,,N,,N,,-,6,,15,,29,,43,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
LOUISIANA,2015,12,7,,5,,16,,106,,151,,1,,0,,4,,8,,10,,,-,1,,4,,6,,6,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
MISSISSIPPI,2015,12,1,,3,,10,,67,,90,,,-,0,,3,,4,,7,,,-,1,,2,,5,,2,,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
GUAM,2015,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
NEBRASKA,2015,12,,-,3,,8,,45,,42,,,-,0,,4,,3,,4,,,-,0,,3,,7,,1,,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
VERMONT,2015,12,,-,1,,4,,16,,16,,,-,0,,1,,2,,,-,1,,0,,2,,1,,1,,"VERMONT
(43.62538389600007, -72.51763667599994)",
IOWA,2015,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,3,,5,,2,,"IOWA
(42.469401411000035, -93.81648725599996)",
OHIO,2015,12,20,,18,,54,,295,,283,,,-,1,,4,,10,,8,,5,,7,,25,,62,,46,,"OHIO
(40.060212455000055, -82.40425667899996)",
SOUTH DAKOTA,2015,12,3,,2,,4,,26,,29,,,-,0,,0,,,-,,-,,-,0,,2,,1,,2,,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
HAWAII,2015,12,,-,1,,4,,11,,30,,,-,0,,1,,,-,3,,,-,0,,1,,2,,1,,"HAWAII
(21.30485232600006, -157.85774798099996)",
TENNESSEE,2015,12,16,,12,,48,,284,,246,,1,,1,,4,,15,,15,,2,,2,,12,,10,,11,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
NEVADA,2015,12,,-,3,,10,,55,,43,,,-,0,,2,,3,,,-,,-,0,,3,,5,,1,,"NEVADA
(39.49324221300003, -117.07183885899997)",
MINNESOTA,2015,12,,-,7,,21,,,-,125,,,-,0,,4,,,-,9,,,-,1,,7,,,-,11,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
NEW HAMPSHIRE,2015,12,,-,1,,6,,12,,20,,,-,0,,1,,3,,1,,,-,0,,2,,2,,2,,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
ARKANSAS,2015,12,1,,5,,37,,75,,61,,,-,0,,2,,4,,1,,,-,0,,5,,4,,4,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
RHODE ISLAND,2015,12,1,,1,,8,,13,,11,,,-,0,,2,,1,,1,,,-,0,,4,,3,,2,,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
ARIZONA,2015,12,6,,11,,32,,208,,341,,,-,0,,4,,13,,18,,,-,1,,4,,18,,7,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
KENTUCKY,2015,12,,-,3,,9,,50,,60,,,-,0,,2,,,-,3,,,-,1,,8,,9,,12,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
NEW YORK,2015,12,22,,15,,47,,209,,207,,1,,1,,8,,9,,7,,6,,7,,22,,60,,40,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
CALIFORNIA,2015,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,6,,14,,25,,55,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
UTAH,2015,12,,-,0,,7,,3,,53,,,-,0,,1,,,-,5,,,-,0,,2,,4,,8,,"UTAH
(39.36070123200005, -111.58712831499997)",
VIRGINIA,2015,12,,N,0,,3,,,N,,N,,-,0,,3,,5,,5,,,-,2,,9,,19,,13,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
COLORADO,2015,12,,-,7,,24,,82,,154,,,-,0,,3,,8,,7,,,-,1,,7,,6,,8,,"COLORADO
(38.84384342200008, -106.13360911499996)",
OKLAHOMA,2015,12,,N,0,,0,,,N,,N,,-,0,,2,,5,,4,,3,,0,,10,,4,,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
FLORIDA,2015,12,7,,10,,32,,140,,373,,4,,1,,6,,22,,24,,7,,6,,11,,66,,48,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
PUERTO RICO,2015,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,1,,1,,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
MICHIGAN,2015,12,8,,10,,39,,179,,163,,,-,0,,3,,5,,10,,,-,4,,19,,21,,20,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
WASHINGTON,2015,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,9,,5,,3,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
WYOMING,2015,12,,-,0,,3,,6,,6,,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
INDIANA,2015,12,1,,10,,32,,93,,166,,,-,0,,3,,8,,7,,,-,2,,14,,21,,13,,"INDIANA
(39.766913353000064, -86.14995646699998)",
UNITED STATES,2015,13,167,,247,,671,,4019,,5049,,12,,20,,40,,262,,301,,39,,88,,181,,736,,651,,,
NEW ENGLAND,2015,13,7,,18,,54,,252,,345,,,-,1,,5,,19,,12,,1,,4,,14,,37,,42,,,
MID. ATLANTIC,2015,13,38,,26,,72,,447,,440,,3,,1,,10,,19,,17,,11,,18,,52,,154,,147,,,
E.N. CENTRAL,2015,13,38,,46,,122,,726,,781,,3,,3,,8,,39,,37,,2,,19,,48,,136,,132,,,
W.N. CENTRAL,2015,13,7,,14,,34,,146,,279,,,-,1,,6,,6,,18,,1,,4,,20,,27,,31,,,
S. ATLANTIC,2015,13,32,,48,,119,,818,,1170,,2,,4,,9,,62,,74,,13,,18,,36,,194,,126,,,
DIST. OF COL.,2015,13,,-,1,,4,,20,,17,,,-,0,,2,,4,,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,13,22,,23,,71,,507,,504,,3,,1,,4,,28,,33,,2,,6,,19,,35,,34,,,
W.S. CENTRAL,2015,13,15,,36,,216,,628,,724,,,-,3,,14,,55,,64,,3,,7,,32,,58,,34,,,
MOUNTAIN,2015,13,4,,30,,58,,457,,751,,1,,2,,8,,33,,40,,2,,4,,12,,46,,32,,,
PACIFIC,2015,13,4,,3,,8,,38,,55,,,-,0,,2,,1,,6,,4,,7,,21,,49,,73,,,
AMER. SAMOA,2015,13,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2015,13,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
IOWA,2015,13,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,3,,6,,2,,"IOWA
(42.469401411000035, -93.81648725599996)",
PUERTO RICO,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,1,,1,,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
FLORIDA,2015,13,15,,10,,32,,155,,397,,1,,1,,6,,23,,27,,9,,6,,11,,75,,53,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
MASSACHUSETTS,2015,13,,-,8,,29,,125,,172,,,-,0,,3,,10,,5,,,-,3,,8,,23,,22,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
VERMONT,2015,13,2,,1,,4,,18,,18,,,-,0,,1,,2,,,-,,-,0,,2,,1,,1,,"VERMONT
(43.62538389600007, -72.51763667599994)",
NEW MEXICO,2015,13,,-,4,,16,,83,,110,,,-,0,,3,,5,,6,,,-,0,,1,,,-,,-,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
MONTANA,2015,13,1,,1,,3,,16,,14,,,N,0,,1,,,N,,N,,-,0,,1,,1,,2,,"MONTANA
(47.06652795700006, -109.42441587999997)",
MICHIGAN,2015,13,4,,12,,39,,201,,173,,,-,0,,3,,8,,10,,1,,4,,19,,24,,23,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
DELAWARE,2015,13,,-,1,,5,,30,,14,,,-,0,,1,,2,,,-,,-,0,,2,,2,,3,,"DELAWARE
(39.00883389200004, -75.57773597599999)",
NEBRASKA,2015,13,3,,3,,8,,48,,47,,,-,0,,4,,3,,4,,,-,0,,3,,7,,1,,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
ALABAMA,2015,13,1,,4,,13,,85,,76,,1,,0,,2,,7,,6,,,-,1,,5,,8,,6,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
PENNSYLVANIA,2015,13,,N,,-,,-,,N,,N,,N,0,,0,,,N,,N,3,,6,,15,,33,,46,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
MARYLAND,2015,13,6,,7,,23,,131,,177,,,-,0,,3,,4,,11,,1,,2,,10,,24,,20,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
CALIFORNIA,2015,13,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,6,,16,,31,,62,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
WASHINGTON,2015,13,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,4,,0,,9,,9,,3,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
GEORGIA,2015,13,6,,14,,40,,242,,315,,1,,1,,4,,14,,16,,,-,1,,6,,6,,8,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
ARKANSAS,2015,13,4,,5,,37,,80,,68,,,-,0,,2,,4,,2,,,-,0,,5,,5,,4,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
NEVADA,2015,13,,-,2,,10,,55,,47,,,-,0,,2,,3,,,-,,-,0,,3,,5,,1,,"NEVADA
(39.49324221300003, -117.07183885899997)",
WYOMING,2015,13,,-,0,,3,,6,,6,,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
KANSAS,2015,13,1,,2,,8,,45,,44,,,-,0,,0,,,-,,-,,-,0,,2,,,-,3,,"KANSAS
(38.347742794000055, -98.20077822999997)",
MISSISSIPPI,2015,13,5,,3,,10,,72,,95,,1,,0,,3,,5,,9,,,-,0,,2,,5,,4,,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
INDIANA,2015,13,,-,10,,32,,101,,180,,,-,0,,3,,9,,7,,,-,2,,14,,23,,13,,"INDIANA
(39.766913353000064, -86.14995646699998)",
MISSOURI,2015,13,,N,0,,0,,,N,,N,,-,0,,3,,2,,4,,1,,1,,12,,12,,8,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
OHIO,2015,13,28,,18,,54,,323,,307,,2,,1,,4,,12,,10,,1,,7,,25,,63,,55,,"OHIO
(40.060212455000055, -82.40425667899996)",
RHODE ISLAND,2015,13,,-,1,,8,,14,,14,,,-,0,,2,,1,,1,,1,,0,,4,,4,,2,,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
OREGON,2015,13,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,3,,7,,5,,"OREGON
(44.56745049300008, -120.15502935599994)",
GUAM,2015,13,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
UTAH,2015,13,,-,2,,12,,3,,56,,,-,0,,3,,,-,6,,,-,0,,2,,4,,8,,"UTAH
(39.36070123200005, -111.58712831499997)",
TENNESSEE,2015,13,16,,12,,48,,300,,267,,1,,1,,4,,16,,15,,2,,2,,12,,13,,12,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
OKLAHOMA,2015,13,,N,0,,0,,,N,,N,,-,0,,2,,5,,4,,,-,0,,10,,4,,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
NEW YORK,2015,13,19,,15,,49,,227,,221,,3,,1,,8,,12,,8,,6,,7,,22,,66,,51,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
