Reporting Area,MMWR Year,MMWR Week,"Hepatitis (viral, acute), type A, Current week","Hepatitis (viral, acute), type A, Current week, flag ","Hepatitis (viral, acute), type A, Previous 52 weeks Med","Hepatitis (viral, acute), type A, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type A, Previous 52 weeks Max","Hepatitis (viral, acute), type A, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type A, Cum 2014","Hepatitis (viral, acute), type A, Cum 2014, flag","Hepatitis (viral, acute), type A, Cum 2013","Hepatitis (viral, acute), type A, Cum 2013, flag","Hepatitis (viral, acute), type B, Current week","Hepatitis (viral, acute), type B, Current week, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Med","Hepatitis (viral, acute), type B, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Max","Hepatitis (viral, acute), type B, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type B, Cum 2014","Hepatitis (viral, acute), type B, Cum 2014, flag","Hepatitis (viral, acute), type B, Cum 2013","Hepatitis (viral, acute), type B, Cum 2013, flag","Hepatitis (viral, acute), type C, Current week","Hepatitis (viral, acute), type C, Current week, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Med","Hepatitis (viral, acute), type C, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Max","Hepatitis (viral, acute), type C, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type C, Cum 2014","Hepatitis (viral, acute), type C, Cum 2014, flag","Hepatitis (viral, acute), type C, Cum 2013","Hepatitis (viral, acute), type C, Cum 2013, flag",Location 1,Location 2
ARIZONA,2014,1,,-,1,,6,,,-,2,,,-,0,,3,,,-,,-,,,0,,0,,,,,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
OHIO,2014,1,1,,1,,5,,1,,1,,2,,4,,8,,2,,4,,,-,0,,17,,,-,,-,"OHIO
(40.06021029700048, -82.40425685299965)",
ILLINOIS,2014,1,,-,1,,5,,,-,1,,,-,2,,4,,,-,2,,,-,0,,4,,,-,,-,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
ALASKA,2014,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
AMER. SAMOA,2014,32,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
KANSAS,2014,1,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,"KANSAS
(38.34774033400049, -98.20077655499966)",
ALABAMA,2014,1,,-,0,,2,,,-,,-,,-,1,,5,,,-,1,,,-,0,,5,,,-,,-,"ALABAMA
(32.84057327200048, -86.63185803899967)",
COLORADO,2014,1,,-,0,,8,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"COLORADO
(38.84384047000049, -106.13360888799969)",
DIST. OF COL.,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
SOUTH CAROLINA,2014,1,,-,0,,1,,,-,,-,,-,1,,5,,,-,1,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
NEW MEXICO,2014,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
CALIFORNIA,2014,1,2,,3,,17,,2,,3,,,-,2,,5,,,-,1,,,-,1,,5,,,-,4,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
INDIANA,2014,1,,-,0,,2,,,-,,-,,-,2,,5,,,-,,-,,-,2,,7,,,-,1,,"INDIANA
(39.76691364600049, -86.14995579899966)",
VIRGIN ISL.,2014,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
VIRGIN ISL.,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
NEW YORK CITY,2014,1,,-,1,,7,,,-,,-,,-,1,,5,,,-,5,,,-,0,,1,,,-,1,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
TEXAS,2014,1,1,,2,,5,,1,,,-,,-,2,,5,,,-,,-,,-,0,,2,,,-,,-,"TEXAS
(31.827243635000457, -99.4267664729997)",
MARYLAND,2014,1,,-,0,,4,,,-,,-,,-,1,,3,,,-,1,,,-,1,,4,,,-,,-,"MARYLAND
(39.2905806980005, -76.60925970899967)",
NEW JERSEY,2014,1,,-,0,,2,,,-,,-,,-,0,,3,,,-,1,,,-,0,,3,,,-,3,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
OKLAHOMA,2014,1,,-,0,,4,,,-,,-,,-,0,,4,,,-,,-,,-,0,,5,,,-,,-,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
NEW HAMPSHIRE,2014,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,N,0,,0,,,N,,N,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
AMER. SAMOA,2014,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
HAWAII,2014,1,,-,0,,4,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30485166200043, -157.85774691599974)",
NEBRASKA,2014,1,1,,0,,2,,1,,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
NORTH CAROLINA,2014,1,,-,1,,4,,,-,,-,2,,0,,16,,2,,,-,,-,0,,15,,,-,2,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
MAINE,2014,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MAINE
(45.254228663000504, -68.98502952999962)",
MISSOURI,2014,1,,-,0,,2,,,-,,-,,-,1,,4,,,-,1,,,-,0,,4,,,-,,-,"MISSOURI
(38.63579372300046, -92.56629737199967)",
CONNECTICUT,2014,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
FLORIDA,2014,1,,-,2,,7,,,-,,-,4,,6,,13,,4,,6,,,-,2,,7,,,-,,-,"FLORIDA
(28.932042899000464, -81.92895558499964)",
KENTUCKY,2014,1,,-,0,,2,,,-,2,,,-,4,,7,,,-,3,,,-,4,,10,,,-,5,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
IOWA,2014,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.469404401000475, -93.81648936699969)",
ARKANSAS,2014,1,,-,0,,2,,,-,,-,,-,1,,3,,,-,,-,,-,0,,3,,,-,,-,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
NEVADA,2014,1,,-,0,,3,,,-,,-,,-,0,,3,,,-,1,,,-,0,,2,,,-,,-,"NEVADA
(39.49324126500045, -117.07183978499972)",
GEORGIA,2014,1,,-,1,,4,,,-,1,,,-,2,,6,,,-,,-,,-,0,,3,,,-,,-,"GEORGIA
(32.83968004200045, -83.62757601199968)",
TENNESSEE,2014,1,1,,0,,2,,1,,1,,,-,5,,10,,,-,5,,1,,2,,7,,1,,1,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
NORTH DAKOTA,2014,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
VIRGINIA,2014,1,,-,0,,2,,,-,,-,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
LOUISIANA,2014,1,,-,0,,2,,,-,,-,,-,1,,8,,,-,2,,,-,0,,2,,,-,1,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
UTAH,2014,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,"UTAH
(39.36070374600047, -111.5871285339997)",
OREGON,2014,1,,-,0,,3,,,-,,-,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"OREGON
(44.567446178000466, -120.15502977999972)",
RHODE ISLAND,2014,1,,-,0,,1,,,-,,-,,,0,,0,,,,,,,,0,,0,,,,,,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
PUERTO RICO,2014,1,,-,0,,1,,,-,,-,,-,0,,6,,,-,,-,,N,0,,0,,,N,,N,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
IDAHO,2014,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,1,,,-,0,,2,,,-,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
C.N.M.I.,2014,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
DELAWARE,2014,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,,0,,0,,,,,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
UNITED STATES,2014,2,6,,30,,56,,15,,41,,15,,53,,73,,32,,82,,8,,33,,53,,11,,60,,,
NEW ENGLAND,2014,2,,-,1,,5,,1,,3,,,-,1,,4,,,-,,-,,-,3,,7,,,-,9,,,
MID. ATLANTIC,2014,2,1,,4,,12,,2,,3,,4,,3,,10,,6,,7,,2,,4,,11,,2,,8,,,
E.N. CENTRAL,2014,2,1,,5,,12,,3,,15,,2,,9,,15,,5,,13,,3,,7,,23,,4,,8,,,
W.N. CENTRAL,2014,2,,-,1,,6,,1,,1,,,-,2,,5,,,-,3,,,-,0,,5,,,-,1,,,
S. ATLANTIC,2014,2,2,,5,,15,,2,,2,,6,,16,,26,,15,,25,,1,,6,,21,,1,,11,,,
E.S. CENTRAL,2014,2,,-,1,,4,,1,,5,,3,,12,,17,,5,,22,,2,,6,,14,,3,,14,,,
W.S. CENTRAL,2014,2,1,,2,,6,,2,,1,,,-,5,,10,,,-,3,,,-,2,,7,,,-,2,,,
MOUNTAIN,2014,2,1,,2,,16,,1,,6,,,-,1,,4,,,-,3,,,-,1,,5,,1,,2,,,
PACIFIC,2014,2,,-,6,,18,,2,,5,,,-,3,,6,,1,,6,,,-,2,,7,,,-,5,,,
MARYLAND,2014,2,1,,0,,4,,1,,1,,,-,1,,4,,,-,2,,,-,1,,3,,,-,2,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
ALABAMA,2014,2,,-,0,,2,,,-,,-,,-,1,,5,,,-,2,,,-,0,,5,,,-,,-,"ALABAMA
(32.84057327200048, -86.63185803899967)",
OHIO,2014,2,1,,1,,5,,3,,6,,2,,4,,8,,5,,8,,3,,0,,17,,4,,,-,"OHIO
(40.06021029700048, -82.40425685299965)",
DELAWARE,2014,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,,0,,0,,,,,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
MASSACHUSETTS,2014,2,,-,0,,3,,,-,2,,,-,1,,3,,,-,,-,,-,3,,7,,,-,9,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
ARKANSAS,2014,2,,-,0,,2,,,-,,-,,-,1,,3,,,-,,-,,-,0,,3,,,-,,-,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
NEW YORK CITY,2014,2,,-,1,,7,,1,,1,,1,,1,,4,,1,,5,,,-,0,,1,,,-,1,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
OKLAHOMA,2014,2,,-,0,,4,,,-,,-,,-,0,,4,,,-,,-,,-,0,,5,,,-,,-,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
CONNECTICUT,2014,2,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
VIRGIN ISL.,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
HAWAII,2014,2,,-,0,,4,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30485166200043, -157.85774691599974)",
MINNESOTA,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
FLORIDA,2014,2,1,,2,,7,,1,,,-,3,,6,,13,,8,,10,,1,,2,,7,,1,,3,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
MICHIGAN,2014,2,,-,1,,7,,,-,3,,,-,1,,5,,,-,1,,,-,1,,11,,,-,3,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
RHODE ISLAND,2014,2,,-,0,,1,,,-,,-,,,0,,0,,,,,,,,0,,0,,,,,,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
NEW HAMPSHIRE,2014,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,N,0,,0,,,N,,N,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
ALASKA,2014,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
NORTH CAROLINA,2014,2,,-,1,,4,,,-,,-,,-,1,,16,,2,,3,,,-,0,,15,,,-,2,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
TENNESSEE,2014,2,,-,0,,2,,1,,2,,3,,5,,11,,5,,12,,2,,2,,7,,3,,3,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
WEST VIRGINIA,2014,2,,-,0,,1,,,-,,-,1,,3,,8,,3,,7,,,-,0,,5,,,-,3,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
MAINE,2014,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MAINE
(45.254228663000504, -68.98502952999962)",
WASHINGTON,2014,2,,-,0,,4,,,-,,-,,-,0,,4,,,-,,-,,-,1,,4,,,-,,-,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
WYOMING,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
ARIZONA,2014,2,1,,0,,6,,1,,6,,,-,0,,3,,,-,,-,,,0,,0,,,,,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
AMER. SAMOA,2014,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
SOUTH DAKOTA,2014,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
KENTUCKY,2014,2,,-,0,,2,,,-,3,,,-,4,,8,,,-,5,,,-,4,,10,,,-,11,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
INDIANA,2014,2,,-,0,,2,,,-,2,,,-,2,,6,,,-,2,,,-,2,,8,,,-,5,,"INDIANA
(39.76691364600049, -86.14995579899966)",
GUAM,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
DIST. OF COL.,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
KANSAS,2014,2,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,"KANSAS
(38.34774033400049, -98.20077655499966)",
MISSOURI,2014,2,,-,0,,2,,,-,,-,,-,1,,4,,,-,2,,,-,0,,4,,,-,1,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
C.N.M.I.,2014,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
WISCONSIN,2014,2,,-,1,,3,,,-,,-,,-,0,,2,,,-,,-,,-,1,,3,,,-,,-,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
OREGON,2014,2,,-,0,,3,,,-,,-,,-,0,,4,,,-,1,,,-,0,,1,,,-,,-,"OREGON
(44.567446178000466, -120.15502977999972)",
MONTANA,2014,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,"MONTANA
(47.066526051000494, -109.42441687999968)",
TEXAS,2014,2,1,,2,,5,,2,,,-,,-,3,,5,,,-,1,,,-,0,,2,,,-,,-,"TEXAS
(31.827243635000457, -99.4267664729997)",
CALIFORNIA,2014,2,,-,3,,17,,2,,4,,,-,2,,5,,1,,5,,,-,1,,5,,,-,5,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
NEW JERSEY,2014,2,,-,0,,2,,,-,1,,,-,0,,3,,,-,2,,,-,0,,3,,,-,4,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
IDAHO,2014,2,,-,0,,2,,,-,,-,,-,0,,2,,,-,1,,,-,0,,2,,,-,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
UTAH,2014,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,"UTAH
(39.36070374600047, -111.5871285339997)",
VIRGINIA,2014,2,,-,0,,2,,,-,,-,1,,0,,4,,1,,,-,,-,0,,3,,,-,,-,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
LOUISIANA,2014,2,,-,0,,2,,,-,1,,,-,1,,8,,,-,2,,,-,0,,2,,,-,2,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
COLORADO,2014,2,,-,0,,8,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,"COLORADO
(38.84384047000049, -106.13360888799969)",
ILLINOIS,2014,2,,-,1,,5,,,-,4,,,-,1,,4,,,-,2,,,-,0,,4,,,-,,-,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
VERMONT,2014,2,,-,0,,2,,1,,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.62538292400046, -72.51763944499965)",
PUERTO RICO,2014,2,,-,0,,1,,,-,,-,,-,0,,6,,,-,,-,,N,0,,0,,,N,,N,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
MISSISSIPPI,2014,2,,-,0,,1,,,-,,-,,-,1,,4,,,-,3,,,,0,,0,,,,,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
IOWA,2014,2,,-,0,,3,,,-,1,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"IOWA
(42.469404401000475, -93.81648936699969)",
PENNSYLVANIA,2014,2,,-,1,,4,,,-,,-,3,,1,,4,,5,,,-,2,,1,,6,,2,,2,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
NEVADA,2014,2,,-,0,,3,,,-,,-,,-,0,,3,,,-,2,,,-,0,,2,,,-,,-,"NEVADA
(39.49324126500045, -117.07183978499972)",
SOUTH CAROLINA,2014,2,,-,0,,1,,,-,,-,,-,1,,5,,,-,1,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
GEORGIA,2014,2,,-,1,,4,,,-,1,,1,,2,,6,,1,,2,,,-,0,,3,,,-,1,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
NEW YORK,2014,2,1,,1,,5,,1,,1,,,-,1,,3,,,-,,-,,-,2,,6,,,-,1,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
NEW MEXICO,2014,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
NORTH DAKOTA,2014,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
NEBRASKA,2014,2,,-,0,,2,,1,,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
UNITED STATES,2014,3,8,,30,,56,,25,,58,,21,,54,,73,,64,,126,,4,,33,,53,,18,,74,,,
NEW ENGLAND,2014,3,,-,1,,5,,1,,4,,,-,1,,4,,,-,2,,,-,3,,7,,,-,13,,,
MID. ATLANTIC,2014,3,2,,4,,12,,4,,6,,2,,3,,10,,11,,11,,1,,4,,11,,3,,10,,,
E.N. CENTRAL,2014,3,,-,5,,12,,3,,19,,1,,9,,15,,7,,19,,,-,7,,23,,4,,10,,,
W.N. CENTRAL,2014,3,1,,1,,6,,2,,2,,,-,2,,5,,1,,3,,,-,0,,5,,1,,1,,,
S. ATLANTIC,2014,3,4,,5,,15,,6,,4,,12,,16,,26,,30,,37,,2,,6,,21,,3,,14,,,
E.S. CENTRAL,2014,3,,-,1,,4,,2,,5,,5,,12,,17,,12,,34,,,-,6,,14,,4,,17,,,
W.S. CENTRAL,2014,3,,-,2,,6,,2,,2,,1,,5,,10,,2,,7,,,-,2,,7,,,-,2,,,
MOUNTAIN,2014,3,,-,2,,16,,2,,7,,,-,1,,4,,,-,4,,,-,1,,5,,1,,1,,,
PACIFIC,2014,3,1,,6,,18,,3,,9,,,-,3,,6,,1,,9,,1,,2,,7,,2,,6,,,
MONTANA,2014,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,"MONTANA
(47.066526051000494, -109.42441687999968)",
VIRGIN ISL.,2014,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
MISSISSIPPI,2014,3,,-,0,,1,,,-,,-,,-,1,,4,,,-,4,,,,0,,0,,,,,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
FLORIDA,2014,3,1,,2,,7,,2,,1,,9,,6,,13,,17,,15,,1,,2,,7,,2,,3,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
INDIANA,2014,3,,-,0,,2,,,-,2,,,-,2,,6,,,-,4,,,-,2,,8,,,-,6,,"INDIANA
(39.76691364600049, -86.14995579899966)",
