Reporting Area,MMWR Year,MMWR Week,"Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2014","Salmonellosis, Cum 2014, flag","Salmonellosis, Cum 2013","Salmonellosis, Cum 2013, flag","Shiga toxin-producing E. coli (STEC)†, Current week","Shiga toxin-producing E. coli (STEC)†, Current week, flag","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Med","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Med, flag","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Max","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Max, flag","Shiga toxin-producing E. coli (STEC)†, Cum 2014","Shiga toxin-producing E. coli (STEC)†, Cum 2014, flag","Shiga toxin-producing E. coli (STEC)†, Cum 2013","Shiga toxin-producing E. coli (STEC)†, Cum 2013, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Med","Shigellosis, Previous 52 weeks Med, flag","Shigellosis, Previous 52 weeks Max","Shigellosis, Previous 52 weeks Max, flag","Shigellosis, Cum 2014","Shigellosis, Cum 2014, flag","Shigellosis, Cum 2013","Shigellosis, Cum 2013, flag",Location 1,Location 2
UNITED STATES,2014,1,176,,869,,1513,,176,,406,,10,,110,,232,,10,,59,,202,,187,,351,,202,,132,,,
NEW ENGLAND,2014,1,,-,39,,81,,,-,19,,,-,4,,12,,,-,3,,,-,4,,94,,,-,8,,,
MID. ATLANTIC,2014,1,12,,94,,196,,12,,40,,2,,13,,37,,2,,10,,4,,15,,28,,4,,13,,,
E.N. CENTRAL,2014,1,11,,90,,166,,11,,60,,,-,15,,45,,,-,15,,12,,22,,74,,12,,41,,,
W.N. CENTRAL,2014,1,7,,46,,93,,7,,30,,,-,12,,38,,,-,5,,6,,6,,74,,6,,6,,,
S. ATLANTIC,2014,1,109,,223,,432,,109,,109,,5,,9,,18,,5,,5,,147,,46,,92,,147,,15,,,
E.S. CENTRAL,2014,1,9,,56,,136,,9,,40,,2,,5,,18,,2,,6,,26,,19,,65,,26,,9,,,
W.S. CENTRAL,2014,1,1,,116,,243,,1,,16,,,-,13,,33,,,-,1,,1,,46,,93,,1,,6,,,
MOUNTAIN,2014,1,7,,51,,248,,7,,18,,,-,9,,33,,,-,4,,2,,9,,38,,2,,6,,,
PACIFIC,2014,1,20,,109,,215,,20,,74,,1,,17,,51,,1,,10,,4,,20,,47,,4,,28,,,
SOUTH DAKOTA,2014,1,,-,3,,10,,,-,1,,,-,1,,5,,,-,1,,2,,0,,29,,2,,,-,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
COLORADO,2014,1,,-,6,,27,,,-,4,,,-,0,,11,,,-,,-,,-,1,,5,,,-,1,,"COLORADO
(38.84384047000049, -106.13360888799969)",
WISCONSIN,2014,1,,-,12,,28,,,-,11,,,-,2,,12,,,-,8,,,-,1,,3,,,-,1,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
MARYLAND,2014,1,11,,16,,36,,11,,17,,2,,1,,6,,2,,,-,2,,2,,6,,2,,1,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
NEW JERSEY,2014,1,,-,18,,46,,,-,11,,,-,2,,8,,,-,3,,,-,2,,7,,,-,3,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
C.N.M.I.,2014,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
MASSACHUSETTS,2014,1,,-,21,,54,,,-,7,,,-,2,,8,,,-,2,,,-,2,,11,,,-,6,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
MISSISSIPPI,2014,1,2,,13,,41,,2,,12,,,-,0,,4,,,-,,-,,-,4,,13,,,-,2,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
PENNSYLVANIA,2014,1,5,,29,,65,,5,,16,,2,,5,,19,,2,,3,,,-,2,,9,,,-,1,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
ALASKA,2014,1,2,,1,,5,,2,,,-,,-,0,,0,,,-,,-,1,,0,,1,,1,,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
NEW MEXICO,2014,1,,-,6,,14,,,-,3,,,-,0,,3,,,-,,-,,-,1,,5,,,-,3,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
NEW YORK,2014,1,6,,24,,50,,6,,2,,,-,4,,10,,,-,,-,,-,4,,14,,,-,1,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
MINNESOTA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
NORTH CAROLINA,2014,1,19,,31,,136,,19,,18,,,-,1,,8,,,-,,-,116,,2,,25,,116,,2,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
SOUTH CAROLINA,2014,1,4,,20,,52,,4,,10,,,-,0,,2,,,-,,-,1,,3,,6,,1,,,-,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
LOUISIANA,2014,1,1,,19,,43,,1,,10,,,-,0,,2,,,-,,-,,-,5,,21,,,-,1,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
GUAM,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(34.91997872200045, -120.52155783099971)",
AMER. SAMOA,2014,29,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
KANSAS,2014,1,,-,7,,18,,,-,3,,,-,1,,6,,,-,,-,,-,1,,4,,,-,,-,"KANSAS
(38.34774033400049, -98.20077655499966)",
TENNESSEE,2014,1,4,,16,,36,,4,,6,,2,,2,,6,,2,,3,,23,,7,,50,,23,,,-,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
GEORGIA,2014,1,11,,34,,101,,11,,22,,,-,2,,9,,,-,4,,14,,15,,36,,14,,7,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
AMER. SAMOA,2014,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
VIRGINIA,2014,1,5,,2,,27,,5,,,-,1,,0,,3,,1,,,-,1,,0,,7,,1,,,-,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
VERMONT,2014,1,,-,1,,5,,,-,,-,,-,0,,3,,,-,,-,,-,0,,1,,,-,1,,"VERMONT
(43.62538292400046, -72.51763944499965)",
DIST. OF COL.,2014,1,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
WASHINGTON,2014,1,,-,10,,32,,,-,,-,,-,3,,32,,,-,,-,,-,1,,10,,,-,,-,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
PUERTO RICO,2014,1,,-,8,,43,,,-,2,,,-,0,,6,,,-,,-,,-,0,,1,,,-,,-,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
NEBRASKA,2014,1,3,,5,,20,,3,,1,,,-,1,,7,,,-,,-,1,,1,,4,,1,,4,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
IOWA,2014,1,1,,10,,36,,1,,6,,,-,2,,14,,,-,2,,2,,2,,43,,2,,2,,"IOWA
(42.469404401000475, -93.81648936699969)",
NORTH DAKOTA,2014,1,,-,2,,7,,,-,1,,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
INDIANA,2014,1,,-,11,,23,,,-,8,,,-,1,,6,,,-,1,,,-,1,,6,,,-,3,,"INDIANA
(39.76691364600049, -86.14995579899966)",
MICHIGAN,2014,1,3,,17,,42,,3,,10,,,-,3,,14,,,-,4,,1,,3,,8,,1,,3,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
MONTANA,2014,1,2,,2,,9,,2,,1,,,-,1,,5,,,-,,-,,-,0,,10,,,-,,-,"MONTANA
(47.066526051000494, -109.42441687999968)",
VIRGIN ISL.,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
FLORIDA,2014,1,59,,105,,226,,59,,39,,2,,2,,7,,2,,1,,13,,17,,46,,13,,4,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
ALABAMA,2014,1,,-,17,,67,,,-,17,,,-,1,,3,,,-,2,,,-,5,,14,,,-,6,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
TEXAS,2014,1,,-,70,,161,,,-,5,,,-,9,,28,,,-,1,,,-,27,,80,,,-,3,,"TEXAS
(31.827243635000457, -99.4267664729997)",
CALIFORNIA,2014,1,15,,86,,171,,15,,68,,,-,8,,23,,,-,8,,2,,18,,47,,2,,28,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
WYOMING,2014,1,,-,1,,4,,,-,,-,,-,0,,7,,,-,,-,,-,0,,2,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
OKLAHOMA,2014,1,,-,12,,49,,,-,1,,,-,1,,10,,,-,,-,,-,3,,13,,,-,2,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
ILLINOIS,2014,1,,-,31,,61,,,-,23,,,-,4,,32,,,-,,-,,-,5,,15,,,-,2,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
RHODE ISLAND,2014,1,,-,2,,13,,,-,,-,,-,0,,2,,,-,,-,,-,0,,86,,,-,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
HAWAII,2014,1,,-,6,,13,,,-,4,,,-,0,,5,,,-,1,,,-,0,,6,,,-,,-,"HAWAII
(21.30485166200043, -157.85774691599974)",
KENTUCKY,2014,1,3,,9,,21,,3,,5,,,-,2,,9,,,-,1,,3,,1,,6,,3,,1,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
OHIO,2014,1,8,,22,,42,,8,,8,,,-,4,,15,,,-,2,,11,,10,,67,,11,,32,,"OHIO
(40.06021029700048, -82.40425685299965)",
ARKANSAS,2014,1,,-,13,,35,,,-,,-,,-,1,,6,,,-,,-,1,,5,,19,,1,,,-,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
OREGON,2014,1,3,,6,,25,,3,,2,,1,,3,,14,,1,,1,,1,,1,,4,,1,,,-,"OREGON
(44.567446178000466, -120.15502977999972)",
IDAHO,2014,1,3,,2,,9,,3,,,-,,-,2,,6,,,-,,-,2,,0,,2,,2,,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
ARIZONA,2014,1,,-,18,,32,,,-,7,,,-,2,,11,,,-,4,,,-,6,,27,,,-,1,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
UTAH,2014,1,2,,6,,14,,2,,,-,,-,1,,9,,,-,,-,,-,0,,2,,,-,,-,"UTAH
(39.36070374600047, -111.5871285339997)",
WEST VIRGINIA,2014,1,,-,3,,9,,,-,,-,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
MAINE,2014,1,,-,2,,11,,,-,,-,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"MAINE
(45.254228663000504, -68.98502952999962)",
NEVADA,2014,1,,-,4,,205,,,-,3,,,-,1,,3,,,-,,-,,-,0,,7,,,-,1,,"NEVADA
(39.49324126500045, -117.07183978499972)",
MISSOURI,2014,1,3,,18,,38,,3,,18,,,-,4,,18,,,-,2,,1,,2,,9,,1,,,-,"MISSOURI
(38.63579372300046, -92.56629737199967)",
DELAWARE,2014,1,,-,1,,7,,,-,3,,,-,0,,2,,,-,,-,,-,0,,2,,,-,1,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
NEW HAMPSHIRE,2014,1,,-,3,,11,,,-,2,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
NEW YORK CITY,2014,1,1,,20,,52,,1,,11,,,-,2,,8,,,-,4,,4,,6,,14,,4,,8,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
CONNECTICUT,2014,1,,-,7,,21,,,-,10,,,-,1,,7,,,-,1,,,-,1,,5,,,-,1,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
UNITED STATES,2014,2,238,,881,,1514,,510,,912,,14,,111,,236,,34,,117,,98,,202,,357,,357,,255,,,
NEW ENGLAND,2014,2,4,,39,,81,,13,,33,,,-,4,,12,,2,,7,,2,,3,,94,,4,,12,,,
MID. ATLANTIC,2014,2,9,,93,,196,,33,,92,,2,,13,,37,,5,,15,,2,,15,,28,,9,,24,,,
E.N. CENTRAL,2014,2,11,,97,,169,,34,,125,,2,,15,,46,,2,,24,,16,,23,,74,,34,,80,,,
W.N. CENTRAL,2014,2,7,,46,,93,,17,,67,,1,,12,,38,,1,,22,,6,,7,,74,,27,,11,,,
S. ATLANTIC,2014,2,154,,227,,432,,284,,256,,4,,9,,18,,10,,13,,50,,48,,156,,206,,34,,,
E.S. CENTRAL,2014,2,18,,57,,138,,40,,79,,,-,5,,18,,3,,7,,11,,19,,66,,48,,21,,,
W.S. CENTRAL,2014,2,10,,116,,243,,14,,39,,4,,13,,33,,6,,4,,6,,47,,93,,10,,16,,,
MOUNTAIN,2014,2,4,,51,,248,,24,,51,,1,,9,,33,,1,,10,,3,,9,,38,,11,,16,,,
PACIFIC,2014,2,21,,109,,215,,51,,170,,,-,18,,51,,4,,15,,2,,20,,47,,8,,41,,,
KANSAS,2014,2,,-,7,,18,,1,,6,,,-,1,,6,,,-,1,,,-,1,,4,,,-,1,,"KANSAS
(38.34774033400049, -98.20077655499966)",
TENNESSEE,2014,2,8,,16,,36,,15,,17,,,-,2,,6,,2,,3,,10,,7,,50,,30,,1,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
C.N.M.I.,2014,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
IDAHO,2014,2,2,,2,,9,,5,,1,,1,,2,,6,,1,,,-,,-,0,,3,,3,,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
ARIZONA,2014,2,1,,18,,32,,3,,18,,,-,2,,11,,,-,6,,2,,6,,27,,3,,4,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
NEBRASKA,2014,2,3,,5,,20,,6,,4,,,-,1,,7,,,-,2,,,-,1,,4,,1,,6,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
C.N.M.I.,2014,29,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
GEORGIA,2014,2,19,,34,,101,,32,,45,,,-,2,,9,,2,,7,,13,,16,,36,,33,,14,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
VIRGINIA,2014,2,13,,2,,27,,20,,1,,,-,0,,3,,1,,,-,2,,0,,7,,3,,,-,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
MINNESOTA,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
AMER. SAMOA,2014,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
WEST VIRGINIA,2014,2,1,,3,,9,,1,,5,,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
NORTH DAKOTA,2014,2,,-,2,,7,,,-,1,,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
VERMONT,2014,2,,-,1,,5,,,-,,-,,-,0,,3,,1,,,-,,-,0,,1,,,-,1,,"VERMONT
(43.62538292400046, -72.51763944499965)",
OKLAHOMA,2014,2,9,,12,,49,,9,,5,,,-,1,,10,,,-,,-,,-,3,,13,,,-,5,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
ILLINOIS,2014,2,,-,31,,61,,,-,47,,,-,4,,32,,,-,4,,,-,5,,15,,,-,3,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
IOWA,2014,2,,-,10,,36,,3,,17,,,-,2,,14,,,-,2,,1,,2,,43,,7,,4,,"IOWA
(42.469404401000475, -93.81648936699969)",
OREGON,2014,2,3,,6,,25,,6,,4,,,-,3,,14,,1,,1,,1,,1,,4,,1,,,-,"OREGON
(44.567446178000466, -120.15502977999972)",
KENTUCKY,2014,2,2,,9,,21,,6,,14,,,-,2,,9,,1,,1,,,-,1,,6,,3,,4,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
SOUTH DAKOTA,2014,2,,-,3,,10,,,-,4,,,-,0,,5,,,-,2,,2,,0,,29,,7,,,-,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
ALASKA,2014,2,,-,1,,5,,2,,,-,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
TEXAS,2014,2,,-,70,,161,,,-,15,,4,,9,,28,,6,,3,,2,,28,,80,,5,,7,,"TEXAS
(31.827243635000457, -99.4267664729997)",
SOUTH CAROLINA,2014,2,12,,20,,52,,25,,16,,,-,0,,2,,,-,,-,,-,3,,6,,1,,2,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
NEVADA,2014,2,,-,4,,205,,,-,10,,,-,1,,3,,,-,3,,,-,0,,7,,,-,5,,"NEVADA
(39.49324126500045, -117.07183978499972)",
MARYLAND,2014,2,17,,15,,36,,26,,29,,1,,1,,6,,3,,4,,1,,2,,6,,3,,1,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
GUAM,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
NEW MEXICO,2014,2,,-,6,,14,,,-,8,,,-,0,,3,,,-,,-,,-,1,,5,,,-,5,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
UTAH,2014,2,,-,5,,14,,4,,3,,,-,1,,9,,,-,,-,,-,0,,2,,1,,,-,"UTAH
(39.36070374600047, -111.5871285339997)",
NEW YORK,2014,2,,-,24,,50,,6,,9,,,-,4,,10,,,-,1,,,-,4,,14,,,-,6,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
NEW HAMPSHIRE,2014,2,,-,3,,11,,,-,3,,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
WISCONSIN,2014,2,,-,13,,29,,,-,19,,,-,1,,12,,,-,10,,,-,1,,3,,3,,2,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
ALABAMA,2014,2,5,,17,,69,,8,,30,,,-,1,,3,,,-,3,,1,,5,,14,,7,,10,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
NEW YORK CITY,2014,2,2,,20,,52,,15,,26,,,-,1,,8,,,-,4,,1,,6,,14,,7,,12,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
WASHINGTON,2014,2,,-,10,,32,,,-,1,,,-,3,,32,,,-,,-,,-,1,,10,,,-,,-,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
INDIANA,2014,2,,-,13,,27,,,-,14,,,-,2,,7,,,-,2,,,-,2,,6,,,-,7,,"INDIANA
(39.76691364600049, -86.14995579899966)",
NORTH CAROLINA,2014,2,6,,31,,136,,34,,48,,,-,1,,8,,,-,1,,,-,2,,119,,119,,5,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
MAINE,2014,2,,-,2,,11,,,-,2,,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"MAINE
(45.254228663000504, -68.98502952999962)",
MASSACHUSETTS,2014,2,4,,21,,54,,9,,13,,,-,2,,8,,1,,4,,2,,2,,11,,4,,10,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
RHODE ISLAND,2014,2,,-,2,,13,,,-,,-,,-,0,,2,,,-,,-,,-,0,,86,,,-,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
MISSOURI,2014,2,4,,17,,38,,7,,35,,1,,4,,18,,1,,15,,3,,2,,9,,12,,,-,"MISSOURI
(38.63579372300046, -92.56629737199967)",
VIRGIN ISL.,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
ARKANSAS,2014,2,,-,13,,35,,,-,2,,,-,1,,6,,,-,,-,3,,5,,19,,4,,,-,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
FLORIDA,2014,2,86,,105,,226,,146,,106,,3,,2,,7,,4,,1,,34,,17,,46,,47,,11,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
MONTANA,2014,2,1,,2,,9,,3,,1,,,-,1,,5,,,-,,-,1,,0,,10,,1,,,-,"MONTANA
(47.066526051000494, -109.42441687999968)",
WYOMING,2014,2,,-,1,,4,,,-,,-,,-,0,,7,,,-,,-,,-,0,,2,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
DIST. OF COL.,2014,2,,-,0,,4,,,-,1,,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
PENNSYLVANIA,2014,2,7,,28,,65,,12,,32,,2,,5,,19,,5,,5,,1,,2,,9,,2,,2,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
MISSISSIPPI,2014,2,3,,13,,41,,11,,18,,,-,0,,4,,,-,,-,,-,4,,13,,8,,6,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
NEW JERSEY,2014,2,,-,18,,46,,,-,25,,,-,2,,8,,,-,5,,,-,2,,7,,,-,4,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
CALIFORNIA,2014,2,15,,86,,171,,31,,156,,,-,9,,25,,2,,13,,1,,17,,47,,6,,41,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
DELAWARE,2014,2,,-,1,,7,,,-,5,,,-,0,,2,,,-,,-,,-,0,,2,,,-,1,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
PUERTO RICO,2014,2,,-,8,,43,,,-,10,,,-,0,,6,,,-,,-,,-,0,,1,,,-,,-,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
COLORADO,2014,2,,-,6,,27,,9,,10,,,-,0,,11,,,-,1,,,-,1,,5,,3,,2,,"COLORADO
(38.84384047000049, -106.13360888799969)",
OHIO,2014,2,10,,22,,42,,27,,26,,2,,4,,15,,2,,2,,16,,10,,67,,30,,59,,"OHIO
(40.06021029700048, -82.40425685299965)",
MICHIGAN,2014,2,1,,17,,42,,7,,19,,,-,2,,14,,,-,6,,,-,3,,8,,1,,9,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
LOUISIANA,2014,2,1,,19,,43,,5,,17,,,-,0,,2,,,-,1,,1,,5,,21,,1,,4,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
CONNECTICUT,2014,2,,-,7,,21,,4,,15,,,-,1,,7,,,-,2,,,-,1,,5,,,-,1,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
HAWAII,2014,2,3,,6,,13,,12,,9,,,-,0,,5,,1,,1,,,-,0,,6,,,-,,-,"HAWAII
(21.30485166200043, -157.85774691599974)",
UNITED STATES,2014,3,222,,877,,1508,,863,,1398,,15,,110,,240,,64,,177,,94,,216,,365,,495,,392,,,
NEW ENGLAND,2014,3,7,,39,,81,,36,,55,,,-,4,,12,,2,,8,,2,,3,,94,,8,,12,,,
MID. ATLANTIC,2014,3,22,,96,,196,,78,,143,,2,,13,,37,,10,,21,,11,,15,,28,,28,,45,,,
E.N. CENTRAL,2014,3,14,,97,,170,,56,,193,,,-,15,,46,,3,,44,,13,,23,,74,,47,,118,,,
W.N. CENTRAL,2014,3,4,,46,,93,,30,,85,,,-,10,,38,,5,,27,,4,,7,,74,,39,,16,,,
S. ATLANTIC,2014,3,145,,230,,434,,481,,398,,9,,9,,18,,21,,20,,33,,48,,156,,247,,55,,,
E.S. CENTRAL,2014,3,7,,57,,138,,60,,118,,1,,5,,18,,6,,13,,15,,19,,66,,68,,26,,,
W.S. CENTRAL,2014,3,6,,118,,246,,23,,84,,3,,13,,33,,10,,7,,9,,47,,147,,22,,34,,,
MOUNTAIN,2014,3,2,,51,,248,,36,,90,,,-,9,,33,,2,,17,,,-,10,,38,,15,,28,,,
PACIFIC,2014,3,15,,103,,205,,63,,232,,,-,17,,50,,5,,20,,7,,21,,47,,21,,58,,,
IOWA,2014,3,,-,10,,36,,10,,22,,,-,2,,14,,,-,2,,1,,2,,43,,12,,6,,"IOWA
(42.469404401000475, -93.81648936699969)",
VERMONT,2014,3,1,,1,,5,,5,,1,,,-,0,,3,,1,,,-,,-,0,,1,,,-,1,,"VERMONT
(43.62538292400046, -72.51763944499965)",
LOUISIANA,2014,3,,-,19,,43,,5,,33,,,-,0,,2,,,-,1,,,-,5,,21,,1,,5,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
DELAWARE,2014,3,,-,1,,7,,1,,5,,,-,0,,2,,,-,,-,,-,0,,2,,1,,1,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
MISSISSIPPI,2014,3,,-,13,,41,,11,,27,,,-,0,,4,,,-,1,,,-,4,,13,,8,,8,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
ARKANSAS,2014,3,4,,13,,35,,4,,7,,1,,1,,6,,1,,,-,5,,5,,20,,9,,2,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
FLORIDA,2014,3,89,,105,,226,,237,,178,,4,,3,,7,,8,,2,,14,,18,,46,,61,,19,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
MAINE,2014,3,,-,2,,11,,,-,4,,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"MAINE
(45.254228663000504, -68.98502952999962)",
VIRGIN ISL.,2014,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
INDIANA,2014,3,,-,13,,27,,,-,23,,,-,2,,7,,,-,8,,,-,2,,6,,,-,7,,"INDIANA
(39.76691364600049, -86.14995579899966)",
ARIZONA,2014,3,1,,18,,32,,6,,33,,,-,1,,11,,,-,9,,,-,6,,27,,7,,13,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
NEW YORK,2014,3,12,,24,,50,,23,,23,,2,,4,,10,,2,,3,,8,,4,,14,,11,,16,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
NORTH DAKOTA,2014,3,,-,2,,7,,,-,2,,,-,0,,3,,1,,,-,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
C.N.M.I.,2014,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
KANSAS,2014,3,,-,7,,18,,1,,6,,,-,1,,6,,,-,2,,,-,0,,4,,,-,2,,"KANSAS
(38.34774033400049, -98.20077655499966)",
MICHIGAN,2014,3,3,,17,,42,,13,,34,,,-,2,,14,,1,,7,,1,,3,,8,,2,,14,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
