Reporting Area,MMWR Year,MMWR Week,"Invasive Pneumococcal disease, All ages, Current week","Invasive Pneumococcal disease, All ages, Current week, flag","Invasive Pneumococcal disease, All ages, Previous 52 weeks Med","Invasive Pneumococcal disease, All ages, Previous 52 weeks Med, flag","Invasive Pneumococcal disease, All ages, Previous 52 weeks Max","Invasive Pneumococcal disease, All ages, Previous 52 weeks Max, flag","Invasive Pneumococcal disease, All ages, Cum 2014","Invasive Pneumococcal disease, All ages, Cum 2014, flag","Invasive Pneumococcal disease, All ages, Cum 2013","Invasive Pneumococcal disease, All ages, Cum 2013, flag","Invasive Pneumococcal disease, Age LT 5, Current week","Invasive Pneumococcal disease, Age LT 5, Current week, flag","Invasive Pneumococcal disease, Age LT 5, Previous 52 weeks Med","Invasive Pneumococcal disease, Age LT 5, Previous 52 weeks Med, flag","Invasive Pneumococcal disease, Age LT 5, Previous 52 weeks Max","Invasive Pneumococcal disease, Age LT 5, Previous 52 weeks Max, flag","Invasive Pneumococcal disease, Age LT 5, Cum 2014","Invasive Pneumococcal disease, Age LT 5, Cum 2014, flag","Invasive Pneumococcal disease, Age LT 5, Cum 2013","Invasive Pneumococcal disease, Age LT 5, Cum 2013, flag","Legionellosis, Current week","Legionellosis, Current week, flag","Legionellosis, Previous 52 weeks Med","Legionellosis, Previous 52 weeks Med, flag","Legionellosis, Previous 52 weeks Max","Legionellosis, Previous 52 weeks Max, flag","Legionellosis, Cum 2014","Legionellosis, Cum 2014, flag","Legionellosis, Cum 2013","Legionellosis, Cum 2013, flag",Location 1,Location 2
ARKANSAS,2014,1,,-,3,,12,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
WISCONSIN,2014,1,5,,8,,26,,5,,26,,,-,0,,3,,,-,1,,,-,1,,11,,,-,1,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
ALASKA,2014,1,,-,2,,6,,,-,2,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
OREGON,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,3,,,-,1,,"OREGON
(44.567446178000466, -120.15502977999972)",
WEST VIRGINIA,2014,1,,-,5,,25,,,-,5,,,-,0,,2,,,-,1,,,-,0,,4,,,-,,-,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
MASSACHUSETTS,2014,1,,-,0,,2,,,-,1,,,-,0,,2,,,-,1,,,-,2,,20,,,-,4,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
KANSAS,2014,1,,N,2,,11,,,N,,N,,N,0,,0,,,N,,N,,-,0,,3,,,-,1,,"KANSAS
(38.34774033400049, -98.20077655499966)",
NEW MEXICO,2014,1,3,,5,,17,,3,,17,,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
SOUTH DAKOTA,2014,1,1,,2,,6,,1,,5,,,-,0,,0,,,-,,-,1,,0,,1,,1,,,-,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
LOUISIANA,2014,1,4,,5,,14,,4,,14,,2,,0,,2,,2,,1,,,-,0,,3,,,-,2,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
IDAHO,2014,1,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
OKLAHOMA,2014,1,,N,0,,1,,,N,,N,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
NEW YORK CITY,2014,1,5,,12,,36,,5,,36,,,-,0,,3,,,-,3,,1,,3,,47,,1,,,-,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
NORTH DAKOTA,2014,1,,-,1,,6,,,-,3,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
MINNESOTA,2014,1,,-,5,,24,,,-,22,,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
MISSOURI,2014,1,,N,0,,0,,,N,,N,,-,0,,3,,,-,2,,2,,1,,11,,2,,,-,"MISSOURI
(38.63579372300046, -92.56629737199967)",
DIST. OF COL.,2014,1,,-,1,,7,,,-,3,,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
HAWAII,2014,1,,-,1,,4,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"HAWAII
(21.30485166200043, -157.85774691599974)",
NEBRASKA,2014,1,5,,2,,7,,5,,2,,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
MAINE,2014,1,4,,2,,6,,4,,3,,,-,0,,1,,,-,,-,1,,0,,2,,1,,,-,"MAINE
(45.254228663000504, -68.98502952999962)",
MARYLAND,2014,1,7,,8,,26,,7,,13,,1,,0,,4,,1,,1,,4,,2,,14,,4,,2,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
NORTH CAROLINA,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,9,,,-,2,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
ALABAMA,2014,1,4,,3,,10,,4,,6,,,-,0,,2,,,-,,-,,-,0,,10,,,-,,-,"ALABAMA
(32.84057327200048, -86.63185803899967)",
PENNSYLVANIA,2014,1,,N,,-,,-,,N,,N,,N,0,,0,,,N,,N,2,,6,,26,,2,,2,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
VERMONT,2014,1,,-,1,,6,,,-,3,,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,"VERMONT
(43.62538292400046, -72.51763944499965)",
IOWA,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,2,,,-,,-,"IOWA
(42.469404401000475, -93.81648936699969)",
UTAH,2014,1,,-,2,,8,,,-,1,,,-,0,,2,,,-,,-,,-,0,,3,,,-,,-,"UTAH
(39.36070374600047, -111.5871285339997)",
NEW JERSEY,2014,1,,-,8,,30,,,-,30,,,-,0,,2,,,-,2,,,-,2,,20,,,-,2,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
COLORADO,2014,1,,-,7,,22,,,-,22,,,-,0,,2,,,-,1,,,-,0,,3,,,-,,-,"COLORADO
(38.84384047000049, -106.13360888799969)",
RHODE ISLAND,2014,1,,-,0,,18,,,-,,-,,-,0,,0,,,-,,-,,-,0,,9,,,-,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
DELAWARE,2014,1,,-,0,,3,,,-,1,,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,"DELAWARE
(39.00883351400046, -75.57773943699965)",
AMER. SAMOA,2014,31,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
",
MISSISSIPPI,2014,1,8,,4,,13,,8,,12,,1,,0,,2,,1,,,-,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
KENTUCKY,2014,1,4,,4,,12,,4,,5,,1,,0,,1,,1,,,-,,-,1,,4,,,-,,-,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
CALIFORNIA,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,4,,22,,,-,22,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
NEVADA,2014,1,,-,2,,7,,,-,2,,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"NEVADA
(39.49324126500045, -117.07183978499972)",
PUERTO RICO,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
ILLINOIS,2014,1,,N,0,,0,,,N,,N,,-,1,,3,,,-,,-,,-,3,,31,,,-,2,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
C.N.M.I.,2014,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
AMER. SAMOA,2014,1,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
TENNESSEE,2014,1,9,,14,,37,,9,,26,,,-,1,,5,,,-,,-,,-,1,,7,,,-,1,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
WASHINGTON,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,6,,,-,,-,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
UNITED STATES,2014,2,215,,279,,606,,495,,1142,,7,,20,,35,,17,,52,,25,,59,,257,,51,,112,,,
NEW ENGLAND,2014,2,3,,11,,33,,7,,53,,,-,0,,3,,,-,2,,2,,5,,25,,6,,10,,,
MID. ATLANTIC,2014,2,10,,38,,85,,30,,156,,,-,2,,6,,1,,8,,3,,16,,122,,8,,17,,,
E.N. CENTRAL,2014,2,44,,51,,132,,92,,263,,,-,3,,8,,,-,6,,10,,16,,102,,17,,17,,,
W.N. CENTRAL,2014,2,7,,14,,50,,18,,82,,1,,1,,5,,1,,7,,,-,2,,13,,3,,4,,,
S. ATLANTIC,2014,2,75,,63,,145,,159,,260,,4,,5,,13,,9,,13,,6,,11,,36,,11,,16,,,
E.S. CENTRAL,2014,2,27,,26,,59,,58,,100,,,-,2,,5,,2,,5,,,-,3,,13,,,-,5,,,
W.S. CENTRAL,2014,2,16,,34,,153,,29,,63,,,-,3,,9,,2,,4,,,-,3,,9,,,-,3,,,
MOUNTAIN,2014,2,30,,31,,76,,97,,157,,2,,2,,7,,2,,7,,,-,3,,9,,2,,5,,,
PACIFIC,2014,2,3,,3,,7,,5,,8,,,-,0,,2,,,-,,-,4,,5,,13,,4,,35,,,
CONNECTICUT,2014,2,,-,4,,16,,,-,37,,,-,0,,2,,,-,,-,1,,1,,10,,2,,1,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
HAWAII,2014,2,2,,1,,4,,4,,2,,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"HAWAII
(21.30485166200043, -157.85774691599974)",
SOUTH CAROLINA,2014,2,1,,7,,21,,12,,34,,,-,0,,2,,,-,,-,,-,0,,3,,,-,1,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
LOUISIANA,2014,2,1,,5,,14,,9,,23,,,-,0,,2,,2,,1,,,-,0,,3,,,-,2,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
SOUTH DAKOTA,2014,2,1,,2,,6,,3,,11,,,N,0,,0,,,N,,N,,-,0,,1,,1,,,-,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
MASSACHUSETTS,2014,2,,-,0,,2,,,-,2,,,-,0,,2,,,-,2,,1,,2,,20,,3,,7,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
ARKANSAS,2014,2,,-,3,,12,,,-,5,,,-,0,,2,,,-,,-,,-,0,,3,,,-,,-,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
MONTANA,2014,2,,-,0,,3,,2,,1,,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,"MONTANA
(47.066526051000494, -109.42441687999968)",
ALASKA,2014,2,1,,2,,6,,1,,6,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
KANSAS,2014,2,1,,2,,11,,5,,12,,,N,0,,0,,,N,,N,,-,0,,3,,,-,1,,"KANSAS
(38.34774033400049, -98.20077655499966)",
OHIO,2014,2,31,,21,,63,,60,,110,,,-,1,,4,,,-,2,,10,,5,,66,,17,,7,,"OHIO
(40.06021029700048, -82.40425685299965)",
NORTH CAROLINA,2014,2,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,1,,1,,9,,1,,2,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
ARIZONA,2014,2,25,,14,,41,,61,,75,,2,,0,,4,,2,,4,,,-,1,,4,,,-,3,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
CALIFORNIA,2014,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,4,,4,,12,,4,,32,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
WEST VIRGINIA,2014,2,3,,4,,25,,5,,30,,,-,0,,2,,,-,2,,,-,0,,4,,,-,,-,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
IDAHO,2014,2,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
MARYLAND,2014,2,12,,8,,26,,20,,20,,,-,0,,4,,1,,1,,1,,2,,14,,5,,4,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
MISSOURI,2014,2,,N,0,,1,,,N,,N,,-,0,,3,,,-,3,,,-,1,,11,,2,,1,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
INDIANA,2014,2,,-,12,,28,,1,,47,,,-,0,,3,,,-,,-,,-,3,,10,,,-,7,,"INDIANA
(39.76691364600049, -86.14995579899966)",
WISCONSIN,2014,2,7,,8,,21,,16,,47,,,-,0,,3,,,-,1,,,-,1,,11,,,-,1,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
FLORIDA,2014,2,42,,18,,59,,69,,91,,3,,1,,5,,4,,6,,2,,4,,16,,3,,8,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
WYOMING,2014,2,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
ILLINOIS,2014,2,,N,0,,0,,,N,,N,,-,1,,3,,,-,,-,,-,3,,31,,,-,2,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
NEW HAMPSHIRE,2014,2,,-,1,,5,,,-,2,,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
TEXAS,2014,2,15,,24,,139,,20,,35,,,-,2,,9,,,-,3,,,-,2,,9,,,-,1,,"TEXAS
(31.827243635000457, -99.4267664729997)",
PENNSYLVANIA,2014,2,,N,3,,3,,,N,,N,,N,0,,1,,,N,,N,3,,5,,26,,6,,7,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
NEW YORK CITY,2014,2,10,,12,,27,,26,,60,,,-,0,,2,,1,,3,,,-,3,,47,,2,,2,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
C.N.M.I.,2014,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
DELAWARE,2014,2,,-,0,,3,,,-,1,,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,"DELAWARE
(39.00883351400046, -75.57773943699965)",
NEW JERSEY,2014,2,,-,8,,23,,,-,53,,,-,0,,2,,,-,4,,,-,2,,20,,,-,6,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
MINNESOTA,2014,2,,-,4,,24,,,-,45,,,-,0,,3,,,-,2,,,-,0,,2,,,-,1,,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
IOWA,2014,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,2,,,-,,-,"IOWA
(42.469404401000475, -93.81648936699969)",
NEVADA,2014,2,1,,2,,7,,4,,6,,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"NEVADA
(39.49324126500045, -117.07183978499972)",
GUAM,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
COLORADO,2014,2,,-,7,,22,,21,,37,,,-,0,,2,,,-,2,,,-,0,,3,,,-,,-,"COLORADO
(38.84384047000049, -106.13360888799969)",
MAINE,2014,2,3,,2,,6,,7,,7,,,-,0,,1,,,-,,-,,-,0,,3,,1,,,-,"MAINE
(45.254228663000504, -68.98502952999962)",
MICHIGAN,2014,2,6,,12,,30,,15,,59,,,-,0,,3,,,-,3,,,-,3,,21,,,-,,-,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
RHODE ISLAND,2014,2,,-,0,,18,,,-,,-,,-,0,,0,,,-,,-,,-,0,,9,,,-,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
DIST. OF COL.,2014,2,,-,1,,7,,,-,3,,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
VERMONT,2014,2,,-,1,,6,,,-,5,,,-,0,,0,,,-,,-,,-,0,,2,,,-,2,,"VERMONT
(43.62538292400046, -72.51763944499965)",
NORTH DAKOTA,2014,2,,-,1,,6,,,-,9,,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
UTAH,2014,2,,-,2,,8,,,-,9,,,-,0,,2,,,-,1,,,-,0,,3,,2,,,-,"UTAH
(39.36070374600047, -111.5871285339997)",
WASHINGTON,2014,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,6,,,-,,-,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
NEW YORK,2014,2,,-,19,,38,,4,,43,,,-,1,,4,,,-,1,,,-,6,,40,,,-,2,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
OREGON,2014,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,3,,,-,2,,"OREGON
(44.567446178000466, -120.15502977999972)",
NEBRASKA,2014,2,5,,3,,7,,10,,5,,1,,0,,1,,1,,1,,,-,0,,3,,,-,1,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
MISSISSIPPI,2014,2,2,,4,,13,,12,,17,,,-,0,,2,,1,,1,,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
NEW MEXICO,2014,2,4,,5,,13,,9,,29,,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
ALABAMA,2014,2,5,,3,,10,,10,,16,,,-,0,,2,,,-,2,,,-,0,,10,,,-,1,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
KENTUCKY,2014,2,4,,4,,12,,10,,15,,,-,0,,1,,1,,,-,,-,1,,4,,,-,,-,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
VIRGINIA,2014,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,2,,0,,8,,2,,,-,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
PUERTO RICO,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
TENNESSEE,2014,2,16,,14,,37,,26,,52,,,-,1,,5,,,-,2,,,-,1,,7,,,-,4,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
VIRGIN ISL.,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
GEORGIA,2014,2,17,,16,,44,,53,,81,,1,,1,,5,,4,,4,,,-,1,,5,,,-,1,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
OKLAHOMA,2014,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
AMER. SAMOA,2014,2,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
UNITED STATES,2014,3,175,,289,,539,,802,,1681,,6,,20,,35,,28,,69,,29,,59,,258,,102,,163,,,
NEW ENGLAND,2014,3,2,,11,,33,,13,,75,,,-,0,,3,,,-,2,,2,,5,,25,,11,,11,,,
MID. ATLANTIC,2014,3,23,,38,,82,,87,,238,,,-,2,,6,,2,,11,,4,,16,,122,,24,,24,,,
E.N. CENTRAL,2014,3,37,,53,,107,,147,,362,,3,,3,,8,,4,,7,,6,,16,,103,,25,,29,,,
W.N. CENTRAL,2014,3,1,,14,,50,,20,,132,,,-,1,,4,,1,,10,,,-,2,,13,,3,,8,,,
S. ATLANTIC,2014,3,60,,64,,128,,258,,388,,2,,5,,13,,12,,17,,14,,10,,36,,28,,24,,,
E.S. CENTRAL,2014,3,22,,27,,59,,96,,143,,1,,2,,5,,5,,7,,,-,3,,13,,,-,8,,,
W.S. CENTRAL,2014,3,9,,33,,169,,42,,117,,,-,3,,12,,2,,6,,,-,3,,9,,,-,4,,,
MOUNTAIN,2014,3,21,,31,,78,,134,,215,,,-,2,,7,,2,,8,,,-,3,,9,,3,,11,,,
PACIFIC,2014,3,,-,3,,7,,5,,11,,,-,0,,2,,,-,1,,3,,5,,12,,8,,44,,,
NEW YORK,2014,3,17,,19,,37,,42,,77,,,-,1,,4,,1,,2,,2,,6,,40,,8,,5,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
INDIANA,2014,3,,-,12,,28,,3,,67,,,-,0,,3,,,-,,-,,-,3,,11,,,-,9,,"INDIANA
(39.76691364600049, -86.14995579899966)",
MINNESOTA,2014,3,,-,4,,24,,,-,69,,,-,0,,3,,,-,3,,,-,0,,2,,,-,3,,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
WASHINGTON,2014,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,6,,,-,,-,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
NEVADA,2014,3,,-,2,,7,,8,,11,,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"NEVADA
(39.49324126500045, -117.07183978499972)",
PENNSYLVANIA,2014,3,,N,,-,,-,,N,,N,,N,0,,0,,,N,,N,2,,6,,26,,10,,10,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
