Reporting Area,MMWR Year,MMWR Week,"Hepatitis (viral, acute), type A, Current week","Hepatitis (viral, acute), type A, Current week, flag ","Hepatitis (viral, acute), type A, Previous 52 weeks Med","Hepatitis (viral, acute), type A, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type A, Previous 52 weeks Max","Hepatitis (viral, acute), type A, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type A, Cum 2015","Hepatitis (viral, acute), type A, Cum 2015, flag","Hepatitis (viral, acute), type A, Cum 2014","Hepatitis (viral, acute), type A, Cum 2014, flag","Hepatitis (viral, acute), type B, Current week","Hepatitis (viral, acute), type B, Current week, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Med","Hepatitis (viral, acute), type B, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Max","Hepatitis (viral, acute), type B, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type B, Cum 2015","Hepatitis (viral, acute), type B, Cum 2015, flag","Hepatitis (viral, acute), type B, Cum 2014","Hepatitis (viral, acute), type B, Cum 2014, flag","Hepatitis (viral, acute), type C, Current week, flag","Hepatitis (viral, acute), type C, Current week","Hepatitis (viral, acute), type C, Previous 52 weeks Med","Hepatitis (viral, acute), type C, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Max","Hepatitis (viral, acute), type C, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type C, Cum 2015","Hepatitis (viral, acute), type C, Cum 2015, flag","Hepatitis (viral, acute), type C, Cum 2014","Hepatitis (viral, acute), type C, Cum 2014, flag",Location 1,Location 2
UNITED STATES,2015,1,9,,21,,34,,9,,10,,21,,50,,116,,21,,45,,,11,36,,57,,11,,19,,,
NEW ENGLAND,2015,1,,-,1,,7,,,-,2,,,-,1,,3,,,-,2,,-,,4,,11,,,-,1,,,
MID. ATLANTIC,2015,1,2,,2,,8,,2,,1,,2,,3,,9,,2,,6,,,3,4,,12,,3,,2,,,
E.N. CENTRAL,2015,1,1,,3,,10,,1,,3,,3,,7,,62,,3,,11,,,1,6,,15,,1,,5,,,
W.N. CENTRAL,2015,1,,-,1,,5,,,-,1,,,-,1,,4,,,-,1,,-,,0,,3,,,-,1,,,
S. ATLANTIC,2015,1,5,,4,,9,,5,,,-,6,,16,,28,,6,,15,,,3,6,,23,,3,,2,,,
DIST. OF COL.,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,-,,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,1,,-,1,,3,,,-,1,,8,,10,,17,,8,,5,,,3,6,,11,,3,,3,,,
W.S. CENTRAL,2015,1,,-,2,,8,,,-,,-,2,,5,,11,,2,,2,,,1,2,,10,,1,,,-,,
MOUNTAIN,2015,1,1,,1,,4,,1,,2,,,-,1,,5,,,-,1,,-,,2,,6,,,-,2,,,
PACIFIC,2015,1,,-,3,,7,,,-,,-,,-,3,,7,,,-,2,,-,,3,,8,,,-,3,,,
AMER. SAMOA,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,-,,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,-,,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,-,,0,,0,,,-,,-,"VIRGIN ISL.
",
UTAH,2015,1,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,-,,1,,2,,,-,1,,"UTAH
(39.36070123200005, -111.58712831499997)",
RHODE ISLAND,2015,1,,-,0,,1,,,-,,-,,U,0,,0,,,U,,U,U,,0,,0,,,U,,U,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
CONNECTICUT,2015,1,,-,0,,3,,,-,1,,,-,0,,2,,,-,2,,-,,0,,1,,,-,,-,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
LOUISIANA,2015,1,,-,0,,2,,,-,,-,2,,1,,4,,2,,2,,,1,0,,3,,1,,,-,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
OKLAHOMA,2015,1,,-,0,,3,,,-,,-,,-,0,,10,,,-,,-,-,,0,,8,,,-,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
MARYLAND,2015,1,,-,0,,3,,,-,,-,2,,1,,4,,2,,1,,-,,1,,3,,,-,,-,"MARYLAND
(39.290582950000044, -76.60925984299996)",
WISCONSIN,2015,1,,-,0,,1,,,-,,-,,-,0,,57,,,-,,-,-,,0,,2,,,-,1,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
DELAWARE,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,U,,0,,0,,,U,,U,"DELAWARE
(39.00883389200004, -75.57773597599999)",
OREGON,2015,1,,-,0,,2,,,-,,-,,-,0,,3,,,-,,-,-,,0,,2,,,-,,-,"OREGON
(44.56745049300008, -120.15502935599994)",
KANSAS,2015,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,-,,0,,3,,,-,1,,"KANSAS
(38.347742794000055, -98.20077822999997)",
NEW HAMPSHIRE,2015,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,N,,0,,0,,,N,,N,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
IDAHO,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,-,,0,,3,,,-,,-,"IDAHO
(43.68263174800006, -114.36372693399994)",
MINNESOTA,2015,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,-,,0,,1,,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
MICHIGAN,2015,1,,-,1,,4,,,-,1,,,-,1,,4,,,-,,-,,1,2,,8,,1,,1,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
WEST VIRGINIA,2015,1,,-,0,,1,,,-,,-,,-,3,,9,,,-,4,,-,,1,,6,,,-,2,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
MONTANA,2015,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,-,,0,,2,,,-,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
INDIANA,2015,1,,-,0,,3,,,-,,-,,-,1,,7,,,-,2,,-,,1,,6,,,-,3,,"INDIANA
(39.766913353000064, -86.14995646699998)",
MISSISSIPPI,2015,1,,-,0,,1,,,-,,-,2,,1,,4,,2,,,-,U,,0,,0,,,U,,U,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
GUAM,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,-,,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
ALASKA,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,-,,0,,0,,,-,,-,"ALASKA
(64.84507799500005, -147.72205958799998)",
ARIZONA,2015,1,1,,0,,3,,1,,,-,,-,0,,1,,,-,,-,U,,0,,0,,,U,,U,"ARIZONA
(34.86597351900008, -111.76380664699997)",
PENNSYLVANIA,2015,1,,-,1,,4,,,-,,-,,-,1,,5,,,-,3,,,1,2,,5,,1,,,-,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
NEW YORK CITY,2015,1,,-,1,,3,,,-,1,,2,,1,,6,,2,,2,,,1,0,,4,,1,,,-,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
PUERTO RICO,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,2,,N,,0,,0,,,N,,N,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
TEXAS,2015,1,,-,2,,6,,,-,,-,,-,2,,5,,,-,,-,-,,1,,5,,,-,,-,"TEXAS
(31.827240467000024, -99.42676785299994)",
ILLINOIS,2015,1,,-,1,,9,,,-,,-,,-,1,,4,,,-,5,,-,,0,,2,,,-,,-,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
NORTH CAROLINA,2015,1,1,,0,,6,,1,,,-,3,,1,,13,,3,,3,,,2,1,,20,,2,,,-,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
MASSACHUSETTS,2015,1,,-,1,,3,,,-,,-,,-,0,,2,,,-,,-,-,,3,,10,,,-,1,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
VERMONT,2015,1,,-,0,,1,,,-,1,,,-,0,,2,,,-,,-,-,,0,,1,,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
IOWA,2015,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,-,,0,,0,,,-,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
NEVADA,2015,1,,-,0,,1,,,-,1,,,-,0,,3,,,-,1,,-,,0,,1,,,-,,-,"NEVADA
(39.49324221300003, -117.07183885899997)",
NEW JERSEY,2015,1,,-,0,,2,,,-,,-,,-,0,,3,,,-,1,,-,,0,,3,,,-,2,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
VIRGINIA,2015,1,1,,0,,3,,1,,,-,,-,1,,5,,,-,,-,-,,1,,5,,,-,,-,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
MAINE,2015,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,-,,0,,2,,,-,,-,"MAINE
(45.25422910300006, -68.98502586699993)",
WYOMING,2015,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,-,,0,,0,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
ALABAMA,2015,1,,-,0,,2,,,-,,-,,-,2,,6,,,-,1,,-,,1,,3,,,-,,-,"ALABAMA
(32.84057234800002, -86.63185738799996)",
WASHINGTON,2015,1,,-,0,,3,,,-,,-,,-,0,,4,,,-,,-,-,,1,,5,,,-,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
GEORGIA,2015,1,1,,0,,3,,1,,,-,1,,2,,4,,1,,2,,-,,0,,2,,,-,,-,"GEORGIA
(32.839683200000024, -83.62757885599996)",
OHIO,2015,1,1,,0,,4,,1,,2,,3,,2,,12,,3,,4,,-,,2,,8,,,-,,-,"OHIO
(40.060212455000055, -82.40425667899996)",
COLORADO,2015,1,,-,0,,2,,,-,,-,,-,0,,3,,,-,,-,-,,0,,3,,,-,,-,"COLORADO
(38.84384342200008, -106.13360911499996)",
MISSOURI,2015,1,,-,0,,3,,,-,,-,,-,1,,3,,,-,1,,-,,0,,1,,,-,,-,"MISSOURI
(38.63579147100006, -92.56629944499997)",
NEBRASKA,2015,1,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,-,,0,,1,,,-,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
HAWAII,2015,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,-,,0,,0,,,-,,-,"HAWAII
(21.30485232600006, -157.85774798099996)",
NORTH DAKOTA,2015,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,-,,0,,1,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
TENNESSEE,2015,1,,-,0,,2,,,-,1,,5,,5,,8,,5,,2,,,2,3,,7,,2,,1,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
NEW YORK,2015,1,2,,0,,4,,2,,,-,,-,1,,3,,,-,,-,,1,2,,7,,1,,,-,"NEW YORK
(42.82700376100007, -75.54396609999998)",
KENTUCKY,2015,1,,-,0,,2,,,-,,-,1,,3,,7,,1,,2,,,1,3,,8,,1,,2,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
SOUTH CAROLINA,2015,1,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,-,,0,,1,,,-,,-,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
NEW MEXICO,2015,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,-,,0,,1,,,-,1,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
ARKANSAS,2015,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,-,,0,,2,,,-,,-,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
CALIFORNIA,2015,1,,-,2,,7,,,-,,-,,-,1,,5,,,-,2,,-,,1,,4,,,-,3,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
FLORIDA,2015,1,2,,1,,5,,2,,,-,,-,7,,13,,,-,5,,,1,2,,7,,1,,,-,"FLORIDA
(28.932042722000062, -81.92895768899996)",
SOUTH DAKOTA,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,-,,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
UNITED STATES,2015,2,10,,21,,34,,21,,23,,19,,49,,118,,43,,98,,10,,36,,57,,27,,55,,,
NEW ENGLAND,2015,2,,-,1,,7,,,-,2,,,-,1,,3,,,-,3,,,,4,,11,,,-,6,,,
MID. ATLANTIC,2015,2,1,,2,,8,,3,,2,,2,,3,,9,,4,,13,,2,,4,,12,,5,,5,,,
E.N. CENTRAL,2015,2,2,,3,,10,,4,,7,,5,,7,,62,,8,,25,,3,,6,,15,,4,,12,,,
W.N. CENTRAL,2015,2,,-,1,,5,,,-,2,,,-,1,,4,,,-,1,,,,0,,3,,,-,4,,,
S. ATLANTIC,2015,2,5,,4,,9,,10,,2,,6,,16,,28,,13,,29,,2,,6,,23,,6,,5,,,
DIST. OF COL.,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,2,,-,1,,3,,1,,2,,3,,10,,17,,13,,17,,2,,6,,11,,8,,14,,,
W.S. CENTRAL,2015,2,1,,2,,8,,1,,1,,2,,5,,11,,4,,2,,1,,2,,10,,2,,,-,,
MOUNTAIN,2015,2,1,,1,,4,,2,,2,,,-,1,,5,,,-,2,,,,2,,6,,1,,5,,,
PACIFIC,2015,2,,-,3,,7,,,-,3,,1,,3,,7,,1,,6,,,,3,,8,,1,,4,,,
AMER. SAMOA,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"VIRGIN ISL.
",
ALABAMA,2015,2,,-,0,,2,,1,,1,,,-,2,,6,,1,,5,,,,1,,3,,1,,1,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
KANSAS,2015,2,,-,0,,1,,,-,1,,,-,0,,2,,,-,,-,,,0,,3,,,-,3,,"KANSAS
(38.347742794000055, -98.20077822999997)",
VERMONT,2015,2,,-,0,,1,,,-,1,,,-,0,,2,,,-,,-,,,0,,1,,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
PUERTO RICO,2015,2,1,,0,,1,,1,,1,,4,,0,,2,,4,,2,,,,0,,0,,,N,,N,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
IOWA,2015,2,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,,0,,0,,,-,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
MASSACHUSETTS,2015,2,,-,1,,3,,,-,,-,,-,0,,2,,,-,1,,,,3,,10,,,-,6,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
NORTH DAKOTA,2015,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,,0,,1,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
MICHIGAN,2015,2,,-,1,,4,,,-,2,,,-,1,,4,,,-,2,,2,,2,,8,,3,,1,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
MONTANA,2015,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,,0,,2,,,-,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
NEW MEXICO,2015,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,,0,,1,,,-,2,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
NEW YORK,2015,2,,-,0,,4,,2,,1,,1,,1,,3,,1,,,-,2,,2,,7,,3,,,-,"NEW YORK
(42.82700376100007, -75.54396609999998)",
CALIFORNIA,2015,2,,-,2,,7,,,-,3,,,-,1,,4,,,-,5,,,,1,,4,,,-,3,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
MARYLAND,2015,2,,-,0,,3,,,-,1,,,-,1,,4,,2,,2,,,,1,,3,,,-,,-,"MARYLAND
(39.290582950000044, -76.60925984299996)",
MINNESOTA,2015,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,,0,,1,,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
ILLINOIS,2015,2,,-,1,,9,,1,,1,,,-,1,,4,,,-,6,,,,0,,2,,,-,2,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
DELAWARE,2015,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,,0,,0,,,U,,U,"DELAWARE
(39.00883389200004, -75.57773597599999)",
GEORGIA,2015,2,1,,0,,3,,2,,,-,1,,2,,4,,2,,4,,,,0,,2,,,-,1,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
NEBRASKA,2015,2,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,,0,,1,,,-,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
NORTH CAROLINA,2015,2,2,,0,,6,,3,,,-,,-,1,,13,,3,,3,,,,1,,20,,2,,1,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
NEW YORK CITY,2015,2,,-,1,,3,,,-,1,,,-,1,,6,,2,,4,,,,0,,4,,1,,,-,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
CONNECTICUT,2015,2,,-,0,,3,,,-,1,,,-,0,,2,,,-,2,,,,0,,1,,,-,,-,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
WYOMING,2015,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
ARKANSAS,2015,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,,0,,2,,,-,,-,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
MISSISSIPPI,2015,2,,-,0,,1,,,-,,-,1,,1,,4,,4,,,-,,,0,,0,,,U,,U,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
WEST VIRGINIA,2015,2,,-,0,,1,,,-,,-,,-,3,,9,,1,,10,,,,1,,6,,1,,2,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
OKLAHOMA,2015,2,,-,0,,3,,,-,,-,,-,0,,10,,,-,,-,,,0,,8,,,-,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
VIRGINIA,2015,2,,-,0,,3,,1,,,-,,-,1,,5,,,-,1,,,,1,,5,,,-,,-,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
OREGON,2015,2,,-,0,,2,,,-,,-,,-,0,,3,,,-,1,,,,0,,2,,1,,1,,"OREGON
(44.56745049300008, -120.15502935599994)",
INDIANA,2015,2,,-,0,,3,,,-,1,,,-,1,,5,,,-,9,,,,1,,6,,,-,7,,"INDIANA
(39.766913353000064, -86.14995646699998)",
NEW HAMPSHIRE,2015,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,,0,,0,,,N,,N,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
TEXAS,2015,2,1,,2,,6,,1,,1,,2,,2,,8,,2,,,-,1,,1,,5,,1,,,-,"TEXAS
(31.827240467000024, -99.42676785299994)",
PENNSYLVANIA,2015,2,1,,1,,4,,1,,,-,1,,1,,5,,1,,7,,,,2,,5,,1,,3,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
SOUTH DAKOTA,2015,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
NEW JERSEY,2015,2,,-,0,,2,,,-,,-,,-,0,,3,,,-,2,,,,0,,3,,,-,2,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
FLORIDA,2015,2,2,,1,,5,,4,,1,,4,,7,,13,,4,,9,,2,,2,,7,,3,,1,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
LOUISIANA,2015,2,,-,0,,2,,,-,,-,,-,1,,4,,2,,2,,,,0,,3,,1,,,-,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
UTAH,2015,2,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,,,1,,2,,1,,2,,"UTAH
(39.36070123200005, -111.58712831499997)",
ARIZONA,2015,2,,-,0,,3,,1,,,-,,-,0,,1,,,-,1,,,,0,,0,,,U,,U,"ARIZONA
(34.86597351900008, -111.76380664699997)",
GUAM,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
HAWAII,2015,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,,0,,0,,,-,,-,"HAWAII
(21.30485232600006, -157.85774798099996)",
NEVADA,2015,2,,-,0,,1,,,-,1,,,-,0,,3,,,-,1,,,,0,,1,,,-,,-,"NEVADA
(39.49324221300003, -117.07183885899997)",
WISCONSIN,2015,2,,-,0,,1,,,-,,-,,-,0,,57,,,-,,-,,,0,,4,,,-,1,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
RHODE ISLAND,2015,2,,-,0,,1,,,-,,-,,U,0,,0,,,U,,U,,,0,,0,,,U,,U,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
MAINE,2015,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,,0,,2,,,-,,-,"MAINE
(45.25422910300006, -68.98502586699993)",
SOUTH CAROLINA,2015,2,,-,0,,1,,,-,,-,1,,0,,4,,1,,,-,,,0,,1,,,-,,-,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
IDAHO,2015,2,1,,0,,1,,1,,,-,,-,0,,1,,,-,,-,,,0,,3,,,-,,-,"IDAHO
(43.68263174800006, -114.36372693399994)",
OHIO,2015,2,2,,0,,4,,3,,3,,5,,2,,12,,8,,8,,1,,2,,8,,1,,1,,"OHIO
(40.060212455000055, -82.40425667899996)",
COLORADO,2015,2,,-,0,,2,,,-,,-,,-,0,,3,,,-,,-,,,0,,3,,,-,1,,"COLORADO
(38.84384342200008, -106.13360911499996)",
KENTUCKY,2015,2,,-,0,,2,,,-,,-,,-,3,,7,,1,,7,,,,3,,8,,1,,9,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
TENNESSEE,2015,2,,-,0,,2,,,-,1,,2,,5,,8,,7,,5,,2,,3,,7,,6,,4,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
MISSOURI,2015,2,,-,0,,3,,,-,,-,,-,1,,3,,,-,1,,,,0,,1,,,-,1,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
WASHINGTON,2015,2,,-,0,,3,,,-,,-,1,,0,,4,,1,,,-,,,1,,5,,,-,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
ALASKA,2015,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,,0,,0,,,-,,-,"ALASKA
(64.84507799500005, -147.72205958799998)",
UNITED STATES,2015,3,7,,22,,34,,35,,42,,24,,50,,118,,76,,143,,13,,37,,57,,44,,80,,,
NEW ENGLAND,2015,3,,-,1,,7,,,-,3,,,-,1,,3,,,-,4,,1,,3,,11,,1,,14,,,
MID. ATLANTIC,2015,3,1,,2,,8,,5,,6,,2,,3,,9,,6,,15,,1,,4,,12,,6,,9,,,
E.N. CENTRAL,2015,3,2,,3,,10,,7,,7,,8,,7,,62,,16,,27,,2,,7,,15,,7,,15,,,
W.N. CENTRAL,2015,3,1,,1,,5,,1,,6,,,-,1,,4,,1,,4,,,,1,,3,,,-,4,,,
S. ATLANTIC,2015,3,3,,5,,10,,13,,4,,6,,16,,29,,21,,45,,4,,6,,23,,10,,11,,,
DIST. OF COL.,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,3,,-,1,,3,,2,,2,,6,,10,,17,,22,,33,,2,,6,,11,,12,,18,,,
W.S. CENTRAL,2015,3,,-,2,,8,,1,,3,,1,,5,,11,,8,,6,,3,,2,,10,,6,,,-,,
MOUNTAIN,2015,3,,-,1,,4,,4,,3,,1,,1,,5,,1,,3,,,,2,,6,,1,,5,,,
PACIFIC,2015,3,,-,3,,7,,2,,8,,,-,3,,7,,1,,6,,,,3,,8,,1,,4,,,
AMER. SAMOA,2015,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"VIRGIN ISL.
",
ALABAMA,2015,3,,-,0,,2,,2,,1,,1,,2,,6,,2,,10,,,,1,,3,,1,,1,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
TENNESSEE,2015,3,,-,0,,2,,,-,1,,5,,5,,8,,15,,11,,2,,3,,7,,10,,4,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
PUERTO RICO,2015,3,,-,0,,1,,1,,1,,,-,0,,4,,4,,3,,,,0,,0,,,N,,N,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
ALASKA,2015,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,,0,,0,,,-,,-,"ALASKA
(64.84507799500005, -147.72205958799998)",
CONNECTICUT,2015,3,,-,0,,3,,,-,2,,,-,0,,2,,,-,2,,,,0,,1,,,-,,-,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
ARIZONA,2015,3,,-,0,,3,,2,,,-,,-,0,,1,,,-,2,,,,0,,0,,,U,,U,"ARIZONA
(34.86597351900008, -111.76380664699997)",
NEW JERSEY,2015,3,,-,0,,2,,,-,1,,,-,0,,3,,,-,2,,,,0,,3,,,-,3,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
PENNSYLVANIA,2015,3,1,,1,,4,,3,,1,,,-,1,,5,,1,,8,,,,1,,5,,1,,5,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
NEBRASKA,2015,3,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,,0,,1,,,-,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
OREGON,2015,3,,-,0,,2,,,-,1,,,-,0,,3,,,-,1,,,,0,,2,,1,,1,,"OREGON
(44.56745049300008, -120.15502935599994)",
ARKANSAS,2015,3,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,,0,,2,,,-,,-,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
NEW MEXICO,2015,3,,-,0,,2,,1,,1,,,-,0,,1,,,-,,-,,,0,,1,,,-,2,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
FLORIDA,2015,3,1,,2,,5,,5,,2,,6,,6,,13,,11,,20,,3,,2,,7,,6,,2,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
COLORADO,2015,3,,-,0,,2,,,-,,-,,-,0,,3,,,-,,-,,,0,,3,,,-,1,,"COLORADO
(38.84384342200008, -106.13360911499996)",
VIRGINIA,2015,3,1,,0,,3,,2,,1,,,-,1,,5,,1,,2,,,,1,,5,,,-,1,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
