Reporting Area,MMWR Year,MMWR Week,"Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2014","Salmonellosis, Cum 2014, flag","Salmonellosis, Cum 2013","Salmonellosis, Cum 2013, flag",Location 1,Location 2
UNITED STATES,2014,1,176,,869,,1513,,176,,406,,,
NEW ENGLAND,2014,1,,-,39,,81,,,-,19,,,
MID. ATLANTIC,2014,1,12,,94,,196,,12,,40,,,
E.N. CENTRAL,2014,1,11,,90,,166,,11,,60,,,
W.N. CENTRAL,2014,1,7,,46,,93,,7,,30,,,
S. ATLANTIC,2014,1,109,,223,,432,,109,,109,,,
E.S. CENTRAL,2014,1,9,,56,,136,,9,,40,,,
W.S. CENTRAL,2014,1,1,,116,,243,,1,,16,,,
MOUNTAIN,2014,1,7,,51,,248,,7,,18,,,
PACIFIC,2014,1,20,,109,,215,,20,,74,,,
SOUTH DAKOTA,2014,1,,-,3,,10,,,-,1,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
COLORADO,2014,1,,-,6,,27,,,-,4,,"COLORADO
(38.84384047000049, -106.13360888799969)",
WISCONSIN,2014,1,,-,12,,28,,,-,11,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
MARYLAND,2014,1,11,,16,,36,,11,,17,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
NEW JERSEY,2014,1,,-,18,,46,,,-,11,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
C.N.M.I.,2014,1,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
MASSACHUSETTS,2014,1,,-,21,,54,,,-,7,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
MISSISSIPPI,2014,1,2,,13,,41,,2,,12,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
PENNSYLVANIA,2014,1,5,,29,,65,,5,,16,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
ALASKA,2014,1,2,,1,,5,,2,,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
NEW MEXICO,2014,1,,-,6,,14,,,-,3,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
NEW YORK,2014,1,6,,24,,50,,6,,2,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
MINNESOTA,2014,1,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
NORTH CAROLINA,2014,1,19,,31,,136,,19,,18,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
SOUTH CAROLINA,2014,1,4,,20,,52,,4,,10,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
LOUISIANA,2014,1,1,,19,,43,,1,,10,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
GUAM,2014,1,,-,0,,0,,,-,,-,"GUAM
(34.91997872200045, -120.52155783099971)",
AMER. SAMOA,2014,29,,-,,-,,-,,-,,-,"AMER. SAMOA
",
KANSAS,2014,1,,-,7,,18,,,-,3,,"KANSAS
(38.34774033400049, -98.20077655499966)",
TENNESSEE,2014,1,4,,16,,36,,4,,6,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
GEORGIA,2014,1,11,,34,,101,,11,,22,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
AMER. SAMOA,2014,1,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
VIRGINIA,2014,1,5,,2,,27,,5,,,-,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
VERMONT,2014,1,,-,1,,5,,,-,,-,"VERMONT
(43.62538292400046, -72.51763944499965)",
DIST. OF COL.,2014,1,,-,0,,4,,,-,,-,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
WASHINGTON,2014,1,,-,10,,32,,,-,,-,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
PUERTO RICO,2014,1,,-,8,,43,,,-,2,,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
NEBRASKA,2014,1,3,,5,,20,,3,,1,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
IOWA,2014,1,1,,10,,36,,1,,6,,"IOWA
(42.469404401000475, -93.81648936699969)",
NORTH DAKOTA,2014,1,,-,2,,7,,,-,1,,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
INDIANA,2014,1,,-,11,,23,,,-,8,,"INDIANA
(39.76691364600049, -86.14995579899966)",
MICHIGAN,2014,1,3,,17,,42,,3,,10,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
MONTANA,2014,1,2,,2,,9,,2,,1,,"MONTANA
(47.066526051000494, -109.42441687999968)",
VIRGIN ISL.,2014,1,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
FLORIDA,2014,1,59,,105,,226,,59,,39,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
ALABAMA,2014,1,,-,17,,67,,,-,17,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
TEXAS,2014,1,,-,70,,161,,,-,5,,"TEXAS
(31.827243635000457, -99.4267664729997)",
CALIFORNIA,2014,1,15,,86,,171,,15,,68,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
WYOMING,2014,1,,-,1,,4,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
OKLAHOMA,2014,1,,-,12,,49,,,-,1,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
ILLINOIS,2014,1,,-,31,,61,,,-,23,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
RHODE ISLAND,2014,1,,-,2,,13,,,-,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
HAWAII,2014,1,,-,6,,13,,,-,4,,"HAWAII
(21.30485166200043, -157.85774691599974)",
KENTUCKY,2014,1,3,,9,,21,,3,,5,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
OHIO,2014,1,8,,22,,42,,8,,8,,"OHIO
(40.06021029700048, -82.40425685299965)",
ARKANSAS,2014,1,,-,13,,35,,,-,,-,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
OREGON,2014,1,3,,6,,25,,3,,2,,"OREGON
(44.567446178000466, -120.15502977999972)",
IDAHO,2014,1,3,,2,,9,,3,,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
ARIZONA,2014,1,,-,18,,32,,,-,7,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
UTAH,2014,1,2,,6,,14,,2,,,-,"UTAH
(39.36070374600047, -111.5871285339997)",
WEST VIRGINIA,2014,1,,-,3,,9,,,-,,-,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
MAINE,2014,1,,-,2,,11,,,-,,-,"MAINE
(45.254228663000504, -68.98502952999962)",
NEVADA,2014,1,,-,4,,205,,,-,3,,"NEVADA
(39.49324126500045, -117.07183978499972)",
MISSOURI,2014,1,3,,18,,38,,3,,18,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
DELAWARE,2014,1,,-,1,,7,,,-,3,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
NEW HAMPSHIRE,2014,1,,-,3,,11,,,-,2,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
NEW YORK CITY,2014,1,1,,20,,52,,1,,11,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
CONNECTICUT,2014,1,,-,7,,21,,,-,10,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
UNITED STATES,2014,2,238,,881,,1514,,510,,912,,,
NEW ENGLAND,2014,2,4,,39,,81,,13,,33,,,
MID. ATLANTIC,2014,2,9,,93,,196,,33,,92,,,
E.N. CENTRAL,2014,2,11,,97,,169,,34,,125,,,
W.N. CENTRAL,2014,2,7,,46,,93,,17,,67,,,
S. ATLANTIC,2014,2,154,,227,,432,,284,,256,,,
E.S. CENTRAL,2014,2,18,,57,,138,,40,,79,,,
W.S. CENTRAL,2014,2,10,,116,,243,,14,,39,,,
MOUNTAIN,2014,2,4,,51,,248,,24,,51,,,
PACIFIC,2014,2,21,,109,,215,,51,,170,,,
KANSAS,2014,2,,-,7,,18,,1,,6,,"KANSAS
(38.34774033400049, -98.20077655499966)",
TENNESSEE,2014,2,8,,16,,36,,15,,17,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
C.N.M.I.,2014,2,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
IDAHO,2014,2,2,,2,,9,,5,,1,,"IDAHO
(43.682630058000484, -114.3637261449997)",
ARIZONA,2014,2,1,,18,,32,,3,,18,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
NEBRASKA,2014,2,3,,5,,20,,6,,4,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
C.N.M.I.,2014,29,,-,,-,,-,,-,,-,"C.N.M.I.
",
GEORGIA,2014,2,19,,34,,101,,32,,45,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
VIRGINIA,2014,2,13,,2,,27,,20,,1,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
MINNESOTA,2014,2,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
AMER. SAMOA,2014,2,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
WEST VIRGINIA,2014,2,1,,3,,9,,1,,5,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
NORTH DAKOTA,2014,2,,-,2,,7,,,-,1,,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
VERMONT,2014,2,,-,1,,5,,,-,,-,"VERMONT
(43.62538292400046, -72.51763944499965)",
OKLAHOMA,2014,2,9,,12,,49,,9,,5,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
ILLINOIS,2014,2,,-,31,,61,,,-,47,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
IOWA,2014,2,,-,10,,36,,3,,17,,"IOWA
(42.469404401000475, -93.81648936699969)",
OREGON,2014,2,3,,6,,25,,6,,4,,"OREGON
(44.567446178000466, -120.15502977999972)",
KENTUCKY,2014,2,2,,9,,21,,6,,14,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
SOUTH DAKOTA,2014,2,,-,3,,10,,,-,4,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
ALASKA,2014,2,,-,1,,5,,2,,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
TEXAS,2014,2,,-,70,,161,,,-,15,,"TEXAS
(31.827243635000457, -99.4267664729997)",
SOUTH CAROLINA,2014,2,12,,20,,52,,25,,16,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
NEVADA,2014,2,,-,4,,205,,,-,10,,"NEVADA
(39.49324126500045, -117.07183978499972)",
MARYLAND,2014,2,17,,15,,36,,26,,29,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
GUAM,2014,2,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
NEW MEXICO,2014,2,,-,6,,14,,,-,8,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
UTAH,2014,2,,-,5,,14,,4,,3,,"UTAH
(39.36070374600047, -111.5871285339997)",
NEW YORK,2014,2,,-,24,,50,,6,,9,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
NEW HAMPSHIRE,2014,2,,-,3,,11,,,-,3,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
WISCONSIN,2014,2,,-,13,,29,,,-,19,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
ALABAMA,2014,2,5,,17,,69,,8,,30,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
NEW YORK CITY,2014,2,2,,20,,52,,15,,26,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
WASHINGTON,2014,2,,-,10,,32,,,-,1,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
INDIANA,2014,2,,-,13,,27,,,-,14,,"INDIANA
(39.76691364600049, -86.14995579899966)",
NORTH CAROLINA,2014,2,6,,31,,136,,34,,48,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
MAINE,2014,2,,-,2,,11,,,-,2,,"MAINE
(45.254228663000504, -68.98502952999962)",
MASSACHUSETTS,2014,2,4,,21,,54,,9,,13,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
RHODE ISLAND,2014,2,,-,2,,13,,,-,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
MISSOURI,2014,2,4,,17,,38,,7,,35,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
VIRGIN ISL.,2014,2,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
ARKANSAS,2014,2,,-,13,,35,,,-,2,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
FLORIDA,2014,2,86,,105,,226,,146,,106,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
MONTANA,2014,2,1,,2,,9,,3,,1,,"MONTANA
(47.066526051000494, -109.42441687999968)",
WYOMING,2014,2,,-,1,,4,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
DIST. OF COL.,2014,2,,-,0,,4,,,-,1,,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
PENNSYLVANIA,2014,2,7,,28,,65,,12,,32,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
MISSISSIPPI,2014,2,3,,13,,41,,11,,18,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
NEW JERSEY,2014,2,,-,18,,46,,,-,25,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
CALIFORNIA,2014,2,15,,86,,171,,31,,156,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
DELAWARE,2014,2,,-,1,,7,,,-,5,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
PUERTO RICO,2014,2,,-,8,,43,,,-,10,,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
COLORADO,2014,2,,-,6,,27,,9,,10,,"COLORADO
(38.84384047000049, -106.13360888799969)",
OHIO,2014,2,10,,22,,42,,27,,26,,"OHIO
(40.06021029700048, -82.40425685299965)",
MICHIGAN,2014,2,1,,17,,42,,7,,19,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
LOUISIANA,2014,2,1,,19,,43,,5,,17,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
CONNECTICUT,2014,2,,-,7,,21,,4,,15,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
HAWAII,2014,2,3,,6,,13,,12,,9,,"HAWAII
(21.30485166200043, -157.85774691599974)",
UNITED STATES,2014,3,222,,877,,1508,,863,,1398,,,
NEW ENGLAND,2014,3,7,,39,,81,,36,,55,,,
MID. ATLANTIC,2014,3,22,,96,,196,,78,,143,,,
E.N. CENTRAL,2014,3,14,,97,,170,,56,,193,,,
W.N. CENTRAL,2014,3,4,,46,,93,,30,,85,,,
S. ATLANTIC,2014,3,145,,230,,434,,481,,398,,,
E.S. CENTRAL,2014,3,7,,57,,138,,60,,118,,,
W.S. CENTRAL,2014,3,6,,118,,246,,23,,84,,,
MOUNTAIN,2014,3,2,,51,,248,,36,,90,,,
PACIFIC,2014,3,15,,103,,205,,63,,232,,,
IOWA,2014,3,,-,10,,36,,10,,22,,"IOWA
(42.469404401000475, -93.81648936699969)",
VERMONT,2014,3,1,,1,,5,,5,,1,,"VERMONT
(43.62538292400046, -72.51763944499965)",
LOUISIANA,2014,3,,-,19,,43,,5,,33,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
DELAWARE,2014,3,,-,1,,7,,1,,5,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
MISSISSIPPI,2014,3,,-,13,,41,,11,,27,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
ARKANSAS,2014,3,4,,13,,35,,4,,7,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
FLORIDA,2014,3,89,,105,,226,,237,,178,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
MAINE,2014,3,,-,2,,11,,,-,4,,"MAINE
(45.254228663000504, -68.98502952999962)",
VIRGIN ISL.,2014,3,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
INDIANA,2014,3,,-,13,,27,,,-,23,,"INDIANA
(39.76691364600049, -86.14995579899966)",
ARIZONA,2014,3,1,,18,,32,,6,,33,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
NEW YORK,2014,3,12,,24,,50,,23,,23,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
NORTH DAKOTA,2014,3,,-,2,,7,,,-,2,,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
C.N.M.I.,2014,3,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
KANSAS,2014,3,,-,7,,18,,1,,6,,"KANSAS
(38.34774033400049, -98.20077655499966)",
MICHIGAN,2014,3,3,,17,,42,,13,,34,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
TENNESSEE,2014,3,4,,16,,36,,20,,29,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
CALIFORNIA,2014,3,14,,79,,158,,40,,216,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
NEW MEXICO,2014,3,,-,6,,14,,,-,10,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
DIST. OF COL.,2014,3,,-,0,,4,,,-,1,,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
SOUTH DAKOTA,2014,3,,-,3,,10,,1,,4,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
NEBRASKA,2014,3,,-,5,,20,,7,,6,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
WISCONSIN,2014,3,,-,13,,29,,2,,34,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
PUERTO RICO,2014,3,,-,7,,43,,,-,15,,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
GUAM,2014,3,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
NEW YORK CITY,2014,3,2,,20,,52,,28,,35,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
AMER. SAMOA,2014,3,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
VIRGINIA,2014,3,4,,3,,27,,26,,1,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
MARYLAND,2014,3,4,,17,,37,,30,,50,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
OKLAHOMA,2014,3,,-,12,,49,,9,,7,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
PENNSYLVANIA,2014,3,8,,29,,65,,26,,50,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
HAWAII,2014,3,,-,6,,13,,12,,10,,"HAWAII
(21.30485166200043, -157.85774691599974)",
MONTANA,2014,3,,-,2,,9,,3,,2,,"MONTANA
(47.066526051000494, -109.42441687999968)",
MINNESOTA,2014,3,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
NEW HAMPSHIRE,2014,3,,-,3,,11,,,-,5,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
WEST VIRGINIA,2014,3,,-,3,,9,,1,,5,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
WYOMING,2014,3,,-,1,,4,,,-,1,,"WYOMING
(43.23554147100049, -108.10982744299969)",
COLORADO,2014,3,,-,6,,27,,9,,18,,"COLORADO
(38.84384047000049, -106.13360888799969)",
NEW JERSEY,2014,3,,-,18,,46,,1,,35,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
ILLINOIS,2014,3,,-,31,,61,,3,,63,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
OREGON,2014,3,1,,6,,25,,9,,5,,"OREGON
(44.567446178000466, -120.15502977999972)",
ALABAMA,2014,3,,-,17,,69,,14,,37,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
MASSACHUSETTS,2014,3,6,,21,,54,,23,,25,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
MISSOURI,2014,3,4,,17,,38,,11,,45,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
NEVADA,2014,3,,-,4,,205,,,-,13,,"NEVADA
(39.49324126500045, -117.07183978499972)",
GEORGIA,2014,3,10,,34,,101,,46,,61,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
WASHINGTON,2014,3,,-,10,,32,,,-,1,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
OHIO,2014,3,11,,22,,42,,38,,39,,"OHIO
(40.06021029700048, -82.40425685299965)",
TEXAS,2014,3,2,,71,,163,,5,,37,,"TEXAS
(31.827243635000457, -99.4267664729997)",
NORTH CAROLINA,2014,3,37,,32,,136,,110,,63,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
CONNECTICUT,2014,3,,-,7,,21,,8,,20,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
ALASKA,2014,3,,-,1,,5,,2,,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
AMER. SAMOA,2014,34,,-,,-,,-,,-,,-,"AMER. SAMOA
",
IDAHO,2014,3,1,,2,,9,,6,,5,,"IDAHO
(43.682630058000484, -114.3637261449997)",
UTAH,2014,3,,-,6,,14,,12,,8,,"UTAH
(39.36070374600047, -111.5871285339997)",
RHODE ISLAND,2014,3,,-,2,,13,,,-,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
KENTUCKY,2014,3,3,,9,,21,,15,,25,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
SOUTH CAROLINA,2014,3,1,,20,,52,,30,,34,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
UNITED STATES,2014,4,225,,878,,1509,,1281,,1840,,,
NEW ENGLAND,2014,4,5,,39,,81,,47,,73,,,
MID. ATLANTIC,2014,4,15,,96,,196,,116,,189,,,
RHODE ISLAND,2014,4,,-,2,,13,,,-,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
PACIFIC,2014,7,37,,114,,217,,335,,580,,,
E.N. CENTRAL,2014,4,22,,98,,171,,99,,258,,,
W.N. CENTRAL,2014,4,18,,46,,93,,63,,109,,,
S. ATLANTIC,2014,4,111,,230,,434,,636,,538,,,
E.S. CENTRAL,2014,4,5,,57,,138,,74,,142,,,
W.S. CENTRAL,2014,4,21,,118,,248,,59,,129,,,
MOUNTAIN,2014,4,4,,51,,248,,66,,118,,,
PACIFIC,2014,4,24,,103,,206,,121,,284,,,
OHIO,2014,4,21,,22,,42,,59,,45,,"OHIO
(40.06021029700048, -82.40425685299965)",
OREGON,2014,4,,-,6,,25,,14,,11,,"OREGON
(44.567446178000466, -120.15502977999972)",
NORTH DAKOTA,2014,4,,-,2,,7,,2,,4,,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
INDIANA,2014,4,,-,13,,27,,1,,29,,"INDIANA
(39.76691364600049, -86.14995579899966)",
MONTANA,2014,4,,-,2,,9,,5,,2,,"MONTANA
(47.066526051000494, -109.42441687999968)",
PENNSYLVANIA,2014,4,4,,29,,65,,35,,63,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
HAWAII,2014,4,,-,7,,13,,22,,12,,"HAWAII
(21.30485166200043, -157.85774691599974)",
NORTH CAROLINA,2014,4,9,,32,,136,,132,,84,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
NEBRASKA,2014,4,1,,5,,20,,8,,8,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
NEW YORK,2014,4,10,,24,,50,,33,,35,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
GEORGIA,2014,4,8,,34,,101,,66,,83,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
GUAM,2014,4,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
VIRGIN ISL.,2014,4,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
MARYLAND,2014,4,11,,16,,37,,45,,61,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
VERMONT,2014,4,5,,1,,5,,11,,2,,"VERMONT
(43.62538292400046, -72.51763944499965)",
DELAWARE,2014,4,,-,1,,7,,1,,5,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
MAINE,2014,4,,-,2,,11,,1,,4,,"MAINE
(45.254228663000504, -68.98502952999962)",
CONNECTICUT,2014,4,,-,7,,21,,12,,24,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
MINNESOTA,2014,4,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
TENNESSEE,2014,4,4,,16,,36,,27,,35,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
WASHINGTON,2014,4,4,,10,,44,,4,,5,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
WISCONSIN,2014,4,,-,13,,29,,4,,46,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
MICHIGAN,2014,4,1,,17,,42,,19,,44,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
COLORADO,2014,4,,-,6,,27,,23,,27,,"COLORADO
(38.84384047000049, -106.13360888799969)",
ALASKA,2014,4,,-,1,,5,,3,,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
DIST. OF COL.,2014,4,,-,0,,4,,,-,5,,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
NEVADA,2014,4,,-,4,,205,,3,,15,,"NEVADA
(39.49324126500045, -117.07183978499972)",
NEW HAMPSHIRE,2014,4,,-,3,,11,,,-,8,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
CALIFORNIA,2014,4,20,,79,,159,,78,,256,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
WYOMING,2014,4,,-,1,,4,,,-,1,,"WYOMING
(43.23554147100049, -108.10982744299969)",
C.N.M.I.,2014,4,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
IOWA,2014,4,,-,10,,36,,15,,28,,"IOWA
(42.469404401000475, -93.81648936699969)",
ILLINOIS,2014,4,,-,32,,62,,16,,94,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
KANSAS,2014,4,,-,7,,18,,8,,11,,"KANSAS
(38.34774033400049, -98.20077655499966)",
IDAHO,2014,4,1,,2,,9,,7,,6,,"IDAHO
(43.682630058000484, -114.3637261449997)",
ARIZONA,2014,4,3,,18,,32,,15,,43,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
LOUISIANA,2014,4,,-,19,,43,,5,,39,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
ARKANSAS,2014,4,6,,13,,35,,11,,13,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
UTAH,2014,4,,-,6,,14,,13,,10,,"UTAH
(39.36070374600047, -111.5871285339997)",
MISSOURI,2014,4,17,,17,,38,,28,,50,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
OKLAHOMA,2014,4,7,,12,,49,,21,,15,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
KENTUCKY,2014,4,,-,9,,21,,15,,28,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
TEXAS,2014,4,8,,72,,192,,22,,62,,"TEXAS
(31.827243635000457, -99.4267664729997)",
SOUTH CAROLINA,2014,4,5,,20,,52,,46,,41,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
MISSISSIPPI,2014,4,,-,13,,41,,11,,33,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
