Reporting Area,MMWR Year,MMWR Week,"Babesiosis, Current week","Babesiosis, Current week, flag","Babesiosis, Previous 52 weeks Med","Babesiosis, Previous 52 weeks Med, flag","Babesiosis, Previous 52 weeks Max","Babesiosis, Previous 52 weeks Max, flag","Babesiosis, Cum 2014","Babesiosis, Cum 2014, flag","Babesiosis, Cum 2013","Babesiosis, Cum 2013, flag","Coccidioidomycosis, Cum 2013, flag",Location 1,Location 2
E.S. CENTRAL,2014,25,,-,0,,0,,,-,,-,-,,
W.S. CENTRAL,2014,25,,-,0,,1,,,-,1,,,,
MOUNTAIN,2014,25,,-,0,,0,,,-,,-,,,
PACIFIC,2014,25,,-,0,,2,,1,,,-,,,
PENNSYLVANIA,2014,25,,N,0,,0,,,N,,N,N,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
SOUTH DAKOTA,2014,25,,-,0,,1,,,-,,-,N,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
NORTH DAKOTA,2014,25,,-,0,,1,,,-,,-,,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
INDIANA,2014,25,,-,0,,1,,,-,,-,N,"INDIANA
(39.76691364600049, -86.14995579899966)",
CALIFORNIA,2014,25,,-,0,,2,,1,,,-,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
C.N.M.I.,2014,25,,-,,-,,-,,-,,-,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
RHODE ISLAND,2014,25,1,,0,,27,,5,,,-,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
NEW YORK CITY,2014,25,2,,0,,11,,7,,1,,N,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
NEW YORK,2014,25,7,,3,,52,,19,,16,,N,"NEW YORK
(42.82700023900048, -75.54396639699968)",
TENNESSEE,2014,25,,-,0,,0,,,-,,-,N,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
OHIO,2014,25,,N,0,,0,,,N,,N,,"OHIO
(40.06021029700048, -82.40425685299965)",
NORTH CAROLINA,2014,25,,N,0,,0,,,N,,N,N,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
KANSAS,2014,25,,N,0,,0,,,N,,N,N,"KANSAS
(38.34774033400049, -98.20077655499966)",
COLORADO,2014,25,,N,0,,0,,,N,,N,N,"COLORADO
(38.84384047000049, -106.13360888799969)",
OREGON,2014,25,,-,0,,0,,,-,,-,,"OREGON
(44.567446178000466, -120.15502977999972)",
ARIZONA,2014,25,,N,0,,0,,,N,,N,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
MASSACHUSETTS,2014,25,,-,1,,48,,13,,76,,-,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
IOWA,2014,25,,N,0,,0,,,N,,N,N,"IOWA
(42.469404401000475, -93.81648936699969)",
WYOMING,2014,25,,-,0,,0,,,-,,-,,"WYOMING
(43.23554147100049, -108.10982744299969)",
ALASKA,2014,25,,N,0,,0,,,N,,N,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
NEW JERSEY,2014,25,,-,1,,25,,8,,31,,N,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
NEW HAMPSHIRE,2014,25,,-,0,,4,,4,,4,,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
MINNESOTA,2014,25,,-,0,,10,,,-,11,,,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
LOUISIANA,2014,25,,-,0,,1,,,-,1,,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
PUERTO RICO,2014,25,,N,0,,0,,,N,,N,N,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
NEVADA,2014,25,,N,0,,0,,,N,,N,,"NEVADA
(39.49324126500045, -117.07183978499972)",
VERMONT,2014,25,,-,0,,2,,,-,,-,N,"VERMONT
(43.62538292400046, -72.51763944499965)",
GUAM,2014,25,,-,,-,,-,,-,,-,-,"GUAM
(13.355173397000442, 144.70297250000056)",
MICHIGAN,2014,25,1,,0,,1,,1,,,-,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
SOUTH CAROLINA,2014,25,,-,0,,1,,,-,,-,N,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
IDAHO,2014,25,,N,0,,0,,,N,,N,N,"IDAHO
(43.682630058000484, -114.3637261449997)",
ALABAMA,2014,25,,-,0,,0,,,-,,-,N,"ALABAMA
(32.84057327200048, -86.63185803899967)",
ILLINOIS,2014,25,,-,0,,0,,,-,,-,N,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
OKLAHOMA,2014,25,,N,0,,0,,,N,,N,N,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
ARKANSAS,2014,25,,N,0,,0,,,N,,N,N,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
DIST. OF COL.,2014,25,,N,0,,0,,,N,,N,-,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
FLORIDA,2014,25,,N,0,,0,,,N,,N,N,"FLORIDA
(28.932042899000464, -81.92895558499964)",
MAINE,2014,25,,-,0,,6,,3,,1,,N,"MAINE
(45.254228663000504, -68.98502952999962)",
WEST VIRGINIA,2014,25,,-,0,,0,,,-,,-,N,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
MONTANA,2014,25,,-,0,,0,,,-,,-,,"MONTANA
(47.066526051000494, -109.42441687999968)",
NEBRASKA,2014,25,,-,0,,1,,,-,1,,-,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
MARYLAND,2014,25,,-,0,,1,,,-,2,,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
KENTUCKY,2014,25,,N,0,,0,,,N,,N,N,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
HAWAII,2014,25,,N,0,,0,,,N,,N,N,"HAWAII
(21.30485166200043, -157.85774691599974)",
VIRGINIA,2014,25,,N,0,,0,,,N,,N,N,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
DELAWARE,2014,25,,-,0,,1,,,-,1,,-,"DELAWARE
(39.00883351400046, -75.57773943699965)",
GEORGIA,2014,25,,N,0,,0,,,N,,N,N,"GEORGIA
(32.83968004200045, -83.62757601199968)",
WISCONSIN,2014,25,,-,0,,11,,1,,2,,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
NEW MEXICO,2014,25,,N,0,,0,,,N,,N,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
MISSISSIPPI,2014,25,,N,0,,0,,,N,,N,N,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
WASHINGTON,2014,25,,-,0,,1,,,-,,-,N,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
CONNECTICUT,2014,25,,-,1,,36,,9,,46,,N,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
MISSOURI,2014,25,,N,0,,0,,,N,,N,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
VIRGIN ISL.,2014,25,,N,0,,0,,,N,,N,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
UNITED STATES,2014,26,7,,11,,148,,80,,277,,,,
NEW ENGLAND,2014,26,4,,3,,83,,41,,180,,,,
MID. ATLANTIC,2014,26,3,,6,,57,,36,,73,,-,,
E.N. CENTRAL,2014,26,,-,0,,11,,2,,6,,,,
W.N. CENTRAL,2014,26,,-,0,,10,,,-,13,,,,
S. ATLANTIC,2014,26,,-,0,,2,,,-,3,,,,
E.S. CENTRAL,2014,26,,-,0,,0,,,-,,-,-,,
W.S. CENTRAL,2014,26,,-,0,,1,,,-,1,,,,
MOUNTAIN,2014,26,,-,0,,0,,,-,,-,,,
PACIFIC,2014,26,,-,0,,2,,1,,1,,,,
MINNESOTA,2014,26,,-,0,,10,,,-,12,,,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
ALABAMA,2014,26,,-,0,,0,,,-,,-,N,"ALABAMA
(32.84057327200048, -86.63185803899967)",
UTAH,2014,26,,-,0,,0,,,-,,-,,"UTAH
(39.36070374600047, -111.5871285339997)",
MISSISSIPPI,2014,26,,N,0,,0,,,N,,N,N,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
CALIFORNIA,2014,26,,-,0,,2,,1,,1,,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
IOWA,2014,26,,N,0,,0,,,N,,N,N,"IOWA
(42.469404401000475, -93.81648936699969)",
MONTANA,2014,26,,-,0,,0,,,-,,-,,"MONTANA
(47.066526051000494, -109.42441687999968)",
MICHIGAN,2014,26,,-,0,,1,,1,,,-,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
AMER. SAMOA,2014,26,,N,,-,,-,,N,,N,N,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
VIRGINIA,2014,26,,N,0,,0,,,N,,N,N,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
TEXAS,2014,26,,N,0,,1,,,N,,N,N,"TEXAS
(31.827243635000457, -99.4267664729997)",
SOUTH DAKOTA,2014,26,,-,0,,1,,,-,,-,N,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
PUERTO RICO,2014,26,,N,0,,0,,,N,,N,N,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
ARIZONA,2014,26,,N,0,,0,,,N,,N,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
ARKANSAS,2014,26,,N,0,,0,,,N,,N,N,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
FLORIDA,2014,26,,N,0,,0,,,N,,N,N,"FLORIDA
(28.932042899000464, -81.92895558499964)",
TENNESSEE,2014,26,,-,0,,0,,,-,,-,N,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
C.N.M.I.,2014,26,,-,,-,,-,,-,,-,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
WISCONSIN,2014,26,,-,0,,11,,1,,6,,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
NEW HAMPSHIRE,2014,26,,-,0,,4,,5,,7,,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
LOUISIANA,2014,26,,-,0,,1,,,-,1,,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
GUAM,2014,26,,-,0,,0,,,-,,-,,"GUAM
(13.355173397000442, 144.70297250000056)",
MAINE,2014,26,,-,0,,6,,3,,1,,N,"MAINE
(45.254228663000504, -68.98502952999962)",
RHODE ISLAND,2014,26,4,,0,,27,,9,,,-,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
NORTH CAROLINA,2014,26,,N,0,,0,,,N,,N,N,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
WASHINGTON,2014,26,,-,0,,1,,,-,,-,N,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
DIST. OF COL.,2014,26,,N,0,,0,,,N,,N,-,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
COLORADO,2014,26,,N,0,,0,,,N,,N,N,"COLORADO
(38.84384047000049, -106.13360888799969)",
NORTH DAKOTA,2014,26,,-,0,,1,,,-,,-,,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
SOUTH CAROLINA,2014,26,,-,0,,1,,,-,,-,N,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
IDAHO,2014,26,,N,0,,0,,,N,,N,N,"IDAHO
(43.682630058000484, -114.3637261449997)",
NEW YORK,2014,26,2,,3,,52,,21,,21,,N,"NEW YORK
(42.82700023900048, -75.54396639699968)",
WYOMING,2014,26,,-,0,,0,,,-,,-,,"WYOMING
(43.23554147100049, -108.10982744299969)",
KENTUCKY,2014,26,,N,0,,0,,,N,,N,N,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
OKLAHOMA,2014,26,,N,0,,0,,,N,,N,N,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
NEBRASKA,2014,26,,-,0,,0,,,-,1,,-,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
HAWAII,2014,26,,N,0,,0,,,N,,N,N,"HAWAII
(21.30485166200043, -157.85774691599974)",
NEVADA,2014,26,,N,0,,0,,,N,,N,,"NEVADA
(39.49324126500045, -117.07183978499972)",
WEST VIRGINIA,2014,26,,-,0,,0,,,-,,-,N,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
PENNSYLVANIA,2014,26,,N,0,,0,,,N,,N,N,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
OREGON,2014,26,,-,0,,0,,,-,,-,,"OREGON
(44.567446178000466, -120.15502977999972)",
VIRGIN ISL.,2014,26,,N,0,,0,,,N,,N,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
NEW JERSEY,2014,26,,-,1,,25,,8,,48,,N,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
GEORGIA,2014,26,,N,0,,0,,,N,,N,N,"GEORGIA
(32.83968004200045, -83.62757601199968)",
NEW YORK CITY,2014,26,1,,0,,11,,7,,4,,N,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
MASSACHUSETTS,2014,26,,-,1,,48,,13,,109,,-,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
MARYLAND,2014,26,,-,0,,1,,,-,2,,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
ILLINOIS,2014,26,,-,0,,0,,,-,,-,N,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
CONNECTICUT,2014,26,,-,1,,36,,11,,63,,N,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
INDIANA,2014,26,,-,0,,1,,,-,,-,N,"INDIANA
(39.76691364600049, -86.14995579899966)",
OHIO,2014,26,,N,0,,0,,,N,,N,,"OHIO
(40.06021029700048, -82.40425685299965)",
DELAWARE,2014,26,,-,0,,1,,,-,1,,-,"DELAWARE
(39.00883351400046, -75.57773943699965)",
ALASKA,2014,26,,N,0,,0,,,N,,N,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
NEW MEXICO,2014,26,,N,0,,0,,,N,,N,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
VERMONT,2014,26,,-,0,,2,,,-,,-,N,"VERMONT
(43.62538292400046, -72.51763944499965)",
MISSOURI,2014,26,,N,0,,0,,,N,,N,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
KANSAS,2014,26,,N,0,,0,,,N,,N,N,"KANSAS
(38.34774033400049, -98.20077655499966)",
UNITED STATES,2014,27,12,,14,,148,,125,,404,,,,
NEW ENGLAND,2014,27,5,,4,,83,,71,,261,,,,
MID. ATLANTIC,2014,27,5,,6,,57,,47,,105,,-,,
E.N. CENTRAL,2014,27,,-,0,,11,,3,,13,,,,
W.N. CENTRAL,2014,27,,-,0,,10,,,-,18,,,,
S. ATLANTIC,2014,27,2,,0,,2,,2,,3,,,,
DIST. OF COL.,2014,27,,N,0,,0,,,N,,N,-,"DIST. OF COL.
",
E.S. CENTRAL,2014,27,,-,0,,0,,,-,,-,-,,
W.S. CENTRAL,2014,27,,-,0,,1,,,-,1,,,,
MOUNTAIN,2014,27,,-,0,,0,,,-,,-,,,
PACIFIC,2014,27,,-,0,,2,,2,,3,,,,
AMER. SAMOA,2014,27,,N,,-,,-,,N,,N,N,"AMER. SAMOA
",
C.N.M.I.,2014,27,,-,,-,,-,,-,,-,-,"C.N.M.I.
",
VIRGIN ISL.,2014,27,,N,0,,0,,,N,,N,-,"VIRGIN ISL.
",
NEVADA,2014,27,,N,0,,0,,,N,,N,,"NEVADA
(39.493242807000456, -117.07183978499972)",
OREGON,2014,27,,-,0,,0,,,-,,-,,"OREGON
(44.56745218600048, -120.15502977999972)",
NEW HAMPSHIRE,2014,27,,-,0,,4,,5,,8,,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
PUERTO RICO,2014,27,,N,0,,0,,,N,,N,N,"PUERTO RICO
(18.24828934900046, -66.49988980099965)",
NEW MEXICO,2014,27,,N,0,,0,,,N,,N,,"NEW MEXICO
(34.520884020000494, -106.24057768899968)",
WEST VIRGINIA,2014,27,,-,0,,0,,,-,,-,N,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
KENTUCKY,2014,27,,N,0,,0,,,N,,N,N,"KENTUCKY
(37.645970985000474, -84.77496612599964)",
OHIO,2014,27,,N,0,,0,,,N,,N,,"OHIO
(40.06021184000048, -82.40425685299965)",
OKLAHOMA,2014,27,,N,0,,0,,,N,,N,N,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
ARKANSAS,2014,27,,N,0,,0,,,N,,N,N,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
INDIANA,2014,27,,-,0,,1,,,-,,-,N,"INDIANA
(39.76691072200049, -86.14995579899966)",
IDAHO,2014,27,,N,0,,0,,,N,,N,N,"IDAHO
(43.68263160000049, -114.3637261449997)",
GEORGIA,2014,27,,N,0,,0,,,N,,N,N,"GEORGIA
(32.83968158500045, -83.62757601199968)",
NORTH CAROLINA,2014,27,,N,0,,0,,,N,,N,N,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
TENNESSEE,2014,27,,-,0,,0,,,-,,-,N,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
VERMONT,2014,27,,-,0,,2,,,-,1,,N,"VERMONT
(43.62538000100045, -72.51763944499965)",
ARIZONA,2014,27,,N,0,,0,,,N,,N,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
CALIFORNIA,2014,27,,-,0,,2,,2,,3,,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
MISSOURI,2014,27,,N,0,,0,,,N,,N,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
HAWAII,2014,27,,N,0,,0,,,N,,N,N,"HAWAII
(21.304853205000427, -157.85774691599974)",
UTAH,2014,27,,-,0,,0,,,-,,-,,"UTAH
(39.36070082200047, -111.5871285339997)",
NEW YORK CITY,2014,27,1,,0,,11,,8,,7,,N,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
WISCONSIN,2014,27,,-,0,,11,,2,,13,,,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
MISSISSIPPI,2014,27,,N,0,,0,,,N,,N,N,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
ALASKA,2014,27,,N,0,,0,,,N,,N,-,"ALASKA
(64.84507631500048, -147.72205669099972)",
MONTANA,2014,27,,-,0,,0,,,-,,-,,"MONTANA
(47.06652759400049, -109.42441687999968)",
CONNECTICUT,2014,27,,-,1,,36,,22,,91,,N,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
SOUTH DAKOTA,2014,27,,-,0,,1,,,-,,-,N,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
NEW YORK,2014,27,4,,3,,52,,25,,25,,N,"NEW YORK
(42.82700178100049, -75.54396639699968)",
RHODE ISLAND,2014,27,5,,0,,27,,14,,,-,-,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
LOUISIANA,2014,27,,-,0,,1,,,-,1,,,"LOUISIANA
(31.312664106000454, -92.44567554599968)",
NEW JERSEY,2014,27,,-,1,,25,,14,,73,,N,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
WYOMING,2014,27,,-,0,,0,,,-,,-,,"WYOMING
(43.235543013000495, -108.10982744299969)",
COLORADO,2014,27,,N,0,,0,,,N,,N,N,"COLORADO
(38.84384201300048, -106.13360888799969)",
MARYLAND,2014,27,2,,0,,1,,2,,2,,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
ALABAMA,2014,27,,-,0,,0,,,-,,-,N,"ALABAMA
(32.84057034900047, -86.63185803899967)",
PENNSYLVANIA,2014,27,,N,0,,0,,,N,,N,N,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
MINNESOTA,2014,27,,-,0,,10,,,-,17,,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
DELAWARE,2014,27,,-,0,,1,,,-,1,,-,"DELAWARE
(39.00883059000046, -75.57773943699965)",
NEBRASKA,2014,27,,-,0,,0,,,-,1,,,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
KANSAS,2014,27,,N,0,,0,,,N,,N,N,"KANSAS
(38.3477418760005, -98.20077655499966)",
VIRGINIA,2014,27,,N,0,,0,,,N,,N,N,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
FLORIDA,2014,27,,N,0,,0,,,N,,N,N,"FLORIDA
(28.93204444200046, -81.92895558499964)",
NORTH DAKOTA,2014,27,,-,0,,1,,,-,,-,,"NORTH DAKOTA
(47.47531892900048, -100.11842599699969)",
TEXAS,2014,27,,N,0,,1,,,N,,N,N,"TEXAS
(31.827240712000446, -99.4267664729997)",
MASSACHUSETTS,2014,27,,-,1,,48,,25,,157,,-,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
WASHINGTON,2014,27,,-,0,,1,,,-,,-,N,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
SOUTH CAROLINA,2014,27,,-,0,,1,,,-,,-,N,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
MAINE,2014,27,,-,0,,6,,5,,4,,N,"MAINE
(45.2542257390005, -68.98502952999962)",
ILLINOIS,2014,27,,-,0,,0,,,-,,-,N,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
MICHIGAN,2014,27,,-,0,,1,,1,,,-,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
IOWA,2014,27,,N,0,,0,,,N,,N,N,"IOWA
(42.469401477000474, -93.81648936699969)",
GUAM,2014,27,,-,0,,0,,,-,,-,,"GUAM
(13.480998894000436, 144.73149801400064)",
UNITED STATES,2014,28,25,,14,,148,,169,,527,,,,
NEW ENGLAND,2014,28,7,,4,,83,,88,,331,,,,
MID. ATLANTIC,2014,28,17,,7,,57,,75,,146,,-,,
E.N. CENTRAL,2014,28,,-,0,,11,,3,,18,,,,
W.N. CENTRAL,2014,28,,-,0,,10,,,-,25,,,,
S. ATLANTIC,2014,28,1,,0,,2,,1,,3,,,,
DIST. OF COL.,2014,28,,N,0,,0,,,N,,N,-,"DIST. OF COL.
",
E.S. CENTRAL,2014,28,,-,0,,0,,,-,,-,-,,
W.S. CENTRAL,2014,28,,-,0,,1,,,-,1,,,,
MOUNTAIN,2014,28,,-,0,,0,,,-,,-,,,
PACIFIC,2014,28,,-,0,,1,,2,,3,,,,
AMER. SAMOA,2014,28,,N,,-,,-,,N,,N,N,"AMER. SAMOA
",
C.N.M.I.,2014,28,,-,,-,,-,,-,,-,-,"C.N.M.I.
",
VIRGIN ISL.,2014,28,,N,0,,0,,,N,,N,-,"VIRGIN ISL.
",
CONNECTICUT,2014,28,,-,1,,36,,27,,119,,N,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
SOUTH CAROLINA,2014,28,,-,0,,1,,,-,,-,N,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
ARIZONA,2014,28,,N,0,,0,,,N,,N,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
WASHINGTON,2014,28,,-,0,,1,,,-,,-,N,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
MAINE,2014,28,,-,0,,6,,6,,6,,N,"MAINE
(45.2542257390005, -68.98502952999962)",
NORTH CAROLINA,2014,28,,N,0,,0,,,N,,N,N,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
WISCONSIN,2014,28,,-,0,,11,,2,,18,,,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
WEST VIRGINIA,2014,28,,-,0,,0,,,-,,-,N,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
TENNESSEE,2014,28,,-,0,,0,,,-,,-,N,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
RHODE ISLAND,2014,28,6,,0,,27,,24,,,-,-,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
NORTH DAKOTA,2014,28,,-,0,,1,,,-,1,,,"NORTH DAKOTA
(47.47531892900048, -100.11842599699969)",
NEW MEXICO,2014,28,,N,0,,0,,,N,,N,,"NEW MEXICO
(34.520884020000494, -106.24057768899968)",
GUAM,2014,28,,-,0,,0,,,-,,-,,"GUAM
(13.480998894000436, 144.73149801400064)",
NEW YORK CITY,2014,28,3,,0,,11,,11,,11,,N,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
UTAH,2014,28,,-,0,,0,,,-,,-,,"UTAH
(39.36070082200047, -111.5871285339997)",
PENNSYLVANIA,2014,28,,N,0,,0,,,N,,N,N,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
KENTUCKY,2014,28,,N,0,,0,,,N,,N,N,"KENTUCKY
(37.645970985000474, -84.77496612599964)",
GEORGIA,2014,28,,N,0,,0,,,N,,N,N,"GEORGIA
(32.83968158500045, -83.62757601199968)",
DELAWARE,2014,28,,-,0,,1,,,-,1,,-,"DELAWARE
(39.00883059000046, -75.57773943699965)",
NEBRASKA,2014,28,,-,0,,0,,,-,1,,,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
MASSACHUSETTS,2014,28,,-,1,,45,,25,,193,,-,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
ARKANSAS,2014,28,,N,0,,0,,,N,,N,N,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
CALIFORNIA,2014,28,,-,0,,1,,2,,3,,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
FLORIDA,2014,28,,N,0,,0,,,N,,N,N,"FLORIDA
(28.93204444200046, -81.92895558499964)",
NEW YORK,2014,28,14,,3,,52,,43,,46,,N,"NEW YORK
(42.82700178100049, -75.54396639699968)",
MINNESOTA,2014,28,,-,0,,10,,,-,22,,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
INDIANA,2014,28,,-,0,,1,,,-,,-,N,"INDIANA
(39.76691072200049, -86.14995579899966)",
NEW JERSEY,2014,28,,-,1,,25,,21,,89,,N,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
NEVADA,2014,28,,N,0,,0,,,N,,N,,"NEVADA
(39.493242807000456, -117.07183978499972)",
OHIO,2014,28,,N,0,,0,,,N,,N,,"OHIO
(40.06021184000048, -82.40425685299965)",
MISSOURI,2014,28,,N,0,,0,,,N,,N,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
WYOMING,2014,28,,-,0,,0,,,-,,-,,"WYOMING
(43.235543013000495, -108.10982744299969)",
NEW HAMPSHIRE,2014,28,1,,0,,4,,6,,12,,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
IDAHO,2014,28,,N,0,,0,,,N,,N,N,"IDAHO
(43.68263160000049, -114.3637261449997)",
MARYLAND,2014,28,1,,0,,1,,1,,2,,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
TEXAS,2014,28,,N,0,,1,,,N,,N,N,"TEXAS
(31.827240712000446, -99.4267664729997)",
OKLAHOMA,2014,28,,N,0,,0,,,N,,N,N,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
ILLINOIS,2014,28,,-,0,,0,,,-,,-,N,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
LOUISIANA,2014,28,,-,0,,1,,,-,1,,,"LOUISIANA
(31.312664106000454, -92.44567554599968)",
MICHIGAN,2014,28,,-,0,,1,,1,,,-,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
COLORADO,2014,28,,N,0,,0,,,N,,N,N,"COLORADO
(38.84384201300048, -106.13360888799969)",
ALASKA,2014,28,,N,0,,0,,,N,,N,-,"ALASKA
(64.84507631500048, -147.72205669099972)",
OREGON,2014,28,,-,0,,0,,,-,,-,,"OREGON
(44.56745218600048, -120.15502977999972)",
ALABAMA,2014,28,,-,0,,0,,,-,,-,N,"ALABAMA
(32.84057034900047, -86.63185803899967)",
VERMONT,2014,28,,-,0,,2,,,-,1,,N,"VERMONT
(43.62538000100045, -72.51763944499965)",
IOWA,2014,28,,N,0,,0,,,N,,N,N,"IOWA
(42.469401477000474, -93.81648936699969)",
