 Reporting Area,MMWR Year,MMWR Week,"Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Med","Giardiasis, Previous 52 weeks Max","Giardiasis, Previous 52 weeks Med, flag","Giardiasis, Previous 52 weeks Max, flag","Giardiasis, Cum 2015","Giardiasis, Cum 2015, flag","Giardiasis, Cum 2014","Giardiasis, Cum 2014, flag","Gonorrhea,Current week","Gonorrhea,Current week, flag","Gonorrhea,Previous 52 weeks Med","Gonorrhea,Previous 52 weeks Med, flag","Gonorrhea, Previous 52 weeks Max","Gonorrhea, Previous 52 weeks Max, flag","Gonorrhea, Cum 2015","Gonorrhea, Cum 2015, flag","Gonorrhea, Cum 2014","Gonorrhea, Cum 2014, flag","Haemophilus influenzae, invasive§, All ages, all serotypes,Current week","Haemophilus influenzae, invasive§, All ages, all serotypes,Current week, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Med","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Med, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Max","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Max, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2015","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2015, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2014","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2014, flag",Location 1,Location 2
IOWA,2015,1,,-,4,11,,,,-,1,,4,,30,,54,,4,,32,,,-,0,,2,,,-,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
PUERTO RICO,2015,1,,-,0,10,,,,-,,-,,-,8,,30,,,-,1,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
DELAWARE,2015,1,,-,0,2,,,,-,,-,8,,24,,46,,8,,8,,,-,0,,3,,,-,,-,"DELAWARE
(39.00883389200004, -75.57773597599999)",
MISSISSIPPI,2015,1,,N,0,0,,,,N,,N,,-,119,,256,,,-,363,,,-,0,,2,,,-,2,,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
FLORIDA,2015,1,13,,21,54,,,13,,14,,164,,397,,517,,164,,380,,6,,4,,12,,6,,5,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
UTAH,2015,1,2,,4,11,,,2,,4,,17,,27,,47,,17,,29,,,-,1,,6,,,-,2,,"UTAH
(39.36070123200005, -111.58712831499997)",
ARKANSAS,2015,1,1,,2,6,,,1,,,-,65,,174,,285,,65,,110,,,-,1,,5,,,-,,-,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
SOUTH DAKOTA,2015,1,,-,2,9,,,,-,,-,,-,16,,27,,,-,8,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
NEW YORK,2015,1,6,,17,29,,,6,,1,,63,,122,,207,,63,,7,,2,,2,,11,,2,,,-,"NEW YORK
(42.82700376100007, -75.54396609999998)",
INDIANA,2015,1,,-,2,10,,,,-,3,,79,,140,,280,,79,,82,,,-,2,,4,,,-,2,,"INDIANA
(39.766913353000064, -86.14995646699998)",
MARYLAND,2015,1,6,,4,11,,,6,,7,,,-,107,,177,,,-,101,,4,,1,,5,,4,,4,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
RHODE ISLAND,2015,1,,-,0,5,,,,-,,-,1,,9,,41,,1,,1,,,-,0,,3,,,-,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
IDAHO,2015,1,1,,3,9,,,1,,2,,,-,5,,20,,,-,5,,,-,0,,3,,,-,1,,"IDAHO
(43.68263174800006, -114.36372693399994)",
NEW JERSEY,2015,1,,-,2,9,,,,-,12,,46,,125,,170,,46,,113,,,-,3,,5,,,-,7,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
PENNSYLVANIA,2015,1,5,,13,23,,,5,,16,,192,,241,,321,,192,,180,,6,,3,,7,,6,,7,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
OKLAHOMA,2015,1,,-,0,0,,,,-,,-,14,,90,,130,,14,,75,,2,,1,,4,,2,,1,,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
VIRGINIA,2015,1,2,,5,18,,,2,,,-,,-,147,,372,,,-,105,,,-,1,,5,,,-,,-,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
SOUTH CAROLINA,2015,1,2,,2,10,,,2,,2,,128,,157,,231,,128,,273,,,-,1,,4,,,-,,-,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
MICHIGAN,2015,1,2,,9,17,,,2,,4,,107,,181,,264,,107,,105,,2,,2,,5,,2,,2,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
TENNESSEE,2015,1,,N,0,0,,,,N,,N,70,,130,,211,,70,,60,,6,,2,,6,,6,,1,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
ALABAMA,2015,1,,-,3,10,,,,-,,-,,-,136,,184,,,-,87,,1,,1,,4,,1,,3,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
VERMONT,2015,1,2,,3,8,,,2,,4,,,-,1,,6,,,-,1,,1,,0,,2,,1,,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
MINNESOTA,2015,1,,-,0,0,,,,-,,-,,-,75,,99,,,-,52,,,-,2,,6,,,-,6,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
MONTANA,2015,1,,-,2,4,,,,-,,-,9,,7,,15,,9,,6,,,-,0,,3,,,-,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
COLORADO,2015,1,,-,7,16,,,,-,3,,46,,58,,86,,46,,58,,,-,1,,4,,,-,6,,"COLORADO
(38.84384342200008, -106.13360911499996)",
TEXAS,2015,1,,N,0,0,,,,N,,N,845,,647,,793,,845,,582,,,-,0,,1,,,-,,-,"TEXAS
(31.827240467000024, -99.42676785299994)",
NORTH DAKOTA,2015,1,,-,1,2,,,,-,,-,,-,12,,23,,,-,13,,,-,0,,2,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
MASSACHUSETTS,2015,1,,-,12,26,,,,-,7,,,-,71,,113,,,-,45,,,-,2,,8,,,-,4,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
LOUISIANA,2015,1,2,,3,15,,,2,,3,,,-,135,,305,,,-,33,,1,,1,,4,,1,,1,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
MAINE,2015,1,,-,3,8,,,,-,,-,,-,5,,11,,,-,6,,,-,0,,2,,,-,,-,"MAINE
(45.25422910300006, -68.98502586699993)",
HAWAII,2015,1,,-,1,3,,,,-,,-,,-,18,,30,,,-,13,,,-,0,,2,,,-,1,,"HAWAII
(21.30485232600006, -157.85774798099996)",
GUAM,2015,1,,-,,,-,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
ALASKA,2015,1,,-,1,8,,,,-,1,,,-,25,,44,,,-,25,,,-,0,,2,,,-,,-,"ALASKA
(64.84507799500005, -147.72205958799998)",
UNITED STATES,2015,2,101,,234,,390,,206,,342,,2182,,6440,,7230,,7119,,11222,,47,,61,,79,,115,,173,,,
NEW ENGLAND,2015,2,4,,25,,49,,6,,33,,2,,133,,190,,14,,268,,,-,4,,10,,1,,11,,,
MID. ATLANTIC,2015,2,37,,47,,76,,65,,69,,485,,745,,950,,1206,,1203,,11,,10,,21,,25,,31,,,
E.N. CENTRAL,2015,2,10,,27,,53,,23,,48,,334,,922,,1197,,940,,1563,,6,,9,,17,,23,,33,,,
W.N. CENTRAL,2015,2,4,,15,,38,,9,,23,,143,,355,,417,,392,,598,,,-,4,,10,,1,,23,,,
S. ATLANTIC,2015,2,14,,47,,89,,37,,78,,702,,1390,,1759,,1745,,2349,,16,,15,,26,,32,,33,,,
DIST. OF COL.,2015,2,,-,1,,3,,,-,1,,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,2,,-,3,,10,,,-,7,,141,,463,,649,,356,,955,,6,,4,,11,,17,,14,,,
W.S. CENTRAL,2015,2,1,,6,,19,,4,,9,,123,,1026,,1363,,1093,,1792,,6,,4,,10,,10,,6,,,
MOUNTAIN,2015,2,3,,20,,43,,9,,25,,80,,338,,436,,317,,624,,1,,6,,13,,3,,18,,,
PACIFIC,2015,2,28,,52,,98,,53,,50,,172,,1045,,1177,,1056,,1870,,1,,3,,7,,3,,4,,,
AMER. SAMOA,2015,2,,-,,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,2,,-,,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,2,,-,0,,0,,,-,,-,,-,1,,6,,,-,5,,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
PENNSYLVANIA,2015,2,11,,13,,23,,21,,30,,215,,241,,321,,422,,421,,3,,3,,8,,11,,12,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
MASSACHUSETTS,2015,2,,-,12,,26,,,-,19,,,-,71,,113,,,-,112,,,-,2,,8,,,-,8,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
TEXAS,2015,2,,N,0,,0,,,N,,N,,-,651,,845,,845,,1230,,,-,0,,1,,,-,,-,"TEXAS
(31.827240467000024, -99.42676785299994)",
UTAH,2015,2,,-,4,,11,,4,,9,,10,,26,,48,,31,,60,,,-,1,,6,,1,,3,,"UTAH
(39.36070123200005, -111.58712831499997)",
NEW HAMPSHIRE,2015,2,,-,1,,6,,,-,1,,,-,4,,10,,,-,5,,,-,0,,2,,,-,1,,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
OREGON,2015,2,5,,7,,14,,8,,9,,60,,43,,131,,118,,70,,1,,1,,4,,3,,2,,"OREGON
(44.56745049300008, -120.15502935599994)",
LOUISIANA,2015,2,,-,3,,15,,2,,8,,,-,135,,305,,,-,104,,,-,1,,4,,1,,3,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
NEBRASKA,2015,2,3,,2,,9,,5,,3,,,-,28,,55,,,-,36,,,-,0,,3,,,-,1,,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
CONNECTICUT,2015,2,,-,4,,10,,,-,8,,,-,40,,81,,,-,136,,,-,1,,3,,,-,2,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
WYOMING,2015,2,,-,0,,2,,,-,1,,,-,1,,8,,,-,4,,,-,0,,1,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
IOWA,2015,2,,-,4,,11,,,-,6,,13,,30,,54,,31,,53,,,-,0,,2,,,-,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
INDIANA,2015,2,,-,2,,10,,,-,5,,24,,140,,280,,142,,164,,,-,2,,4,,,-,5,,"INDIANA
(39.766913353000064, -86.14995646699998)",
NEW MEXICO,2015,2,,-,1,,7,,,-,2,,20,,40,,71,,48,,73,,,-,1,,3,,,-,,-,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
HAWAII,2015,2,,-,1,,3,,,-,2,,,-,18,,30,,,-,30,,,-,0,,2,,,-,1,,"HAWAII
(21.30485232600006, -157.85774798099996)",
SOUTH DAKOTA,2015,2,,-,2,,9,,,-,2,,,-,16,,27,,,-,31,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
VERMONT,2015,2,2,,3,,8,,4,,4,,,-,1,,6,,,-,2,,,-,0,,2,,1,,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
ALABAMA,2015,2,,-,3,,10,,,-,7,,,-,138,,184,,145,,192,,2,,1,,3,,4,,7,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
ALASKA,2015,2,,-,1,,8,,,-,3,,4,,25,,38,,20,,69,,,-,0,,2,,,-,,-,"ALASKA
(64.84507799500005, -147.72205958799998)",
PUERTO RICO,2015,2,,-,0,,10,,,-,,-,,-,9,,30,,,-,6,,,-,0,,1,,,-,,-,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
MISSOURI,2015,2,1,,5,,13,,3,,7,,119,,142,,193,,279,,219,,,-,1,,4,,1,,12,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
RHODE ISLAND,2015,2,,-,0,,5,,,-,,-,2,,11,,41,,14,,2,,,-,0,,3,,,-,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
KANSAS,2015,2,,-,2,,6,,1,,5,,11,,49,,71,,82,,90,,,-,0,,3,,,-,3,,"KANSAS
(38.347742794000055, -98.20077822999997)",
ARKANSAS,2015,2,1,,2,,6,,2,,1,,104,,172,,285,,169,,283,,1,,1,,5,,2,,1,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
IDAHO,2015,2,1,,3,,9,,2,,3,,,-,5,,20,,,-,7,,1,,0,,3,,1,,1,,"IDAHO
(43.68263174800006, -114.36372693399994)",
FLORIDA,2015,2,10,,21,,54,,23,,34,,196,,399,,517,,431,,722,,8,,4,,12,,14,,15,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
NORTH DAKOTA,2015,2,,-,1,,2,,,-,,-,,-,12,,23,,,-,20,,,-,0,,2,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
GEORGIA,2015,2,,-,11,,22,,,-,21,,120,,257,,322,,356,,277,,3,,2,,6,,4,,5,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
OKLAHOMA,2015,2,,-,0,,0,,,-,,-,19,,89,,130,,79,,175,,5,,2,,4,,7,,2,,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
SOUTH CAROLINA,2015,2,,-,2,,10,,2,,3,,169,,156,,231,,297,,443,,,-,1,,4,,,-,,-,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
VIRGINIA,2015,2,1,,5,,18,,3,,1,,,-,147,,372,,,-,118,,1,,2,,5,,1,,,-,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
DELAWARE,2015,2,1,,0,,2,,1,,2,,8,,24,,46,,16,,33,,,-,0,,3,,,-,,-,"DELAWARE
(39.00883389200004, -75.57773597599999)",
NEW JERSEY,2015,2,,-,1,,9,,,-,20,,36,,124,,170,,160,,259,,,-,3,,5,,1,,9,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
MONTANA,2015,2,,-,2,,4,,,-,2,,11,,7,,15,,21,,8,,,-,0,,3,,,-,1,,"MONTANA
(47.06652795700006, -109.42441587999997)",
MISSISSIPPI,2015,2,,N,0,,0,,,N,,N,,-,113,,256,,,-,487,,,-,1,,2,,1,,2,,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
NEW YORK,2015,2,12,,17,,29,,18,,1,,135,,122,,205,,198,,77,,2,,2,,14,,4,,6,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
OHIO,2015,2,9,,7,,21,,16,,12,,127,,307,,374,,358,,615,,5,,2,,11,,16,,13,,"OHIO
(40.060212455000055, -82.40425667899996)",
NEW YORK CITY,2015,2,14,,14,,31,,26,,18,,99,,260,,338,,426,,446,,6,,2,,6,,9,,4,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
MAINE,2015,2,2,,3,,8,,2,,1,,,-,5,,11,,,-,11,,,-,0,,2,,,-,,-,"MAINE
(45.25422910300006, -68.98502586699993)",
MINNESOTA,2015,2,,-,0,,0,,,-,,-,,-,75,,99,,,-,149,,,-,2,,6,,,-,7,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
GUAM,2015,2,,-,,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
NEVADA,2015,2,1,,1,,5,,1,,1,,2,,51,,123,,24,,195,,,-,0,,2,,,-,,-,"NEVADA
(39.49324221300003, -117.07183885899997)",
ILLINOIS,2015,2,,-,0,,6,,,-,10,,7,,225,,316,,66,,380,,,-,3,,6,,1,,6,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
CALIFORNIA,2015,2,23,,35,,68,,45,,36,,108,,875,,1016,,817,,1586,,,-,0,,3,,,-,1,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
ARIZONA,2015,2,1,,2,,11,,2,,,-,,-,139,,204,,85,,178,,,-,1,,8,,1,,6,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
WEST VIRGINIA,2015,2,,-,1,,5,,,-,1,,8,,16,,26,,29,,38,,,-,1,,5,,,-,2,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
MARYLAND,2015,2,2,,4,,11,,8,,15,,69,,110,,188,,97,,150,,3,,1,,5,,7,,5,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
NORTH CAROLINA,2015,2,,N,0,,0,,,N,,N,132,,245,,512,,519,,568,,1,,2,,9,,6,,6,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
WASHINGTON,2015,2,,-,7,,29,,,-,,-,,-,87,,128,,101,,115,,,-,0,,1,,,-,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
TENNESSEE,2015,2,,N,0,,0,,,N,,N,97,,129,,211,,167,,190,,3,,2,,7,,10,,4,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
KENTUCKY,2015,2,,N,0,,0,,,N,,N,44,,79,,166,,44,,86,,1,,0,,3,,2,,1,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
COLORADO,2015,2,,-,7,,16,,,-,7,,37,,58,,86,,108,,99,,,-,1,,4,,,-,7,,"COLORADO
(38.84384342200008, -106.13360911499996)",
MICHIGAN,2015,2,,-,9,,17,,5,,8,,107,,181,,264,,245,,267,,1,,2,,5,,6,,4,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
WISCONSIN,2015,2,1,,7,,22,,2,,13,,69,,76,,107,,129,,137,,,-,0,,4,,,-,5,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
UNITED STATES,2015,3,95,,234,,390,,343,,552,,3028,,6425,,7271,,13506,,17285,,40,,62,,96,,186,,251,,,
NEW ENGLAND,2015,3,1,,25,,49,,8,,53,,2,,133,,190,,21,,423,,1,,4,,10,,3,,15,,,
MID. ATLANTIC,2015,3,35,,46,,76,,103,,129,,539,,749,,950,,2079,,2016,,8,,10,,21,,33,,44,,,
E.N. CENTRAL,2015,3,17,,27,,53,,48,,78,,287,,917,,1174,,1595,,2759,,5,,9,,18,,31,,42,,,
W.N. CENTRAL,2015,3,1,,15,,38,,12,,33,,169,,354,,429,,728,,963,,1,,5,,11,,2,,27,,,
S. ATLANTIC,2015,3,30,,46,,89,,73,,127,,789,,1390,,1759,,2829,,3655,,15,,15,,30,,61,,59,,,
DIST. OF COL.,2015,3,,-,1,,3,,,-,2,,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,3,,-,3,,10,,3,,13,,237,,452,,649,,752,,1514,,4,,4,,12,,24,,20,,,
W.S. CENTRAL,2015,3,2,,6,,19,,7,,14,,630,,1039,,1365,,2583,,3012,,3,,4,,10,,15,,10,,,
MOUNTAIN,2015,3,3,,20,,43,,18,,42,,60,,338,,436,,436,,924,,1,,6,,13,,10,,25,,,
PACIFIC,2015,3,6,,52,,98,,71,,63,,315,,1004,,1207,,2483,,2019,,2,,3,,7,,7,,9,,,
AMER. SAMOA,2015,3,,-,,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,3,,-,,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,3,,-,0,,0,,,-,,-,,-,1,,6,,,-,10,,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
OHIO,2015,3,14,,7,,21,,30,,21,,65,,306,,370,,540,,989,,5,,2,,11,,21,,15,,"OHIO
(40.060212455000055, -82.40425667899996)",
SOUTH DAKOTA,2015,3,,-,2,,9,,,-,2,,5,,16,,27,,15,,43,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
TENNESSEE,2015,3,,N,0,,0,,,N,,N,24,,127,,211,,191,,341,,3,,2,,7,,13,,5,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
NEW JERSEY,2015,3,,-,1,,9,,,-,27,,34,,124,,170,,286,,412,,,-,3,,5,,1,,11,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
FLORIDA,2015,3,22,,21,,54,,44,,54,,217,,397,,517,,773,,1129,,4,,4,,12,,18,,26,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
VERMONT,2015,3,,-,3,,8,,5,,5,,,-,1,,6,,,-,3,,,-,0,,2,,2,,2,,"VERMONT
(43.62538389600007, -72.51763667599994)",
