Reporting Area,MMWR Year,MMWR Week,"Mumps, Current week","Mumps, Current week, flag","Mumps, Previous 52 weeks Med","Mumps, Previous 52 weeks Med, flag","Mumps, Previous 52 weeks Max","Mumps, Previous 52 weeks Max, flag","Mumps, Cum 2014","Mumps, Cum 2014, flag","Mumps, Cum 2013","Mumps, Cum 2013, flag","Pertussis, Current week","Pertussis, Current week, flag","Pertussis, Previous 52 weeks Med","Pertussis, Previous 52 weeks Med, flag","Pertussis, Previous 52 weeks Max","Pertussis, Previous 52 weeks Max, flag","Pertussis, Cum 2014","Pertussis, Cum 2014, flag","Pertussis, Cum 2013","Pertussis, Cum 2013, flag","Rabies, animal, Current week","Rabies, animal, Current week, flag","Rabies, animal, Previous 52 weeks Med","Rabies, animal, Previous 52 weeks Med, flag","Rabies, animal, Previous 52 weeks Max","Rabies, animal, Previous 52 weeks Max, flag","Rabies, animal, Cum 2014","Rabies, animal, Cum 2014, flag","Rabies, animal, Cum 2013","Rabies, animal, Cum 2013, flag",Location 1,Location 2
FLORIDA,2014,12,,-,0,,1,,,-,,-,18,,14,,63,,180,,87,,,-,0,,8,,20,,103,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
VERMONT,2014,12,,-,0,,1,,,-,,-,,-,1,,8,,5,,67,,,-,1,,4,,7,,9,,"VERMONT
(43.62538292400046, -72.51763944499965)",
KENTUCKY,2014,12,,-,0,,0,,,-,1,,,-,7,,28,,76,,73,,,-,0,,3,,2,,3,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
MISSOURI,2014,12,,-,0,,2,,1,,1,,,-,9,,33,,91,,104,,,-,0,,3,,1,,8,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
ARIZONA,2014,12,,-,0,,1,,2,,,-,,-,19,,76,,62,,368,,,N,0,,0,,,N,,N,"ARIZONA
(34.865973091000455, -111.76380949799972)",
IOWA,2014,12,,-,0,,1,,1,,,-,,-,4,,12,,26,,107,,,-,0,,0,,,-,,-,"IOWA
(42.469404401000475, -93.81648936699969)",
CONNECTICUT,2014,12,,-,0,,2,,,-,2,,,-,1,,6,,5,,8,,,-,3,,12,,14,,23,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
GUAM,2014,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
MASSACHUSETTS,2014,12,,-,0,,25,,1,,1,,,-,5,,22,,16,,53,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
MINNESOTA,2014,12,,-,0,,2,,,-,,-,,-,12,,37,,,-,158,,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
NEBRASKA,2014,12,,-,0,,0,,,-,,-,,-,5,,14,,47,,34,,,-,0,,0,,,-,,-,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
MONTANA,2014,12,,-,0,,0,,,-,,-,,-,10,,27,,53,,158,,,N,0,,0,,,N,,N,"MONTANA
(47.066526051000494, -109.42441687999968)",
MICHIGAN,2014,12,,-,0,,1,,2,,1,,2,,20,,44,,179,,122,,,-,0,,5,,,-,1,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
WYOMING,2014,12,,-,0,,0,,,-,,-,,-,1,,12,,,-,1,,,-,0,,0,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
NEW HAMPSHIRE,2014,12,,-,0,,0,,,-,,-,,-,1,,9,,7,,25,,,-,0,,2,,2,,8,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
AMER. SAMOA,2014,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
NEW JERSEY,2014,12,,-,0,,19,,2,,,-,,-,4,,12,,13,,135,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
INDIANA,2014,12,,-,0,,3,,9,,1,,,-,11,,29,,45,,67,,,-,0,,1,,,-,,-,"INDIANA
(39.76691364600049, -86.14995579899966)",
WISCONSIN,2014,12,,-,0,,1,,,-,,-,,-,22,,54,,161,,329,,,N,0,,0,,,N,,N,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
NEW YORK,2014,12,,-,0,,2,,2,,,-,18,,13,,40,,157,,165,,3,,6,,19,,48,,56,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
PUERTO RICO,2014,12,,-,0,,1,,,-,2,,,-,0,,6,,4,,2,,,-,0,,4,,5,,,-,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
MAINE,2014,12,,-,0,,0,,,-,1,,,-,5,,15,,45,,108,,1,,1,,4,,5,,10,,"MAINE
(45.254228663000504, -68.98502952999962)",
DIST. OF COL.,2014,12,,-,0,,1,,,-,,-,1,,0,,4,,5,,11,,,-,0,,0,,,-,,-,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
LOUISIANA,2014,12,,-,0,,1,,,-,1,,,-,3,,11,,16,,7,,,-,0,,0,,,-,,-,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
NEVADA,2014,12,,-,0,,2,,,-,1,,,-,2,,12,,24,,28,,,-,0,,3,,,-,1,,"NEVADA
(39.49324126500045, -117.07183978499972)",
DELAWARE,2014,12,,-,0,,0,,,-,,-,,-,1,,34,,140,,9,,,-,0,,0,,,-,,-,"DELAWARE
(39.00883351400046, -75.57773943699965)",
COLORADO,2014,12,,-,0,,1,,1,,1,,,-,27,,63,,297,,309,,,-,0,,0,,,-,,-,"COLORADO
(38.84384047000049, -106.13360888799969)",
NEW MEXICO,2014,12,,-,0,,1,,,-,,-,,-,9,,24,,63,,149,,,-,0,,1,,,-,1,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
TEXAS,2014,12,1,,0,,3,,4,,2,,40,,71,,351,,375,,275,,,-,16,,72,,79,,95,,"TEXAS
(31.827243635000457, -99.4267664729997)",
TENNESSEE,2014,12,,-,0,,3,,2,,2,,3,,4,,10,,61,,61,,,-,0,,0,,,-,,-,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
SOUTH CAROLINA,2014,12,,-,0,,1,,,-,,-,,-,4,,8,,11,,46,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
HAWAII,2014,12,,-,0,,1,,,-,,-,,-,1,,4,,3,,3,,,-,0,,0,,,-,,-,"HAWAII
(21.30485166200043, -157.85774691599974)",
OHIO,2014,12,21,,0,,18,,47,,4,,23,,27,,104,,498,,203,,,-,0,,19,,,-,1,,"OHIO
(40.06021029700048, -82.40425685299965)",
OKLAHOMA,2014,12,,-,0,,1,,,-,,-,,-,0,,36,,1,,5,,,-,0,,31,,3,,2,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
RHODE ISLAND,2014,12,,-,0,,1,,,-,,-,,-,2,,18,,13,,7,,,-,0,,4,,3,,3,,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
PENNSYLVANIA,2014,12,,-,0,,5,,2,,3,,5,,12,,20,,119,,154,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
C.N.M.I.,2014,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
UNITED STATES,2014,13,18,,7,,56,,164,,102,,131,,533,,951,,4438,,5327,,50,,63,,133,,332,,610,,,
NEW ENGLAND,2014,13,,-,0,,25,,1,,5,,1,,17,,38,,104,,275,,1,,5,,12,,32,,59,,,
MID. ATLANTIC,2014,13,,-,2,,25,,62,,8,,13,,30,,56,,315,,506,,7,,6,,19,,55,,65,,,
E.N. CENTRAL,2014,13,17,,1,,20,,83,,13,,19,,97,,200,,1051,,905,,,-,2,,24,,,-,5,,,
W.N. CENTRAL,2014,13,,-,0,,2,,2,,1,,3,,40,,95,,222,,485,,,-,2,,9,,10,,27,,,
S. ATLANTIC,2014,13,,-,0,,37,,4,,49,,37,,49,,91,,666,,468,,1,,15,,31,,67,,290,,,
E.S. CENTRAL,2014,13,1,,0,,3,,3,,4,,6,,15,,36,,203,,204,,1,,1,,4,,8,,9,,,
W.S. CENTRAL,2014,13,,-,0,,3,,4,,5,,26,,88,,380,,499,,407,,40,,17,,78,,159,,129,,,
MOUNTAIN,2014,13,,-,0,,2,,3,,3,,15,,106,,180,,826,,1414,,,-,1,,9,,1,,3,,,
PACIFIC,2014,13,,-,0,,2,,2,,14,,11,,61,,171,,552,,663,,,-,3,,12,,,-,23,,,
DIST. OF COL.,2014,13,,-,0,,1,,,-,,-,,-,0,,4,,6,,13,,,-,0,,0,,,-,,-,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
HAWAII,2014,13,,-,0,,1,,,-,,-,,-,1,,4,,4,,4,,,-,0,,0,,,-,,-,"HAWAII
(21.30485166200043, -157.85774691599974)",
SOUTH DAKOTA,2014,13,,-,0,,0,,,-,,-,,-,1,,8,,17,,10,,,-,0,,4,,3,,3,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
OKLAHOMA,2014,13,,-,0,,1,,,-,,-,,-,0,,36,,1,,8,,1,,0,,31,,13,,4,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
DELAWARE,2014,13,,-,0,,0,,,-,,-,1,,1,,34,,155,,9,,,-,0,,0,,,-,,-,"DELAWARE
(39.00883351400046, -75.57773943699965)",
VIRGIN ISL.,2014,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
KENTUCKY,2014,13,,-,0,,0,,,-,1,,,-,7,,28,,83,,76,,1,,0,,3,,3,,3,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
TEXAS,2014,13,,-,0,,3,,4,,3,,22,,71,,351,,414,,320,,26,,16,,72,,112,,108,,"TEXAS
(31.827243635000457, -99.4267664729997)",
FLORIDA,2014,13,,-,0,,1,,,-,,-,18,,14,,63,,198,,94,,,-,0,,9,,21,,103,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
NEW YORK,2014,13,,-,0,,2,,2,,,-,9,,13,,40,,166,,168,,7,,6,,19,,55,,65,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
NEW HAMPSHIRE,2014,13,,-,0,,0,,,-,,-,,-,1,,9,,9,,25,,,-,0,,2,,2,,9,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
AMER. SAMOA,2014,13,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
COLORADO,2014,13,,-,0,,1,,1,,1,,,-,27,,63,,324,,339,,,-,0,,0,,,-,,-,"COLORADO
(38.84384047000049, -106.13360888799969)",
MINNESOTA,2014,13,,-,0,,2,,,-,,-,,-,12,,37,,,-,169,,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
MASSACHUSETTS,2014,13,,-,0,,25,,1,,2,,,-,5,,22,,18,,55,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
KANSAS,2014,13,,-,0,,0,,,-,,-,,-,7,,22,,34,,49,,,-,1,,5,,6,,15,,"KANSAS
(38.34774033400049, -98.20077655499966)",
MISSISSIPPI,2014,13,,-,0,,0,,,-,,-,,-,1,,4,,13,,20,,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
ARIZONA,2014,13,,-,0,,1,,2,,,-,,-,18,,76,,63,,385,,,N,0,,0,,,N,,N,"ARIZONA
(34.865973091000455, -111.76380949799972)",
MICHIGAN,2014,13,,-,0,,1,,2,,1,,1,,20,,44,,198,,129,,,-,0,,5,,,-,1,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
IDAHO,2014,13,,-,0,,0,,,-,,-,11,,5,,14,,85,,47,,,-,0,,4,,,-,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
GUAM,2014,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
WEST VIRGINIA,2014,13,,-,0,,0,,,-,,-,,-,0,,3,,6,,3,,1,,1,,6,,8,,14,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
ALABAMA,2014,13,,-,0,,1,,,-,1,,,-,3,,8,,40,,43,,,-,1,,3,,5,,6,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
PENNSYLVANIA,2014,13,,-,0,,5,,2,,4,,4,,12,,20,,125,,168,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
WISCONSIN,2014,13,,-,0,,1,,1,,,-,,-,22,,54,,183,,342,,,N,0,,0,,,N,,N,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
MISSOURI,2014,13,,-,0,,2,,1,,1,,3,,9,,33,,95,,106,,,-,0,,3,,1,,9,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
MARYLAND,2014,13,,-,0,,26,,,-,24,,3,,3,,10,,32,,48,,,-,7,,17,,38,,63,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
CONNECTICUT,2014,13,,-,0,,2,,,-,2,,,-,1,,6,,5,,8,,,-,3,,12,,14,,25,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
WASHINGTON,2014,13,,-,0,,1,,,-,1,,3,,10,,130,,32,,152,,,-,0,,0,,,-,,-,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
MONTANA,2014,13,,-,0,,0,,,-,,-,4,,9,,27,,61,,180,,,N,0,,0,,,N,,N,"MONTANA
(47.066526051000494, -109.42441687999968)",
C.N.M.I.,2014,13,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
IOWA,2014,13,,-,0,,1,,1,,,-,,-,3,,12,,28,,109,,,-,0,,0,,,-,,-,"IOWA
(42.469404401000475, -93.81648936699969)",
OREGON,2014,13,,-,0,,1,,,-,1,,,-,9,,26,,75,,94,,,-,0,,2,,,-,2,,"OREGON
(44.567446178000466, -120.15502977999972)",
ILLINOIS,2014,13,,-,0,,4,,7,,7,,,-,14,,35,,98,,145,,,-,0,,6,,,-,3,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
OHIO,2014,13,17,,0,,20,,63,,4,,18,,27,,104,,516,,220,,,-,0,,19,,,-,1,,"OHIO
(40.06021029700048, -82.40425685299965)",
VIRGINIA,2014,13,,-,0,,18,,,-,25,,1,,6,,28,,57,,66,,,-,6,,14,,,-,110,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
ARKANSAS,2014,13,,-,0,,1,,,-,1,,4,,9,,29,,68,,70,,13,,1,,34,,34,,17,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
NEW MEXICO,2014,13,,-,0,,1,,,-,,-,,-,10,,24,,63,,160,,,-,0,,1,,,-,1,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
INDIANA,2014,13,,-,0,,3,,10,,1,,,-,12,,29,,56,,69,,,-,0,,1,,,-,,-,"INDIANA
(39.76691364600049, -86.14995579899966)",
VERMONT,2014,13,,-,0,,1,,,-,,-,,-,1,,7,,5,,71,,,-,1,,4,,7,,10,,"VERMONT
(43.62538292400046, -72.51763944499965)",
UTAH,2014,13,,-,0,,1,,,-,1,,,-,24,,41,,200,,271,,,-,0,,4,,1,,,-,"UTAH
(39.36070374600047, -111.5871285339997)",
CALIFORNIA,2014,13,,-,0,,2,,2,,12,,7,,38,,67,,429,,270,,,-,3,,11,,,-,19,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
NEW YORK CITY,2014,13,,-,1,,24,,56,,4,,,-,1,,10,,3,,27,,,-,0,,0,,,-,,-,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
LOUISIANA,2014,13,,-,0,,1,,,-,1,,,-,3,,11,,16,,9,,,-,0,,0,,,-,,-,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
NEW JERSEY,2014,13,,-,0,,19,,2,,,-,,-,4,,12,,21,,143,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
NORTH CAROLINA,2014,13,,-,0,,1,,,-,,-,13,,11,,29,,159,,86,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
GEORGIA,2014,13,,-,0,,4,,4,,,-,1,,4,,11,,42,,98,,,-,0,,0,,,-,,-,"GEORGIA
(32.83968004200045, -83.62757601199968)",
NEBRASKA,2014,13,,-,0,,0,,,-,,-,,-,5,,14,,47,,38,,,-,0,,0,,,-,,-,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
WYOMING,2014,13,,-,0,,0,,,-,,-,,-,1,,12,,,-,2,,,-,0,,0,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
NORTH DAKOTA,2014,13,,-,0,,1,,,-,,-,,-,1,,7,,1,,4,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
MAINE,2014,13,,-,0,,0,,,-,1,,1,,5,,16,,52,,109,,,-,1,,4,,5,,12,,"MAINE
(45.254228663000504, -68.98502952999962)",
TENNESSEE,2014,13,1,,0,,3,,3,,2,,6,,4,,10,,67,,65,,,-,0,,0,,,-,,-,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
ALASKA,2014,13,,-,0,,1,,,-,,-,1,,4,,11,,12,,143,,,-,0,,2,,,-,2,,"ALASKA
(64.84507923900048, -147.72205669099972)",
NEVADA,2014,13,,-,0,,2,,,-,1,,,-,3,,12,,30,,30,,,-,0,,3,,,-,2,,"NEVADA
(39.49324126500045, -117.07183978499972)",
RHODE ISLAND,2014,13,,-,0,,1,,,-,,-,,-,2,,20,,15,,7,,1,,0,,4,,4,,3,,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
SOUTH CAROLINA,2014,13,,-,0,,1,,,-,,-,,-,3,,8,,11,,51,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
PUERTO RICO,2014,13,,-,0,,1,,,-,2,,,-,0,,6,,4,,3,,,-,0,,4,,5,,,-,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
UNITED STATES,2014,14,100,,7,,54,,276,,118,,173,,533,,952,,4838,,5772,,20,,63,,133,,381,,677,,,
NEW ENGLAND,2014,14,,-,0,,25,,1,,6,,3,,17,,38,,107,,288,,2,,5,,13,,34,,67,,,
MID. ATLANTIC,2014,14,,-,2,,25,,71,,11,,19,,31,,56,,355,,535,,2,,6,,19,,57,,74,,,
E.N. CENTRAL,2014,14,96,,1,,23,,182,,13,,26,,97,,200,,1112,,962,,,-,2,,24,,,-,6,,,
W.N. CENTRAL,2014,14,,-,0,,2,,2,,1,,2,,40,,95,,231,,522,,,-,2,,9,,11,,30,,,
S. ATLANTIC,2014,14,4,,0,,37,,8,,60,,43,,49,,91,,724,,517,,,-,15,,31,,88,,312,,,
E.S. CENTRAL,2014,14,,-,0,,3,,3,,4,,4,,15,,37,,212,,213,,,-,1,,4,,8,,9,,,
W.S. CENTRAL,2014,14,,-,0,,3,,4,,5,,49,,88,,380,,572,,464,,16,,18,,78,,181,,146,,,
MOUNTAIN,2014,14,,-,0,,2,,3,,3,,14,,105,,181,,886,,1549,,,-,1,,9,,2,,3,,,
PACIFIC,2014,14,,-,0,,2,,2,,15,,13,,61,,172,,639,,722,,,-,3,,13,,,-,30,,,
WASHINGTON,2014,14,,-,0,,1,,,-,1,,,-,10,,131,,32,,163,,,-,0,,0,,,-,,-,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
IOWA,2014,14,,-,0,,1,,1,,,-,,-,3,,12,,28,,115,,,-,0,,0,,,-,,-,"IOWA
(42.469404401000475, -93.81648936699969)",
MASSACHUSETTS,2014,14,,-,0,,25,,1,,3,,,-,5,,22,,18,,58,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
CONNECTICUT,2014,14,,-,0,,2,,,-,2,,,-,1,,6,,5,,8,,,-,3,,12,,14,,29,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
GUAM,2014,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
MONTANA,2014,14,,-,0,,0,,,-,,-,5,,9,,27,,67,,196,,,N,0,,0,,,N,,N,"MONTANA
(47.066526051000494, -109.42441687999968)",
MISSISSIPPI,2014,14,,-,0,,0,,,-,,-,,-,1,,4,,13,,21,,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
RHODE ISLAND,2014,14,,-,0,,1,,,-,,-,,-,2,,19,,15,,8,,,-,0,,4,,4,,3,,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
WEST VIRGINIA,2014,14,,-,0,,0,,,-,,-,,-,0,,3,,6,,4,,,-,1,,6,,8,,15,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
NORTH CAROLINA,2014,14,,-,0,,1,,,-,,-,16,,12,,29,,175,,106,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
ALABAMA,2014,14,,-,0,,1,,,-,1,,,-,3,,8,,42,,43,,,-,1,,3,,5,,6,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
MISSOURI,2014,14,,-,0,,2,,1,,1,,2,,9,,33,,97,,115,,,-,0,,3,,1,,10,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
WISCONSIN,2014,14,,-,0,,1,,2,,,-,,-,22,,54,,193,,365,,,N,0,,0,,,N,,N,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
PENNSYLVANIA,2014,14,,-,0,,5,,4,,4,,4,,12,,20,,139,,180,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
MAINE,2014,14,,-,0,,0,,,-,1,,3,,5,,16,,55,,115,,,-,1,,4,,5,,12,,"MAINE
(45.254228663000504, -68.98502952999962)",
ARKANSAS,2014,14,,-,0,,1,,,-,1,,3,,9,,29,,81,,72,,,-,1,,34,,34,,17,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
SOUTH CAROLINA,2014,14,,-,0,,1,,,-,,-,,-,3,,8,,17,,54,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
SOUTH DAKOTA,2014,14,,-,0,,0,,,-,,-,,-,1,,8,,17,,10,,,-,0,,4,,3,,4,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
COLORADO,2014,14,,-,0,,1,,1,,1,,,-,27,,63,,324,,366,,,-,0,,0,,,-,,-,"COLORADO
(38.84384047000049, -106.13360888799969)",
UTAH,2014,14,,-,0,,1,,,-,1,,,-,23,,42,,223,,301,,,-,0,,4,,1,,,-,"UTAH
(39.36070374600047, -111.5871285339997)",
VIRGIN ISL.,2014,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
GEORGIA,2014,14,,-,0,,4,,4,,,-,,-,3,,11,,42,,107,,,-,0,,0,,,-,,-,"GEORGIA
(32.83968004200045, -83.62757601199968)",
DELAWARE,2014,14,,-,0,,0,,,-,,-,,-,1,,34,,162,,9,,,-,0,,0,,,-,,-,"DELAWARE
(39.00883351400046, -75.57773943699965)",
NEW MEXICO,2014,14,,-,0,,1,,,-,,-,,-,10,,24,,76,,180,,,-,0,,1,,,-,1,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
DIST. OF COL.,2014,14,4,,0,,1,,4,,,-,1,,0,,4,,7,,13,,,-,0,,0,,,-,,-,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
NEW JERSEY,2014,14,,-,0,,19,,3,,1,,,-,4,,12,,31,,148,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
IDAHO,2014,14,,-,0,,0,,,-,,-,3,,5,,14,,89,,49,,,-,0,,4,,,-,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
C.N.M.I.,2014,14,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
TEXAS,2014,14,,-,0,,3,,4,,3,,46,,71,,351,,474,,365,,16,,17,,72,,134,,125,,"TEXAS
(31.827243635000457, -99.4267664729997)",
FLORIDA,2014,14,,-,0,,1,,,-,,-,20,,15,,63,,218,,102,,,-,0,,9,,21,,103,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
CALIFORNIA,2014,14,,-,0,,2,,2,,12,,11,,39,,67,,504,,303,,,-,3,,12,,,-,24,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
TENNESSEE,2014,14,,-,0,,3,,3,,2,,2,,5,,10,,71,,70,,,-,0,,0,,,-,,-,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
OHIO,2014,14,96,,0,,20,,159,,4,,25,,27,,104,,541,,233,,,-,0,,19,,,-,1,,"OHIO
(40.06021029700048, -82.40425685299965)",
VIRGINIA,2014,14,,-,0,,18,,,-,34,,6,,6,,28,,65,,72,,,-,6,,14,,,-,124,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
AMER. SAMOA,2014,14,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
KENTUCKY,2014,14,,-,0,,0,,,-,1,,2,,7,,28,,86,,79,,,-,0,,3,,3,,3,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
NEBRASKA,2014,14,,-,0,,0,,,-,,-,,-,5,,14,,47,,43,,,-,0,,0,,,-,,-,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
INDIANA,2014,14,,-,0,,3,,10,,1,,,-,12,,29,,63,,70,,,-,0,,1,,,-,,-,"INDIANA
(39.76691364600049, -86.14995579899966)",
NEW HAMPSHIRE,2014,14,,-,0,,0,,,-,,-,,-,1,,9,,9,,25,,,-,0,,2,,2,,10,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
LOUISIANA,2014,14,,-,0,,1,,,-,1,,,-,3,,11,,16,,13,,,-,0,,0,,,-,,-,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
WYOMING,2014,14,,-,0,,0,,,-,,-,,-,1,,12,,,-,2,,,-,0,,0,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
NORTH DAKOTA,2014,14,,-,0,,1,,,-,,-,,-,1,,7,,1,,5,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
MICHIGAN,2014,14,,-,0,,1,,2,,1,,1,,20,,44,,211,,133,,,-,0,,5,,,-,1,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
NEW YORK,2014,14,,-,0,,2,,2,,1,,15,,13,,40,,181,,179,,2,,6,,19,,57,,74,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
ILLINOIS,2014,14,,-,0,,4,,9,,7,,,-,14,,35,,104,,161,,,-,0,,6,,,-,4,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
MARYLAND,2014,14,,-,0,,26,,,-,26,,,-,3,,10,,32,,50,,,-,7,,17,,59,,70,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
