Reporting Area,MMWR Year,MMWR Week,"Shiga toxin-producing E. coli (STEC)§, Current week","Shiga toxin-producing E. coli (STEC)§, Current week, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2015","Shiga toxin-producing E. coli (STEC)§, Cum 2015, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2014","Shiga toxin-producing E. coli (STEC)§, Cum 2014, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Med","Shigellosis, Previous 52 weeks Med, flag","Shigellosis, Previous 52 weeks Max","Shigellosis, Previous 52 weeks Max, flag","Shigellosis, Cum 2015","Shigellosis, Cum 2015, flag","Shigellosis, Cum 2014","Shigellosis, Cum 2014, flag",Location 1,Location 2
NEW YORK,2015,1,,-,3,,15,,,-,1,,10,,4,,21,,10,,,-,"NEW YORK
(42.82700376100007, -75.54396609999998)",
VERMONT,2015,1,,-,0,,2,,,-,1,,,-,0,,2,,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
GUAM,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
AMER. SAMOA,2015,13,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
OREGON,2015,1,1,,3,,9,,1,,1,,,-,1,,6,,,-,,-,"OREGON
(44.56745049300008, -120.15502935599994)",
RHODE ISLAND,2015,1,,-,0,,2,,,-,,-,,-,0,,7,,,-,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
MAINE,2015,1,,-,0,,4,,,-,,-,,-,0,,3,,,-,,-,"MAINE
(45.25422910300006, -68.98502586699993)",
WYOMING,2015,1,,-,0,,3,,,-,,-,,-,0,,6,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
PENNSYLVANIA,2015,1,,-,3,,9,,,-,1,,,-,3,,14,,,-,2,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
VIRGINIA,2015,1,,-,2,,6,,,-,,-,1,,4,,16,,1,,,-,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
MARYLAND,2015,1,1,,1,,5,,1,,3,,2,,5,,12,,2,,2,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
NEW MEXICO,2015,1,,-,1,,6,,,-,2,,,-,1,,6,,,-,,-,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
ALABAMA,2015,1,,-,0,,3,,,-,,-,,-,6,,28,,,-,11,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
NORTH CAROLINA,2015,1,1,,0,,4,,1,,,-,6,,4,,85,,6,,119,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
HAWAII,2015,1,1,,0,,4,,1,,1,,,-,0,,2,,,-,,-,"HAWAII
(21.30485232600006, -157.85774798099996)",
MISSISSIPPI,2015,1,,-,0,,3,,,-,,-,,-,4,,11,,,-,9,,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
ARIZONA,2015,1,,-,1,,5,,,-,2,,2,,6,,18,,2,,6,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
WISCONSIN,2015,1,,-,1,,12,,,-,4,,3,,6,,20,,3,,3,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
NEBRASKA,2015,1,,-,2,,9,,,-,,-,5,,3,,18,,5,,1,,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
TEXAS,2015,1,3,,9,,29,,3,,1,,4,,45,,101,,4,,5,,"TEXAS
(31.827240467000024, -99.42676785299994)",
SOUTH CAROLINA,2015,1,,-,0,,2,,,-,1,,8,,2,,13,,8,,1,,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
SOUTH DAKOTA,2015,1,,-,1,,4,,,-,,-,,-,11,,32,,,-,10,,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
GEORGIA,2015,1,,-,1,,7,,,-,1,,14,,16,,27,,14,,10,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
MASSACHUSETTS,2015,1,,-,1,,6,,,-,,-,,-,3,,9,,,-,1,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
MISSOURI,2015,1,,-,4,,14,,,-,,-,19,,24,,63,,19,,9,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
OKLAHOMA,2015,1,,-,2,,12,,,-,,-,,-,1,,16,,,-,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
ILLINOIS,2015,1,,-,3,,11,,,-,3,,,-,12,,34,,,-,3,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
FLORIDA,2015,1,2,,3,,9,,2,,,-,9,,45,,95,,9,,13,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
CONNECTICUT,2015,1,,-,1,,4,,,-,1,,,-,1,,5,,,-,1,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
NEW JERSEY,2015,1,,-,2,,8,,,-,2,,,-,3,,14,,,-,4,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
TENNESSEE,2015,1,1,,2,,9,,1,,2,,14,,15,,31,,14,,27,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
MINNESOTA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
WEST VIRGINIA,2015,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
KENTUCKY,2015,1,,-,1,,7,,,-,1,,6,,4,,15,,6,,3,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
INDIANA,2015,1,,-,1,,11,,,-,1,,,-,25,,74,,,-,2,,"INDIANA
(39.766913353000064, -86.14995646699998)",
KANSAS,2015,1,,-,1,,7,,,-,,-,1,,1,,4,,1,,1,,"KANSAS
(38.347742794000055, -98.20077822999997)",
NEW HAMPSHIRE,2015,1,,-,0,,2,,,-,1,,,-,0,,2,,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
PUERTO RICO,2015,1,,-,0,,2,,,-,,-,,-,0,,3,,,-,,-,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
COLORADO,2015,1,,-,2,,14,,,-,,-,,-,1,,5,,,-,,-,"COLORADO
(38.84384342200008, -106.13360911499996)",
WASHINGTON,2015,1,,-,1,,32,,,-,,-,,-,2,,12,,,-,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
LOUISIANA,2015,1,,-,0,,2,,,-,,-,4,,2,,10,,4,,3,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
UNITED STATES,2015,2,15,,95,,206,,32,,86,,149,,390,,564,,363,,470,,,
NEW ENGLAND,2015,2,,-,3,,15,,,-,5,,,-,6,,14,,1,,7,,,
MID. ATLANTIC,2015,2,,-,9,,26,,1,,11,,36,,19,,45,,76,,28,,,
E.N. CENTRAL,2015,2,2,,11,,38,,4,,16,,18,,61,,139,,40,,49,,,
W.N. CENTRAL,2015,2,1,,10,,35,,3,,8,,15,,47,,93,,45,,51,,,
S. ATLANTIC,2015,2,6,,9,,24,,12,,10,,38,,84,,156,,89,,201,,,
DIST. OF COL.,2015,2,,-,0,,1,,,-,,-,,-,0,,4,,,-,3,,"DIST. OF COL.
",
E.S. CENTRAL,2015,2,1,,4,,15,,2,,9,,6,,30,,59,,28,,69,,,
W.S. CENTRAL,2015,2,2,,14,,33,,5,,7,,18,,69,,249,,29,,21,,,
MOUNTAIN,2015,2,1,,10,,28,,1,,8,,3,,13,,24,,13,,27,,,
PACIFIC,2015,2,2,,16,,59,,4,,12,,15,,27,,58,,42,,17,,,
AMER. SAMOA,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
SOUTH DAKOTA,2015,2,,-,1,,4,,,-,,-,,-,11,,32,,,-,24,,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
NEW HAMPSHIRE,2015,2,,-,0,,2,,,-,1,,,-,0,,2,,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
VIRGINIA,2015,2,1,,2,,6,,1,,,-,,-,4,,16,,2,,2,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
ALABAMA,2015,2,,-,0,,3,,,-,2,,,-,6,,28,,1,,16,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
IDAHO,2015,2,1,,2,,9,,1,,,-,,-,0,,2,,1,,3,,"IDAHO
(43.68263174800006, -114.36372693399994)",
NEW YORK CITY,2015,2,,-,1,,5,,1,,3,,29,,7,,30,,59,,11,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
FLORIDA,2015,2,,-,3,,9,,3,,3,,15,,45,,95,,24,,47,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
ARIZONA,2015,2,,-,1,,5,,,-,2,,3,,7,,18,,10,,12,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
NEVADA,2015,2,,-,0,,5,,,-,1,,,-,0,,6,,,-,5,,"NEVADA
(39.49324221300003, -117.07183885899997)",
MARYLAND,2015,2,1,,1,,5,,2,,4,,8,,5,,12,,11,,4,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
OREGON,2015,2,1,,3,,9,,2,,1,,,-,1,,6,,,-,2,,"OREGON
(44.56745049300008, -120.15502935599994)",
NEBRASKA,2015,2,,-,2,,9,,,-,,-,1,,3,,18,,6,,1,,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
KENTUCKY,2015,2,,-,1,,7,,,-,4,,3,,4,,15,,11,,4,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
INDIANA,2015,2,,-,1,,11,,,-,2,,,-,26,,74,,2,,6,,"INDIANA
(39.766913353000064, -86.14995646699998)",
IOWA,2015,2,,-,2,,14,,,-,2,,,-,2,,12,,1,,12,,"IOWA
(42.469401411000035, -93.81648725599996)",
ARKANSAS,2015,2,,-,2,,5,,,-,,-,1,,7,,197,,2,,1,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
VERMONT,2015,2,,-,0,,2,,,-,1,,,-,0,,2,,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
NORTH CAROLINA,2015,2,4,,0,,4,,5,,1,,7,,4,,85,,13,,121,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
TEXAS,2015,2,2,,9,,29,,5,,7,,8,,49,,104,,14,,14,,"TEXAS
(31.827240467000024, -99.42676785299994)",
PENNSYLVANIA,2015,2,,-,3,,9,,,-,3,,1,,3,,14,,1,,7,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
NEW YORK,2015,2,,-,3,,15,,,-,1,,6,,4,,21,,16,,3,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
OKLAHOMA,2015,2,,-,2,,12,,,-,,-,7,,1,,16,,7,,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
MASSACHUSETTS,2015,2,,-,1,,6,,,-,1,,,-,3,,9,,,-,4,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
COLORADO,2015,2,,-,2,,14,,,-,1,,,-,1,,5,,,-,3,,"COLORADO
(38.84384342200008, -106.13360911499996)",
ILLINOIS,2015,2,,-,3,,11,,,-,4,,,-,12,,46,,,-,6,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
NEW JERSEY,2015,2,,-,1,,8,,,-,4,,,-,3,,14,,,-,7,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
MISSISSIPPI,2015,2,,-,0,,3,,,-,1,,,-,4,,11,,,-,13,,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
ALASKA,2015,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,"ALASKA
(64.84507799500005, -147.72205958799998)",
HAWAII,2015,2,1,,0,,4,,2,,2,,,-,0,,2,,,-,,-,"HAWAII
(21.30485232600006, -157.85774798099996)",
RHODE ISLAND,2015,2,,-,0,,2,,,-,,-,,-,0,,7,,,-,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
MONTANA,2015,2,,-,0,,4,,,-,,-,,-,0,,7,,2,,1,,"MONTANA
(47.06652795700006, -109.42441587999997)",
WEST VIRGINIA,2015,2,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
PUERTO RICO,2015,2,,-,0,,1,,,-,2,,,-,0,,3,,,-,,-,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
DELAWARE,2015,2,,-,0,,2,,,-,,-,,-,1,,4,,,-,2,,"DELAWARE
(39.00883389200004, -75.57773597599999)",
NEW MEXICO,2015,2,,-,1,,6,,,-,3,,,-,1,,6,,,-,,-,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
GUAM,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
WYOMING,2015,2,,-,0,,3,,,-,,-,,-,0,,6,,,-,1,,"WYOMING
(43.23554100600006, -108.10982701399996)",
MINNESOTA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
WASHINGTON,2015,2,,-,1,,32,,,-,,-,,-,2,,13,,,-,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
TENNESSEE,2015,2,1,,2,,9,,2,,2,,3,,15,,31,,16,,36,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
GEORGIA,2015,2,,-,1,,7,,1,,1,,5,,17,,28,,26,,21,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
SOUTH CAROLINA,2015,2,,-,0,,2,,,-,1,,3,,2,,13,,13,,1,,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
CONNECTICUT,2015,2,,-,1,,4,,,-,2,,,-,1,,5,,1,,3,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
CALIFORNIA,2015,2,,-,10,,26,,,-,9,,15,,22,,49,,42,,14,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
MAINE,2015,2,,-,0,,4,,,-,,-,,-,0,,3,,,-,,-,"MAINE
(45.25422910300006, -68.98502586699993)",
LOUISIANA,2015,2,,-,0,,2,,,-,,-,2,,2,,10,,6,,6,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
KANSAS,2015,2,,-,1,,7,,1,,,-,,-,1,,4,,1,,1,,"KANSAS
(38.347742794000055, -98.20077822999997)",
NORTH DAKOTA,2015,2,,-,0,,3,,,-,2,,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
OHIO,2015,2,2,,3,,12,,4,,2,,12,,11,,22,,23,,30,,"OHIO
(40.060212455000055, -82.40425667899996)",
MICHIGAN,2015,2,,-,2,,8,,,-,2,,1,,4,,19,,4,,4,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
WISCONSIN,2015,2,,-,1,,12,,,-,6,,5,,6,,20,,11,,3,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
UTAH,2015,2,,-,1,,6,,,-,1,,,-,0,,4,,,-,2,,"UTAH
(39.36070123200005, -111.58712831499997)",
MISSOURI,2015,2,1,,4,,14,,2,,4,,14,,24,,63,,37,,12,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
VIRGIN ISL.,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
UNITED STATES,2015,3,25,,96,,206,,62,,135,,204,,390,,563,,630,,688,,,
NEW ENGLAND,2015,3,,-,3,,15,,,-,7,,,-,6,,14,,1,,15,,,
MID. ATLANTIC,2015,3,5,,9,,26,,6,,16,,68,,19,,44,,152,,49,,,
E.N. CENTRAL,2015,3,3,,11,,38,,7,,24,,15,,62,,147,,63,,70,,,
W.N. CENTRAL,2015,3,6,,10,,35,,12,,12,,23,,47,,93,,75,,89,,,
MASSACHUSETTS,2015,3,,-,2,,6,,,-,3,,,-,3,,9,,,-,9,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
CONNECTICUT,2015,3,,-,1,,4,,,-,2,,,-,1,,5,,1,,4,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
INDIANA,2015,3,,-,2,,11,,,-,3,,,-,26,,74,,2,,8,,"INDIANA
(39.766913353000064, -86.14995646699998)",
PENNSYLVANIA,2015,3,,-,3,,9,,,-,5,,3,,3,,14,,5,,11,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
NEW YORK,2015,3,2,,3,,15,,2,,3,,14,,4,,22,,37,,11,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
ILLINOIS,2015,3,,-,3,,11,,,-,6,,,-,12,,54,,,-,8,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
MICHIGAN,2015,3,,-,2,,8,,,-,3,,1,,4,,19,,8,,9,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
MAINE,2015,3,,-,0,,4,,,-,,-,,-,0,,3,,,-,1,,"MAINE
(45.25422910300006, -68.98502586699993)",
RHODE ISLAND,2015,3,,-,0,,2,,,-,,-,,-,0,,7,,,-,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
NEW YORK CITY,2015,3,3,,1,,5,,4,,3,,51,,7,,30,,110,,18,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
S. ATLANTIC,2015,3,3,,10,,23,,15,,19,,36,,84,,156,,128,,260,,,
DIST. OF COL.,2015,3,,-,0,,1,,,-,,-,,-,0,,4,,,-,5,,"DIST. OF COL.
",
E.S. CENTRAL,2015,3,2,,4,,15,,4,,12,,17,,32,,59,,69,,98,,,
W.S. CENTRAL,2015,3,3,,14,,40,,9,,14,,23,,70,,249,,55,,47,,,
MOUNTAIN,2015,3,2,,10,,28,,3,,17,,2,,13,,24,,21,,40,,,
PACIFIC,2015,3,1,,17,,60,,6,,14,,20,,27,,58,,66,,20,,,
AMER. SAMOA,2015,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
CALIFORNIA,2015,3,,-,11,,26,,,-,10,,19,,22,,51,,64,,16,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
IOWA,2015,3,,-,2,,14,,,-,3,,,-,2,,12,,3,,20,,"IOWA
(42.469401411000035, -93.81648725599996)",
NORTH CAROLINA,2015,3,1,,0,,5,,6,,5,,7,,4,,85,,20,,135,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
MISSISSIPPI,2015,3,,-,0,,3,,,-,1,,,-,4,,11,,,-,16,,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
SOUTH CAROLINA,2015,3,1,,0,,2,,1,,1,,2,,2,,13,,17,,3,,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
TENNESSEE,2015,3,2,,2,,9,,4,,4,,11,,15,,31,,28,,57,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
NEBRASKA,2015,3,3,,1,,9,,3,,2,,2,,3,,18,,8,,1,,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
LOUISIANA,2015,3,,-,0,,2,,1,,1,,4,,2,,10,,10,,6,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
NEW MEXICO,2015,3,,-,1,,6,,,-,4,,,-,1,,6,,1,,1,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
WYOMING,2015,3,,-,0,,3,,,-,,-,,-,0,,6,,,-,5,,"WYOMING
(43.23554100600006, -108.10982701399996)",
COLORADO,2015,3,,-,2,,14,,,-,4,,,-,1,,5,,,-,3,,"COLORADO
(38.84384342200008, -106.13360911499996)",
FLORIDA,2015,3,,-,3,,9,,3,,5,,17,,45,,95,,41,,61,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
UTAH,2015,3,,-,1,,6,,,-,1,,,-,0,,4,,1,,4,,"UTAH
(39.36070123200005, -111.58712831499997)",
KANSAS,2015,3,,-,1,,7,,1,,1,,,-,1,,4,,2,,2,,"KANSAS
(38.347742794000055, -98.20077822999997)",
OREGON,2015,3,1,,3,,9,,4,,2,,,-,1,,6,,1,,3,,"OREGON
(44.56745049300008, -120.15502935599994)",
GUAM,2015,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
MINNESOTA,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
MONTANA,2015,3,2,,0,,4,,2,,,-,1,,0,,7,,3,,1,,"MONTANA
(47.06652795700006, -109.42441587999997)",
KENTUCKY,2015,3,,-,1,,7,,,-,5,,4,,4,,15,,29,,4,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
ALASKA,2015,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,"ALASKA
(64.84507799500005, -147.72205958799998)",
WEST VIRGINIA,2015,3,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
NORTH DAKOTA,2015,3,,-,0,,3,,,-,2,,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
DELAWARE,2015,3,,-,0,,2,,,-,,-,,-,1,,4,,,-,4,,"DELAWARE
(39.00883389200004, -75.57773597599999)",
ARKANSAS,2015,3,1,,2,,5,,1,,,-,1,,7,,197,,3,,5,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
ALABAMA,2015,3,,-,0,,3,,,-,2,,2,,8,,28,,12,,21,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
HAWAII,2015,3,,-,0,,4,,2,,2,,,-,0,,2,,,-,,-,"HAWAII
(21.30485232600006, -157.85774798099996)",
TEXAS,2015,3,2,,10,,36,,7,,11,,13,,49,,117,,30,,34,,"TEXAS
(31.827240467000024, -99.42676785299994)",
GEORGIA,2015,3,,-,1,,7,,1,,3,,,-,17,,28,,26,,43,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
OHIO,2015,3,3,,3,,12,,7,,2,,14,,11,,22,,37,,42,,"OHIO
(40.060212455000055, -82.40425667899996)",
WISCONSIN,2015,3,,-,1,,13,,,-,10,,,-,6,,20,,16,,3,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
OKLAHOMA,2015,3,,-,1,,12,,,-,2,,5,,1,,16,,12,,2,,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
VIRGINIA,2015,3,1,,2,,6,,3,,1,,3,,4,,16,,5,,3,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
NEW JERSEY,2015,3,,-,1,,8,,,-,5,,,-,3,,14,,,-,9,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
SOUTH DAKOTA,2015,3,,-,1,,4,,,-,,-,,-,10,,32,,,-,50,,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
